Colon & Rectum Male Mortality,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.22,4.04,3.42,,,2.01,2.63,2.42,3.81,3.66,2.54,2.88,3.27,2.6,2.88,3.27
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,14.41,13.27,14.51,13.05,12.96,13.46,13.63,13.36,13.96,13.85,14.1,14.1,13.4,13.75,13.54,13.96,14,14.27,14.49,14.21,14.62,14.7,14.86,13.76
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,6.95,6.96,,,8.53,8.78,9.23,8.74,9.27,9.33,10.3,9.56,8.43,7.18,7.02,8.43,9.19,7.86,8.95,8.15,8.37,9.64
Australia,18.25,18.99,19.83,18.62,19.95,18.44,17.48,17.9,18.78,18.05,17.88,18.03,17.67,19.74,18.44,18.44,18.9,19.86,19.96,21.21,21.41,20.69,20.98,21.46,21.03,20.29,21.32,21.73,22.46,21.8,22.57,22.13,22.58,22.06,21.46,20.44,20.19,20.38,20.2,21.14,19.34,19.63,19.58,18.49,17.91,18.01,17.48,15.64
Austria,20.29,18.94,18.53,18.64,17.06,18.83,18.49,17.75,17.99,18.3,19.7,19.74,20.79,20.33,,,22.46,23.58,23.14,23.25,22.95,23.48,24.35,24.92,22.4,23.04,22.04,22.92,22.32,22.77,21.51,21.46,22.2,22.96,22.16,22.56,23.19,23.19,23.79,22.43,21.25,22.09,20.94,19.3,19.63,18.22,18.19,18.7
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,7.43,7.95,,,7.32,10.13,8.37,7.07,6.48,5.95,4.71,7.55,6.43,6.4,6.21,6.22,4.55,4.57,5.36,5.08,4.94,5.14
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.9
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,9.44,10.09,,,12.99,13.21,12.32,14.5,13.49,14.72,15.02,15.01,16.2,16.67,17.53,,18.13,17.36,18.41,18.81,18.25,18.58
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.7
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.74,1.7,,4.48,3.62,,2.02,,0.93,,1.76,3.6,8.2,1.83,2.76,3.09,3.53,1.47,1.47,3.2
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.9
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,4.07,4.26,4.18,4.12,4.26,4.2,4.2,4.29,4.32,4.47,4.39,4.43,4.63,4.66,4.89,4.83,4.83,5.03,5.21,5.34,5.32,5.55,5.68,5.9
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2
