Trade balance (current US$),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Bangladesh,29472265.5,-44208318.24,-3117226.543,-88983516.46,-220475084.6,-218774778.4,-152462277.6,-238611872.9,-245129793.6,-298123193,-377188129.9,-388240243.6,-506696078.9,-428830089.6,-828227081.7,-1009647641,-1299731011,-514440754.3,-1319720435,-1510065288,-2244162440,-1823987815,-1940950000,-1601344589,-1903333362,-1660461538,-1453444835,-1651143770,-1813076879,-2016114412,-2232102153,-1722661028,-1509549041,-1687195801,-1642094826,-2458582043,-3094229713,-2549601828,-2182026432,-2497212978,-2472788710,-2874981468,-2269650009,-3022141623,-3025191099,-3896617886,-3881819535,-4738271069,-6692012826,-6366686047,-6633666216,
Barbados,-19191618.43,-12833301.08,-11491637.78,-6299984.166,-8983310.755,-11608304.16,-14466630.31,-13117771.89,-16050000,-25250000,-34700000,-25824092.26,-30968614.14,-33023682.72,-23865185.98,-40344535.07,-83241828.05,-57006196.75,-56828898.25,-71943531.92,-16457033.05,-87953045.47,-26102503.72,12031986.75,54342944,92030042.26,30428080.02,7706410.446,7258954.591,-596629.0201,-44846646.5,-45343805.53,143000064,101426933.4,139114031.7,106349075.1,83030903.78,-48476060.15,-48724766.95,-137721960.9,-168150016,-102850000,-146250000,-169550000,-310479400,-299342748.9,-135449873.2,-151226668.3,-152150000,-142650000,-207800000,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401145472.5,613549591.8,246724949.3,-2560888789,-1916422768,-613148561.6,-601330769.2,-818949314.4,-739102063.8,-294772458.3,-405990263.7,-438561151.1,-546875706.7,-682552427.3,-1472694465,214874037.8,-1542228802,-2837778648,-4693352060,-5543430722,-7498547932,
Belgium,-81609024.95,-98224365,-1520136.523,-136540480.1,-52950733.76,-4087019.229,-131222480.7,83800830.5,98599029.09,263016665,575869397.9,569169326.4,1154688512,886152252,179339180.1,83817084.41,70634234.48,-767947724,-1068594427,-2426835501,-4142008598,-2618090111,-1945828898,137075104.8,294334808.7,719396855.3,2591330546,2554069873,3758617489,3424369927,3331747952,3677701620,5836841767,7199220442,8915478344,11186781609,8662280130,9406292287,9715381196,10592904326,6811313801,8468456376,14514586862,16845598194,17771941915,14842436452,15244605409,17662371790,4340425532,12907675702,12678145695,
Belize,,,,,,,,,,,,,,,,,,,,,-25700000,-42350000,-40500000,-30100000,-16250000,-26800000,-5950000,-5900000,-18350000,-34100000,8900000,-47050000,-16582448.85,-19559262.81,-15139019.68,-7131591.249,-1683322.083,-19157477.7,-29945173.84,-90105949.05,-172245769,-158947205.6,-126524286.6,-126284118.9,-84015675.79,-89523326.87,-6305497.144,-23060618.68,-108150000,,,
Benin,-13540914.41,-11668274.84,-15229916.86,-19817889.37,-19172878,-21983163.84,-28187630.92,-36945074.91,-31882254.77,-31965503,-30830708.43,-33448728.66,-50908925.4,-51935257.54,-84256559.37,-127820900.7,-125958198.2,-139528864.7,-167391924.4,-231381001.5,-302178509,-361881879.3,-282896323,-195117089.7,-119329635.7,-135901531.7,-212972633.4,-245031533.6,-296168669,-169901217.1,-222119455.5,-235655363.7,-222916871.6,-299954085.9,-146071058.9,-259089289,-303257797.4,-276012147.4,-242997709.1,-302865485.3,-291721686.7,-301484230.1,-391397294.1,-456985547.1,-515630962.7,-542212987.3,-537015433.5,-849839442.3,-909314218.1,-953437840.2,-902525253.5,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-614143259.7,-341910650.8,-602889696.6,-598649383.3,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,-32634860.05,-47721709.01,-50635306.55,-55823762.38,-54502640.85,-62247372.68,-70059476.61,-36823302.47,-59733477.01,-27373382.62,-11458595.09,-19915127.53,-59983410.49,-29464247.29,-26802040.17,-14730188.1,-32212249.51,-37369595.15,-61509936.98,-82075243.85,-89118292.35,-94846198.7,-95290546.89,-111151543.3,-149611319.9,-194014739.2,-39625910.4,-27631197.1,-139880487.2,-91384631.27,,
Bolivia,,,,,,,,,,,2441077.441,-32996633,-36555095.9,-7646176.912,178410794.6,-150974512.7,-60369815.09,-92703648.18,-282358820.6,-142427940.6,101731972.5,18398080.62,-18995801.45,231967057,-133569648.8,-203955280.4,-174593410,-213977814.3,-200978251.4,-31043074,-55943363.13,-293145902,-509038929.1,-533648287.3,-331014265.6,-311257622.5,-347105656.8,-653750744.6,-1094800227,-862181437.5,-759862145.7,-430158801.4,-480760233.9,-61940861.77,422223673.8,329862138.7,1031255759,987896511.6,1158261787,488671449.3,1348616865,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-891000000,-953000000,-1679000000,-1650984416,-2925335579,-3117542343,-2577347567,-2732719402,-3098270187,-4425994439,-4535683795,-4328633052,-3633957217,-5583919137,-6803798417,-3882555109,-3452356066,
