Trade balance (current US$),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Costa Rica,-24165159.92,-17743142.34,-13203079.73,-23323183.72,-18947378.24,-59381122.42,-36966052.23,-43245278.19,-34913202.72,-44316981.13,-66671693.28,-111895929.4,-79698565.45,-93277967.77,-246822163.2,-166394390.1,-144795815.7,-167934691.6,-276581035.8,-414469092.9,-499626584.9,-128771812.7,76087968.14,-37148672.1,-1211128.629,-76751919.17,3913686.925,-236816168.9,-134907768,-262361677.3,-448862419.3,-255083264.6,-396724447.1,-623238011.4,-588190251.2,-329401392.6,-411107349.6,-492653814.7,-372889917.9,919009581.9,455545470.4,-500947290.9,-883811409.9,-326906783.5,-599696930.2,-1092938581,-1384982428,-1264775951,-2910429058,171164988.1,-1109052973,
Cote d'Ivoire,61912342.4,44445592.45,55789344.31,79267541.17,102820729.9,61169917.84,78589113.88,80209673.22,163254935.4,132070395.1,96503535.8,59538810.41,83263928.44,63313897.01,224948028.1,5599089.81,256088405.6,394431645.2,-72238888.71,-279710433.1,-628490240,-599492206.1,-219706737.8,84761349.42,925027531.6,1003205237,853060897.5,384308215.3,266428911.6,290589286.9,494270124.1,317469285.6,423134807.8,390596457.7,932634883.7,804796259.9,1054020017,976407901.7,813626067,1025337015,740048877.8,883580705,1910075379,1500860289,1424421070,1221495901,1787756507,1163026038,1805006588,1856260033,1045879377,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1539094669,562096467.9,-128979183.4,-10486828.94,-1854216717,-1546052917,-3075079770,-1727322274,-1445429279,-703776159.8,-904955724.3,-2222315940,-2688965266,-2619137635,-2911479585,-3524640556,-4519654223,-5786755821,-2495581673,-310080029.1,
Cuba,,,,,,,,,,,-657873412,-799135951,-940170201.5,-1153937021,-1318322893,-1505098499,-1594581920,-1641618280,-2058740795,-2268138160,-2295740914,-2340543863,-2412946985,-2541111633,-2837376723,-2582538042,-2918816707,-2777789979,-3043123869,-3675615008,-3046843932,-1734778769,-289398447.3,-565312381.1,-368823725.7,-762357278.5,-499900000,-737400000,-1029300000,-792500000,-860700000,-915900000,-562700000,-245300000,279700000,1140300000,125700000,1585300000,-2299700000,,,
Cyprus,,,,,,,,,,,,,,,,-103891952.4,-74189492.74,-146593122.7,-198514867.2,-245953671.5,-383656111.4,-272852049.8,-287575951.6,-293066009.2,-283460897.2,-245304007.3,-104639771.9,-110507529.7,-232172635.9,-383980177.1,-313499040.4,-577516123.6,-772991786.4,-28577315.04,-29493715.36,-7205744.759,-271189563.8,-154553423.4,-90783947.63,170454650.8,78618211.47,200223813.7,-164633606.2,-165190605.9,-388557325.3,-436383711.6,-691405321.5,-1365633282,-2721546799,-1245345929,-1490463576,
Czech Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,919066496.6,1798012053,268836217.8,524817345.2,-1100851144,-2391371515,-3621749728,-2960510854,-673178891.7,-702965786.1,-1713153088,-1546285504,-1569218786,-2084334787,74475432.64,3953306040,4883166696,8662801202,9840206186,10569322772,9156403812,
Denmark,-125688526.9,-162624721.1,-303570494.8,-32295301.26,-263891334.8,-239529908.6,-261531453.3,-340925099.1,-268361181.9,-426694519.5,-615733333.3,-515869275.4,-240599772.6,-825357467.6,-1185745459,-669659949.2,-2310339123,-2116038113,-1704022051,-2466261167,-1127592754,266586180.8,-25562863.04,818042646.3,403317691.1,-147786040.5,-1095661846,1026416970,2584416549,2911001067,6248262935,7429375440,9372111131,9411928006,8059931453,7440382693,9052546260,6258611553,3671949618,8782145007,9661887147,10655068006,10149594031,13289767294,11923098750,12640343110,8720181342,7113360398,10910274944,11677022573,16427234701,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-111257537.2,-112012653.4,-154185499,-94254481.21,-69333396.07,-60088568.14,-58625600.85,-57837849.23,-66891366.05,-59182653.78,-84480731.03,-48519871.03,-30609776,-56965693.42,-114553147.9,-73238390.51,-134114707.9,-170103701.9,,,,
Dominica,,,,,,,,,,,,,,,,,,-7185185.058,-9999999.823,-27888888.4,-41703702.97,-29222221.71,-20407407.05,-15518518.24,-29444443.92,-23077777.37,-6599999.883,-10244444.26,-20329629.27,-47955554.71,-43229628.87,-34003703.1,-25544449.92,-24959252.89,-29599999.48,-32699993.5,-23699993.66,-35703703.07,-20581487.04,-23777777.36,-39733332.63,-45481480.68,-34015499.4,-39936555.22,-45164432.17,-68247326.67,-57209414.81,-91157708.52,-128889688.5,-110181481.5,-107107407.4,
Dominican Rep.,45600000,45200000,-2600000,-49400000,-85500032,-35200000,-88500000,-71700000,-88000000,-93900000,-109400000,-135400000,-95600000,-89099968,-330499968,-82800000,-288500032,-191200000,-326000000,-349400064,-648000000,-305000064,-390999936,-336000000,-479000064,-451490855.3,-557411167.4,-691119393.2,-468992370.9,-739429915.5,-697803876.9,-285713610.4,-780825070.6,-688488000,-704111111.1,-581573643.4,-537557283.9,-780685282.6,-1635729880,-1466635510,-2116336557,-1809328381,-2086933847,-71982159.33,170087983.6,-1861240478,-2870502880,-3758328286,-6299442023,-3745002787,-6080410996,
Ecuador,-26632761.03,-38782377.18,-25538337.56,-27658874.02,-51009699.02,-45021581.55,-34016306.06,-62029734.57,-85040765.14,-133063785.5,-117056112,-196093999.6,-109052275.3,24011510.16,198094958.8,-288138121.9,-167080155.5,-215103175.9,-502240882.2,-111053298.5,-255122359.5,-266127442.9,-713341883.6,33015762.44,278133454.1,621297761.3,-199095502.4,-984471788.4,-479229531.5,-659315857.6,102049046.2,383183747,581278577.7,-240115101.6,-318152637.6,-511244622.2,488234552.1,-20009847.92,-1598766000,1096525631,967463827.5,-933269000,-1854422000,-694703000,-606001000,-405105000,369847000,291997000,38924000,-1265932000,-3286824000,
Egypt,-23834734.61,-150757087.9,-234864309.1,-272549894.6,-217580166.3,-194626474.1,-157349453.1,-173816896.9,-232710278.7,-226634389.4,-350916945.4,-421576203.3,-506980363.2,-497978703.3,-1508414722,-2413414869,-1567030959,-1568145689,-2268040976,-3377143280,-2830000243,-3612162721,-3812808622,-3080326012,-4124919664,-4206889733,-3538821369,-4134877807,-6252923579,-5732341734,-5462763677,-2950283126,-1053157385,-1980792307,-2846975107,-3096431701,-3685141553,-4749262390,-8057851212,-7490415735,-6605019619,-4735982548,-3825643224,-2145091620,-1072281523,-2031877155,-1740068559,-5973809837,-9109090909,-12548166281,-10467594902,
El Salvador,-28360000,440000,3360000,-13520000,-29200000,-21280000,-47559987.2,-29480012.8,-17719987.2,-27360000,3240012.8,-23520000,12240000,-43599974.4,-140160000,-97399961.6,-29640038.4,20359987.2,-289760051.2,-5880012.8,32760012.8,-237480038.4,-193513551.5,-190070942.6,-248349846.3,-287422099.9,-165115796.2,-281417597.9,-271267105.2,-457015414.2,-608302631.6,-706695261.8,-973297491,-1023540230,-1232377143,-1531520000,-1326114286,-1298053371,-1476278629,-1538765714,-1974500000,-2182800000,-2104600000,-2393400000,-2724800000,-3166100000,-3800100000,-4505900000,-4889900000,-3197900000,-3705900000,
Equatorial Guinea,,,1530526.335,3069183.606,3073129.728,5866666.667,8966666.667,7021583.667,9742857.143,10671428.57,-6230000,-1964905.21,-6273435.92,-12351527.63,-15539029.59,-8167993.45,-5685843.684,-5887154.103,,,,,-36001729.47,-10000000,-22286949.49,-7548204.202,-21682747.87,-44994739.38,-52980876.28,-36061502.77,-49471955.48,-38722832.77,-52754201.16,-54321839.82,-61579109.42,-80366635.13,-214614283.2,-112211369.5,-326975975.7,,165492620.4,160874370.7,1014913401,602998507.3,1841715751,3600053303,5152928422,6489331130,8706016626,1486489578,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-159972072.5,-191579527.1,-291590909.1,-349968750,-403291015.8,-385707821.3,-486519925.6,-531781272.2,-422254545.5,-379559596.1,-386743099.2,-531922974.3,-599112178.9,-535746588.7,-381053658.5,-387692091,-299492682.9,-295401626,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234900560.9,-156938055.2,-411715984.5,-329711987.7,-519624303.9,-548944600.5,-561528617.1,-279618918,-204687592,-154476800.7,-538900059,-737428192,-848804344.4,-903638010.8,-1722284614,-2287038657,-973443052.2,1177933730,1283899382,
Ethiopia,,,,,,,,,,,,,,,,,,,,,,-312463768.1,-426473430,-409903381.6,-504009661.8,-532850241.5,-520821256,-593719806.8,-615748792.3,-448985507.2,-397016425.1,-682957101.4,-621197149.8,-755406375.6,-479811115.7,-459151988,-595021369.2,-578014633.4,-616426199.6,-963693617.8,-976462158.5,-957848382.7,-1090545705,-1206195560,-1676764728,-2508069160,-3442907233,-3773315749,-5176857814,-5859122632,-6261082692,
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,-2014966.249,-11837926.71,-3903997.108,3148384.764,8185800.388,-11585442.64,-6794162.053,-4351610.096,-7443032.177,-7891125.343,-7107646.452,-19291476.67,-29447406.69,-57416267.94,-29170804.37,-4380094.902,-32861864.77,-19838988.45,-36608521.49,-55402886.2,-59413320.29,-178095239.9,-76469463.75,-60963524.09,-12562349.9,-4334147.018,28246094.09,38588310.96,34957790.67,27371401.6,-64352758.46,-44185416.1,-45908183.63,-115644052.4,-55324089.88,8746355.685,85227677.62,54443443.93,41423394.4,-7717303.006,-85972000.38,-133664236.1,-44949471.86,-194060554.9,-452798615.1,-366587817.9,-612536106.3,-520064106.5,-751921060.1,-390804722.4,-379529875.3,
Finland,-59086402.4,-81258028.45,-96229138.01,-23039702.59,-173114795.8,-174661636.8,-178100290.1,-118496923.9,94555404.93,42744147.2,-190948245.2,-288914064.5,-71365702.69,-252991191.8,-957451832.7,-1787619202,-692414217.6,439722591.1,1122021661,464051289.9,-698119222.2,512537889.2,91279141.48,-5337318.531,1254451919,374136607.8,797560403.5,239415663.5,-669509594.9,-2205902730,-2158295755,-1211586531,895938412.5,3976267305,5737051793,9786220044,8981361636,9104340854,10485091233,11909226508,11131380136,11676957494,12482589874,11204288939,12332296536,8012485699,9816331113,12609527564,10205441828,3932802014,3105960265,
France,1144711468,1080135447,546483965.8,110084946.1,-391581242.1,669241534.2,43879694.74,48844255.26,-372977405.3,-1112271527,357009566.6,1747129158,1811573472,2063494402,-2626568467,3990362552,-2945916416,-129446376,5381831395,2453129818,-10881403291,-9211949306,-14590577902,-1789396678,427681453.1,-2430208790,-1497774410,-10982429335,-7623059134,-7939851943,-11043368269,-5065690036,8148698885,21001737318,19090264650,23167433303,25484164636,40853113059,37220257950,31062539953,13202413857,15211633110,22151326934,16038374718,8311759264,-13529075262,-23583029853,-39982864291,-59602299777,-47553424844,-60059602649,
French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-871531333.5,-843041915.4,-818949256.1,-741325584.3,-887838286.7,-849634466.7,-780501355.4,-930536116.2,-729509491.2,-666486367.7,,,,,,,,,,,
Gabon,2183966.688,-756246.9386,1728995.618,2640582.433,12812225.02,13368279.91,405139.9011,0,-2430555.837,1925224.289,37809225.45,53043337.06,3568732.406,8531746.744,220790020.8,34994400.9,-15482467.15,9362152.481,354547066.1,638867995.5,1415996214,875501416.8,793317509.6,603038811.8,672830465,176735075.5,-664164019.6,-82850868.44,-194059366.1,192472265.5,903534804.5,755977893.6,686874263.1,623790118.9,981690684.6,1172232796,1688609129,1282257097,-52100142.38,1002241351,1842789123,1224852668,947925660.7,1468340606,2166438680,3209591861,2875342657,3397938882,5023283766,1927680011,3340239375,
Gambia,,,,,,,-3274105.239,-3114336.72,-4528876.055,-4832502.016,-1630249.995,-2682288.964,-4131684.308,-5473818.966,-4542896.643,1260092.942,-5943015.086,-14888795.58,-45026386.17,-58616813.2,-50294918.19,-49874427.9,-33056797.06,-25596799.38,-24232686.75,-22688739.29,-17555481.76,-21774457.81,-21565433.54,-29024392.21,-37016356.69,-35783261.15,-44734475.79,-62160413.85,-55549031.34,-92145670.6,-62457517.18,-19714187.68,-27391989.24,-29481641.36,-37284954.33,-22599999.6,-30809159.66,-33948468.47,-84612897.1,-105177616.8,-87316995.65,-106179075.4,-153261986.3,-144360202.8,-156465645.9,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-444534107.1,-208486069.5,-1128952480,-671551496.4,-1291084009,-453217338.4,-589403809.5,-931432922.2,-746158538.8,-533144306.9,-509756424.3,-463837915.2,-447241967.6,-582121713.4,-852237750.3,-1142430715,-1870603447,-2720720483,-3810825523,-2066650856,-2041344486,
Germany,,,,,,,,,,,-3080151176,-4280536896,-4830325461,-3760584467,-1735317119,-8131330361,-11522504773,-12797118578,-13962253913,-31971195566,-44716069504,-31753257664,-20501185452,-23150212464,-20193393831,-14573600459,-2696191246,-2756203319,-3276269308,-7119798846,-1095748840,-6835592222,-8353162179,3478055128,7183319272,14999317592,23407850273,27825400406,29932199622,18730023439,5804311774,37297539150,90250329381,94977426637,137540121560,144244640103,163145541379,232645988848,225832204197,164633121389,179403973510,
Ghana,-88199470.87,-134399193.7,-58799647.25,-96599420.48,-68599588.46,-196976066.9,-106117881.1,-43578510.97,-7840062.357,-11956095.09,-30282240.85,-108704100.4,116545892.4,124647891.1,-100621117.1,26117004.32,-9364393.637,-33685723.43,-48656172.96,2848966.39,-30601665.3,-23953472.43,14379096.87,-17570539.45,-120305605.8,-132201913.8,-203878692.9,-331028466.1,-305398787.5,-398951310.2,-528113034.1,-565007593.3,-740125178.6,-964133858.7,-625870770,-544376003.4,-552697779.4,-1416818450,-960922683.5,-1352950486,-918043796.6,-1039523737,-754962095.9,-1214457833,-1868743082,-2709361642,-3167850194,-4016099881,-5549995352,-3379979454,-3803695504,
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,-340045201.4,-361655724.5,-387423919.9,-477868507.2,-657447202.7,-856689807.6,-646513217.2,-687118075.9,-876497740.5,-1016078385,-1068864789,-1153602622,-1341916097,-2124632365,-1985945544,-2233131533,-2346694489,-2692178368,-2853947281,-3090603004,-3670425231,-2409868230,-4490569940,-4520514060,-3876317178,-4320005526,-4519512686,-4355823250,-5888923493,-7858414720,-11631004775,-12047458845,-11791691413,-10888431778,-9432925575,-12626626953,-14349671235,-13339649711,-14915227259,-15281771459,-17265778029,-17568594744,-20355246105,-24319566562,-23549049634,-22302731674,-28331838493,-41071791408,-49166341694,-36531912631,-26727504136,
Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,,,,,,,,,,,,,,,,,,-5592592.494,-5703703.603,-16592592.3,-26777777.3,-39407406.71,-40703702.98,-32777777.2,-29370369.85,-32925925.34,-29474073.55,-34833338.64,-33074073.49,-42814814.06,-45003702.91,-50774073.18,-38951857.09,-47700005.08,-36999999.35,-28899993.56,-61599998.91,-78518517.13,-95777776.09,-48259258.41,-79181468.6,-87153525.5,-101841390.8,-135648390.2,-126870004.1,-252510713.3,-247017463.4,-254768629.6,-272571740,-191782692.2,-223050034.6,
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,-19800000,-16600000,-18700000,-20800000,-35100000,-37600000,-2700000,-48000000,-27100000,6400000,15100000,-28000000,7800000,17400000,-103000000,-66000000,-262400000,-98700032,-351300096,-310800000,-215299968,-560499968,-340000000,-140999936,-203500032,-100695598.6,105570773.5,-456599961.6,-457366493.3,-434552547.8,-291809724.3,-340034590.1,-963717955.4,-954501929.5,-951801330.2,-904528571.4,-753210363.6,-1003233146,-1567110868,-1529597608,-1688989243,-2455618108,-2791125826,-3158820404,-3625256402,-4337275378,-5125607849,-5720068289,-5748614754,-3440396199,-4483647461,
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,58052582.79,18937368.96,-100187390.6,31802009.95,-63106736.54,-7679081.455,-39371681.15,-51329514.12,-105224303.5,-125830092.1,-199254038,-124596174.2,-202286319.7,-152089168.4,-132776795,-40609918.88,-69476070.48,-3123534.269,-84808035.86,-37647492.7,-94149532.71,-192223731.4,-200454545.5,-194106729.9,-200616051.5,
Guinea-Bissau,,,,,,,,,,,-20619221.07,-23682857.14,-27428571.43,-30983050.85,-33810728.74,-22627384.69,-25469845.72,-26785803.55,-34737308.8,-40604229.61,-32260328.92,-37948717.95,-55359342.92,-42930153.32,-52456131.35,-68981251.2,-34639699.46,-47960000,-63690000,-79500000,-66110000,-71510000,-102315000,-56490000,-42070000,-59620000,-57630000,-50665776.69,-44180168.21,-40300000,-42662801.23,-68364898.52,-43580172.41,,,,,,,,,
Guyana,-13999964.81,-1691662.415,22924942.38,29516592.48,6999982.407,-5117646.915,-11823529.08,-5882352.776,7100000,9500000,-1450000,10500000,-3714285.883,-51285716.61,8363636.182,-125013.3284,-113280000,-70000025.6,-80025.6,-49959987.2,-74520012.8,-133392870.8,-83400000,-91499989.33,-31499991.97,-62558151.64,-34860471.01,-39693870.25,-17800012.8,-27316178.06,-68025331.04,-74500009.7,-92992592.53,-87773035.05,-70194954.11,-67794799.77,-42993881.76,-73539423.74,-85943425.84,-55874761.75,-104111195,-114367737.9,-91668339.29,-74022602.76,-77525362.7,-285273822.5,,,,,,
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-666923101.4,-367271983.6,-488809172.8,-388696809.5,-527796173.5,-521936293.3,-518478518.7,-628248194.6,-713489144.3,-759257989.3,-834179277.3,-767452991.5,-905617204.8,-1048996130,-1200573523,-1489934024,-1534748393,-2015874582,-1923946637,-3032786061,
Honduras,-5500000,1400000,1600000,-10800000,-10400000,2300000,-8000000,-12100000,-7800000,-19300000,-44800000,-6000000,8500000,-8000000,-123500000,-101000000,-60000000,-74000000,-79500032,-83000032,-174999968,-171000000,-39999968,-94500032,-210000000,-173500064,-65500000,-119000000,-104721033.5,-118965517.2,-83657995.23,-93667653.91,-140416738.5,-314144964,-344044334.5,-171324296.1,-206334459.5,-262585551.3,-398301329.4,-803484320.6,-884479752.9,-997244040.2,-974874409.6,-1157712774,-1651431567,-1802942987,-2295157449,-3467657726,-4594631408,-2683250221,-3193704066,
"Hong Kong, China",-126978065.9,-149812760.7,-177553745.8,-182070319,-218814516.1,-83999787.71,-88374776.66,125366528,146850151.6,282975292.1,293700303.2,187538795.9,453609206.7,506946457.6,449958067.4,561885386.4,1375197549,1027026988,185751769.8,291244486.4,-137859521.6,-459625735.1,195224976.2,552223822.2,2704528012,3612244898,3776368064,5305975891,5377658212,7940000000,6643774069,6132672758,5511561814,8129395036,1668348861,-6413271572,-2303520057,-5910037135,927784472.4,8599548824,7516589300,7486327937,13583425048,14646675442,14710195172,22091119493,21649666359,22423491460,22095726101,15610309864,12594604335,
Hungary,,,,,,,,,-36300000,114300000,-128216666.7,-375733429.9,86083966.7,400360795.8,-424748663.1,-811014251.1,-539458809.4,-631053423.9,-1511803754,-658909499.7,-478444632.3,-239836806.1,185003867.3,401843570,642826663.9,427008063.8,-336398843.6,-125926977.3,766788435.8,971851015.8,863365240.1,-245003907.2,-9411530.989,-3166370756,-2661789596,137006496.1,305653579.1,567950496.8,-608838550.7,-1214252833,-1600128760,-544407696.7,-1230066314,-3210417286,-3669796749,-2324392169,-1029616427,1213331458,700561645.4,6151852065,8362729634,
Iceland,-10610121.19,7918070.407,9831516.114,-4058241.793,-6293171.988,6693953.376,-6368446.405,-48506768.48,-37024738.35,8476345.501,8995167.304,-42373178.38,-14699161.47,-23016098.79,-144606629.6,-115615177.2,6407110.38,-16565273.91,73693121,33055451.83,660229.6982,-50162773.46,-148620972.1,59283339.52,-814933.5672,5452504.451,151915191.9,-55950665.79,-53225282.42,126336725.8,83677920.67,-83698073.91,-5257638.268,193929040.6,324453136.7,253609171.7,44561440.63,38966505.9,-367989200.4,-410064940.4,-633046457.3,-83654948.17,138465321.6,-335839897.3,-745169927,-1997256622,-3032501282,-2179110435,-466462797.7,1019961116,1261809476,
India,-962834186.8,-644028355.4,-793154015.2,-794327812.3,-1092187544,-1133977320,-1160000000,-958666666.7,-480000000,-185333333.3,-59541136.31,-224806305.3,229315960.9,-444016682.7,-1188797099,-981284192.3,584795321.6,143259801.1,-374390703.4,-2166100648,-5774288171,-5076770402,-4317194289,-4386847195,-3060074357,-5560323337,-4551501776,-3839331164,-4210141075,-3365326863,-4493724502,2043009.435,-1855863851,47185602.01,-988260623.1,-4251146494,-4554379026,-5147343723,-7003703299,-8770512800,-4245869487,-4255020245,-5046977702,-7746193821,-12662104268,-22898864984,-30058549285,-49882665615,-62137878458,-71804247267,-56018099748,
Indonesia,,,,,,,,-403611951.4,-249030148.8,-400194880.4,-146687702.6,-100966948.4,160245784.7,413678708,2541367957,959750242.7,1182182269,2734270568,1741166367,4414583907,10897372115,4639854121,1179626628,-1295777726,3074547573,1529651301,-800117999.4,1166894760,2384648630,2921596161,1825254269,2172617789,4080454031,4718460148,2026749033,-2696967573,-1399776185,-594109234.7,9306013931,11318191577,17356482834,13270665216,12318359165,17229522176,11999661219,11853825746,19731671774,17471008752,5383940792,15141250094,11548815623,
Iran,,,,,,84488448.84,33003323.99,-26402680.82,-80528062.94,-84488448.84,-62046153.93,545214531.6,625742486.4,4039009946,11934305721,4654151991,8084284914,3777792457,2756281949,11158893772,-11398831936,-12789409253,-2187708178,-11246351565,-5856670088,-7110380594,-11753914948,1775887618,-6836327199,-8230774113,-9992142829,,,4547856117,11623406736,7804640812,6494117822,2259073713,-2093046658,6849959950,5342918285,1981611503,4435537091,2072032508,5091137066,16126133581,17911032021,30438651366,,,,
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,-111447030.3,-115817517.3,-156655090.9,-182185198.8,-217148883.1,-272054647.6,-196909368.5,-121186845.2,-223325723.4,-349494730.5,-355712555,-377665405.6,-354687118.8,-526694043.7,-1128815402,-609321784.6,-777785024.2,-1053176273,-1480392255,-2945965786,-2909857657,-2900268069,-1652878949,-748375350.5,-286937337.1,123038476.7,377248429.2,1491398305,2359104336,2231001040,2295527520,2489810067,4227439755,5479581758,5581374516,7819653867,8712913136,10468089871,10251976297,13381812730,13000651877,16290043819,21133996845,25362178837,27709513891,23714362019,21492798225,23351042056,23882326450,34542413929,39433243193,
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,22796484.03,10875173.45,27495016.51,79114535.17,46176408.54,-478668269.2,-387334630.1,-538703295.8,-714002044.1,-992574270.2,-1318289488,-1247860093,-1369922048,-2423778650,-3550913866,-4278623381,-3741055733,-2889282523,-3599573176,-4215079553,-3388371847,-4051317788,-4801047174,-4946838110,-3789092489,-3282860371,-3832401618,-6348141087,-5731332344,-3974639741,-5612041924,-9163266775,-9013460258,-10627538603,-11460597185,-7813900747,-7895478944,-5389343155,-2981500487,-3055777036,-370343119.2,-3038733148,-3450968804,-869546123.3,35698348.95,-407754010.7,713676556.4,-2200530659,-3149386845,4767184599,4436480342,
Italy,-147659410.1,-31678641.75,-269239903.4,-1257336656,66221153.9,1469777785,1245488592,782591646.5,1730255958,1259807944,279739777,978152309.6,1199535193,-3229823979,-7472462042,196322657.2,-2432658758,2518542901,6682409309,4288976928,-12335066697,-8320218021,-5329706514,2221443141,-1765042980,-1756616976,8133913495,3446818046,585093722.1,20462884.56,2214770524,1170126424,862058130.4,32715393134,36523054755,43466302151,59779520642,47013415189,39467714955,23179522693,10526073337,15542013423,11477790326,8178555305,12187144959,-1078072924,-15269193279,-5322745327,-19198154319,-11204526543,-39354437086,
Jamaica,-33616090.77,-12725546.39,-14822207.86,1055554.734,-49569968.54,-34859984.62,17359992.34,-8699170.457,-56759952.64,-79799967.66,-58800022.43,-109629939.6,-155447843.2,-182618706.2,-242990212.5,-296010266.5,-262350232.2,44990081.06,85193222.83,-20002497.56,729736.9545,-256705308.1,-349159732.5,-265342817.9,-143172207.9,-206510468.8,81437310.11,10990237.66,-159076373.1,-387004158.1,-175138602.3,-48622056.95,-33418461.95,-402748868.9,-305057197.9,-596455141.4,-750345551.4,-954616833.1,,,,,,,,-2015312908,-2343967219,-3308265151,-4162188743,-2246776738,-2523896609,
Japan,192728268.8,-868829320.5,85108690.49,-582725723,-160858112,1257542633,1634697944,252505110.8,1610311270,2714323445,2566859664,6210958589,6971789791,23444489.25,-3553206221,75270042.69,4341347462,11131766938,16663151475,-9379301193,-9786946152,8702895403,7424620609,20492464161,33833005294,46279845625,78809136968,73017716706,64292553279,45208039175,28821934838,56025424125,82096275364,96813965744,96695164166,73971184228,23339042151,47586223427,72143755830,69288225110,67883506317,26118890239,51136472390,68793748140,88970635808,63111288537,54587743661,73308762335,7116941921,15352126374,62571289832,
Jordan,,,,,,,,,,,,,,,,,-809680013.7,-1043833728,-1206707566,-1701444730,-1756146681,-2406841932,-2512113750,-2240834639,-2010065936,-1827557808,-1615585514,-1664898850,-1332916546,-774484141.3,-1238790319,-976697323.7,-1655884411,-1671546931,-1410111552,-1422231762,-1752750344,-1611613372,-1539901469,-1454664839,-2256840648,-2245356800,-1839443680,-2137179120,-3451198913,-5224400627,-5119182008,-6420592461,-6812455967,-5385352113,-5896152175,
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-330440325.8,-2070231566,-2136190377,-932060412.5,-154812540.2,-559875393.5,-999578136.3,395627353.1,1372843340,-234603908.4,-12417865.01,1655988768,3707426030,5036301174,8645516878,7013769074,26830263393,9481160000,21971910765,
Kenya,-20369996.52,12585999.56,16603984.55,28447988.88,41720001.61,6999997.2,17919992.83,-11199995.52,1399999.44,20999991.6,-13439994.62,-116480233.4,-45079981.97,-31906819.86,-214479634.2,-152794766.3,24142299.52,151270576.2,-517247178.9,-365202245.8,-463735299.1,-230339872.9,-315199900,-135299900,-328400200,-297400300,-292799900,-405899900,-437199900,-586491994.5,-484139140.3,-123458299.9,-33714950.75,284643206.4,201179944.9,-593650985.8,-832476567.9,-1139014819,-1206200000,-841700000,-1286121781,-1309519534,-707000000,-888053221,-1007050878,-1397997975,-2226005094,-2974440126,-4308111633,-3809752213,-3330663924,
Kiribati,,,,,,,,,,,,,889820.3593,4217434.727,39049518.89,21915172.14,8509116.461,6819693.945,3933844.569,720992.6224,-24239353.22,-27192599.4,-31849071.91,-25696396.4,-19061869.24,-22319994.41,-25778074.87,-26231620.22,-29603093.99,-31351415.47,-38529388.81,-37213740.46,-34391157.46,-23804929.96,-19109364.97,-34773239.44,-35292276.39,-29018851.12,-18402648.42,-28516129.03,-27249536.18,-27981793.73,-33195697.06,-60315195.54,-68686571.55,,,,,,,
"Korea, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Rep.",-367455815.9,-227721516.2,-318890756.4,-427745059.2,-257775308,-229811027.4,-384713182,-512377277,-775523035,-913107408.4,-907071097.4,-1045081377,-515920486.7,-433068889.3,-2146265483,-1829338843,-590289256.2,-319628099.2,-1911157025,-4627479339,-5043214856,-3859154516,-1926191388,-931098936.5,-256582049.2,571366175.5,5636054229,9900312435,13389475987,4746671432,-2836413473,-8185723052,-3820534170,1416024020,-3142946045,-5650809703,-19375473926,-3116504956,44455345930,29781127505,15238912075,11415038072,8496590973,14602764327,30018422799,22828672421,13199237529,15849277920,-10967923415,30899736086,28298877221,
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1436464088,-1803728070,-2337776476,-2091484839,-2376050331,
