Working hours per week,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
New Zealand,,,,,,,35.26730816,35.35576923,35.20384568,35.0134606,34.80769231,34.47692402,34.62115479,35.65576876,35.54807692,35.41538415,35.25384521,35.00961538,35.08461585,35.34230863,35.1942303,34.94807786,34.94038508,34.85769184,35.12692261,34.80961492,34.36346201,34.06538508
Nicaragua,,,,,,,,,,,,,,34.38461538,,,,37.05769231,,37.36538462,,,,,,,,
Norway,30.37884521,30.19615291,29.97884662,29.86922983,29.77307598,29.65769137,29.58076829,29.04999953,29.10192402,29.04807692,28.89615338,28.85192402,29.04038415,28.97884662,28.94038508,28.6115394,28.51153799,28.41346154,28.37692261,28.33461585,27.98461445,27.48269184,27.1942303,26.89615338,27.25577017,27.30769231,27.08076829,27.13653799
Pakistan,,,,,,,,,,,,,,,33.13461538,,,,,,,,,,,,,
Panama,,,,,,,,,,,32.88461538,,,,,,,33.67307692,,33.34615385,,,,,,,,
Paraguay,,,,,,,,,,,39.01923077,,,,,,,36.34615385,,,,,,,,,,
Peru,,,,,,,,,,,,37.76923077,,,,,,38.55769231,40.21153846,,,,,,,,,
Poland,,,,,,,,,,,,,,,,,,,,,38.23076923,37.96153846,38.05769231,38.15384615,38.13461538,38.34615385,38.17307692,38
Portugal,,,,,,,37.36538462,37.67307692,37.63461538,38,37.73076923,36.30769231,35.63461538,35.57692308,35.34615385,36.48076923,35.53846154,34.84615385,34.59615385,34.84615385,33.94230769,34.01923077,33.98076923,33.5,33.90384615,33.69230769,33.80769231,33.23076923
Slovak Republic,,,,,,,,,,,,,,,35.64615338,36.14230816,35.375,35.26538555,34.57307786,34.77692355,34.82884568,34.59615385,33.58461585,32.17307692,32.83653846,33.48846201,33.63461538,
Spain,36.77692355,36.12115479,35.71730863,35.10384662,34.24230722,34.05192214,33.91346154,33.74615479,33.67884709,33.45000047,33.48076923,33.64807598,33.49230722,33.34038368,33.33076829,33.32500047,33.24038462,33.23846201,33.29999953,33.30961492,33.28076876,33.20384568,33.09423124,32.80384709,32.50577017,32.15192355,31.82115291,31.77307598
Sri Lanka,,,,,,,,,,,,,,,44,,,,,,,,,,,,,
Sweden,29.16923171,29.00769278,29.27884615,29.45769325,29.5,29.57884568,29.54038415,29.73461445,30.1115394,30.08846107,30.01730816,29.7634606,30.10192402,30.71000085,30.92249944,30.94538527,31.02865366,32.21365356,31.65403865,31.01826829,30.27730854,29.35711435,29.50730779,29.98173171,30.28096126,30.90250103,30.3036546,30.03307636
Switzerland,34.70384568,34.33461585,34.12307739,33.84230863,33.47884662,33.35961445,33.19615291,33.17307692,33.16269156,32.87307739,32.69134521,32.64692336,32.83596098,32.77115338,33.17211445,32.73846201,32.20000047,31.95384568,32.09230863,32.5065378,32.39615338,31.65769137,31.33269325,31.52500094,32.09999906,32.10384662,31.87115479,
Thailand,,,,,,,,,,,,,,,42.84615385,,,,,,,,,,,,,
Turkey,,,,,,,,,,,,,,,,,,,,,,,,,36.88461538,36.88461538,,
United Kingdom,34.08653846,32.98846201,33.27500094,33.01153799,33.3192303,33.95384568,34.00577017,33.79999953,34.57307786,34.34230863,34.05192214,33.99019212,33.31538508,33.1942303,33.46346107,33.51153799,33.49230722,33.47096135,33.35384662,33.13077017,32.91153893,32.96730863,32.60961445,32.24615479,32.15192355,32.22692402,32.09038368,32.11538462
United States,34.80769231,34.63461538,34.55769231,34.92307692,35.26923077,35.23076923,35.09615385,35.19230769,35.25,35.48076923,35.13461538,34.90384615,34.92307692,35.09615385,35.25,35.38461538,35.23076923,35.42307692,35.44230769,35.46153846,35.23076923,34.82692308,34.75,34.55769231,34.59615385,34.51923077,34.55769231,34.5
Uruguay,,,,,,,,,,,34.38461538,,,,,,,33.51923077,,33.11538462,,,,,,,,
Venezuela,,,,,,,,,,,,,,,,,,33.51923077,,32.17307692,,,,,,,,
