Total 15-24 unemployment (%),1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
Australia,,,,,,15,14.69999981,13.19999981,11,12.89999962,17.29999924,18.60000038,18,16.39999962,14.69999981,14.89999962,15.5,14.5,13.19999981,12,13.5,12.80000019,12.10000038,11.5,10.69999981
Canada,12.69999981,18.10000038,19.10000038,17.20000076,15.89999962,14.69999981,13.10000038,11.39999962,10.89999962,12.30000019,15.69999981,17.10000038,17.10000038,15.80000019,14.80000019,15.39999962,16.20000076,15.10000038,14,12.60000038,12.89999962,13.60000038,13.60000038,13.30000019,12.39999962
Czech Rep.,,,,,,,,,,,,,8.5,8.600000381,7.699999809,7.199999809,8.600000381,12.39999962,17,16.89999962,16.60000038,16,17.60000038,20.29999924,20.70000076
Estonia,,,,,,,,,,,,,,,,,,,,23.5,21.70000076,16.89999962,19.5,20.70000076,15.10000038
Finland,9.199999809,9.800000191,10.5,9.800000191,9.100000381,9.699999809,8.899999619,7.800000191,8.100000381,8.699999809,15,24.5,30.60000038,31.20000076,26.89999962,25,23.29999924,21.70000076,20.20000076,20.29999924,18.79999924,19.89999962,20.60000038,19.5,18.79999924
France,17.5,18.79999924,19.60000038,23.20000076,23.20000076,22.29999924,21,19.39999962,17.5,16.60000038,18.39999962,20.60000038,24,25,23.5,24.79999924,24.89999962,23.29999924,21.89999962,18.60000038,18.10000038,19.20000076,21.10000038,22.5,22.5
Germany,,,,,,,,,,,5.400000095,6.199999809,7.599999905,8.199999809,8.199999809,9.399999619,10.19999981,9,8.199999809,8.399999619,8.199999809,9.600000381,11.30000019,13.10000038,15.19999981
"Hong Kong, China",,,,,5.800000191,5.599999905,3.700000048,3.400000095,2.799999952,3.299999952,4.099999905,4.300000191,4.599999905,4.5,6.800000191,6.400000095,5,10.30000019,13.19999981,10.60000038,11.30000019,15,15,12.19999981,10.80000019
Ireland,,,20.10000038,22.20000076,23.5,25.5,24.5,23.89999962,20.5,17.60000038,21.70000076,23.10000038,25.20000076,23.29999924,19.10000038,18.20000076,16.10000038,11.60000038,8.5,6.400000095,6.099999905,7.699999809,7.800000191,8.100000381,8.300000191
Japan,4,4.300000191,4.5,4.900000095,4.800000191,5.199999809,5.199999809,4.900000095,4.5,4.300000191,4.300000191,4.5,5.099999905,5.5,6.099999905,6.599999905,6.699999809,7.699999809,9.100000381,9.199999809,9.600000381,9.899999619,10.10000038,9.5,8.699999809
"Korea, Rep.",,,,,,,,,,,,7.5,8.899999619,7.199999809,6.199999809,6,7.5,15.60000038,13.69999981,10.60000038,10.10000038,8.399999619,9.899999619,10.30000019,10
Latvia,,,,,,,,,,,,,,,,32.20000076,24.79999924,25.70000076,24.60000038,22.70000076,22.20000076,20.70000076,18.39999962,18,12.69999981
Lithuania,,,,,,,,,,,,,,,,,,22.39999962,26.5,29.10000038,30.20000076,22.29999924,24.10000038,21.70000076,15.10000038
Netherlands,,,,,,,14.80000019,13.60000038,12.19999981,11.19999981,10.5,7.900000095,9.699999809,10.30000019,12.80000019,11.60000038,9,7.699999809,6.699999809,5.5,5.900000095,6,7.800000191,9.199999809,9.5
New Zealand,,,,,,7.800000191,8,10.80000019,13.5,14.10000038,18.79999924,18.5,17.20000076,15,11.89999962,11.80000019,13,14.60000038,13.69999981,13.19999981,11.80000019,11.5,10.19999981,9.399999619,9.399999619
