Total above 60 (%),1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Ethiopia,4.800650936,4.463713849,4.25296022,4.388788569,4.501019033,4.595677513,4.657008105,4.633373934,4.619717143,4.619002492,4.714950775,4.878114117,5.059015969,5.186155013,5.368456152,5.686816167,6.12196809,6.678883426,7.374307481,8.300219676,9.583342922
Fiji,4.166666667,4.166666667,3.807106599,3.455723542,3.861003861,4.506065858,4.437400951,4.513399154,4.834254144,5.071521456,5.867665418,6.763285024,8.079625293,9.496567506,11.16121759,12.70718232,13.50762527,14.03887689,15.625,17.69815418,19.56043956
Finland,10.17456359,10.36599764,11.15124153,12.24802805,14.15852334,15.53480475,16.35641079,17.4250153,18.46801684,18.95437635,19.85308332,21.36589088,24.69135802,27.0718232,28.80800728,30.32164799,31.15079365,31.13361056,31.387525,31.71266679,31.86994857
France,16.24037864,16.34599876,16.8757526,17.5551546,18.14547102,18.31819302,17.28452271,18.28849973,19.32056086,20.33585628,20.69373742,20.88338933,23.17750742,25.24296155,27.0845526,28.89595086,30.37473862,31.57172681,31.88238258,32.29486876,32.56243535
French Guiana,8,10.71428571,9.375,7.692307692,6.382978723,5.357142857,5.882352941,5.882352941,5.172413793,5.714285714,5.454545455,5.445544554,6.86695279,7.633587786,9.621993127,11.49068323,12.99435028,14.28571429,15.01210654,16.01830664,17.31601732
French Polynesia,3.333333333,4.285714286,3.846153846,4.395604396,3.669724771,4.6875,4.635761589,4.597701149,5.670103093,5.581395349,7.172995781,7.8125,8.888888889,10.7266436,12.41830065,14.73354232,17.9331307,19.7640118,20.40816327,22.28571429,25.21246459
Gabon,11.4893617,11.29707113,11.11111111,11,10.94339623,9.932659933,9.3979442,8.745247148,8.081896552,7.267709292,6.720647773,6.2911485,6.462358428,7.012195122,7.64904387,8.455114823,9.237536657,10.12014787,11.0817942,12.44220261,14.11812298
Gambia,4.651162791,4.982206406,5.642633229,5.135135135,5.128205128,4.660194175,4.715447154,4.761904762,4.581005587,4.709141274,4.831288344,4.908376963,4.857142857,4.937027708,5.156950673,5.4501413,5.961960497,6.571047365,7.1801166,7.965860597,8.851674641
Georgia,14.90929705,13.59375,12.18457102,11.76864672,11.98215424,12.3904626,12.22397476,12.81905842,14.98168498,16.15066062,18.38886546,18.07390817,19.13229018,20.73947111,23.04020101,25.71355104,26.92409415,27.91586998,28.81355932,30.01760563,32.43574051
Germany,14.6001521,15.78670459,17.27301443,18.75255058,19.87104863,20.4280848,19.28495702,19.92533951,20.41594803,20.81031082,23.1964227,24.87016454,25.9773813,27.87755855,30.27654124,33.59282344,36.54708232,37.52230035,38.05870894,38.7898098,39.53336643
Ghana,4.116465863,4.232895646,4.344624448,4.418130889,4.440883598,4.500450045,4.554114125,4.659387975,4.770176376,4.946361264,5.186891961,5.444256834,5.753739931,5.945925871,6.338147259,6.923935972,7.662758364,8.531613866,9.528670667,10.62839229,11.80191538
Greece,9.965635739,10.77212806,12.06048242,13.23821775,16.26848692,17.38505747,17.44451359,17.80104712,19.974417,21.3683224,22.35928363,22.97749254,24.27792185,25.61711952,27.33073378,29.12896931,31.58878505,33.85179226,36.06292135,37.41853729,37.59597806
Grenada,6.666666667,7.317073171,6.818181818,6.451612903,8.510638298,7.692307692,8.988764045,7.920792079,10.41666667,10,9.900990099,9.803921569,7.843137255,10.28037383,10.09174312,14.54545455,14.81481481,16.82242991,19.41747573,21.78217822,28.57142857
Guadeloupe,6.666666667,6.779661017,7.299270073,6.600660066,7.384615385,8.536585366,9.509202454,10.4519774,11.42857143,12.83950617,13.75291375,16.7032967,17.94871795,19.57894737,21.8556701,25.0513347,27.69857434,29.41176471,29.3877551,31.48148148,33.12368973
Guam,0,1.612903226,1.492537313,2.739726027,2.352941176,3.191489362,3.846153846,5.833333333,6.060606061,7.482993197,8.387096774,8.982035928,11.11111111,12.56544503,14.85148515,16.58767773,18.34862385,19.82378855,20.51282051,21.09704641,22.08333333
Guatemala,4.258023514,4.255319149,4.395073654,4.51762719,4.465768592,4.542525773,4.646522235,4.952116935,5.354136267,5.677161419,5.913786961,6.114258735,6.448247078,6.711864407,6.920568238,7.280847007,7.846210585,8.717992635,9.948969341,11.53963299,13.34376478
Guinea,8.100878869,6.874780779,6.051873199,5.615050651,5.413846955,5.402726146,5.425853869,5.335105373,5.173255246,4.907729339,4.855643045,5.063977445,5.154039915,5.387148527,5.673969551,6.022824725,6.42793726,6.952329941,7.662985045,8.565647482,9.69302636
Guinea-Bissau,5.791505792,5.123674912,5.059021922,5.175292154,5.481727575,5.755395683,5.755395683,5.658324266,5.680705191,5.574614065,5.36809816,5.434782609,5.416920268,6.05078336,5.956416465,5.925925926,5.638801262,6.503772907,6.949934124,7.346690953,7.85030951
Guyana,6.619385343,5.761316872,4.929577465,5.279503106,5.225988701,5.457025921,5.670103093,5.974025974,6.550802139,6.719367589,7.001321004,8.125819135,9.305373526,11.25827815,13.82550336,16.55266758,19.21458626,21.57434402,22.8748068,24.83443709,25.2688172
Haiti,5.588326607,5.234708393,5.401912639,5.732335049,6.045820959,6.259720062,6.290634335,6.060131538,5.908835115,5.94072001,6.162562146,6.386822529,6.438947782,6.82606315,7.268384235,7.895158705,8.5790072,9.412188965,10.84462262,13.16367997,15.57535839
Honduras,6.186953598,5.413271246,5.14228657,4.806465334,4.830917874,4.924364339,4.760594386,4.935064935,5.060191798,5.280114552,5.60462502,5.832849681,6.208163801,6.832001908,7.597153804,8.552564754,9.721692718,11.08601373,12.92999136,15.16311585,17.65180227
"Hong Kong, China",3.795546559,4.173354735,4.814573845,5.662422108,6.441795587,8.828213879,10.0456621,11.26992853,12.6227209,13.86967015,14.80203959,15.69083249,18.34771538,21.72502366,26.26931567,30.75668214,33.56549365,35.80927279,37.40403921,38.70779297,39.4596475
Hungary,11.31934033,12.36641221,13.98097146,15.63023554,17.19868447,18.29488275,17.16954694,18.13197202,18.95986106,19.63421715,20.2369297,21.28820961,22.43281187,24.45817298,25.63735026,25.80344184,26.72205279,28.51950828,31.03598217,32.18581044,33.04980414
Iceland,10.48951049,10.75949367,11.36363636,11.45833333,12.31527094,12.90322581,13.15789474,14.04958678,14.90196078,15.29850746,15.35714286,15.54054054,16.66666667,18.13031161,20.4851752,22.97650131,24.87179487,27.08860759,29.35323383,31.35802469,32.92383292
India,5.392380963,5.076722569,5.199926837,5.252376056,5.463295013,5.630912604,5.823702239,5.961988965,6.135846702,6.358082524,6.693797766,7.022884829,7.546779858,8.653416721,9.839865304,11.09242535,12.43507506,13.9231103,15.64192149,17.52955577,19.55851972
Indonesia,6.226830849,5.728800219,5.240761237,5.085642293,5.203513483,5.3667154,5.446061276,5.658250537,6.194964653,6.889223089,7.680803593,8.349907852,8.938701256,10.00032761,11.6628707,13.6820276,15.98093456,18.37145228,20.71773997,22.98956811,24.84875621
Iran,8.254005794,7.234911987,6.48728345,6.079723539,5.759416768,5.494241843,5.408360456,5.535360212,5.451757324,6.2970227,6.681214875,6.948251985,7.128681221,8.038714712,9.549911033,11.45949296,13.63621202,15.8425374,18.9425404,23.76779961,28.08868265
Iraq,4.511278195,4.822908817,5.456971314,6.134969325,6.376101861,6.316577896,5.911716466,5.331510595,5.011616329,4.945159752,5.079107505,5.064277367,4.735119331,5.495179179,5.806900666,6.34803428,7.436411221,8.695652174,10.0795756,11.47162213,13.02662833
Ireland,14.78612327,14.85792537,15.80804517,15.472879,15.70219966,15.50802139,14.84857395,14.49152542,15.13513514,15.24390244,15.13797635,15.14572384,16.08193506,17.39664347,18.83015935,20.59590317,22.46545846,24.82674983,27.35042735,29.19446705,30.10325655
Israel,6.195393169,7.08976558,8.041627247,9.356725146,10.63168795,11.76645815,11.76626826,12.42992932,12.34485816,13.06532663,13.21281841,13.19880419,14.56617243,15.95092025,17.13425647,18.09784468,19.08016054,20.50165837,21.86783614,23.08285907,24.2629108
Italy,12.02821033,12.87836294,13.94465764,14.98718048,16.48300161,17.68725981,17.36404646,18.95469648,20.89861226,22.73712548,24.40382393,25.21058555,26.64980532,27.79024487,29.39676864,31.91102966,34.78757347,37.44518008,38.94878936,39.33650108,39.0940156
Jamaica,5.765124555,6.286454958,6.629834254,8.068181818,8.453718566,8.445106806,9.282700422,9.360034828,9.72927242,9.566274828,9.933774834,10.26986507,10.72474378,11.52189519,13.05575159,15.46247818,17.75766017,19.46778711,20.37628683,21.44927536,23.04250559
Japan,7.696115719,8.082067176,8.824192216,9.636821654,10.58325674,11.69962103,12.83959074,14.64501935,17.41699813,20.37276191,23.31357584,26.50885067,30.47970015,33.04051959,34.50316988,35.99937081,37.89429759,40.73399981,42.52447521,43.68462862,44.18147121
Jordan,7.415254237,6.636500754,6.13154961,5.420054201,4.744300678,4.287190083,4.627133872,5.136733186,4.734091608,4.112453532,4.718730682,5.391804457,5.547828775,5.878970821,6.541683287,7.800717023,9.645966338,11.9037151,14.2932102,16.94402421,19.08016795
Kazakhstan,10.1894674,9.158013262,8.254127064,8.053409473,8.200472958,8.539087372,8.217158177,8.307984791,9.601887706,10.01569859,11.16089341,10.28105048,10.20822753,11.33210559,12.85423891,14.46611065,15.51084309,16.80614467,18.143699,19.89214089,22.37225459
Kenya,6.33640553,6.074498567,5.86130306,5.629801115,5.316028091,4.933234421,4.574801697,4.291168236,4.164710902,4.179397643,4.147318873,4.017757427,4.140665149,4.468900758,4.816081793,5.144862086,5.493931674,6.053704322,6.931382793,8.05598523,9.295164501
"Korea, Dem. Rep.",3.9330458,3.364136642,2.71282426,2.313311688,2.428581456,3.403646319,4.652511892,6.22763446,7.793110295,9.535868865,11.6447944,13.350051,14.30596082,13.60655738,15.10301173,16.64743105,19.90356494,22.56215661,22.70811799,23.80818507,24.69261461
"Korea, Rep.",5.205351101,5.65975339,5.98348558,5.318774216,5.41701126,5.601797183,6.054619718,6.804266245,7.686938719,9.242380131,11.2465541,13.31230947,15.59523319,18.44851789,22.77063627,27.08148088,31.12359093,34.8547118,37.37049097,39.77736549,40.79678744
Kuwait,3.921568627,4.04040404,3.597122302,2.345415778,2.55033557,2.678571429,2.32389252,2.034883721,2.055114433,2.144927536,2.648114901,3.075213042,4.062909567,5.419010956,7.669376694,10.45112782,14.1118652,17.95774648,21.45681582,23.75942834,24.94274809
Kyrgyzstan,12.42093157,11.30983693,10.12891344,9.525660964,8.971332209,8.484848485,7.743179939,7.699975081,8.284023669,7.930283224,8.193743693,7.315204902,7.262569832,8.170212766,9.777489037,11.60238319,12.97569922,14.67903636,16.32082414,18.42948718,21.13064961
Laos,3.841536615,4.235044997,4.566854991,4.859656473,5.089153046,5.249343832,5.653382762,5.689277899,5.587256301,5.448118112,5.386893743,5.409083177,5.546923555,6.032152511,6.615243823,7.422630561,8.358748447,9.493873202,10.6835443,12.23502081,14.3495254
Latvia,15.59774243,15.23573201,14.95283019,16.10767873,17.25307334,17.78591779,16.54733492,16.58271988,17.43705374,19.33413558,21.25685365,22.32415902,22.52453167,23.49726776,24.76765799,26.28571429,27.29492188,28.72928177,30.07209063,31.99789141,34.66522678
Lebanon,10.32571033,9.491315136,8.465608466,7.695831425,7.36497545,7.304601899,7.181328546,7.370242215,7.904473596,9.340974212,10.04505698,10.04655722,10.42107739,11.38468489,12.97144103,14.8468849,16.90343834,19.17475728,21.45287172,23.78109453,25.75516693
Lesotho,6.957708049,6.751592357,6.682297773,6.631016043,6.498545102,6.434782609,6.332046332,6.440677966,6.616729089,6.910569106,6.991525424,6.813627255,7.050359712,7.198892478,7.521139297,7.322357019,6.779661017,6.494587843,6.888068881,7.901134522,9.321012455
Liberia,4.981773998,4.934210526,4.914933837,4.788961039,4.828551435,5.01529052,4.924044002,4.918772563,4.71349353,4.725218285,4.674220963,4.771908764,4.876859303,5.015002143,5.540746382,6.146491378,6.707882535,7.113620325,7.854356307,8.796520058,9.92081448
Libya,7.191448008,6.571936057,5.930318755,5.42540074,4.411027569,3.651115619,3.718199609,3.792207792,4.146620848,4.695904013,5.329094989,5.977710233,6.647310513,7.544006706,8.793349786,10.3388998,12.35321747,15.06648636,18.05374946,21.37772194,23.14899684
Lithuania,13.24503311,12.80881794,11.83879093,13.63636364,14.96338746,15.08633747,14.32757105,14.69261139,16.14386155,17.53031974,19.14832809,20.28688525,21.51198525,22.70992366,24.74664923,26.94369973,28.53214163,29.78422356,30.4379562,31.70180723,33.74660984
Luxembourg,14.23728814,15.13157895,15.97444089,17.66467066,18.39762611,18.61111111,17.85714286,17.93478261,18.8976378,19.11764706,18.85057471,18.65509761,19.10569106,19.69111969,20.98540146,23.02405498,24.42996743,25.34775889,25.92592593,26.27840909,26.76630435
"Macao, China",4.736842105,6.145251397,8.670520231,7.211538462,7.058823529,8.300395257,11.06719368,9.508196721,9.408602151,9.443099274,9.728506787,9.856262834,11.86131387,15.99297012,21.67235495,26.910299,31.7512275,36.05220228,38.66231648,40.76539101,43.6026936
"Macedonia, FYR",11.22864117,8.788774003,7.824838478,7.759784076,8.969465649,9.242695289,9.146681539,10.29009305,11.46596859,13.28244275,14.48481832,15.52062868,16.80548751,18.89378365,21.01661779,22.95242766,24.78929103,26.61290323,28.77697842,31.0036784,32.95638126
