Liver Male Mortality,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6
Czech Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.01,4.02,4,4.55,3.74,4,4,3.21,7.7,8.59,8.26,8.52,8.02,7.71,7.66,7.33,7.73
Czechoslovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.76,4.88,5.21,4.79,4.57,,,,,,,,,,,
Denmark,,,,,,,3.02,2.9,3.95,3.61,3.58,2.99,3.07,2.39,,,,,,,,,,,,,,,,,,,,,,,,,,3.76,3.87,3.39,3.05,3.67,3.29,3.53,3.76,3.99
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.8
Dominican Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,4.11,4.77,3.26,3.09,2.78,1.57,1.04,1,0.76,0.46,0.96,0.61,0.46,,0.54,0.48,4.26,3.91,4.47,5.08,4.46,4.57,4.745
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,1.44,1.57,1.51,1.73,1.06,1,1.87,1.77,1.28,1.6,1.64,2.31,2.48,1.53,2.03,1.42,1.08,1.17,5.73,5.99,6.28,5.72,5.01,5.08
Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,0.54,0.31,0.41,,,,,,0.3,0.07,0.07,0.1,,0.03,,3.5,4.42,3.88,4.02,3.97,3.95
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.3
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.8
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.16,4.22,4.15,6.06,4.55,6.68
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8
Finland,0.55,1.25,0.54,0.49,0.54,0.72,1.07,0.91,1.12,1.14,1.26,1.92,1.24,1.95,,,,,,,,,,,,,,,,,,,1.95,2.13,3.2,3.35,3.54,3.48,3.86,4.09,,4.51,3.68,4.95,4.96,4.11,4.72,4.46
France,0.4,0.47,0.5,0.5,0.52,0.6,0.64,0.6,0.66,0.66,0.7,0.74,0.81,,,,,,,,,,,,2.41,2.82,3.55,3.76,3.97,4.24,5.02,5.67,6.01,6.21,6.15,6.34,6.78,6.79,7.05,8.13,7.67,8.56,8.33,8.5,8.45,10.21,10.38,10.22
French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.8
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.8
