,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004
Afghanistan,,,,,,,,,,,,,,,,,,,,,2.051582069,2.76977953,1.348272708,1.784349037,1.753888838,1.196233741,1.434565271,0.9278421842,-0.5077459604,-1.058827985,-1.89989035,-2.212605755,-5.024386165,-7.685788675,-8.758482512,-9.681010064,-9.735691165,-7.832190451,-6.703746843,-7.435903039,-12.17249176,-13.75583748,-9.628362483,-6.379329461,-5.494353425
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2729940052,6.70647696,11.15558314,8.317806499,6.722060866
Algeria,,,,,,,,,,,0.9397078771,0.8213420374,5.814123563,3.02807754,0.680566393,-0.2437940729,1.656937862,1.092053562,0.9977941116,2.562178512,1.679549305,2.517510264,1.113916333,1.776304451,3.050559695,3.186156598,2.83325266,3.330103173,2.305711845,0.5495729893,0.9730353931,1.206351432,0.8472116194,0.2876445151,-0.4355046023,-0.2456473982,-0.4079049413,-0.8344924237,-0.116492512,0.0587075637,0.3241755263,0.3356794085,0.1876458638,0.9882860449,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,0.4092389436,0.5913146134,0.6816386328,3.488448976,3.326348851,4.408944469,5.963481657,5.227518042,7.425506015,6.613213092,7.203760245,7.323007554,7.093591318,5.423616133,5.818845374,4.834668525,4.673061332,5.13012448,3.491284626,3.47911286,2.682820168,2.948391361,3.19607074,2.802896509,
Argentina,1.034709473,0.987919956,1.693886225,1.11386138,1.45621936,1.682502685,1.543136477,1.413496178,1.254853602,2.751209257,2.168186651,2.116172001,2.24179381,3.040527271,2.80622438,1.719684706,1.663970145,1.900811552,1.147135241,1.056374105,1.045319115,0.1323295406,-0.4645017424,-0.4582188894,-0.7444751448,-1.428912826,-0.5830621893,-0.8717451006,-0.8910686035,-2.330266225,-2.686303336,-1.018506885,0.5752260311,0.8056416352,1.10267985,1.653031523,1.359092527,1.89014734,2.603356347,3.188898236,3.248900133,1.624811862,-0.5010001759,-0.3498253092,-0.02087408792
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,1.531285307,1.495082278,2.59397269,2.179423928,2.090947439,1.95406543,2.509567438,2.713968619,2.884724451,2.871623878,3.130105677,3.502189194,3.27943146,3.158728731,2.496084407,2.568423157,2.469650289,2.342936744,2.026951762,1.787880137,1.752100131,1.748978252,1.311042061,1.239266546,1.694766939,1.915403223,1.732815434,1.987395705,1.848383134,1.971995038,1.583006431,1.283594996,1.742371684,1.708334295,1.764613476,1.696170849,1.89190848,1.883066882,2.098839453,2.135306773,2.377418865,2.673908836,2.687171697,2.724652901,2.434976645
Austria,5.419928956,5.258347805,5.51304676,5.532958094,5.225725447,4.486634916,4.648579927,4.281329585,4.299002871,4.548820997,4.094721043,4.084250968,4.478306734,4.616814321,4.425480135,4.149003852,4.122759301,4.388660808,3.820216243,4.066368139,3.458937801,3.02821128,2.640384992,2.429238454,2.132102368,2.461302269,2.145553692,1.774315189,2.288441966,1.898555486,2.225910973,2.426487955,2.384047942,2.074206225,2.158279781,1.994369303,2.029927382,2.079918421,2.081207683,2.007092882,1.967532629,1.793201973,1.706536191,1.837290519,1.926890683
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
