Arms exports (constant 1990 US$),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,26000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,,,,,,,,,6000000,,,,,,,,,,,,6000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,2000000,0,,,,,,,,,,,,20000000,,,,,,,,,,2000000,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,,,6000000,,4000000,,,0,8000000,,0,,7000000,,,,1000000,,,6000000,1000000,22000000,3000000,1000000,8000000,,,4000000,,,6000000,0,,10000000,4000000,4000000,,,,,2000000,6000000,,,,,2000000,,,,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,,2000000,2000000,,,,,,,26000000,0,48000000,66000000,86000000,63000000,105000000,65000000,33000000,17000000,23000000,13000000,14000000,30000000,23000000,63000000,21000000,78000000,116000000,18000000,22000000,159000000,85000000,6000000,60000000,36000000,36000000,15000000,21000000,3000000,,,43000000,30000000,40000000,2000000,50000000,5000000,1000000,6000000,54000000,119000000,
Austria,,,,,0,0,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,0,0,,,36000000,118000000,50000000,68000000,55000000,52000000,54000000,329000000,37000000,29000000,11000000,10000000,26000000,16000000,16000000,8000000,14000000,,,1000000,10000000,19000000,21000000,15000000,82000000,3000000,3000000,3000000,62000000,100000000,18000000,24000000,33000000,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000000,,,,,,,,,,
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,2000000,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8000000,,8000000,131000000,359000000,63000000,467000000,295000000,51000000,65000000,75000000,10000000,24000000,35000000,6000000,225000000,42000000,,
