15-49 yrs sex ratio,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Afghanistan,108.953,109.252,109.584,109.906,110.182,110.302,110.252,110.086,109.881,109.631,109.408,109.218,109,108.828,108.673,108.535,108.438,108.383,108.317,108.237,108.118
AFRICA,99.127,98.871,98.604,98.354,97.939,98.302,98.609,98.705,98.687,98.707,98.848,99.35,100.013,100.595,100.981,101.138,101.152,101.14,101.12,101.119,101.111
Albania,102.091,102.094,102.464,102.525,102.101,102.399,111.189,109.557,106.907,101.614,96.289,95.859,96.332,97.214,98.747,100.696,102.98,104.923,105.444,105.427,105.508
Algeria,108.745,104.442,98.849,97.248,89.216,93.188,100.001,100.805,101.814,102.548,103.213,103.212,103.123,103.037,103.036,103.161,103.295,103.431,103.557,103.679,103.784
Angola,96.883,96.896,96.912,96.953,96.732,96.664,96.699,96.777,96.874,97.016,97.099,97.266,97.437,97.555,97.59,97.5,97.387,97.316,97.313,97.355,97.424
Argentina,106.212,103.047,101.591,101.098,100.81,100.501,100.069,100.506,100.889,101.042,101.027,101.12,101.258,101.403,101.547,101.712,101.911,102.079,102.222,102.352,102.46
Armenia,88.419,90.547,91.128,93.206,96.475,97.95,97.35,97.096,95.604,89.428,87.049,86.509,87.471,90.307,93.816,97.333,101.55,104.755,107.171,108.183,107.584
Aruba,93.492,94.126,92.657,91.427,92.181,93.08,93.728,95.85,96.727,99.077,94.14,92.192,93.366,94.97,96.504,98.575,100.681,101.87,102.28,103.122,103.385
ASIA,107.964,107.747,107.551,107.613,107.243,107.234,106.761,106.504,106.238,105.909,105.626,105.634,105.879,106.355,106.988,107.624,108.166,108.622,108.855,108.773,108.566
Australia,105.066,106.78,106.321,105.539,106.33,105.111,103.629,103.371,102.454,101.582,100.199,100.596,101.152,101.796,102.436,103.086,103.498,103.76,103.921,104,104.062
Australia/New Zealand,104.578,106.168,105.826,105.242,105.855,104.809,103.352,103.099,101.998,101.177,99.743,100.121,100.722,101.458,102.27,103.089,103.578,103.857,104.023,104.086,104.143
Austria,85.781,86.918,89.97,94.212,97.986,102.177,101.805,101.646,102.346,102.838,101.979,101.96,102.095,102.127,102.448,103.098,103.528,103.827,104.061,104.181,104.243
Azerbaijan,86.208,88.92,90.324,93.41,97.142,99.718,98.583,96.48,95.652,94.79,93.411,93.309,93.972,95.512,99.134,102.128,104.912,106.603,107.806,108.979,109.17
Bahamas,80.392,81.844,88.762,95.345,98.549,96.165,98.262,98.634,99.324,98.231,97.194,96.648,96.64,96.121,95.611,95.159,95.014,94.986,95.064,95.061,95.069
Bahrain,131.486,131.685,132.537,100.366,128.947,137.569,170.514,168.258,162.126,164.292,152.061,150.743,145.847,138.784,132.155,126.566,124.38,123.309,122.229,122.113,122.449
Bangladesh,122.506,120.591,115.822,113.027,110.985,108.94,106.707,105.03,103.463,103.033,102.432,102.377,102.453,102.632,102.873,103.149,103.336,103.433,103.46,103.472,103.506
Barbados,89.474,87.391,79.417,83.808,88.886,90.177,94.334,96.634,98.264,99.424,99.773,100.522,101.488,102.026,102.452,102.848,102.976,103.079,103.244,103.414,103.507
Belarus,76.531,79.166,81.428,86.22,90.186,94.973,97.885,98.26,98.771,98.518,98.113,98.019,98.184,98.686,99.785,100.919,101.851,102.931,103.835,104.334,104.662
Belgium,101.504,101.338,101.243,102.168,102.147,102.324,103.117,103.134,103.668,103.442,102.932,102.246,101.983,101.788,101.689,101.77,102.019,102.3,102.458,102.568,102.695
Belize,95.263,94.41,94.238,96.218,98.106,99.727,103.208,102.928,102.531,102.156,102.194,102.487,102.349,102.62,102.618,102.482,102.435,102.291,102.257,102.316,102.381
