Agricultural land (% of land area),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Colombia,,36.02523659,36.9283461,37.39792699,37.85038306,38.76340694,38.77422262,38.77692654,38.77872916,38.78323569,38.78323569,40.60748085,40.62009914,40.63452005,40.64803966,40.66246057,40.67598017,40.84272195,40.79405137,40.80847228,40.82199189,40.8364128,40.8499324,40.86435331,40.87967553,40.89680036,40.9148265,40.92023434,40.81388013,40.72374944,40.63361875,40.45425868,40.54348806,40.47138351,40.43713384,40.11987382,40.48670572,40.63271744,41.04821992,41.16088328,40.431726,37.62505633,37.50067598,37.90085624,38.20730059,38.35691753,38.01171699,38.2478594,38.40829202,38.34159531,,
Comoros,,51.07526882,51.07526882,53.76344086,53.76344086,56.4516129,56.4516129,56.4516129,56.4516129,56.4516129,56.4516129,56.4516129,56.4516129,56.4516129,56.4516129,56.4516129,56.4516129,56.4516129,59.13978495,59.13978495,59.13978495,59.13978495,59.13978495,59.13978495,64.51612903,65.05376344,68.27956989,68.27956989,68.27956989,68.8172043,68.8172043,71.50537634,71.50537634,71.50537634,71.50537634,72.58064516,73.65591398,74.7311828,75.80645161,76.88172043,77.95698925,79.03225806,79.03225806,79.03225806,79.56989247,79.56989247,80.64516129,80.64516129,80.64516129,83.33333333,,
"Congo, Dem. Rep.",,9.682186101,9.691008138,9.704241195,9.717474251,9.726296288,9.735118326,9.748351382,9.770406475,9.792461569,9.814516663,9.836571756,9.85862685,9.880681943,9.902737037,9.902737037,9.924792131,9.938025187,9.946847224,9.946847224,9.968902318,9.990957412,9.999779449,10.01301251,10.0350676,10.05712269,10.07917779,10.07917779,10.07917779,10.07917779,10.0835888,10.09241084,10.10123288,10.10123288,10.10123288,10.01301251,10.01301251,9.968902318,9.968902318,9.924792131,9.924792131,9.902737037,9.902737037,9.902737037,9.902737037,9.902737037,9.902737037,9.902737037,9.902737037,9.902737037,,
"Congo, Rep.",,30.86383602,30.86383602,30.86969253,30.87262079,30.87262079,30.87262079,30.87262079,30.87262079,30.87554905,30.88726208,30.88726208,30.89311859,30.90483163,30.91654466,30.92825769,30.94582723,30.93704246,30.80527086,30.81112738,30.81991215,30.82869693,30.90483163,30.91654466,30.92825769,30.94582723,30.93704246,30.86383602,30.86969253,30.87554905,30.80819912,30.81405564,30.81991215,30.83455344,30.79941435,30.80527086,30.81112738,30.85212299,30.8579795,30.87554905,30.86383602,30.86383602,30.86383602,30.86383602,30.86383602,30.86969253,30.87847731,30.88726208,30.89311859,30.92240117,,
Costa Rica,,27.32079906,27.61457109,27.81041911,29.08343126,30.45436741,32.02115159,32.04073639,33.60752056,35.05679593,36.34939287,36.95652174,36.95652174,40.10967489,40.10967489,41.55895025,43.18448884,44.79044262,46.22013318,47.84567176,49.27536232,50.9009009,52.46768508,52.52643948,53.81903643,52.50685468,51.15550333,49.72581277,48.2373678,46.57265962,45.14296906,43.83078731,42.30317274,41.38268703,41.0301606,40.10967489,39.07168038,38.24911868,37.5048962,36.97610654,36.03603604,35.89894242,35.76184881,35.82060321,35.6835096,35.15471994,35.35056796,35.25264395,35.25264395,35.25264395,,
Cote d'Ivoire,,49.3081761,49.93710692,49.93710692,50.25157233,50.56603774,50.56603774,50.78616352,50.78616352,50.94339623,50.94339623,51.25786164,51.28930818,51.69811321,52.27987421,52.56289308,52.95597484,53.71069182,54.11949686,54.16666667,54.26100629,54.62264151,55,55.29559748,56.29245283,57.16981132,57.48427673,57.86163522,58.86792453,59.18238994,59.52830189,59.59119497,60.37735849,61.32704403,61.94968553,62.26415094,62.26415094,61.94968553,61.94968553,61.63522013,61.63522013,61.63522013,61.63522013,61.32075472,62.57861635,63.52201258,63.67924528,63.83647799,63.83647799,63.83647799,,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.99767483,40.63673761,41.35217314,41.7098909,34.5659164,34.67309753,36.63029869,36.34412449,20.90860311,21.0695761,21.12323377,21.39152209,21.01501072,21.64045747,21.9799857,21.47962831,23.01644031,23.2308792,,
Cuba,,33.05400372,35.4283054,37.59776536,44.27374302,42.34636872,41.99255121,43.02607076,44.01303538,44.18063315,46.75977654,47.23463687,51.96461825,54.47858473,52.4301676,54.09683426,55.83798883,56.21973929,55.38175047,54.58100559,55.27932961,55.2886406,56.63873371,57.53258845,57.18808194,57.93296089,60.06517691,62.62569832,63.20297952,63.05400372,62.76536313,62.89571695,63.08193669,62.66294227,62.25325885,62.23463687,61.59217877,62.26256983,62.141527,62.01117318,61.02420857,61.97392924,62.54347213,62.38721805,61.34761771,62.35437805,62.29446585,62.19466366,61.34911687,62.52348741,,
Cyprus,,22.18614719,22.18614719,22.18614719,22.18614719,22.51082251,22.72727273,22.94372294,24.13419913,24.35064935,25.10822511,25.43290043,24.89177489,24.56709957,22.51082251,21.64502165,21.64502165,21.75324675,19.26406926,19.26406926,18.72294372,18.72294372,18.72294372,18.72294372,18.72294372,17.64069264,17.64069264,17.53246753,17.53246753,17.42424242,17.53246753,17.42424242,17.31601732,17.20779221,16.01731602,15.69264069,15.90909091,15.58441558,15.90909091,15.8008658,15.36796537,15.15151515,15.15151515,16.99134199,16.88311688,18.07359307,16.99134199,15.90909091,12.44588745,13.52813853,,
Czech Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.41607351,55.44195677,55.39019024,55.39019024,55.39019024,55.44195677,55.41607351,55.39019024,55.36430698,55.28665718,55.24783228,55.20320994,55.1384934,55.06796117,55.00323625,54.93851133,54.87378641,,
Denmark,,74.58107151,74.13264102,72.88175596,72.40972386,71.58366769,71.44205806,71.34765164,71.20604201,70.59240028,70.2147746,69.64833609,69.76634411,70.47439226,69.19990559,69.31791362,69.2235072,69.08189757,68.94028794,68.90042473,68.54648419,68.3577159,68.12175555,67.15431807,67.3666824,66.87116564,66.51722511,66.00613352,65.74663836,65.43996226,65.77022883,65.34560038,64.95404195,64.55338204,63.422107,64.24699505,64.01131275,63.35140231,62.97431063,62.31440019,62.38510488,63.06858355,62.80933302,62.64435541,62.36153665,63.79919868,63.86990337,62.76219656,62.88003771,62.07871789,,
Djibouti,,56.12597066,56.12597066,56.12597066,56.12597066,56.12597066,56.12597066,56.12597066,56.12597066,56.12597066,56.12597066,56.12597066,56.12597066,56.12597066,56.12597066,56.12597066,56.12597066,56.12597066,56.12597066,56.12597066,56.12597066,56.12597066,56.12597066,56.12597066,56.12597066,56.12597066,56.12597066,56.12597066,56.12597066,56.12597066,56.03968939,57.63589301,59.14581536,60.44003451,60.44003451,62.59706644,63.89128559,64.75409836,64.75409836,66.91113028,69.06816221,72.51941329,73.38222606,73.38222606,73.38222606,73.38222606,73.38222606,73.38222606,73.38222606,73.4253667,,
Dominica,,22.66666667,24,22.66666667,22.66666667,24,25.33333333,25.33333333,25.33333333,25.33333333,25.33333333,25.33333333,25.33333333,25.33333333,25.33333333,25.33333333,25.33333333,25.33333333,25.33333333,25.33333333,25.33333333,25.33333333,25.33333333,25.33333333,25.33333333,25.33333333,25.33333333,25.33333333,24,24,24,24,24,24,24,22.66666667,22.66666667,22.66666667,22.66666667,25.33333333,28,29.33333333,29.33333333,30.66666667,30.66666667,30.66666667,30.66666667,30.66666667,30.66666667,32,,
Dominican Rep.,,45.32284768,45.63327815,45.94370861,46.25413907,46.56456954,46.875,47.18543046,47.39238411,48.22019868,48.3236755,48.50993377,49.04801325,49.77235099,50.18625828,50.80711921,51.94536424,52.56622517,53.08360927,53.60099338,54.2218543,54.32533113,54.42880795,54.42880795,54.42880795,54.42880795,54.5736755,54.5736755,54.5736755,54.65645695,52.77317881,53.18708609,53.80794702,53.80794702,53.80794702,53.80794702,53.39403974,52.56622517,52.77317881,52.09023179,52.04884106,52.04884106,52.04884106,51.05546358,51.05546358,51.05546358,51.05546358,51.05546358,50.64155629,51.05546358,,
Ecuador,,17.01343736,17.01343736,17.04955931,17.04955931,17.08568126,17.08568126,17.12180321,17.10374223,17.32047392,17.53720561,17.75393729,17.97066898,18.18740066,18.66782257,19.45166883,20.06574194,21.07715648,21.69122959,22.35948562,23.39979772,24.41482445,25.1408756,25.62852189,26.20647305,26.80248519,27.38043635,27.88975582,27.90781679,28.00534605,28.34128016,28.58690941,28.727785,28.80725329,29.36353128,29.28767519,28.85059962,28.94090449,32.32001933,32.51328716,32.47704944,31.34562732,30.1578354,29.19149622,30.30681269,30.19809953,29.97262039,29.84377517,29.9766468,30.33499758,,
Egypt,,2.579737807,2.516449847,2.501381285,2.517454418,2.68421317,2.792706816,2.813802803,2.813802803,2.84795821,2.855994776,2.865035913,2.868049626,2.868049626,2.855994776,2.837912502,2.742478276,2.64704405,2.551609825,2.458184741,2.456175599,2.479280727,2.480285298,2.489326435,2.504394997,2.50841328,2.578733236,2.55864182,2.592797227,2.582751519,2.660103471,2.655080617,2.913255312,3.260836807,3.260836807,3.298005927,3.301019639,3.315083631,3.315083631,3.498920086,3.306042493,3.353257321,3.439650409,3.424581847,3.493897232,3.539102918,3.549148626,3.55417148,3.558189763,3.705861671,,
El Salvador,,60.04796163,60.04796163,60.33573141,60.33573141,60.43165468,59.95203837,59.52038369,59.42446043,59.32853717,59.23261391,61.29496403,61.43884892,61.77458034,62.25419664,62.73381295,62.74131274,63.17567568,65.15444015,67.56756757,68.05019305,66.11969112,64.72007722,64.52702703,65.00965251,65.97490347,66.94015444,66.94015444,67.90540541,67.90540541,68.05019305,68.91891892,70.02895753,70.02895753,70.17374517,70.22200772,66.98841699,67.85714286,69.98069498,71.47683398,72.39382239,74.80694981,75.04826255,74.85521236,77.7027027,75.53088803,71.13899614,72.58687259,74.95173745,74.51737452,,
Equatorial Guinea,,11.1942959,11.37254902,11.55080214,11.58645276,11.58645276,11.72905526,11.72905526,11.72905526,11.72905526,11.72905526,11.90730838,11.90730838,11.90730838,11.90730838,11.90730838,11.90730838,11.90730838,11.90730838,11.90730838,11.90730838,11.90730838,11.90730838,11.90730838,11.90730838,11.90730838,11.90730838,11.90730838,11.90730838,11.90730838,11.90730838,11.90730838,11.90730838,11.90730838,11.90730838,11.90730838,11.90730838,11.90730838,11.90730838,11.90730838,11.90730838,11.90730838,11.55080214,11.55080214,11.55080214,11.55080214,11.1942959,11.1942959,11.0516934,10.90909091,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.26732673,73.32673267,73.33663366,72.65346535,72.87128713,73.93069307,73.93069307,74.55445545,74.57425743,74.57425743,74.92079208,74.25742574,74.47524752,74.97029703,74.97029703,74.97029703,75.16831683,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.41330502,31.13941967,25.97310686,23.37815523,23.7084218,24.13305025,24.60485964,23.61405992,23.26020288,20.99551781,16.46614768,19.55649917,18.16466148,20.80679406,21.20783204,21.56168908,21.39655579,21.96272706,,
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.54,30.472,30.5,30.5,30.492,30.508,30.676,30.662,31.409,30.604,31.607,33.101,33.691,34.219,35.077,34.513,34.985,,
Faeroe Islands,,2.158273381,2.158273381,2.158273381,2.158273381,2.158273381,2.158273381,2.158273381,2.158273381,2.158273381,2.158273381,2.158273381,2.158273381,2.158273381,2.158273381,2.158273381,2.158273381,2.158273381,2.158273381,2.158273381,2.158273381,2.158273381,2.158273381,2.158273381,2.158273381,2.158273381,2.158273381,2.158273381,2.158273381,2.158273381,2.158273381,2.158273381,2.158273381,2.158273381,2.158273381,2.158273381,2.158273381,2.158273381,2.158273381,2.158273381,2.158273381,2.158273381,2.158273381,2.158273381,2.158273381,2.158273381,2.158273381,2.158273381,2.158273381,2.158273381,,
Fiji,,12.42474001,12.42474001,12.47947455,12.47947455,12.20580186,12.20580186,12.09633279,11.98686371,12.09633279,12.09633279,12.09633279,12.58894362,12.86261631,13.136289,13.40996169,14.23097975,14.77832512,15.3256705,15.59934319,15.87301587,16.42036125,16.96770662,17.515052,18.06239737,18.88341544,19.15708812,19.97810619,20.79912425,21.62014231,22.44116037,23.2074439,23.80952381,23.80952381,23.70005473,24.0831965,24.0831965,24.0831965,23.53585112,23.42638205,23.42638205,23.42638205,23.42638205,23.42638205,23.42638205,23.42638205,23.42638205,23.42638205,23.42638205,22.87903667,,
Finland,,9.110607702,9.127023212,9.143438721,9.15985423,9.17626974,9.192685249,9.209100758,9.15985423,9.038379461,8.943169507,8.864375062,8.798713024,8.690370662,8.660822745,8.578745198,8.52949867,8.559046587,8.447421123,8.358777373,8.325946354,8.263567418,8.168357464,8.046882695,7.96808825,7.905709314,7.856462786,7.941823435,7.797366952,7.833481073,7.869595194,7.961522046,7.89914311,7.826914869,7.918841722,7.416527135,7.344298894,7.465773663,7.603663942,7.5314357,7.281919958,7.295052365,7.341015792,7.37384681,7.396828524,7.465773663,7.566341127,7.547107764,7.555116815,7.555116815,,
France,,63.06534957,62.88458378,62.72755491,62.28020523,62.08300619,61.79998904,61.40376504,60.58027644,60.57114686,59.33317509,59.56689247,59.36969343,59.26926799,59.23640148,59.08119853,58.4676904,58.2650136,58.35813537,58.12624391,57.92174119,57.8578341,57.7829715,57.63507222,57.53099494,57.41048442,57.32466631,57.2479778,56.29302317,56.00087644,55.81828473,55.55535268,55.38189055,55.14817317,54.99479614,54.88524111,54.77386017,54.70447532,54.64422006,54.5949203,54.24069239,54.10374861,53.96497891,54.20782588,54.06723027,53.95683453,53.87101486,53.71580908,53.53503999,53.43826462,,
French Polynesia,,12.02185792,12.02185792,12.02185792,12.02185792,12.02185792,12.02185792,12.02185792,12.02185792,12.02185792,12.02185792,12.02185792,12.02185792,12.02185792,12.02185792,12.02185792,12.02185792,12.02185792,12.02185792,12.02185792,12.02185792,12.02185792,12.02185792,12.02185792,12.02185792,12.02185792,12.02185792,11.74863388,11.74863388,11.74863388,11.74863388,11.74863388,11.74863388,11.74863388,11.74863388,11.74863388,11.74863388,11.74863388,11.74863388,11.74863388,11.74863388,11.74863388,12.29508197,12.29508197,12.29508197,12.29508197,12.29508197,12.29508197,12.29508197,12.02185792,,
Gabon,,20.16144681,20.21966081,20.2778748,20.3360888,20.39430279,20.45251679,20.31668413,20.37489813,20.23906547,20.10323282,20.18085148,20.04501882,19.92859083,19.98680483,20.06054255,20.00232856,20.09159002,20.17697054,19.98680483,19.99456669,19.99456669,19.99456669,19.99456669,19.99456669,19.99456669,19.99456669,19.99456669,19.99456669,19.99456669,20.01397136,20.01397136,20.02561416,20.02561416,20.02561416,20.02561416,20.02561416,20.02561416,20.02561416,20.02561416,20.02561416,20.02561416,20.02561416,20.02561416,19.9479955,19.9479955,19.9479955,19.9479955,19.9479955,19.9479955,,
Gambia,,52.1,52.2,52.3,52.4,52.5,52.6,52.8,52.8,53,53,53.3,53.8,54.3,57,56.4,56.3,57,57.7,56.6,55.9,58.1,60.2,58.3,56.9,61.9,62.7,63.4,64.9,63.1,63.7,64.6,61.2,61.1,63,64.4,64.9,66.4,64.5,67.5,68,71.7,62.5,62,64,63.5,64,63.5,65.5,66.5,,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.46711757,45.01367103,44.56756368,43.86242625,43.67534897,43.70413009,43.81925457,43.15728882,43.17167938,43.21485106,43.22924162,43.25802274,36.1490862,36.19225788,36.23542956,36.221039,36.30738236,36.09152396,,
Germany,,55.49508779,55.54664452,55.57242288,55.73282159,55.95050554,55.94191275,55.60106551,55.23730416,55.14851202,54.48686736,54.28350471,54.27491192,54.12597027,53.90828631,53.8252227,53.72783777,53.5874889,53.44427577,53.2580987,53.04327901,52.87715178,52.69097471,52.50193338,52.3701773,52.25560679,52.15249334,51.91475955,51.83456019,51.71712543,51.64838312,49.08200384,48.55211526,49.15788268,49.57749706,49.67917502,49.66341058,49.64045266,49.77651711,49.14894836,48.91245164,48.82201204,48.63555581,48.74000172,48.77999828,48.83300837,48.59486121,48.61330198,48.53856524,48.43808267,,
Ghana,,51.41953063,51.41953063,51.41953063,51.41953063,51.41953063,51.41953063,51.41953063,51.41953063,51.41953063,51.41953063,51.41953063,51.41953063,51.41953063,51.41953063,51.8590138,51.8590138,52.29849697,52.73798014,52.73798014,52.73798014,52.73798014,53.61694647,53.61694647,54.05642964,54.49591281,54.49591281,54.49591281,54.93539597,54.93539597,55.3968533,55.90225894,55.90225894,56.25384548,56.69332865,57.57229498,58.45126132,59.89276611,61.65948844,62.31871319,63.41742111,63.76900765,64.30078228,65.19732794,66.36195834,66.36195834,67.24092467,68.11989101,68.11989101,68.11989101,,
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,,69.12335144,69.06128782,69.9844841,69.75174554,67.32350659,70.51978278,70.69821567,70.93095423,70.93871218,71.02404965,71.02404965,71.06283941,70.93095423,70.91543832,70.73700543,70.71373157,70.69045772,71.17920869,71.2257564,71.21799845,71.4197052,71.4197052,71.23351435,71.44297905,71.24903026,71.21799845,71.19472459,71.2102405,71.48952676,71.54383243,71.09387122,71.11714507,71.06283941,71.14041893,71.09387122,71.15593483,69.70519783,68.13033359,67.26144298,66.16757176,65.95810706,65.52366175,35.53141971,64.7090768,30.806827,64.17377812,36.37703646,63.84018619,63.60744763,,
Greenland,,0.6877377817,0.6877377817,0.6877377817,0.6877377817,0.6877377817,0.6877377817,0.6877377817,0.6877377817,0.6877377817,0.6877377817,0.6877377817,0.6877377817,0.6877377817,0.6877377817,0.6877377817,0.6877377817,0.6877377817,0.6877377817,0.6877377817,0.6877377817,0.6877377817,0.6877377817,0.6877377817,0.6877377817,0.6877377817,0.6877377817,0.6877377817,0.6877377817,0.6877377817,0.6877377817,0.6877377817,0.6877377817,0.6877377817,0.6877377817,0.6877377817,0.6877377817,0.5725423316,0.5725423316,0.5725423316,0.5725423316,0.5725423316,0.5725423316,0.5725423316,0.5725423316,0.5725423316,0.5725423316,0.5725423316,0.5725423316,0.5725423316,,
Grenada,,64.70588235,64.70588235,64.70588235,64.70588235,64.70588235,64.70588235,64.70588235,64.70588235,64.70588235,64.70588235,64.70588235,58.82352941,58.82352941,58.82352941,58.82352941,58.82352941,58.82352941,55.88235294,55.88235294,47.05882353,47.05882353,47.05882353,47.05882353,47.05882353,41.17647059,41.17647059,38.23529412,38.23529412,38.23529412,38.23529412,35.29411765,35.29411765,35.29411765,35.29411765,35.29411765,35.29411765,35.29411765,35.29411765,35.29411765,35.29411765,38.23529412,38.23529412,38.23529412,38.23529412,38.23529412,38.23529412,38.23529412,35.29411765,35.29411765,,
Guam,,29.62962963,29.62962963,31.48148148,31.48148148,31.48148148,31.48148148,31.48148148,31.48148148,31.48148148,31.48148148,31.48148148,31.48148148,31.48148148,31.48148148,31.48148148,31.48148148,31.48148148,31.48148148,33.33333333,33.33333333,37.03703704,37.03703704,37.03703704,37.03703704,37.03703704,37.03703704,37.03703704,37.03703704,37.03703704,37.03703704,37.03703704,37.03703704,37.03703704,37.03703704,37.03703704,37.03703704,37.03703704,37.03703704,37.03703704,37.03703704,37.03703704,37.03703704,37.03703704,37.03703704,37.03703704,37.03703704,35.18518519,35.18518519,35.18518519,,
Guatemala,,24.69204927,24.80403135,24.91601344,25.02799552,25.1399776,25.25195969,25.45726017,25.56924225,25.58790594,25.70921986,25.82120194,26.12915267,26.5304218,26.82904069,26.95035461,27.3422919,27.93019784,28.04217992,28.14483016,28.46211273,28.62075401,28.9660321,29.10600971,35.3210153,35.3210153,35.3210153,35.3210153,39.98693542,39.98693542,39.98693542,39.98693542,39.98693542,41.82530795,42.10526316,42.10526316,42.10526316,42.19858156,41.34005226,41.43337066,41.66666667,41.94662187,42.22657708,47.25643897,44.79283315,42.57185517,40.12691303,41.65733483,39.36170213,41.01343785,,
Guinea,,59.49861631,59.49454664,59.39687449,59.29920234,59.20559987,59.10792772,59.01025558,58.91258343,58.81491128,58.72130881,58.62363666,58.52596451,58.42829237,58.33468989,58.27771447,58.18004232,58.08237018,57.98469803,57.97248901,57.87481686,57.77714472,57.67947257,57.62249715,57.52889468,57.47191926,57.37424711,57.27657496,57.30506267,57.20739053,57.54924304,57.17483314,57.19925118,57.18704216,57.17076347,57.07309132,56.63763633,56.16148462,55.81556243,55.10336969,54.89581638,55.10336969,55.91730425,56.34461989,56.69054208,57.46784958,57.50447664,57.70796028,57.95214065,57.95214065,,
Guinea-Bissau,,48.29302987,48.29302987,48.29302987,48.29302987,48.29302987,48.29302987,48.64864865,48.64864865,48.64864865,48.64864865,48.64864865,48.64864865,48.82645804,49.00426743,49.00426743,49.00426743,49.0398293,49.0398293,49.07539118,49.18207681,49.43100996,49.89331437,50.24893314,51.20910384,51.49359886,50.3200569,50.14224751,49.78662873,51.10241821,51.45803698,51.45803698,51.45803698,52.16927454,52.52489331,52.84495021,53.05832148,54.65860597,54.65860597,56.47226174,57.89473684,57.89473684,57.57467994,57.61024182,57.61024182,57.61024182,57.9658606,57.9658606,57.9658606,57.9658606,,
Guyana,,6.908647247,6.908647247,6.908647247,6.908647247,6.908647247,6.934065375,6.934065375,6.944232627,6.944232627,6.969650755,6.969650755,6.984901632,6.995068883,6.995068883,7.000254001,7.406654813,7.833375667,8.26009652,8.712217424,8.712217424,8.712217424,8.712217424,8.763017526,8.778257557,8.778257557,8.788417577,8.788417577,8.788417577,8.798577597,8.798577597,8.808737617,8.808737617,8.808737617,8.808737617,8.808737617,8.808737617,8.808737617,8.808737617,8.813817628,8.676657353,8.676657353,8.676657353,8.676657353,8.676657353,8.524257049,8.509017018,8.509017018,8.509017018,8.509017018,,
Haiti,,60.23222061,60.41364296,60.59506531,60.77648766,60.95791001,61.13933237,61.32075472,61.50217707,61.68359942,61.86502177,62.04644412,57.47460087,57.4383164,57.4383164,57.4383164,57.51088534,57.51088534,57.87373004,57.87373004,58.05515239,58.05515239,58.05515239,58.05515239,58.05515239,58.05515239,58.05515239,58.05515239,58.01886792,57.98258345,57.94629898,57.91001451,57.14804064,57.14804064,57.87373004,57.69230769,57.69230769,61.32075472,61.32075472,61.32075472,61.32075472,60.59506531,60.59506531,60.59506531,60.59506531,60.59506531,60.59506531,67.85195936,64.22351234,66.76342525,,
Honduras,,26.63330056,26.72267405,26.7673608,26.81204755,26.85673429,26.94610778,27.03548128,27.08016802,27.08016802,27.16954151,27.21422826,27.52703548,27.61640897,27.67003307,28.01858969,28.33139691,29.0016981,29.10894629,29.10894629,29.10894629,29.17150773,29.21619448,29.22513183,29.28769327,29.29663062,29.35919206,29.35919206,29.35919206,30.12780409,29.67199929,29.86862097,29.98480651,31.7097149,31.45946912,31.10197515,31.10197515,30.34230047,30.34230047,29.82393422,26.23111985,26.2400572,27.06229332,28.17946197,28.06327643,28.15264992,28.24202342,28.24202342,28.4565198,28.51014389,,
"Hong Kong, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,,78.66503776,77.89380138,77.57414195,77.51860491,77.23839147,76.95811576,76.82222222,76.70852317,76.54183798,76.40586797,76.19206402,76.09203068,75.9697677,75.38068245,75.24730466,75.11951084,74.79991107,74.4470379,73.96574733,73.70704037,73.42602892,73.2228279,73.10858923,72.91944815,72.75255897,72.57454384,72.44103249,72.29331256,72.14865917,72.03738734,71.88160677,68.27639924,68.2172268,68.12819942,68.76251947,68.81816158,68.98663697,68.96436526,68.88641425,65.32024102,65.44298148,65.2644499,65.44298148,65.43182325,65.42796563,64.82535431,64.80303538,64.61332441,63.879377,,
Iceland,,22.80299252,22.79301746,22.79301746,22.79301746,22.79301746,22.79301746,22.79301746,22.79301746,22.80299252,22.80299252,22.80299252,22.80299252,22.81296758,22.81296758,22.81296758,22.81296758,22.77306733,22.76309227,22.76309227,22.76309227,22.76309227,22.76309227,22.76309227,22.75311721,22.75311721,22.75311721,22.75311721,22.75311721,22.75311721,22.75311721,22.75311721,22.74314214,22.74314214,22.74314214,22.74314214,22.74314214,22.74314214,22.75311721,22.75311721,22.75311721,22.75311721,22.75311721,22.75311721,22.75311721,22.75311721,22.75311721,22.75311721,22.75311721,22.75311721,,
India,,58.8280601,59.33088703,59.25621975,59.43750652,59.6137482,59.74391142,59.80781585,59.99280234,59.83135958,59.88517384,59.76745516,59.94235148,60.28541735,60.54439844,60.82961398,60.81346971,60.80640659,60.87670146,60.72837592,60.66043542,60.69541469,60.78488089,60.70214147,60.90428126,60.86022084,60.95372311,61.09599454,60.93118839,60.97289443,60.8908277,60.92446161,60.85719379,60.89015502,60.88746431,60.80337954,60.83734978,60.82894131,60.89351841,60.86055718,61.40643551,60.66548051,60.5534796,60.64496383,60.56895119,60.4932749,60.53195389,60.44316038,60.44282404,60.5285905,,
Indonesia,,21.30748467,21.30748467,21.2798843,21.2798843,21.25228393,21.22468356,21.22468356,21.22468356,21.19708319,21.19708319,21.16948282,21.16948282,21.14188246,21.14188246,21.11759413,21.00167258,21.00167258,21.00167258,20.97628024,20.97628024,20.94867987,20.94867987,20.92107951,20.45297725,21.90310063,22.79348852,24.00404069,24.3639495,24.5284477,24.88614848,22.92155423,22.82605696,23.19314186,23.16830153,23.28753512,23.27428694,23.58285907,23.69326054,24.24581992,25.21404086,25.55794145,25.87865774,27.27247636,28.57521376,27.18415518,27.71077022,28.15237612,28.70438349,29.58759529,,
Iran,,36.39495257,36.40661939,36.44346198,36.48030457,36.51714716,36.52328759,36.56627061,36.59697277,36.63995579,36.65837708,36.93715268,37.33382457,37.75198796,37.43207147,37.11276903,36.81188788,36.65407878,36.14687913,36.78609806,35.43827331,35.78643579,36.14687913,36.35749593,36.56013018,37.06978601,37.27242025,37.4750545,37.9914648,37.88646342,37.76365478,38.68287741,39.16797151,39.39209726,39.39516748,39.42648368,39.56095914,39.19560345,39.78201468,39.10656719,38.61349053,39.19007706,39.3257806,39.46148414,39.59718768,29.2474901,29.38319364,29.51889718,29.65460072,29.79030426,,
Iraq,,20.12026431,20.24601596,20.37176761,20.2688799,20.39463155,20.40606352,20.53181517,20.54324714,20.5546791,20.56153829,20.57525665,20.94336603,20.96622997,21.21773327,21.22916524,21.22916524,21.22916524,21.46695018,21.58126986,21.58126986,21.58126986,21.60642019,21.675012,21.72073988,21.74360381,21.76646775,21.76646775,21.92651531,22.38379404,23.06971214,23.49269497,23.02398427,22.44095388,21.78933169,22.15515467,21.82362759,22.15515467,22.72675309,22.49811373,21.26346114,21.42122231,22.56441914,22.33577977,22.10714041,22.29233829,21.14914146,21.60642019,21.60642019,20.14643581,,
Ireland,,81.86964726,81.97125853,82.31964001,82.24706053,82.18899695,81.79706779,82.07286979,82.36318769,82.6099579,82.26157643,82.3341559,82.47931485,82.47931485,82.6244738,82.95833938,82.98737117,83.05995065,83.13253012,83.05995065,83.13253012,83.2051096,83.13253012,82.79866454,82.68253738,82.81318043,82.65350559,82.29060822,82.20351285,82.08738569,82.00029032,64.47960517,64.05864422,63.92800116,63.72477863,63.71026274,63.01349978,64.31993032,64.1021919,64.13122369,64.04412832,64.01509653,63.47800842,63.43446073,62.49092757,62.44737988,61.83771229,62.06996661,60.9667586,60.80708376,,
