Agricultural land (% of land area),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Austria,,49.1206792,49.01152213,48.39296543,48.32019406,48.32019406,47.72589448,47.62886598,47.56822317,47.2650091,47.25288053,47.22862341,47.22862341,46.00363857,46.00363857,45.96725288,44.74226804,44.85142511,45.06973924,44.41479685,44.57246816,44.74226804,44.57246816,42.4742268,42.54699818,42.58338387,42.43784112,42.43784112,42.83808369,43.03214069,42.44996968,42.68041237,42.35294118,41.86779867,41.84354154,41.62522741,41.55245603,41.51607035,41.46755609,41.11582777,41.11582777,40.9460279,40.92177077,40.9460279,39.56337174,39.5755003,39.30867192,39.29654336,38.45967253,38.43260949,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.431078,53.55125586,53.91178945,53.94784281,54.3925009,55.13760365,56.34853773,56.73518742,57.38498789,57.44552058,57.42646169,57.51966122,57.50574574,57.56109364,57.55778773,57.5647543,57.5647543,57.5768579,,
Bahamas,,0.999000999,0.999000999,0.999000999,0.999000999,0.999000999,0.999000999,0.999000999,0.999000999,0.999000999,0.999000999,0.999000999,0.999000999,0.999000999,0.999000999,0.999000999,1.098901099,1.098901099,1.098901099,1.098901099,1.098901099,1.098901099,1.098901099,1.098901099,1.098901099,1.198801199,1.198801199,1.198801199,1.198801199,1.198801199,1.198801199,1.198801199,1.198801199,1.198801199,1.198801199,1.198801199,1.198801199,1.198801199,1.198801199,1.198801199,1.298701299,1.298701299,1.298701299,1.298701299,1.298701299,1.298701299,1.298701299,1.298701299,1.298701299,1.398601399,,
Bahrain,,10.14492754,10.14492754,10.14492754,10.14492754,10.14492754,10.14492754,10.14492754,10.14492754,10.14492754,10.14492754,10.14492754,10.14492754,10.14492754,10.14492754,11.5942029,14.49275362,14.49275362,14.49275362,14.49275362,14.49275362,13.04347826,11.5942029,11.5942029,11.5942029,11.5942029,11.5942029,11.5942029,11.5942029,11.5942029,11.5942029,11.5942029,12.67605634,12.67605634,12.67605634,12.67605634,12.67605634,12.67605634,12.67605634,14.08450704,12.67605634,12.67605634,12.67605634,11.11111111,10.95890411,10.81081081,10.81081081,10.66666667,9.210526316,9.210526316,,
Bangladesh,,72.82784052,72.80479373,72.82784052,73.13513098,74.0339556,74.133825,74.47952677,74.27978797,74.32588154,74.4948913,74.47952677,76.75347622,76.7381117,76.7381117,76.85334562,76.80725206,76.75347622,76.72274718,76.69201813,76.72274718,76.67665361,76.65360682,76.54605516,77.28355228,77.03003764,77.13758931,77.70607667,80.10294231,80.22585849,79.78796958,79.28094031,73.35791657,72.56664362,71.89060459,72.01352078,71.65245448,71.94438043,72.47445648,72.87393409,72.21325958,72.23630637,71.85219329,71.66013674,71.62172544,71.5295383,71.29138818,71.19920104,69.00207421,70.28501191,,
Barbados,,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.29757444,46.11516466,46.07572471,46.04121475,46.01163479,45.87852495,45.88345494,45.75527509,45.61230527,45.000986,44.49539023,44.30311098,44.16448893,44.12069221,44.1498275,43.94282898,43.94775752,44.014397,,
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.90488771,45.87186262,45.93791281,46.03698811,46.00396301,45.73976222,45.64068692,45.24438573,45.34346103,45.04623514,,
Belize,,3.463393249,3.463393249,3.507233669,3.507233669,3.507233669,3.55107409,3.55107409,3.55107409,3.594914511,3.594914511,3.638754932,3.638754932,3.682595353,3.682595353,3.726435774,3.726435774,3.770276195,4.077159141,4.120999562,4.208680403,4.252520824,4.252520824,4.252520824,4.252520824,4.427882508,4.515563349,4.910127137,5.0416484,5.260850504,5.523893029,5.699254713,5.962297238,6.269180184,6.269180184,6.400701447,6.444541868,6.488382288,6.488382288,6.57606313,6.532222709,6.532222709,6.663743972,6.663743972,6.663743972,6.663743972,6.663743972,6.663743972,6.663743972,6.663743972,,
Benin,,13.03561743,13.21641656,13.39721569,13.57801483,13.75881396,14.03001266,14.39161092,14.66280962,15.43120593,15.61200506,16.06400289,16.33520159,16.51600072,16.78719942,17.14879769,17.41999638,17.69119508,17.87199421,18.05279335,18.32399204,18.59519074,18.89350931,18.98390888,19.07430844,19.25510758,19.79750497,19.88790454,19.9783041,20.06870367,20.5207015,20.61110107,20.74670042,20.97269933,21.69589586,22.78069065,24.49828241,26.1254746,27.57186766,28.11426505,28.88266136,29.51545833,30.41945399,31.34152956,32.24552522,31.82064726,30.14825529,30.19345507,30.69065268,29.83185681,,
