"0-4 years, number",1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Turkmenistan,142000,207000,286000,351000,354000,399000,437000,497000,579000,591000,493000,513000,520000,526000,509000,470000,437000,432000,435000,432000,419000
Uganda,945000,1129000,1293000,1533000,1828000,2129000,2463000,2895000,3504000,4202000,4848000,5634000,6551000,7407000,8163000,8739000,9160000,9490000,9735000,9863000,9838000
Ukraine,2988000,3803000,4178000,4087000,3467000,3697000,3628000,3765000,3665000,2856000,2108000,1983000,2248000,2381000,2284000,2035000,1820000,1756000,1839000,1916000,1871000
United Arab Emirates,12000,14000,16000,22000,33000,64000,135000,180000,237000,245000,255000,299000,309000,324000,312000,308000,324000,350000,369000,378000,380000
United Kingdom,4347000,3854000,4142000,4741000,4629000,3929000,3409000,3605000,3824000,3780000,3544000,3446000,3708000,3755000,3851000,3898000,3853000,3807000,3854000,3947000,4024000
United States,17237000,19271000,20867000,20041000,17759000,16504000,16670000,18108000,19590000,20575000,20231000,20924000,21965000,21956000,21958000,21828000,21756000,22029000,22424000,22719000,22812000
Uruguay,220000,231000,256000,272000,266000,276000,277000,263000,271000,281000,271000,255000,247000,240000,234000,227000,220000,216000,210000,205000,199000
Uzbekistan,662000,1080000,1567000,1894000,1916000,2192000,2415000,2856000,3270000,3306000,2859000,2605000,2601000,2744000,2775000,2655000,2446000,2258000,2211000,2241000,2230000
Vanuatu,9000,10000,12000,14000,15000,17000,20000,22000,25000,28000,29000,31000,34000,36000,37000,37000,38000,39000,39000,39000,38000
Venezuela,935000,1161000,1395000,1716000,1848000,1959000,2295000,2506000,2726000,2747000,2782000,2863000,2934000,2948000,2915000,2863000,2808000,2747000,2673000,2589000,2562000
Vietnam,3389000,4897000,5927000,6878000,7320000,7660000,8314000,9010000,9725000,9349000,7813000,7547000,7185000,7174000,7117000,7044000,6742000,6474000,6324000,6257000,6182000
Virgin Islands (U.S.),4000,5000,5000,9000,9000,16000,11000,14000,9000,11000,8000,8000,7000,7000,6000,6000,5000,5000,4000,4000,3000
West Bank and Gaza,187000,182000,191000,225000,203000,239000,273000,320000,396000,477000,589000,661000,718000,765000,808000,848000,882000,902000,911000,913000,912000
Western Sahara,2000,3000,5000,9000,13000,13000,23000,31000,34000,36000,39000,48000,55000,62000,67000,65000,61000,58000,58000,59000,60000
"Yemen, Rep.",755000,884000,987000,1109000,1270000,1474000,1768000,2197000,2625000,3042000,3278000,3479000,3918000,4272000,4525000,4629000,4657000,4685000,4710000,4679000,4554000
Zambia,434000,475000,560000,671000,804000,949000,1110000,1240000,1421000,1618000,1902000,2141000,2369000,2547000,2694000,2797000,2872000,2947000,3015000,3060000,3073000
Zimbabwe,442000,615000,726000,866000,1015000,1215000,1450000,1674000,1782000,1830000,1765000,1703000,1731000,1845000,1959000,1934000,1857000,1813000,1818000,1831000,1803000
