"0-4 years, number",1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Costa Rica,155000,207000,249000,293000,285000,279000,318000,367000,411000,404000,397000,393000,370000,388000,379000,376000,368000,362000,358000,355000,352000
Cote d'Ivoire,431000,516000,638000,803000,1009000,1297000,1655000,1945000,2183000,2444000,2701000,3004000,3218000,3410000,3531000,3622000,3703000,3765000,3797000,3794000,3763000
Croatia,389000,388000,352000,345000,296000,308000,316000,320000,290000,264000,234000,208000,210000,213000,207000,199000,189000,183000,182000,185000,185000
Cuba,776000,892000,890000,1231000,1223000,1135000,803000,786000,876000,770000,714000,669000,580000,556000,537000,508000,473000,438000,411000,387000,366000
Cyprus,67000,65000,75000,70000,59000,47000,57000,62000,62000,61000,53000,48000,50000,54000,57000,59000,58000,57000,58000,61000,64000
Czech Rep.,888000,846000,721000,691000,690000,847000,878000,695000,647000,593000,443000,468000,548000,564000,536000,500000,471000,473000,505000,535000,539000
Denmark,416000,375000,368000,392000,388000,362000,314000,265000,291000,339000,337000,325000,315000,297000,298000,310000,316000,312000,302000,293000,290000
Djibouti,12000,12000,15000,22000,30000,41000,60000,70000,97000,102000,105000,107000,109000,111000,114000,116000,117000,115000,114000,114000,114000
Dominican Rep.,458000,557000,674000,772000,832000,867000,898000,965000,1016000,1057000,1047000,1075000,1087000,1071000,1045000,1017000,989000,958000,921000,882000,844000
Ecuador,535000,688000,786000,907000,1039000,1162000,1284000,1367000,1404000,1418000,1458000,1426000,1371000,1342000,1326000,1294000,1253000,1202000,1152000,1103000,1076000
Egypt,3731000,4221000,4865000,5312000,5793000,6251000,7281000,8260000,9332000,8249000,8542000,9081000,9657000,9904000,9675000,9386000,9290000,9310000,9234000,8950000,8545000
El Salvador,365000,442000,520000,607000,671000,733000,787000,784000,778000,802000,771000,635000,607000,615000,617000,614000,577000,544000,520000,504000,495000
Equatorial Guinea,30000,36000,38000,41000,45000,37000,30000,50000,72000,83000,90000,97000,108000,122000,131000,135000,137000,140000,144000,147000,147000
Eritrea,213000,226000,262000,297000,337000,388000,498000,483000,538000,556000,597000,735000,849000,893000,887000,873000,885000,922000,958000,967000,945000
Estonia,92000,91000,97000,98000,97000,111000,110000,114000,120000,80000,63000,65000,78000,84000,82000,74000,65000,62000,66000,70000,71000
Ethiopia,3387000,3579000,3954000,4597000,5265000,5954000,6357000,7467000,9051000,10737000,11735000,12583000,13819000,14734000,15397000,15767000,15882000,15822000,15712000,15461000,15003000
Fiji,55000,65000,76000,80000,75000,77000,87000,102000,95000,95000,96000,91000,86000,82000,78000,76000,73000,70000,65000,59000,55000
Finland,500000,445000,413000,392000,348000,302000,320000,325000,311000,326000,295000,285000,295000,303000,304000,300000,292000,284000,283000,285000,287000
France,3961000,3858000,3990000,4245000,4130000,4113000,3655000,3845000,3803000,3622000,3677000,3849000,3839000,3667000,3600000,3548000,3550000,3610000,3640000,3597000,3529000
French Guiana,4000,4000,5000,6000,7000,8000,8000,9000,15000,20000,22000,27000,27000,28000,30000,31000,32000,33000,33000,33000,33000
French Polynesia,11000,12000,14000,16000,19000,18000,21000,24000,25000,22000,24000,23000,24000,24000,24000,23000,22000,21000,21000,21000,20000
Gabon,49000,56000,57000,62000,69000,86000,106000,129000,152000,178000,180000,180000,185000,191000,196000,197000,195000,193000,192000,189000,185000
Gambia,43000,41000,49000,61000,74000,90000,110000,130000,156000,190000,225000,253000,275000,295000,312000,326000,336000,344000,349000,351000,351000
Georgia,287000,399000,491000,520000,436000,443000,433000,459000,457000,389000,276000,234000,247000,237000,222000,201000,184000,178000,178000,172000,162000
Germany,4529000,5180000,5698000,6455000,5988000,4367000,4015000,4145000,4409000,4114000,3903000,3629000,3346000,3246000,3280000,3239000,3133000,3016000,2935000,2915000,2953000
Ghana,925000,1001000,1224000,1462000,1646000,1861000,2002000,2291000,2535000,2786000,2969000,3182000,3411000,3619000,3731000,3817000,3868000,3944000,4029000,4089000,4109000
Greece,744000,735000,755000,720000,770000,690000,718000,688000,552000,523000,525000,516000,539000,515000,490000,471000,466000,474000,487000,494000,494000
Grenada,15000,15000,18000,18000,13000,13000,12000,15000,15000,12000,10000,9000,10000,10000,10000,8000,7000,6000,6000,6000,6000
Guadeloupe,36000,39000,45000,49000,50000,45000,30000,32000,29000,29000,29000,35000,33000,32000,31000,29000,28000,27000,27000,26000,24000
Guam,8000,9000,11000,11000,12000,12000,13000,14000,15000,18000,17000,17000,16000,16000,16000,16000,16000,16000,15000,15000,14000
