Per capita government expenditure on health (PPP int. $),1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Cameroon,12.09672522,12.51625612,14.34639879,11.96633982,13.16254307,15.32005422,19.37913847,22.88188316,24.5351734,21.7004784,22.241759,22.27330361,22.70834329,22.87290104,30.21754867,36.00660909
Canada,1463.524479,1455.042966,1507.749724,1629.503113,1690.534703,1772.345336,1912.494909,1996.129126,2145.929801,2254.65469,2422.024391,2563.147815,2703.339989,2816.723549,3047.061937,3104.412862
Cape Verde,61.51347306,59.29725216,59.53282779,64.8557563,63.97151631,69.91016056,82.15619855,84.01221407,81.17264102,93.97569118,96.67887613,124.7438178,125.7811113,129.5294819,129.1625204,138.0872323
Cayman Islands,,,,,,,,,,,,,,,,
Central African Republic,8.90418006,6.53286574,8.72293147,7.41566442,8.91168602,10.81594593,10.16668327,10.97261109,10.18126281,9.85672213,8.85072062,9.48093598,10.41350945,9.99258075,10.42433091,11.01868774
Chad,12.63635878,12.97897532,12.93779812,11.56562187,13.52368643,17.74371775,17.57128449,19.35226685,23.86806683,21.22716256,26.70822798,17.85871471,13.50664931,10.55572288,11.89584249,15.40084611
Channel Islands,,,,,,,,,,,,,,,,
Chile,191.3959524,219.7414023,239.592618,272.3993616,288.8758619,320.0036264,350.4089631,365.2119586,302.4765038,318.127882,337.377276,363.8261407,414.2575562,481.8961554,575.7922683,577.5917441
China,26.56386308,29.16708385,32.50050957,35.82621287,39.27583707,41.39616015,41.94617,48.87707372,55.61771228,64.29339171,74.05678978,87.35580113,112.8417843,142.2348814,182.2520765,203.0948312
Christmas Island,,,,,,,,,,,,,,,,
Cocos Island,,,,,,,,,,,,,,,,
Colombia,237.9573605,321.0905166,362.7326738,391.9387888,398.3407034,303.365066,307.6017615,316.326427,346.3265541,360.2763289,381.0737573,411.4688424,439.5037216,439.0832786,487.9369641,518.0387876
Comoros,25.99393643,23.99879065,23.6274201,19.98996205,18.10724748,14.16521064,10.47849836,16.18348665,17.86585463,20.50667574,23.52838431,27.05233634,30.0729825,33.08608653,18.27064936,33.01074839
"Congo, Dem. Rep.",0.44,0.32,0.54872237,0.47,0.6155052,0.46,0.51373724,0.57850149,2.65516209,3.10547494,4.85524957,5.55179318,6.92035131,11.19401065,14.01832339,11.58575564
"Congo, Rep.",48.32362476,45.77931056,45.72076233,57.47294581,45.26926518,33.70247396,38.09331128,38.15919513,38.79457889,42.50219398,48.38753323,53.75501702,55.13227358,46.96751872,51.51053309,48.37981884
Cook Is,248.5702106,228.3724283,190.2333479,203.9109898,176.9454654,218.1188417,318.704824,255.7323869,286.6590093,283.9914424,345.5155485,317.9699082,336.7486407,343.781488,358.4128582,390.5344333
Costa Rica,292.6882946,297.9799213,286.3720676,315.1979114,334.8838524,361.623912,392.0911489,428.2513093,459.7424557,471.5942532,493.4155544,549.4383065,652.0734148,708.9400455,778.3848815,845.4956462
Cote d'Ivoire,16.26788619,19.97686879,23.10384905,22.22124673,21.33097533,21.32789085,15.42894123,16.44315928,15.32793293,17.3382854,14.20902767,15.29137782,22.52147368,24.8925753,19.76752325,21.06818627
