Per capita government expenditure on health (PPP int. $),1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Nigeria,13.09198818,11.11277863,13.17571306,17.9418077,20.20737638,20.05381232,20.17185008,13.50289219,25.08805218,37.46415251,33.69758184,36.25003722,47.52552114,50.18310519,47.65812879,45.98264783
Niue,245.7180915,321.7555729,303.6006543,292.4819434,306.3443924,801.7135863,4130.994822,1245.530435,1564.611859,1999.233405,2014.982369,2562.706218,2780.910524,3017.99908,3257.41928,3548.87089
Norfolk Island,,,,,,,,,,,,,,,,
Northern Cyprus,,,,,,,,,,,,,,,,
Northern Mariana Islands,,,,,,,,,,,,,,,,
Norway,1730.332212,1832.759793,1909.48753,2084.529094,2295.028066,2509.4999,2727.73269,3028.341474,3209.790303,3408.11725,3594.028752,3860.810914,4110.513162,4407.629301,4501.665159,4552.34561
Oman,394.837052,398.8203243,400.2147926,450.7342428,436.5215534,536.9342259,580.2694917,626.0316573,626.2749952,606.6079909,562.7428686,529.0459779,599.8460814,478.8066565,650.770629,478.8680695
Pakistan,12.13457953,13.66367063,12.63695792,11.0867471,11.09909771,10.47672602,9.67789284,14.4483116,11.98859606,13.65745438,14.99170674,18.82479485,19.66504082,21.39393492,19.76766058,22.59311033
Palau,991.2504313,1144.972459,1124.321487,913.0211949,926.807979,946.277371,949.5376848,931.9111727,958.5678887,1116.537327,1078.195524,1155.980007,1208.690666,1091.823766,1115.295841,1088.970731
Panama,305.395405,276.2604516,309.4392141,320.171117,318.1535297,380.9142441,376.8095412,411.2932639,391.3478902,479.1029861,477.1565994,476.6297384,495.0090574,640.1293638,788.0418966,843.7195979
Papua New Guinea,55.20642425,61.31515341,51.06643264,56.04783827,60.10361427,56.29756974,64.63595888,61.78364938,56.79714974,67.34600421,57.02332484,50.89940676,48.55239473,54.48046077,60.05261919,62.75820684
Paraguay,83.03911689,98.33365274,97.06785383,114.2703954,121.2891648,125.915659,108.5047368,98.30122134,84.41564917,86.40880694,95.93362439,111.0962635,109.5477725,115.7597992,115.2108185,110.0749582
Peru,105.3189406,109.2549445,107.4549411,118.5861178,130.4270008,135.3763969,134.5840899,145.0419841,145.2956601,150.3034729,169.2618114,178.729742,231.7936502,309.9295448,268.665077,259.8666111
Philippines,28.01662911,31.40754394,35.35150089,30.72741594,32.70978323,36.50409293,32.6237606,28.37252685,34.87004442,36.89192054,41.8222344,39.75057739,41.50414516,39.82165137,46.64313125,50.31304161
Pitcairn,,,,,,,,,,,,,,,,
Poland,298.5725629,350.1662566,357.7704886,365.5880593,407.7435944,408.5677899,461.3008867,521.376157,523.0493574,553.7323625,593.6111261,653.0649156,763.5235831,913.5790135,1005.843306,1071.935634
Portugal,634.8463501,713.3465407,762.2313147,812.0577078,897.7718161,1091.965775,1133.477274,1207.283329,1287.080722,1339.522208,1483.916708,1522.380008,1590.506148,1632.812878,1824.795355,1920.737679
Puerto Rico,,,,,,,,,,,,,,,,
Qatar,976.9386664,1067.117323,1226.25178,1382.709526,495.482043,1043.556856,1305.605202,1465.515977,2535.048203,2508.597197,2093.319787,1829.144467,1572.667277,1236.490224,1540.725951,1256.645689
Reunion,,,,,,,,,,,,,,,,
Romania,136.941487,141.9070034,185.0745537,150.9251062,181.6750578,201.1999083,227.0009182,265.6510518,347.2044699,359.7957724,417.8067428,453.389981,551.3813058,668.4100267,646.372903,633.677858
Russia,221.5825496,218.2052428,285.990981,235.3040985,211.9496384,221.1602231,244.673571,283.0726274,304.1222343,315.6973612,381.0578372,499.8691645,575.3073578,624.8783178,660.8674298,619.7328952
Rwanda,7.81334613,9.84831113,10.37427989,14.41397354,11.24350751,9.68455652,13.27957835,15.20737624,23.40948053,25.32508147,30.96618138,46.19528684,43.4396252,47.69866378,53.8223155,60.59404271
St. Barthélemy,,,,,,,,,,,,,,,,
St. Helena,,,,,,,,,,,,,,,,
St. Kitts and Nevis,260.8874711,275.3208842,276.7515575,286.5040331,302.5246242,341.80696,322.9793274,308.2914611,290.9852428,279.6716576,305.656548,421.426571,410.9219056,366.11613,339.0627237,525.4780537
St. Lucia,189.982039,233.9187059,200.8677486,219.2220775,224.4172369,232.8789897,245.6124414,251.1917612,242.2854169,264.8401098,273.2652628,332.0230211,335.3996948,410.4660804,502.2037563,486.3689595
St. Martin,,,,,,,,,,,,,,,,
St. Vincent and the Grenadines,144.7251401,148.617793,178.1950193,164.5640289,178.5503024,192.4000099,203.5207942,238.2157904,247.7359059,254.6784061,261.6035847,315.434316,357.5926603,438.115385,410.9528841,402.6528541
St.-Pierre-et-Miquelon,,,,,,,,,,,,,,,,
Samoa,71.68028681,90.46876608,93.82731266,101.9111393,119.7741959,125.2522726,127.4675684,137.8626841,136.1345785,144.1381663,154.2717521,182.0969266,213.1032404,213.149929,199.7356638,247.697221
San Marino,1672.138472,1701.944373,1732.860492,1842.623,2042.75618,2119.772089,2196.356974,2851.065554,2236.045555,2452.372373,2486.041744,2517.254248,2626.730675,2554.00857,2417.17763,2435.418612
Sao Tome and Principe,34.5571352,32.14036537,84.41800712,85.04319086,115.3803337,115.8014239,36.93572189,39.53296468,73.56621866,68.58189765,82.20734714,61.96078696,59.72549752,58.4577887,57.89684113,54.43901679
Saudi Arabia,243.4200308,264.200639,295.7242316,338.1695581,482.5646551,549.709682,584.5943934,543.907773,538.8229051,513.0177773,526.3704526,588.1795178,582.9689113,460.5153636,601.5043218,608.209046
Senegal,14.74098944,17.28515517,17.02184136,18.10613975,21.2371404,21.55944509,23.68450756,27.35862103,31.1143295,33.69943843,50.06150115,57.54019437,58.22456994,58.71381362,57.73468245,60.24906171
Serbia,186.587907,129.7513192,213.9801952,229.0800416,207.2868228,302.1578278,326.8778367,428.9288885,433.3162024,463.3030065,509.3001222,560.1713911,642.925353,737.7464347,719.0562986,723.3129359
Serbia and Montenegro,,,,,,,,,,,,,,,,
Serbia excluding Kosovo,,,,,,,,,,,,,,,,
Seychelles,525.8920963,588.1344364,716.8844859,681.6158036,703.8974506,664.3728659,650.4714184,638.7786141,685.3222402,741.4465776,668.3757099,711.7043976,678.9194851,659.9989046,660.2142802,721.4844754
Sierra Leone,5.98392343,6.23558191,6.08506938,4.95198737,6.70153535,7.78175292,9.33595277,11.67314746,12.99825939,8.78320145,11.78357362,10.40748758,6.86147621,10.22897681,11.53864361,12.14592096
Singapore,386.6070748,394.2104156,411.0730096,494.2598279,469.1740949,421.885123,417.2861911,379.3815485,503.033819,426.2862784,465.5384854,482.53348,502.9442218,609.6807797,762.4102783,824.9825574
Slovak Republic,446.0246116,515.4293767,516.7160154,534.6763475,536.7862365,539.7014569,593.2633489,650.0659867,698.8031361,779.8232374,847.7161215,922.2871709,1082.515323,1260.110996,1369.115334,1356.765286
Slovenia,754.6592407,803.9026785,863.6070542,925.1981153,985.8104161,1073.345754,1158.166811,1249.697678,1269.371471,1358.024977,1424.082025,1520.502986,1531.765589,1793.883509,1872.703329,1879.485903
Solomon Islands,73.06042854,67.90426874,72.64219189,78.47525599,83.39848268,86.1923196,113.076049,102.6075548,105.0914463,101.533617,159.9495865,138.8283455,133.5388595,136.9756214,212.6818247,212.2953541
Somalia,7.21987173,7.4288293,7.45645314,7.775139,7.47872991,7.55987041,7.68091101,,,,,,,,,
Somaliland,,,,,,,,,,,,,,,,
South Africa,169.2971719,171.3696519,197.6132746,209.291429,226.1198138,228.1467017,239.121437,241.8257809,260.0195984,257.1911544,286.6213911,311.7595239,339.7003975,375.3312473,406.9671632,412.3371559
South Ossetia,,,,,,,,,,,,,,,,
Spain,858.8611893,901.9894182,940.3235864,998.2415387,1044.688512,1101.08367,1164.271928,1244.070732,1421.089435,1500.094624,1600.944913,1808.371115,1954.856814,2157.413106,2258.072641,2204.277595
Sri Lanka,32.10741366,33.6450496,34.18324976,44.40318349,43.37709957,49.14092112,46.68444298,46.69803618,49.76506603,63.42615844,66.78220614,76.374031,77.3506108,71.79518857,68.93582066,66.42722548
Sudan,4.27684482,9.41431695,9.14583905,10.46918786,8.57852091,11.36800506,12.78463452,13.87606591,16.79265817,19.74020599,22.10684214,29.13342296,40.02626717,48.66775624,43.89570968,42.16181178
Suriname,107.511244,128.2412949,145.0997011,201.9216065,170.6788052,170.704903,179.8533059,173.0224122,174.6896741,189.8053912,212.6220047,254.1332884,251.4409463,230.1459702,289.3530621,250.1655417
Svalbard,,,,,,,,,,,,,,,,
Swaziland,82.6658261,92.09744242,87.61850067,92.34938587,99.16169752,109.8297462,112.9095238,121.2791006,155.1226169,139.4149477,158.3662044,189.325872,183.0384401,212.1236647,223.4866075,211.7362733
Sweden,1508.428734,1614.711811,1617.931224,1700.082727,1825.500309,1940.657723,2029.340561,2199.915637,2322.374693,2403.85646,2404.912516,2590.208328,2792.103829,2969.125127,3032.717692,3046.77952
Switzerland,1364.314399,1480.208704,1557.445609,1624.114087,1689.190715,1779.084782,1935.430338,2103.767461,2184.551886,2278.877435,2367.198212,2488.092637,2690.878054,2908.863021,3048.711549,3183.562997
Syria,68.37908167,63.29599332,61.67738388,67.88222969,66.60954319,65.91276709,73.07768361,78.91099238,87.73459073,83.07551854,85.79249359,81.31507784,86.94384468,76.67971315,83.81210358,80.13259612
Taiwan,,,,,,,,,,,,,,,,
Tajikistan,10.83291016,9.10167841,11.48409297,8.62029037,8.16852996,8.12732029,9.10305542,9.55231415,10.71393568,12.51664814,17.16050942,18.45756363,21.07563021,26.5295291,30.72420205,34.23773598
Tanzania,9.67724543,8.85681686,10.66033913,9.70016334,9.38164045,10.94766699,12.67883855,12.81115553,16.53971451,14.69799875,19.60783427,42.81618132,43.62786144,42.91819398,48.36505649,56.16554299
Thailand,76.79670218,89.43483,105.7840596,90.10407861,88.41050734,92.88427027,94.05920646,125.1047629,131.6455383,142.2156664,152.5196951,182.3714661,209.6134681,242.1050038,244.228713,247.4187057
Timor-Leste,91.30582431,66.50430688,123.6909771,52.45890729,44.73349344,47.70196322,51.99165062,50.53353875,52.70952844,58.57924317,83.92264857,93.0905331,82.55213598,78.69775127,68.06560506,46.88450365
Togo,12.54407556,12.33055547,12.39280028,13.27535042,11.58731933,11.33998649,9.47160709,7.15064644,11.1059202,13.26922302,16.26887386,20.34556323,20.01627416,22.94816877,31.84890596,34.01179905
Tokelau,,,,,,,,,,,,,,,,
Tonga,78.06573313,82.86274492,90.80871886,99.8840376,123.1030766,114.8784793,155.6398179,144.7410882,166.7930651,162.7756046,234.8443447,204.2574726,247.6355436,238.2267838,167.1879811,186.7806484
Transnistria,,,,,,,,,,,,,,,,
Trinidad and Tobago,202.6235765,189.5661749,191.5843841,157.1895486,215.6843688,205.9426626,256.1369815,347.9038749,402.5985247,436.7399379,600.4601225,622.5952953,594.9605379,569.1349328,887.7446987,868.0693872
Tunisia,114.5122575,116.9481534,122.0734662,129.4675967,137.3878596,159.6341204,162.3194854,163.560701,176.6088836,197.9892479,208.2766197,230.9487028,245.7981949,269.0372902,262.667328,262.2072792
Turkey,125.5857639,154.0476329,186.1390723,221.5346335,238.0279973,285.598092,302.5529777,328.1580515,337.5059174,389.0252314,421.167149,511.9245249,569.4605058,663.4814471,719.2007493,773.9483134
Turkmenistan,30.87753732,35.06014665,47.99874682,51.55815566,41.00868762,66.17263184,70.64908783,70.984977,93.61724527,99.82066335,96.23947225,83.70125215,85.50499752,73.6698231,107.0848652,118.0347626
Turks and Caicos Islands,,,,,,,,,,,,,,,,
Tuvalu,77.50111652,173.4826055,140.1991212,170.2684502,187.6390625,324.5472523,379.2630134,347.4408301,493.9346324,393.3950844,414.7078272,463.7588665,443.388841,567.193485,387.8482761,472.2232314
Uganda,9.17098104,10.01903333,11.01924618,10.03210732,13.75900855,12.22184448,14.13822351,17.01599051,17.87769602,16.45422878,20.8540937,20.90967283,19.70390481,20.08055826,25.70378847,27.04301607
Ukraine,132.4421048,114.9619339,100.3823229,104.4209266,88.75606185,95.41902156,114.0973249,140.733359,182.4164345,202.8613643,213.6465701,242.9410404,274.8569511,280.2538391,272.6029576,293.8420018
United Arab Emirates,752.5352178,719.2438503,756.0522519,784.887759,720.0283511,664.0913739,776.5764435,683.7167464,700.2990687,633.7169632,550.1495025,553.5846698,563.5666471,612.9665361,1504.890897,1147.934138
United Kingdom,1128.970639,1188.541981,1190.002514,1246.215683,1347.197238,1447.354674,1594.010353,1742.872952,1854.660944,2066.308541,2208.048611,2408.811837,2446.141166,2662.954957,2893.052615,2918.890886
United States,1683.124404,1753.8401,1811.228438,1843.058284,1916.391915,2031.765381,2231.182833,2404.820625,2608.07098,2785.60295,2953.582404,3174.434494,3356.070268,3554.238744,3794.852087,4436.607049
Uruguay,475.8332817,424.0107717,286.8688805,320.0373249,539.1119008,519.9085811,502.3650273,455.1145856,395.2567069,362.9451338,403.9679384,456.1020987,489.7409492,623.2253367,718.141627,796.7065055
USSR,,,,,,,,,,,,,,,,
Uzbekistan,42.52525714,44.4076002,41.74653643,38.78474762,38.54736555,36.21404166,38.70162407,38.52395179,39.90828189,41.67545568,45.98818928,54.32276307,56.71108253,68.71568398,80.26021624,87.39477584
Wallis et Futuna,,,,,,,,,,,,,,,,
Vanuatu,27.79438977,23.19146868,31.96693823,96.3717226,83.78088333,92.04565154,90.27149601,89.33825097,87.59834558,85.47161109,83.38905836,95.23794575,132.1724969,159.6313762,188.4608503,217.4451343
Venezuela,148.9987631,121.8548764,121.1687508,127.6297566,170.4191688,199.8066347,212.9121693,177.4545842,165.0222829,203.7109164,232.4289874,263.5073703,325.9890459,308.2897325,294.0723347,205.5031364
West Bank and Gaza,,,,,,,,,,,,,,,,
West Germany,,,,,,,,,,,,,,,,
Western Sahara,,,,,,,,,,,,,,,,
Vietnam,17.10808387,17.41583605,18.62727709,21.30249561,22.20742989,22.79777672,26.51476408,25.45096118,29.52644938,29.29040825,33.10656953,50.15745044,73.03706,63.0595996,76.41427271,81.48723828
Virgin Islands (U.S.),,,,,,,,,,,,,,,,
North Yemen (former),,,,,,,,,,,,,,,,
South Yemen (former),,,,,,,,,,,,,,,,
Yemen,22.94287734,34.9822675,37.66764963,47.93894008,45.27065062,47.88679344,53.82787577,53.83790631,59.81293918,44.06171703,39.41969212,41.99896238,41.23227037,43.46283828,36.92070981,29.52417218
Yugoslavia,,,,,,,,,,,,,,,,
Zambia,28.28864994,32.25671546,36.6577899,35.5298624,25.3199739,26.50901891,32.1842101,41.47606812,41.70008675,41.25152412,44.45227678,47.63306659,42.87848713,50.67649975,52.82164555,54.37256589
Zimbabwe,31.45901549,29.59361884,31.86007437,46.19169035,27.03307976,36.6975584,21.47443572,,,,,,,,,
Åland,,,,,,,,,,,,,,,,
South Sudan,,,,,,,,,,,,,,,,
Christian,,,,,,,,,,,,,,,,
Coastline,,,,,,,,,,,,,,,,
