Gross capital formation (% of GDP),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Afghanistan,16.11570992,16.5991984,19.10570211,14.2011895,13.88889379,11.25827903,8.412698211,5.179282604,6.472491749,6.466876815,5.463794019,5.461171117,6.545961686,7.307692267,8.762886565,9.765258427,13.65217363,12.41534934,13.87205376,,,,,,,,,,,,,,,,,,,,,,,,11.63623884,16.21977173,17.40661844,31.26924313,34.71401964,31.88333971,16.32816667,15.41344538,16.28264669,
Albania,,,,,,,,,,,,,,,,,,,,,34.5475611,35.12101172,37.91706925,36.07390593,31.78073909,32.75217906,30.90856828,28.41824784,28.90404365,31.72207135,29.30532991,7.338758856,5.199992205,13.19999967,17.89999954,21,20.70206617,16.79393123,16.2958486,19.05411026,24.73586839,27.54639593,24.48702853,23.43568432,23.8393726,23.59643527,25.04644823,29.75713566,32.12521259,28.96919821,25.92811323,
Algeria,42.18457728,47.18952902,35.42061327,28.94066237,21.84660842,22.60394354,17.32413164,23.43441675,27.86792221,32.35273655,36.64906886,35.28134096,34.30249108,40.28419576,40.01653614,45.40682683,43.35027578,46.91473748,52.21935259,42.54592652,39.07692343,36.99059478,37.28323754,37.5695321,35.16442287,34.56916944,33.55592414,27.55637979,27.63948339,30.07323412,28.58941956,31.84132807,30.75748786,29.09090776,30.08014286,30.90855624,25.67841235,22.44697411,27.14848325,28.49445585,25.02428495,27.32933661,31.18741637,30.47227552,33.26822628,31.51086812,29.5018797,34.22280316,33.36864982,46.7,41.4,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,17.96408296,16.19839386,16.0251339,11.81800291,12.20454427,11.71327651,12.94747531,3.617690627,11.19330055,16.59503968,,34.69666413,25.46783142,35.53248861,27.13467651,15.05300268,13.40249406,12.56935468,12.66379563,9.112799398,8.072892673,11.31822141,13.72117553,15.98474727,14.81884062,14.53950825,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,20.64505291,19.29642274,24.29231078,34.79372771,41.93423797,39.43941625,20.44317636,23.61039959,27.80580804,35.69556573,45.80209133,39.83794244,41.24718331,32.44107298,37.61021452,34.79146413,31.68377245,32.40386776,33.98036342,35.32069156,39.25715461,43.04641382,45.10454545,34.9959505,27.17822456,33.82810372,34.37773672,34.35890285,35.8857473,38.04026101,43.52753554,24.87688317,17.76197762,,
Argentina,23.47923423,27.76644705,21.73093501,18.27287882,21.47391261,22.42767575,20.54254663,21.21503578,21.69049729,23.9906052,24.44009524,24.11303242,23.89154462,20.89381153,22.26033179,29.44104696,30.72943959,30.9416888,27.80015957,25.85676946,25.25778629,22.69108872,21.75494795,20.88775231,19.96409245,17.58906692,17.46176421,19.554866,18.6400389,15.51469828,13.99698158,14.63697741,16.70240577,19.05643411,19.9389778,17.93773655,18.08218021,19.3701311,19.93495415,18.01402229,16.19264955,14.17911986,11.96064204,15.13751321,19.16712423,21.45593672,23.35399886,24.20095035,23.28577381,20.92062284,22.00224752,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.14768436,39.77914418,1.631258177,9.872202692,23.45013708,18.42448997,20.00623015,19.06556313,19.13626393,18.35231773,18.64358184,19.75796274,21.66709224,24.25793068,24.87835868,30.46632124,35.90613141,37.78256666,40.87114286,34.66971347,33.3685797,
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
