Total reserves (% of total external debt),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Honduras,,,,,,,,,,,18.31109654,15.6679037,21.35721302,21.29038628,15.89364491,25.57690133,35.97171359,24.15346503,20.08408967,18.26145495,10.81522278,6.297610075,6.483417788,5.628947056,5.822791929,4.066809782,3.951193246,3.446830097,1.709941202,0.8126033252,1.252640853,3.307311733,5.255756677,2.420124191,3.7922677,5.560739449,5.414514172,12.01166741,16.35448462,23.56398024,24.41330514,28.7066554,28.97334528,26.2495748,32.64481751,44.74637591,62.86581553,77.02774226,71.08818978,57.4272315,64.80063859,
"Hong Kong, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,,,,,,,,,,,12.14432698,13.35462923,13.63607074,14.85809288,18.30874219,14.88012103,25.54550114,39.31676012,49.77483192,64.02741783,56.95357026,34.96346791,29.63530067,25.75487976,25.11530972,23.36459557,22.26117948,20.4901831,14.89782874,10.5982585,6.581079312,8.767698863,10.63863486,15.76977721,24.31620668,24.02413804,26.22407972,29.97369024,31.02688657,36.32196099,40.95957633,49.72560023,68.31797847,88.00803739,107.378071,114.6420346,112.3337055,136.2933343,113.9067984,113.8762886,103.5131847,
Indonesia,,,,,,,,,,,3.539699559,3.769763995,9.893357624,11.15604099,16.48328374,5.151657459,10.73655871,15.40089557,14.83311053,22.57966152,32.49142936,27.45034609,18.15393852,16.2178933,17.89204128,16.3129809,12.2677587,13.50745253,11.695252,11.28228546,12.39367085,13.02514371,13.05092354,13.99269756,12.35624392,11.9846599,15.03709133,12.82752576,15.58483019,18.05426141,20.47729143,21.28305479,25.06734892,27.17357318,26.48162387,25.85157789,33.98438021,42.53784949,34.98170195,40.60107983,53.73005093,
Iran,,,,,,,,,,,,,,,,,,,,,284.0398929,86.37633643,93.31860759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamaica,,,,,,,,,,,14.17488502,17.67410523,15.33865963,10.5672703,13.26556035,7.779674515,2.23476599,2.957720628,4.132867234,4.081300651,5.489888932,3.679755264,3.809705192,1.820020164,2.680387515,3.905943524,2.317234869,3.665042498,3.188355571,2.316358555,3.531965467,2.312660375,7.039992199,9.505366421,15.9643007,14.87132814,21.67123971,18.07391908,18.19450035,14.12224539,22.30426952,35.30985466,29.8945383,21.2740623,28.62392222,33.22371629,28.76885405,18.02532334,17.15941678,18.89396162,18.03877521,
Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,,,,,,,,,,,216.2478504,168.0386796,162.1788713,167.6872848,170.4671779,166.4668783,133.8521117,97.45896098,96.17935906,111.7044919,93.45645343,69.10214878,52.0122769,41.04008225,25.6144414,19.51719399,17.65559359,14.52867768,7.001558198,10.53343002,13.66561671,11.3890063,12.92987971,25.46103491,26.43765326,29.75577492,27.82066473,33.30578847,26.29626122,34.26929458,46.7894744,42.1305003,50.76836485,64.3580308,67.52433036,70.95940631,86.68129525,94.6698038,135.5420085,183.4481172,174.2936749,
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.16322544,43.59735351,44.26093413,67.07490061,54.50761012,32.30263301,32.64641716,16.88278632,16.83245898,17.46781022,21.79526941,28.26894534,16.2603445,26.40305744,18.46417135,18.53413706,20.86404613,23.8072976,
Kenya,,,,,,,,,,,46.03470769,34.33371284,34.75694573,27.58893375,16.76799952,13.43999364,18.45019873,31.69509414,16.96757281,24.56987342,15.90619532,8.141722788,7.366868974,11.20166827,11.8008558,9.968106284,9.657031939,5.090865379,5.103361244,5.37679283,3.346713611,1.947347278,1.153235922,6.141508359,8.255534646,5.257363755,11.38788375,12.54575731,11.47500784,12.22562014,14.62143013,19.30917814,17.44626905,21.59579675,21.97030092,27.99038212,36.48513273,44.96747521,38.13714026,47.0486373,51.43657482,
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.5589989,247.3195882,
Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.51777963,5.861335728,21.92610191,12.33084597,14.4886618,12.46883338,14.62073752,14.32898579,16.68293346,17.14757683,19.72967396,23.21668746,28.6747418,33.07325349,42.82764985,35.02674374,39.7463402,43.18231368,
Laos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04835097681,0.5639547195,0.4742575392,1.855398233,2.403104516,3.510059713,3.262138093,4.582417825,7.804555867,5.049056486,4.781637141,5.338570985,5.740825505,6.054209855,7.100844478,11.08308791,10.49673229,10.86740554,13.678597,16.12605905,17.51104714,16.83756271,19.86993307,
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.2402067,171.4207812,130.1427456,60.5733239,30.17049799,28.02513354,23.25244275,18.93200118,23.00004049,19.48489421,17.45067543,16.29461897,16.57128913,20.05430546,14.75592169,12.53110108,16.503798,19.2280531,
Lebanon,,,,,,,,,,,630.3979013,879.4032375,1498.777785,2672.352847,6081.722176,5461.168732,6517.145063,5809.294241,2119.986777,2253.128389,1376.584787,834.3876803,940.3548238,589.0721876,405.7125128,466.8260803,472.3632785,501.6315497,479.3220114,449.6236041,235.6055661,290.3105647,251.9100151,432.6961454,347.3941235,272.3237595,232.4077193,169.9092293,132.0970598,123.1909293,82.72566223,58.66060804,59.01872232,83.88745104,68.20512975,71.23821848,76.61184237,80.35242623,116.2158582,159.7211732,183.0810717,
Lesotho,,,,,,,,,,,,,,,,,,,,,69.87263986,51.41154795,38.94144656,51.81858495,35.19137763,24.82825827,30.49274942,26.11135198,19.60432832,14.93173591,18.29535969,25.71374432,31.85375725,46.58917875,59.85391457,66.739735,65.67158651,84.89649501,83.56196345,73.24266268,62.20302296,64.66151659,62.08950197,65.4627928,65.41681718,78.42133798,101.3212802,,,,,
Liberia,,,,,,,,,,,,,,,11.55637193,10.73895603,8.233576428,9.361162127,4.067375042,9.217177928,0.7948244532,1.024865406,0.7171602562,2.024211941,0.3218596704,0.1214176566,0.1716639792,0.02758516563,0.02064625983,0.4202871416,,0.0600691898,0.04517533438,0.1063458223,0.215897399,1.142756652,0.01559383194,0.01753517483,0.02419395747,0.01693594974,0.009587983474,0.01604779986,0.1015875819,0.2059597505,0.4921451842,0.6515652909,1.749841524,3.207275248,5.142391342,22.49629504,,
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.1610194,127.0691828,118.6909857,107.7328339,58.94139791,35.0479415,42.11338844,28.28918619,28.85140363,31.53816079,39.08530788,46.13737,34.25294015,33.37438118,31.08417285,26.1931329,20.26815626,20.81397671,22.29007724,
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Macao, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.56708197,15.07451576,21.54011717,14.71206551,22.72959556,22.46909432,32.24523636,31.32755026,53.7047425,46.89671047,49.80379103,35.20579136,45.14162704,57.52540455,54.41796659,45.07850123,40.9119919,39.22657146,
Madagascar,,,,,,,,,,,7.651796074,9.488367335,10.24060819,13.4463514,6.580311794,4.497600218,22.19712845,8.818211926,16.63985532,0.6518680126,0.734721823,1.65311009,1.037237306,1.438374861,2.753786535,1.922473042,3.824589489,5.049703948,6.099572961,7.176537605,2.496302938,2.283142047,2.167150437,2.129519265,1.757629495,2.532996224,5.836175811,6.869761596,3.909446455,4.788297842,6.079158369,9.591248345,8.052910419,8.378523583,13.29143306,13.77655469,39.09958688,49.59320434,47.32673212,51.5376485,51.04461418,
Malawi,,,,,,,,,,,21.59603579,20.97087529,20.62923903,31.01955041,33.75904597,22.77073346,8.481494625,19.29554616,12.96431844,11.3758961,9.152079915,6.593305148,3.299072639,2.274805451,6.882652649,4.814746846,2.559652763,4.246996593,11.1053126,7.486571962,9.127825454,9.482098247,2.58994053,3.390972218,2.362175651,5.137783824,9.748546733,6.558319897,10.62820137,9.125217007,9.113156882,7.973096523,5.745785527,4.111798029,3.900212283,5.1991713,16.73567739,28.75765185,28.41028129,15.80134798,35.30295708,
Malaysia,,,,,,,,,,,133.0196922,117.9780203,107.9720636,143.3383198,145.2667311,80.26354074,96.86882892,89.65858661,88.08557157,101.0090806,87.05552321,54.73220163,36.18743122,26.62432869,23.70984464,28.00827214,31.72860346,37.53644937,40.34368082,53.65167186,69.53667021,68.59913192,90.03950971,107.7801743,86.8241475,71.91878608,70.30405437,45.46049014,61.86320651,74.02243019,68.60041856,66.34877022,70.11100678,91.49857815,127.6434982,135.8749758,151.0061054,166.0625145,139.4888694,145.919195,130.7146306,
Maldives,,,,,,,,,,,,,,,,,,,6.431899829,5.560369906,3.684150136,2.945588643,12.91920807,5.880613685,6.194814631,5.528096213,10.06677314,11.25003309,30.25029638,37.07527425,31.2676558,28.88693007,29.70921717,23.27553466,25.27476263,30.96310591,45.28274604,57.37631257,61.22678531,58.08277833,59.6110587,37.21008493,45.17187974,54.16546688,55.83137097,40.9608939,34.30248455,29.99951138,21.36879569,23.67138984,29.65545649,
Mali,,,,,,,,,,,0.3614849803,0.7633567849,1.396527763,1.40338997,1.750502964,1.178352682,1.84461746,1.473056194,2.016770889,2.754359247,3.525704009,2.995317909,2.894056888,2.369053065,2.622221694,1.96913072,1.127089347,1.218257064,2.163311507,5.798752322,8.013173928,12.54963336,10.83679207,11.70359271,8.484782,10.9172098,14.72907351,13.16170485,12.5710139,10.94093094,12.91883511,12.19938509,21.32539597,31.20314956,26.07620976,26.68866866,60.92383018,59.5466317,52.75132736,77.48653981,57.78824801,
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,,,,,,,,,,,12.16082694,19.28103566,24.07594465,40.19484757,61.87902763,25.35555604,20.14224867,9.748071336,11.92418156,16.46568154,17.44452227,17.24075578,12.68613526,8.632200943,6.139080403,4.322614389,3.02011027,3.815835792,2.940125671,4.413834127,2.769941311,3.250252195,3.089028476,2.256536176,1.950867866,3.752720703,5.921509903,8.185077656,2.177770076,1.525032323,2.077708366,1.743064878,3.269641686,1.357311481,1.668483046,3.048928851,12.02114942,12.171345,10.00193264,11.61654104,11.69530849,
Mauritius,,,,,,,,,,,145.5353204,155.3135925,195.5333067,157.7946623,274.132457,318.0920029,137.8789461,66.85838311,28.02102517,15.81630694,26.84844014,9.906940963,10.02402717,6.294339427,6.894516552,7.31105309,23.76537062,46.05933271,56.21351766,66.71990331,81.64753727,92.25385567,89.06845578,86.6790623,70.20107103,62.68062664,65.68717814,53.09653005,45.01866591,58.90871151,96.63040787,100.6084195,137.2431386,163.585438,176.6990437,175.2785902,208.0803678,274.3496176,284.1782932,280.390957,243.4354216,
Mayotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,,,,,,,,,,,10.8491963,13.09221834,15.79586732,15.981501,13.7680769,10.40443361,5.857346514,6.214813904,6.354616646,7.218632348,7.276907188,6.355877661,2.065055872,5.155691434,8.455888799,5.862535464,6.614576495,12.50734842,6.376679668,7.182649651,9.782315359,15.8257706,17.07147455,19.3830754,4.649302186,10.30699475,12.4968302,19.53372454,20.01604122,19.08890505,23.57658141,27.34407657,32.19575553,36.5271496,39.56152614,44.68730671,47.35293862,48.82582212,50.92517384,58.24930736,60.26772985,
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.368299397,27.4936265,35.80554967,36.97134333,37.10155265,34.0756062,13.52417676,18.24386045,13.16636234,13.95082691,14.92004573,15.59207637,24.20192412,29.12880329,31.81954442,42.02888852,48.32523711,41.61402058,37.22004503,
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.433672875,17.03295898,20.27808997,29.681498,30.1434176,33.05213615,14.19482028,14.97712325,22.54197853,23.33946131,25.80867277,13.82627255,13.69224036,25.11156784,49.96493157,59.57363055,35.82860269,61.93159492,93.6024468,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.3565496,54.54788524,29.71069748,24.73594992,35.77747095,
Morocco,,,,,,,,,,,14.38899905,15.67814136,21.29659984,23.91202391,33.30822226,16.45624798,16.33549614,10.86537722,11.15194448,11.1780687,8.36874943,4.816040191,4.348329095,2.878286732,1.91056802,2.15055158,2.714113017,3.575674607,3.96022943,3.467268423,9.348733236,14.89668714,16.84392715,17.78257249,20.11697358,16.29524982,16.73782735,17.86628046,19.61147381,25.69758307,24.26735115,46.13742905,57.69206099,77.71756197,98.60231961,102.3277925,116.7017967,120.2989798,109.0986397,99.23225022,92.93832278,
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,4.194420334,1.625672629,1.647799036,2.894462681,4.219828578,4.717764271,5.03756397,5.152228022,4.592946624,3.627164985,2.457754922,2.636227819,4.577436972,7.088305809,7.560084004,9.361828846,10.3025781,15.02927213,16.4907652,24.57926991,25.92851274,26.55191143,45.91726541,52.41619233,48.94806568,53.91003235,54.9275463,
Myanmar,,,,,,,,,,,80.22303632,48.98401932,31.82333455,42.70431844,68.44302477,49.04645646,41.76684025,23.64535496,15.75797995,25.91268038,27.24173845,19.15676827,10.70605416,7.958315148,5.969553665,3.746627271,3.451884398,3.380912562,4.072620338,8.687831014,8.722205659,7.122110131,6.794168304,6.972187318,7.90673201,11.27500734,6.068329384,5.759030037,6.755651096,5.540478285,4.794953138,8.058871452,8.164852802,8.612826596,10.33665799,12.68115024,19.03435023,,,,,
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,,,,,,,,,,,3366.780139,1232.441998,924.7037428,676.5065617,536.7310585,337.8726364,293.2463376,160.5558127,158.1782134,160.7599602,132.9550705,94.09649719,76.05668719,42.22488281,27.34094745,17.87968115,19.6110754,25.49916895,24.26845379,20.12271371,21.76591819,25.54660783,28.8243502,34.93797467,32.41410495,26.78635851,26.17772525,27.78468156,29.96576893,29.45385878,34.43404084,39.51191878,35.78187942,40.66921846,45.55197256,49.22683186,57.05516984,55.91025819,66.69726086,74.96825463,79.0067799,
Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Caledonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,,,,,,,,,,,24.27665608,23.57450063,26.258966,26.52420703,17.70968244,15.50097119,16.78461959,11.93293306,3.937605221,10.15219573,3.426178979,4.799928988,6.109255811,5.380088305,,,,1.427847487,1.911070964,1.691436812,1.539740085,1.545730088,2.561221147,0.5208102839,1.216410829,1.365976845,3.399574641,6.267946192,5.611246925,7.574195004,7.304433726,6.088059486,7.126376591,7.498599808,13.32072565,14.75889802,22.40918803,29.80972867,26.95605508,33.67127415,37.58454358,
Niger,,,,,,,,,,,59.16337805,80.78584041,75.338717,77.91487184,48.39025446,43.89581881,61.85172355,58.88964474,21.36931868,21.74710673,15.29715808,10.71015456,3.612774565,5.904641851,9.416068446,11.4453913,13.41129428,15.36746176,13.91794736,14.18595889,12.88583692,13.54336711,14.76625139,12.47230703,7.4252674,5.9055429,5.048967447,3.353004233,3.145934521,2.303612223,4.76637264,6.705881961,7.263394433,12.23851953,12.39294802,12.42663095,44.75366295,51.65200741,70.37564918,59.44707122,67.47553451,
Nigeria,,,,,,,,,,,26.71257879,44.97698641,36.1180469,35.01187437,303.552521,335.8100233,392.9447755,137.8059341,39.84949032,94.47617323,119.2612821,36.49917542,16.09168996,7.129457962,9.420729863,10.14773517,6.077377256,5.161133133,3.149754781,6.776038908,12.34725621,13.95291773,4.121660078,5.337271801,4.98355538,5.013169986,13.78497152,27.34593615,24.09198667,19.39645409,32.21009079,34.29785347,24.8287463,21.42033857,45.69225697,129.7913945,555.509585,608.4747592,472.9213906,590.0379622,455.2469289,
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,,,,,,,,,,,5.710156719,5.237255187,7.985369309,13.0631306,13.62442372,9.910666055,10.19295139,9.588035576,9.700579936,13.0177872,16.01314277,13.93347281,15.72667637,22.63461423,13.3188898,10.71214332,9.864116989,8.630989777,7.031879737,7.129240928,5.082392529,5.236925246,6.131795473,8.15793583,13.59936851,8.378063077,4.392116412,5.979153587,5.04650661,6.25703152,6.376516793,13.3209396,26.20384348,32.81815728,29.87077262,33.09697816,35.07986337,38.03915314,18.39479198,24.92515272,30.39403655,
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panama,,,,,,,,,,,6.881064619,7.291474027,10.62060838,7.751859964,5.832508263,3.701931344,5.87623053,4.212934648,6.51027992,4.568584866,3.962431562,3.58146165,2.584869422,4.727727859,4.959720144,2.06587428,3.514244302,1.385604425,1.193254461,1.920493587,5.291439206,7.539759742,8.065414308,8.910873671,10.21034535,12.81379961,14.30140486,19.08576142,14.91695881,12.05028113,11.00268359,14.05076036,14.94021959,12.2652532,7.519423584,13.99013171,14.08359116,20.74410326,25.31957963,26.87747805,23.78586838,
Papua New Guinea,,,,,,,,,,,,,,5.947714905,6.421673395,35.5053089,49.39056755,63.82919432,71.10639292,87.21156377,63.6667563,35.53211382,29.57633357,24.84206542,22.40162715,21.92715939,22.68397332,20.53455678,18.63858091,17.68579191,16.47289676,12.44816594,6.850871727,5.080694272,4.304922392,10.64377549,24.21490548,14.71155731,7.780319781,8.44885383,13.2678577,21.60300704,18.46983373,27.88399274,36.99796691,39.91260192,78.89914845,147.2414839,141.6683809,167.161293,53.62738002,
Paraguay,,,,,,,,,,,15.67169711,17.1370534,23.07349412,38.14392072,47.2977286,51.43921852,56.80414844,59.94552813,73.75770346,78.0772432,82.343155,71.65087613,58.34747762,49.21453893,46.20263729,30.06914091,22.10600164,20.4177605,14.39879287,18.76931917,32.10929903,47.24154256,35.15728959,40.44409074,49.67000566,43.02550617,41.44245171,34.40449502,31.34697971,29.22622284,25.01735961,25.82440025,21.39983161,30.50305079,32.39093943,40.19041625,49.75546703,68.98079803,68.83607377,96.93672832,84.38623468,
Peru,,,,,,,,,,,10.5456847,13.00479272,14.81974404,16.41370348,21.22206109,9.254422172,5.603385889,5.694438163,6.345835757,22.80188764,29.87441272,20.44231149,18.56806624,16.74403864,16.95733181,19.25619084,15.06403052,7.839054251,6.655282614,8.598762995,9.427995699,14.93124131,17.0023426,16.62452394,27.98014655,28.05660613,37.94168172,38.14201945,32.41551891,31.04884135,30.30166165,32.61590371,34.43250976,34.15377124,40.1246949,48.28013635,59.87004112,86.634185,90.40045349,91.29448686,121.9013205,
Philippines,,,,,,,,,,,11.60241272,16.22299163,22.47395762,40.25092045,50.09806307,35.06871434,28.7955359,20.20603932,19.54090829,23.49958462,22.83937886,13.11174064,7.128819758,3.540463879,3.466835175,4.122790974,9.258307184,7.76280496,7.496532063,8.369883129,6.658736921,13.65254167,16.06214979,16.41832676,17.75204625,19.75908965,26.76203027,17.24652956,20.21607828,25.83813241,25.85427292,26.92232295,27.2445152,27.2947892,26.6279633,29.96297243,38.01082023,51.09078217,57.69301627,70.03918595,86.16066778,
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,,,,,,,,,,,,,,432.0460143,502.1818821,428.5729948,177.6723456,100.6319137,117.9684896,65.15369265,25.72374486,17.52628194,20.72693297,20.8820096,23.97105234,20.65471293,26.51173959,31.34264592,46.43021263,251.2416273,120.5459458,68.97551315,48.73647194,44.87203272,55.20321051,38.41204607,37.18119215,48.55845799,37.547616,27.65486993,30.42627393,38.41536389,43.63867337,41.76254038,54.4251717,55.58634735,56.00434103,47.49663797,38.80344843,37.61032075,39.54396943,
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.769079973,5.917660992,14.84639305,12.86468271,13.81426009,6.773378322,7.052825347,17.28587962,23.80549545,32.79133371,44.6330619,64.16101514,75.97491306,121.1491917,132.5137978,105.8484443,117.6538068,124.5575476,
Rwanda,,,,,,,,,,,157.8192252,289.2174674,188.3400384,191.8300543,106.4719349,103.4976936,130.2580552,96.09797309,74.89286864,105.7843038,103.2895637,85.31556285,54.56543605,46.58196266,37.10462856,31.20309152,36.17951068,27.45295556,18.24914616,11.36676899,6.263646669,13.64088359,9.200758924,5.229465283,5.381563095,9.630070833,10.22806183,13.79762203,13.76119701,13.48526253,15.0070841,16.5581198,17.01838837,13.99604875,19.01597894,26.89103713,106.467186,94.55888036,89.96213982,99.17259561,102.2884698,
Saint Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,,53.33906686,57.91014384,60.5887725,50.07902723,38.80998872,44.74965632,36.83214195,34.18054556,54.27645185,58.12969928,56.57452475,60.4152569,52.10970985,32.16587399,36.86395537,36.40822225,28.98333117,25.91260675,24.58920537,20.52400987,24.8422021,24.43760838,30.6705866,35.22530221,44.92781966,60.05227831,83.29178073,
Saint Lucia,,,,,,,,,,,,,,,,,,,,,,49.0608113,47.95322724,46.90888154,61.00024637,54.73110371,78.95481558,65.91054997,56.82114826,58.18043396,56.31669778,59.20022115,56.60293112,59.53003211,50.87301482,49.18447591,39.65474618,39.87325155,38.5188929,40.4329389,35.62696843,35.34304784,32.86827459,32.4828979,37.68637783,28.32076986,36.98699707,32.76436759,17.26275817,47.33275738,44.48894934,
Saint Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Vincent and the Grenadines,,,,,,,,,,,,,,,,,124.6160553,101.391231,92.41027244,123.0387264,68.39840809,47.86056003,22.53837197,22.25700109,51.41367556,50.76889118,82.3679354,48.71584831,45.19656987,43.18224919,42.47370446,32.99487178,43.82581924,30.99556408,27.38047262,25.21746424,24.64288675,26.49350914,28.44141847,22.02837659,28.35263075,31.57214657,30.37448861,25.7570813,32.87458503,27.57132466,32.38909762,43.18848244,41.01555326,41.90668155,43.16928485,
Samoa,,,,,,,,,,,194.6308725,245.6266513,103.3985091,53.69732973,43.18242734,36.72278289,23.15510384,29.20087445,11.59524659,9.177980463,4.679686444,5.242152042,5.291768417,10.68041057,14.35842435,18.66279443,31.76340302,46.72173606,65.63358325,74.88127934,75.20701058,59.66416475,48.95065555,36.08992241,32.86156383,34.5604922,39.62627298,46.26116769,42.67981664,46.57377799,46.23478912,42.25565941,42.58772854,50.27148028,49.29816614,48.82769547,49.31339675,51.29570882,42.35101329,70.42345,67.99760072,
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.091254043,2.137143116,5.2167337,3.74900266,3.389256525,3.828534529,5.033514737,5.217113009,7.51237166,5.416204749,7.977584712,9.748758609,23.80776675,46.86984899,44.80457787,29.04670856,
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senegal,,,,,,,,,,,15.1808274,16.15280879,23.81548114,6.049246622,2.384392735,8.916465052,6.155764677,5.743285878,2.655541983,3.028400307,1.708087935,1.20855371,1.326516619,1.122549606,0.5747675555,0.5678633549,0.6411932499,0.5757459678,0.5743585397,0.9345449626,0.5893651194,0.6539107846,0.5981337439,0.3874905262,5.157857746,6.940407719,7.614692563,10.14809361,10.51576207,10.15846423,10.70128051,12.42148148,15.75721915,25.44912847,35.01354725,30.9627006,70.05029713,65.02840037,56.82274888,60.68088192,55.68478209,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.68340436,4.494430635,9.415532716,19.96251808,25.04522754,29.32772775,36.3366535,60.04339688,54.4147627,37.74900167,45.98988068,41.29974522,
Seychelles,,,,,,,,,,,,,,,,,,,,,21.91753658,38.01238321,27.08409166,19.02720326,7.957328205,9.012153549,5.345747025,7.892847572,5.357999508,7.537813727,9.005536786,13.98500822,16.50626555,19.65984442,15.09131886,13.68136244,11.7388252,14.0282452,8.934810142,12.0589584,14.40648873,11.60071475,17.87299186,15.4564142,7.781758991,8.381677063,10.29142501,2.892133259,4.251428269,11.05989825,15.60304655,
Sierra Leone,,,,,,,,,,,64.10423452,34.58411975,38.90774302,36.51673061,28.31308597,13.86268292,10.79999396,11.53048759,10.06627017,11.40484767,6.505710568,2.692442953,1.34108219,2.525386023,1.263570524,1.529152958,1.572203063,0.613242386,0.7250126906,0.3457369036,0.4614520926,0.7698557211,1.381163052,1.895780736,2.657693949,2.838544967,2.194565289,3.287394481,3.425507388,3.131461568,4.135674003,4.259177305,6.248710732,4.381617112,7.686378066,9.73857545,12.47891176,41.35574374,36.26809877,57.77110151,52.56834224,
