Population in urban agglomerations of more than 1 million (% of total population),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Ecuador,17.46927843,,,,,19.08992034,,,,,20.43489909,,,,,21.97649871,,,,,23.85755998,,,,,25.13651621,,,,,25.87209828,,,,,26.51641605,,,,,27.90036875,,,,,29.86186342,,31.59270316,,
Egypt,18.64868211,,,,,20.55566393,,,,,21.28378075,,,,,21.94764795,,,,,22.2071541,,,,,22.02003317,,,,,20.98240701,,,,,20.33238655,,,,,19.80404993,,,,,19.31009153,,20.04760829,,
El Salvador,11.21921551,,,,,12.15208946,,,,,13.34964845,,,,,14.07642207,,,,,15.03781862,,,,,16.49381565,,,,,18.19296497,,,,,19.93821945,,,,,22.7557925,,,,,25.03854038,,23.45781158,,
Ethiopia,2.302302009,,,,,2.345458652,,,,,2.519143523,,,,,2.809967427,,,,,3.319056395,,,,,3.596530684,,,,,3.708365503,,,,,3.785315898,,,,,3.806746909,,,,,3.875313533,,3.751910084,,
Finland,10.11719862,,,,,10.46947853,,,,,11.0138515,,,,,12.35690936,,,,,14.09728033,,,,,14.77892697,,,,,17.48263137,,,,,18.45947533,,,,,19.6902449,,,,,20.7878424,,21.139,,
France,21.54151906,,,,,22.36094795,,,,,22.74756165,,,,,22.62652992,,,,,22.74294358,,,,,22.7710803,,,,,22.6703957,,,,,22.71191308,,,,,22.78157453,,,,,22.39599165,,22.25355261,,
Georgia,17.25606443,,,,,17.931999,,,,,19.0599196,,,,,20.22157312,,,,,21.49022275,,,,,22.26885861,,,,,22.41452791,,,,,22.88795934,,,,,23.17926129,,,,,23.44784225,,25.24271449,,
Germany,8.43707103,,,,,8.226081783,,,,,8.09807769,,,,,7.904262891,,,,,7.850600871,,,,,7.823230971,,,,,7.950271298,,,,,7.858174714,,,,,7.685257268,,,,,7.749340968,,9.009217378,,
Ghana,9.038917697,,,,,9.904218082,,,,,11.21349794,,,,,11.34918706,,,,,11.92435989,,,,,11.87923879,,,,,12.64558451,,,,,13.47656984,,,,,14.64821713,,,,,15.96173938,,16.4593018,,
Greece,26.97833554,,,,,27.95953216,,,,,28.67429774,,,,,30.2637891,,,,,30.98063881,,,,,30.6691363,,,,,30.21008759,,,,,29.35538838,,,,,29.12236318,,,,,29.08485231,,29.08356677,,
Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.667813402,,
Guinea,3.591736297,,,,,6.038209536,,,,,10.08488199,,,,,14.01985315,,,,,14.13598618,,,,,14.45108368,,,,,14.50405349,,,,,13.96447998,,,,,14.57083714,,,,,15.44955908,,15.55842332,,
Haiti,6.396217911,,,,,7.88768712,,,,,9.749929875,,,,,11.17468171,,,,,12.309963,,,,,13.79610409,,,,,15.95788968,,,,,18.1570275,,,,,20.42333179,,,,,22.62384736,,20.58851797,,
"Hong Kong, China",85.20001158,,,,,88.6794797,,,,,87.3432685,,,,,88.37222073,,,,,91.03391203,,,,,92.92010923,,,,,99.5167324,,,,,100.4944527,,,,,99.57905476,,,,,103.3418218,,100,,
Hungary,18.14022073,,,,,18.49616862,,,,,18.82513302,,,,,19.03539689,,,,,19.21278359,,,,,19.24351499,,,,,19.32919144,,,,,18.32814808,,,,,17.50320317,,,,,16.78793106,,16.73866541,,
India,6.626560024,,,,,6.987706536,,,,,7.377884248,,,,,7.924147824,,,,,8.559122666,,,,,9.071195992,,,,,9.633753965,,,,,10.19203695,,,,,10.85521491,,,,,11.61579652,,11.48998435,,
Indonesia,6.118780522,,,,,6.637866935,,,,,6.989422915,,,,,7.543790707,,,,,8.256147369,,,,,8.470914397,,,,,8.769490252,,,,,9.475314651,,,,,10.47153095,,,,,11.69551063,,9.05454372,,
Iran,14.52779994,,,,,16.59840234,,,,,18.9950051,,,,,21.55137927,,,,,22.64891115,,,,,22.9350552,,,,,22.9045,,,,,23.09104386,,,,,22.98971886,,,,,22.94347393,,22.535,,
Iraq,16.3208878,,,,,21.7035043,,,,,24.13755248,,,,,26.7239961,,,,,27.34730348,,,,,26.27812857,,,,,25.5416449,,,,,25.41786887,,,,,24.91389329,,,,,25.06741974,,21.30221992,,
Ireland,23.33107621,,,,,25.14426287,,,,,26.13840678,,,,,26.22137236,,,,,26.56545134,,,,,25.98974576,,,,,26.13871299,,,,,26.22691439,,,,,25.97726914,,,,,24.94282417,,24.67033315,,
Israel,34.91726663,,,,,34.39988295,,,,,34.60578346,,,,,34.90243126,,,,,36.51882414,,,,,39.71341838,,,,,43.47903433,,,,,44.03974752,,,,,43.7570997,,,,,43.4625763,,59.506,,
Italy,15.85050508,,,,,17.08167601,,,,,18.41554755,,,,,18.70023088,,,,,18.79247439,,,,,18.71986641,,,,,18.5035385,,,,,18.28640839,,,,,18.07914681,,,,,17.41383673,,17.30282865,,
Japan,31.53999035,,,,,36.16311095,,,,,40.03471561,,,,,42.27003305,,,,,43.16847202,,,,,44.07594365,,,,,46.20918106,,,,,46.84978515,,,,,47.28858517,,,,,47.77867938,,48.164,,
Jordan,25.84277251,,,,,26.53182624,,,,,25.71903183,,,,,27.62198895,,,,,29.14727189,,,,,27.82571861,,,,,26.86091483,,,,,23.47709178,,,,,23.60454403,,,,,23.87652222,,17.888,,
Kazakhstan,5.288645987,,,,,5.25680666,,,,,5.64534245,,,,,6.084193796,,,,,6.529254376,,,,,6.525107318,,,,,6.606539026,,,,,7.007373424,,,,,7.639186756,,,,,7.632580709,,7.842,,
Kenya,3.610726333,,,,,4.247382503,,,,,4.718323532,,,,,5.019448447,,,,,5.298783561,,,,,5.547282556,,,,,5.889088936,,,,,6.385198241,,,,,7.102626451,,,,,7.741948579,,7.972422289,,
"Korea, Dem. Rep.",6.715757642,,,,,7.177986172,,,,,8.009021272,,,,,9.724541719,,,,,12.42003464,,,,,13.62466353,,,,,15.15517485,,,,,16.89275861,,,,,18.41658169,,,,,18.92904785,,18.65022919,,
"Korea, Rep.",21.27447277,,,,,24.99052927,,,,,31.65772954,,,,,36.85855843,,,,,42.57892404,,,,,47.28690879,,,,,51.3691432,,,,,52.03730291,,,,,50.90201455,,,,,50.78800324,,48.382,,
Kuwait,64.21649039,,,,,64.13375796,,,,,74.26075269,,,,,68.32611718,,,,,64.81403636,,,,,65.52079439,,,,,65.49938824,,,,,61.30510544,,,,,70.72223744,,,,,71.38365243,,72.37,,
Lebanon,29.70148029,,,,,33.55429439,,,,,37.77887672,,,,,54.79540128,,,,,58.2842828,,,,,54.82555065,,,,,43.45624198,,,,,36.31857172,,,,,39.41077591,,,,,43.54543838,,44.33163093,,
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.73296613,,
Libya,20.63418641,,,,,23.59365026,,,,,31.03976931,,,,,37.16277372,,,,,38.31603004,,,,,39.61467099,,,,,48.38901396,,,,,51.2387977,,,,,52.78585958,,,,,54.22671114,,54.57710391,,
Madagascar,4.940353487,,,,,5.170605155,,,,,5.539392627,,,,,6.049824295,,,,,6.741241475,,,,,7.583460961,,,,,8.410344044,,,,,8.912513791,,,,,8.91292789,,,,,8.998617654,,9.113720951,,
Malaysia,4.220023451,,,,,4.143164665,,,,,4.15757468,,,,,5.258211956,,,,,6.689075791,,,,,6.478305068,,,,,6.188973626,,,,,5.888947396,,,,,5.609708677,,,,,5.482858679,,5.446741123,,
Mali,2.56961562,,,,,2.86119377,,,,,3.672368099,,,,,5.501255769,,,,,6.808479656,,,,,7.736320874,,,,,8.624068549,,,,,9.529189813,,,,,10.54759712,,,,,11.56445372,,12.03614788,,
Mexico,21.96037671,,,,,24.72615185,,,,,27.61265713,,,,,29.22190392,,,,,31.68265354,,,,,31.74212151,,,,,32.27555572,,,,,33.1221954,,,,,33.86837066,,,,,35.00401265,,33.971,,
Morocco,10.3183993,,,,,11.59776327,,,,,13.0538253,,,,,14.06329791,,,,,14.90650036,,,,,15.21279782,,,,,15.54549723,,,,,16.0674278,,,,,15.78496149,,,,,15.69120319,,18.63744867,,
Mozambique,2.370137959,,,,,3.061078855,,,,,3.930265999,,,,,4.291998822,,,,,4.533102391,,,,,4.904187373,,,,,5.728200739,,,,,5.776271363,,,,,6.00047596,,,,,6.336382764,,6.606323879,,
Myanmar,7.553996792,,,,,7.487830618,,,,,7.369617544,,,,,7.197911489,,,,,7.08634732,,,,,7.018984554,,,,,7.092800553,,,,,7.370963472,,,,,7.797239032,,,,,8.495801319,,8.318891265,,
Netherlands,15.15449701,,,,,15.25678731,,,,,15.53977299,,,,,14.78688717,,,,,14.38821201,,,,,14.2576387,,,,,14.05008026,,,,,14.09729625,,,,,13.92340962,,,,,13.77464866,,12.39557701,,
New Zealand,18.55666887,,,,,20.24425419,,,,,22.51347518,,,,,23.60395206,,,,,24.85637649,,,,,24.81057619,,,,,25.22276682,,,,,26.55741275,,,,,27.55194671,,,,,27.78054622,,29.799,,
Nicaragua,11.19106761,,,,,13.01984794,,,,,15.26099313,,,,,15.84503494,,,,,16.14206161,,,,,16.73727883,,,,,17.75805058,,,,,18.66231794,,,,,20.01880447,,,,,21.36359037,,,,
Nigeria,3.860048573,,,,,4.67702055,,,,,4.953566282,,,,,6.205377676,,,,,8.084240215,,,,,9.952035709,,,,,10.62292894,,,,,11.43025212,,,,,12.36091711,,,,,13.30609498,,13.8424233,,
Pakistan,10.9565004,,,,,12.08902033,,,,,13.24580329,,,,,14.08270663,,,,,14.93465918,,,,,15.44763275,,,,,15.9699471,,,,,16.59527262,,,,,17.31031866,,,,,17.77251175,,17.65804669,,
Panama,25.11053179,,,,,27.59339125,,,,,30.21402049,,,,,30.64238573,,,,,31.43952638,,,,,33.13059716,,,,,35.11668547,,,,,35.66230241,,,,,36.34145441,,,,,37.61925892,,38.27564863,,
Paraguay,16.18275843,,,,,17.0108122,,,,,18.1977262,,,,,19.6473513,,,,,20.98506426,,,,,21.49971648,,,,,21.8296251,,,,,23.73361506,,,,,27.2394764,,,,,31.46917722,,30.49637035,,
Peru,16.99689282,,,,,19.38228747,,,,,22.18416855,,,,,24.07435873,,,,,25.3962364,,,,,26.06982167,,,,,26.7513416,,,,,26.96402643,,,,,26.19248411,,,,,25.81382686,,28.09930129,,
Philippines,9.254734472,,,,,9.916837338,,,,,10.74548646,,,,,13.05407001,,,,,13.65250235,,,,,13.83227546,,,,,14.14003416,,,,,14.86839686,,,,,14.29097976,,,,,14.05153436,,14.07966629,,
Poland,3.78600521,,,,,3.846697993,,,,,3.99696243,,,,,4.244030333,,,,,4.399016246,,,,,4.290984598,,,,,4.271653357,,,,,4.280395775,,,,,4.332952434,,,,,4.401025011,,4.483,,
Portugal,26.32327716,,,,,27.81580475,,,,,30.30627363,,,,,34.21727703,,,,,36.3776367,,,,,36.529826,,,,,37.39975748,,,,,37.96023736,,,,,38.3968068,,,,,38.57495888,,39.054,,
Puerto Rico,25.28715013,,,,,28.52212799,,,,,33.67557027,,,,,35.69074816,,,,,38.81587648,,,,,40.89227125,,,,,43.5057676,,,,,50.37692402,,,,,58.65481792,,,,,66.60383915,,67.45139154,,
Romania,5.44639461,,,,,6.067425238,,,,,6.169071249,,,,,6.300160038,,,,,6.568843746,,,,,7.043379538,,,,,7.570077994,,,,,9.056386403,,,,,8.952457336,,,,,8.940966565,,9.057,,
Russia,14.09858212,,,,,14.69600537,,,,,15.72805435,,,,,16.57051416,,,,,17.17357672,,,,,17.3837993,,,,,17.52081164,,,,,17.86983279,,,,,18.45338715,,,,,19.23915823,,17.919,,
Saudi Arabia,11.1346464,,,,,12.79653602,,,,,17.87383826,,,,,23.27135129,,,,,25.05325178,,,,,26.72114253,,,,,30.28411456,,,,,34.30434968,,,,,35.08772304,,,,,36.21568049,,39.97463802,,
Senegal,11.65014805,,,,,13.31295898,,,,,14.64331022,,,,,15.99640785,,,,,16.98740509,,,,,17.84121167,,,,,18.36235168,,,,,18.54006268,,,,,18.80972596,,,,,19.13516851,,21.95490304,,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.146,,
Singapore,99.2709599,,,,,99.64467409,,,,,99.98077108,,,,,99.98245692,,,,,100.0207954,,,,,98.99817251,,,,,98.99507713,,,,,98.68171372,,,,,99.73996375,,,,,101.4004173,,100,,
Somalia,3.331851691,,,,,4.592113224,,,,,7.567885439,,,,,10.81009974,,,,,8.563987191,,,,,11.18468647,,,,,14.32642302,,,,,16.56231429,,,,,16.07959811,,,,,15.79760026,,12.59592567,,
South Africa,22.51300299,,,,,22.71408834,,,,,23.46909947,,,,,23.84687803,,,,,24.38759428,,,,,24.58026861,,,,,25.45759943,,,,,26.54503834,,,,,27.55414773,,,,,30.03119395,,32.523,,
Spain,15.95614601,,,,,18.17899991,,,,,20.73154327,,,,,21.31309869,,,,,21.63898518,,,,,21.67159706,,,,,21.92470388,,,,,23.01191256,,,,,24.114817,,,,,23.97106098,,23.684,,
Sudan,2.966522985,,,,,3.612176494,,,,,4.371454544,,,,,5.06686589,,,,,5.676677276,,,,,6.699864913,,,,,8.711386843,,,,,10.51313335,,,,,11.31529737,,,,,11.67566254,,11.75577702,,
Sweden,10.75661477,,,,,12.96627877,,,,,13.62436902,,,,,16.5889906,,,,,16.67157641,,,,,17.14691018,,,,,17.37537095,,,,,17.67721662,,,,,18.62678994,,,,,18.9308004,,13.861,,
Switzerland,9.986413639,,,,,10.48707309,,,,,11.33843944,,,,,11.13650273,,,,,11.18477607,,,,,12.44214838,,,,,13.83727652,,,,,14.23098992,,,,,14.95346288,,,,,15.38049777,,14.80096121,,
Syria,22.91684972,,,,,24.36783461,,,,,25.65903312,,,,,26.54249757,,,,,27.26847028,,,,,26.23860537,,,,,25.50766768,,,,,25.45223427,,,,,25.72463665,,,,,25.06221023,,30.85994098,,
Tanzania,1.609530067,,,,,1.997055757,,,,,2.623439372,,,,,3.578755518,,,,,4.479597038,,,,,4.796215162,,,,,5.168332631,,,,,5.566428924,,,,,6.199219649,,,,,6.860705438,,7.094889807,,
Thailand,7.781085417,,,,,8.027573595,,,,,8.363145156,,,,,9.096544946,,,,,9.993148247,,,,,10.04693647,,,,,10.39009863,,,,,10.15285386,,,,,10.15542701,,,,,9.998353948,,10.0009083,,
Togo,6.058760477,,,,,8.047100873,,,,,8.988010515,,,,,10.48922764,,,,,12.35241538,,,,,13.92039764,,,,,15.84927835,,,,,18.27441897,,,,,20.07332654,,,,,22.30524292,,23.02426363,,
Turkey,10.4048206,,,,,12.99242,,,,,15.78605668,,,,,17.39997594,,,,,18.52381981,,,,,20.39506274,,,,,22.4298822,,,,,23.63351077,,,,,24.74055583,,,,,25.89737023,,27.29356438,,
Uganda,2.025620894,,,,,2.774453126,,,,,3.598775826,,,,,3.649555232,,,,,3.702681449,,,,,4.019652823,,,,,4.257337867,,,,,4.354790962,,,,,4.488589396,,,,,4.594931123,,4.642912842,,
Ukraine,8.200837201,,,,,8.925622197,,,,,9.848014755,,,,,10.6937739,,,,,11.5947974,,,,,12.11787615,,,,,12.36043128,,,,,12.2433558,,,,,12.61536973,,,,,13.06433585,,11.297,,
United Arab Emirates,44.32918855,,,,,35.09533384,,,,,35.80458491,,,,,31.54487773,,,,,25.05526005,,,,,24.43398073,,,,,25.31762112,,,,,26.72203092,,,,,28.979072,,,,,32.52608441,,31.48501081,,
United Kingdom,31.43207378,,,,,29.66525483,,,,,28.28326143,,,,,27.56759862,,,,,27.1991476,,,,,26.71588706,,,,,26.03208806,,,,,26.05228147,,,,,26.18138699,,,,,26.05348814,,25.95039536,,
United States,37.9128067,,,,,38.82767276,,,,,40.52468983,,,,,40.11540331,,,,,39.97048388,,,,,40.35460315,,,,,40.82926213,,,,,41.34086481,,,,,42.25630148,,,,,43.41843004,,43.36158516,,
Uruguay,45.49928344,,,,,43.14838529,,,,,41.64856345,,,,,41.64140637,,,,,41.63497629,,,,,41.52501981,,,,,41.03045539,,,,,40.35668464,,,,,38.93221471,,,,,38.23196922,,45.315,,
Uzbekistan,11.26248759,,,,,11.38884923,,,,,11.71585971,,,,,11.53034833,,,,,11.39623636,,,,,10.77257593,,,,,10.10447099,,,,,9.235163485,,,,,8.66748073,,,,,8.336466689,,7.977,,
Venezuela,30.84443344,,,,,33.09872057,,,,,35.91762999,,,,,36.06284049,,,,,35.48619191,,,,,34.56611684,,,,,34.20378228,,,,,34.43186953,,,,,35.35867714,,,,,36.93480077,,32.362,,
Vietnam,6.944777365,,,,,8.31986907,,,,,9.901116338,,,,,11.78301478,,,,,13.69668156,,,,,13.50458483,,,,,12.98561934,,,,,12.75029871,,,,,12.98002715,,,,,13.35916892,,13.346,,
"Yemen, Rep.",1.378779436,,,,,1.538586504,,,,,1.729897896,,,,,1.981253101,,,,,2.83582102,,,,,3.964309299,,,,,5.306898662,,,,,6.661906406,,,,,7.505984166,,,,,8.565198729,,9.015839073,,
Zambia,2.987325007,,,,,4.51560271,,,,,6.707360253,,,,,7.84995706,,,,,9.228668625,,,,,9.375331617,,,,,9.575299484,,,,,9.899373717,,,,,10.25385014,,,,,10.73258336,,10.78059218,,
Zimbabwe,6.610294688,,,,,7.206489858,,,,,8.003802194,,,,,8.630680476,,,,,8.463305222,,,,,8.79669856,,,,,10.01295081,,,,,10.71560137,,,,,11.07367253,,,,,12.14062366,,12.67357627,,
