Female 25-54 unemployment (%),1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
Australia,,,,,,6.400000095,6.400000095,6,5.199999809,5.400000095,7,7.300000191,7.599999905,7,5.900000095,6.099999905,6.300000191,5.699999809,5.300000191,4.900000095,5.199999809,5.099999905,5,4.400000095,4.199999809
Canada,7.099999905,9.100000381,10,10.19999981,9.699999809,8.899999619,8.5,7.699999809,7.400000095,7.5,9,9.300000191,9.899999619,9,8.300000191,8.5,7.699999809,6.900000095,6.300000191,5.800000191,6,6.199999809,6.300000191,5.900000095,5.699999809
Czech Rep.,,,,,,,,,,,,,4.5,4.400000095,4.099999905,4,5.199999809,7.300000191,9.5,9.899999619,9.100000381,8.300000191,9.300000191,9.300000191,9.300000191
Estonia,,,,,,,,,,,,,,,,,,,,12.30000019,11.10000038,9.300000191,8.800000191,8.300000191,7
Finland,3.400000095,3.900000095,3.799999952,3.5,3.200000048,3.299999952,3.5,3.200000048,1.899999976,1.600000024,3.799999952,7.599999905,12.10000038,12.5,13,12.60000038,11.10000038,10,8.899999619,8.800000191,8,7.300000191,7,7.5,7.199999809
France,7.5,7.900000095,8.100000381,8.899999619,9.699999809,10.39999962,11.19999981,11.19999981,11.10000038,10.5,10.80000019,11.39999962,12.39999962,13,12.5,13.10000038,13,12.69999981,12,10.89999962,9.899999619,9.800000191,10.30000019,10.39999962,10.30000019
Germany,,,,,,,,,,,7.099999905,8.5,9.699999809,10.10000038,9.199999809,8.899999619,9.800000191,9.199999809,8.300000191,7.800000191,7.800000191,8,9.100000381,9.800000191,10.19999981
"Hong Kong, China",,,,,1.399999976,1.299999952,0.8999999762,0.8000000119,0.6000000238,0.8000000119,1,1.399999976,1.299999952,1.200000048,2.200000048,1.700000048,1.5,2.900000095,3.599999905,3,3,5.099999905,5.5,5.099999905,3.900000095
Ireland,,,13.89999962,15.60000038,17,17.70000076,16.70000076,15.89999962,14.89999962,13.5,14.60000038,13.69999981,14,13.39999962,10.80000019,10.69999981,9.300000191,6.699999809,4.800000191,3.599999905,3,3.200000048,3.400000095,3.099999905,3.200000048
Japan,2,2,2.400000095,2.599999905,2.5,2.599999905,2.599999905,2.400000095,2.099999905,2,2.099999905,2.099999905,2.5,2.799999952,3.099999905,3.200000048,3.200000048,3.900000095,4.400000095,4.300000191,4.599999905,5.199999809,4.900000095,4.5,4.400000095
"Korea, Rep.",,,,,,,,,,,,1,1.100000024,1,0.8999999762,1,1.600000024,4.800000191,4.300000191,3,2.700000048,2.200000048,2.599999905,2.700000048,2.900000095
Latvia,,,,,,,,,,,,,,,,17.60000038,14.5,12.89999962,13,12.89999962,11,9.699999809,9.899999619,9.399999619,8.100000381
Lithuania,,,,,,,,,,,,,,,,,,11.39999962,12.69999981,13.5,14.69999981,12.60000038,10.60000038,11,8.199999809
Netherlands,,,,,,,12.69999981,12.19999981,11.10000038,10.30000019,9.300000191,7.300000191,7.199999809,7.900000095,7.699999809,7.199999809,6.199999809,4.699999809,3.5,3.200000048,2.900000095,3.200000048,3.900000095,4.599999905,4.800000191
New Zealand,,,,,,3.599999905,3.200000048,4.199999809,5.199999809,5.400000095,7.5,7.699999809,6.900000095,5.900000095,5,5,5.300000191,6.199999809,5.300000191,4.599999905,4.099999905,4.199999809,3.900000095,3.400000095,3
Norway,2.299999952,2.299999952,2.700000048,2.5,2.599999905,1.799999952,1.899999976,2.299999952,3.5,4,3.799999952,4.099999905,4.099999905,3.799999952,3.700000048,3.799999952,3.400000095,2.400000095,2.099999905,2.299999952,2.5,2.799999952,3.299999952,3.400000095,3.799999952
Philippines,,,,,,7,7.800000191,7,6.800000191,6.699999809,7.599999905,5.199999809,4.900000095,4.900000095,5.099999905,4.599999905,6.300000191,5.300000191,4.800000191,5.900000095,5.699999809,6,6.300000191,6.5,5.099999905
Poland,,,,,,,,,,,,,14.39999962,14.5,13.19999981,12.5,12,11.19999981,13.60000038,15.89999962,17.60000038,18.70000076,18.29999924,18,17.70000076
Portugal,,,9.199999809,8.399999619,8.600000381,8.5,7.199999809,6.099999905,5.699999809,5.5,4.900000095,4,5.400000095,7,7.199999809,7.099999905,6.400000095,5.699999809,4.699999809,4.400000095,4.5,5.599999905,6.800000191,7.099999905,8.399999619
Romania,,,,,,,,,,,,,,7.300000191,7.699999809,5.599999905,5,5.099999905,5.699999809,6.300000191,5.599999905,6.900000095,5.800000191,6.199999809,6
Singapore,1.5,1.399999976,1.700000048,1.5,2.400000095,3.299999952,2.299999952,1.5,0.8999999762,0.8999999762,1.299999952,1.399999976,1.299999952,1.399999976,1.700000048,1.600000024,1.600000024,2.5,3.099999905,,2.799999952,3.900000095,4.300000191,3.799999952,
Slovak Republic,,,,,,,,,,,,,,,,,11,11.19999981,13.39999962,15.80000019,15.80000019,15.80000019,15.69999981,17.5,
Slovenia,,,,,,,,,,,,,6.599999905,6.5,5.099999905,5.300000191,5.400000095,6.400000095,6.199999809,6.199999809,5.099999905,5.5,6.199999809,5.5,6.199999809
Spain,7.300000191,10,11.5,13.5,15.89999962,16.60000038,19.79999924,21.39999962,21,20.39999962,20.79999924,23.20000076,26.5,28.60000038,27.79999924,26.5,25.5,24.29999924,21.10000038,18.79999924,13.69999981,15.10000038,14.80000019,13.80000019,10.89999962
Sweden,1.899999976,2.400000095,2.400000095,2.200000048,1.899999976,1.799999952,1.600000024,1.299999952,1.200000048,1.200000048,2.200000048,3.799999952,6.300000191,6.800000191,6.900000095,8.100000381,8.800000191,7.400000095,5.900000095,4.5,3.700000048,3.700000048,4.5,5.199999809,6.300000191
Switzerland,,,,,,,,,,,2.599999905,3.599999905,4.599999905,4.199999809,4,4.300000191,4.199999809,4,3.200000048,3.099999905,3.400000095,3.200000048,4.099999905,4.599999905,4.699999809
Turkey,,,,,,,,,6.900000095,5.900000095,5.199999809,5.199999809,6.400000095,6,5.099999905,3.900000095,5,4.800000191,5.5,4.599999905,5.5,7.5,8.100000381,7.5,8.199999809
United Kingdom,,,,,,,,,,,,,,,,,,,,,3.599999905,3.799999952,3.299999952,3.400000095,3.299999952
United States,6.300000191,7.699999809,7.599999905,6.300000191,6.199999809,5.800000191,5.099999905,4.599999905,4.400000095,4.599999905,5.400000095,6,5.699999809,5,4.5,4.400000095,4.099999905,3.799999952,3.400000095,3.299999952,3.900000095,4.800000191,4.800000191,4.599999905,4.400000095
