"Suicide, age adjusted, per 100 000 standard population",1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.825186,4.306122,4.103057,3.875458,3.839376,4.032371,3.743677,3.627627,3.817847,4.002315,3.943459,3.987151,4.16313,4.613017,4.593544,4.648774,4.570699,4.156154,4.235338,4.689151,4.564688,4.541708,4.544517,4.777007
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.450894,,1.370001554,1.370001554
Bulgaria,,,,,,,,,,,,,,,8.495569,8.836132,9.524807,9.771757,9.300859,10.71659,11.03628,11.23274,10.35056,10.41801,11.29529,11.47946,12.37924,12.56126,11.87868,12.44803,11.81065,11.7393,13.22019,11.19199,14.27714,13.53859,13.31617,13.86124,13.47092,13.49538,12.25013,12.60847,14.42051,14.11095,13.8071,13.50905,14.4721,13.69746,14.18205,12.25715,13.05248,12.40352,12.3741,10.38297,9.517831,9.216544
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.277635,,8.204221725,8.204221725
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.84354,,14.68093586,14.68093586
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.028395,,4.961071491,4.961071491
Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.682539,,7.214220524,7.214220524
Canada,8.201165,7.869432,7.786166,7.629456,7.803952,7.667578,8.347555,8.257942,8.249329,8.147938,8.403479,8.312451,8.002673,8.473262,9.206102,9.751631,9.506003,9.95408,10.67558,11.75264,12.15343,12.61654,12.78639,13.05484,13.28622,12.50456,12.90813,14.12873,14.53326,13.82573,13.54163,13.4263,13.84684,14.30516,12.95502,12.08838,13.58978,13.16523,12.67723,12.47078,11.86393,12.32333,12.22278,12.2041,11.94806,12.46905,12.25137,11.30162,11.27126,12.13107,10.69649,10.76762,10.46119,10.61292,10.10099,10.10099
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.929598,,5.633333683,5.633333683
Central African Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.10169,,13.54841995,13.54841995
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.292041,,8.283070564,8.283070564
Chile,,,,,,5.732178,9.149643,9.159602,8.201006,6.93117,9.322284,9.362956,8.013679,4.446839,3.545123,2.473813,8.50732,2.656462,10.47899,8.529561,7.418612,7.009671,6.752884,6.184073,6.592804,8.086133,6.591233,6.894048,6.103039,6.715106,5.364541,6.45021,6.346614,6.285039,6.772761,6.411797,5.869994,6.044198,5.967246,6.044353,6.141553,6.335704,5.133439,5.751341,6.051927,6.892183,6.639486,6.445821,7.180727,7.095457,9.828766,10.61102,10.2641,10.40894,10.68438,10.17187
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.20328,,16.91324806,16.91324806
Colombia,,,,1.143741,1.939235,1.592191,1.259542,0.8708677,3.027905,3.564371,3.647928,4.86364,5.712422,5.711245,5.996255,7.919828,7.37764,8.422912,5.364674,3.950341,,,4.65205,,4.668807,4.353875,4.243285,3.666697,,,,,,,4.271548,4.051735,3.677213,3.164829,3.051975,2.747055,2.785237,3.234375,3.536186,3.530796,3.812184,3.383617,3.485843,3.446733,5.588333,5.658078,5.991631,6.040267,5.728444,,5.359842,4.907702
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.377626,,4.751083851,4.751083851
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.346663,,14.71302032,14.71302032
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.821898,,9.873761177,9.873761177
Cook Is,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.565275,,4.373364925,4.373364925
Costa Rica,,,,,,,,,,,,,3.191089,5.0869,4.245873,3.307125,4.695526,4.536897,3.973893,4.448352,3.369493,4.513411,4.327007,3.82232,5.254248,5.511003,7.761082,5.392559,5.073589,4.458363,6.46803,4.8651,5.131508,6.441837,5.493137,5.805995,6.317045,5.173544,6.244262,6.56845,6.197185,4.959392,5.57368,6.022556,5.668564,6.598767,6.420972,5.810333,6.536646,6.66712,6.668331,5.569319,7.162079,8.001172,8.127507,6.597168
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.30599,,20.31793022,20.31793022
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.2657,18.90348,20.36738,20.06863,18.28827,19.85799,19.34206,20.56279,19.38528,19.0867,16.5339,19.20495,17.57784,19.31718,18.57795,18.02292,15.58207,15.20331,14.94755,14.6266,14.77625
Cuba,,,,,,,,,,,,,,,12.48559,,,,13.98158,12.12626,14.18285,16.16134,17.42713,19.44759,21.26069,20.65146,21.28447,21.30074,,,,,,,,,,,,,,,20.67097,21.14372,19.94513,19.15213,17.16899,16.79339,16.73562,16.43439,14.73542,13.03323,12.36816,11.48033,11.55148,10.57191
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1312417,1.085972,,0.6061239,,0.6143094,2.206169
Czech Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.34381,16.36347,16.59023,16.07412,16.6598,16.09865,16.63402,16.05735,15.42972,14.45792,12.87189,13.6167,13.16321,12.95432,13.30353,12.96745,12.25913,13.73023,12.57968,12.36798
Czechoslovakia,,,,18.96523,19.44373,18.7464,19.39845,19.76243,19.55592,20.90478,21.57999,19.95406,19.93304,20.5491,19.77859,20.48941,22.1313,22.7391,23.26697,21.77464,23.75488,22.63649,22.7179,20.75337,21.04074,20.32091,19.20295,19.6305,19.72062,18.36911,18.44104,18.38247,18.18637,17.59199,16.84411,17.28135,17.46858,16.19857,16.12425,16.08007,16.05837,15.4163,,,,,,,,,,,,,,
Denmark,,22.57001,21.80417,22.97208,22.0815,22.07839,21.21038,20.65602,19.63602,19.808,18.92327,15.55525,17.73354,17.73943,19.29921,17.74087,16.25596,16.13284,18.82345,19.19158,19.6677,22.50454,21.70824,21.58741,23.28661,21.77992,21.44132,21.75448,20.7717,23.39481,28.32473,26.38023,25.89203,24.59875,24.79798,23.78938,23.63775,23.63203,21.78305,22.05911,19.63705,18.29291,17.71487,17.76922,15.14995,14.16143,13.63372,12.45314,11.69358,11.88227,10.9605,10.74545,10.18429,9.329547,10.06166,8.973104
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.495998,,4.993475914,4.993475914
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,5.835250854,5.835250854
Dominican Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.62026,,6.519536972,6.519536972
East Germany,,,,,,,,,,,,,,,,,,,,,,,,28.4586,29.79765,,,,,,,,,,,,,,,20.54407,19.00906,,,,,,,,,,,,,,,
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.129993,,8.504684448,8.504684448
Egypt,,,,,,,,,,,,,,,,,,,,,,,,0.108874,0.0632462,0.1390825,0.1197322,0.385539,0.2234905,0.2004124,0.042237,,,,,,,0.0674664,,,,,,,,,,,,,0.0779294,,1.748405,,1.799903631,1.799903631
El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.342705,,8.42265892,7.304886
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.288387,,10.12934971,10.12934971
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.22487,,8.913362503,8.913362503
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.84017,29.50624,,,28.57263,25.37659,23.23424,22.57013,24.16904,25.01882,24.70376,29.52575,35.22297,37.74011,36.72067,34.65499,33.12824,30.47727,29.56978,23.79946,25.6385,23.85851,21.5513,20.65888,16.95924
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.404214,,10.07194233,10.07194233
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.056887,,3.94025898,3.94025898
Finland,,,18.39353,18.1846,19.80814,20.87117,23.29878,22.88635,22.13796,20.87642,21.18496,21.32791,22.7411,19.64403,20.31372,20.22134,19.54756,20.14198,22.06191,23.43647,20.95512,21.10748,22.98928,22.40284,23.92126,23.64577,24.25636,24.15192,23.77191,23.01392,23.5005,21.88365,22.04408,22.45375,23.01888,22.46862,24.28866,24.81553,25.54692,25.66706,27.48005,26.76481,26.03521,24.6614,24.85681,24.45861,21.88372,23.20387,21.08205,21.03948,20.23022,20.55945,18.5012,18.17117,18.126,16.23437
France,13.15992,,13.29235,13.18141,13.92929,13.75461,14.98917,14.17177,14.28547,14.60973,13.82906,13.91007,13.27934,13.75892,13.30793,13.53311,14.06569,14.02401,13.76804,13.91817,13.73334,13.65924,14.3131,13.69903,13.84374,13.91132,13.94507,14.55289,15.10253,16.34446,16.85985,16.98194,17.992,18.64797,18.86752,19.29249,19.4723,18.48448,17.51214,17.50628,16.83448,16.87893,16.98829,17.85212,17.36844,16.79073,15.99484,15.63212,14.81209,14.38218,14.99261,14.45022,14.59405,14.75186,14.49824,14.09153
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.143663,,7.745064735,7.745064735
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.174481,,6.449156761,6.449156761
