"Suicide, age adjusted, per 100 000 standard population",1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.360439,,7.202383518,7.202383518
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.77528,,6.882952213,6.882952213
Mauritius,,,,,,,,,,,,4.575146,2.866556,3.674238,3.898995,5.183848,5.288391,3.35965,2.956564,1.786333,2.527642,5.022974,2.872094,7.917421,5.022285,8.736613,6.924563,6.4922,8.419885,7.73685,3.122026,1.948461,1.771049,1.814936,12.25493,11.18559,2.588358,14.24688,16.99933,14.67297,14.39157,13.29185,14.20034,12.86847,11.57039,13.88624,13.75605,10.78208,13.34664,14.30555,11.52222,9.511007,10.81601,7.373404,7.767069,8.08154
Mexico,,,,,,1.542594,1.992249,2.008836,2.393625,2.610376,2.510826,2.354637,2.212371,2.472383,2.430185,2.298479,2.24384,2.701641,2.141833,1.006855,1.603558,0.9858096,0.9885219,0.9116459,2.820369,2.292054,2.120096,2.3518,2.215146,2.061273,1.796119,2.207851,2.146268,1.92694,1.554713,2.517403,2.761398,2.730824,2.657209,2.869194,2.86492,2.96753,3.143804,3.216493,3.438644,3.653995,3.634392,3.837153,3.716372,3.641276,3.724148,4.013422,3.987383,4.202872,4.157453,4.288574
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.021117,,4.762269974,4.762269974
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.19888,20.85837,,,20.84619,18.78923,17.09118,16.99799,17.43347,15.1531,16.87156,15.97782,16.81451,18.20349,18.43415,17.63706,17.05586,15.5725,15.46219,14.19726,16.23094,15.16075,15.89185,15.15584,15.53849
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5589,,11.1510725,11.1510725
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.31175,,13.08961582,13.08961582
Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.431653,,2.109413624,2.109413624
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.14396,,10.55037498,10.55037498
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.47028,,10.11499691,10.11499691
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.535017,,8.021969795,8.021969795
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.069722,,4.079525471,4.079525471
Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.42371,,11.65520954,11.65520954
Netherlands,5.820827,6.296042,6.490525,6.708554,6.418634,6.137309,6.024011,6.402703,6.724334,6.99654,6.644284,6.562959,6.530163,6.089311,6.484751,6.784865,6.974983,6.155667,6.136596,7.181813,7.819364,7.983579,7.96256,8.476431,8.901922,8.604482,9.035349,8.780551,9.135732,9.801365,9.371664,9.240136,9.772309,10.76355,11.09751,10.10531,9.736112,9.683856,9.006235,8.992529,8.410317,9.204144,8.964912,8.777864,8.8611,8.446718,8.656008,8.704878,8.236586,8.246371,8.000276,7.799189,8.234311,7.788221,7.801102,8.164005
New Zealand,9.0554,9.763074,10.14251,9.711038,8.59666,9.072195,9.458788,10.02139,10.16197,9.24017,10.2839,9.060349,9.04999,10.28979,8.602016,9.86611,9.772851,10.93388,10.42069,10.73066,10.19759,8.871929,9.487917,9.232681,9.549904,10.10023,9.691712,12.40648,10.64097,9.95038,10.79644,10.18198,11.27103,10.73867,11.66898,9.995724,12.30094,13.5976,13.98206,13.45858,13.10906,13.20053,13.61933,12.02431,13.67746,14.53862,14.21908,14.83414,15.02567,13.34678,11.83916,12.91569,11.67196,12.41268,11.81556,12.17976
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.15647,,12.12226868,12.12226868
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.237587,,9.257975578,9.257975578
Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.281508,,7.631049633,7.631049633
Niue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.409268,,4.217076302,4.217076302
Norway,,5.949848,6.338094,6.933944,6.780933,6.805039,6.656648,6.65373,6.561034,7.132935,6.053056,6.249229,7.249916,7.292679,6.609901,7.193688,6.464213,6.344692,7.568803,7.584558,7.94972,7.772841,8.516699,8.158231,9.948808,9.354595,10.17054,11.02213,11.18785,11.58347,11.61248,12.13646,13.33471,13.70544,13.35334,13.37068,13.01929,14.25503,15.64157,14.2321,14.02974,14.41485,13.0069,12.28191,11.38587,11.55208,10.7995,10.91138,11.60942,12.41599,11.44005,11.28768,9.992784,10.35183,10.72357,10.823
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.814847,,3.716739416,3.716739416
Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.96756,,12.86981487,12.86981487
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.579326,,5.554276466,5.554276466
Panama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.634696,3.117213,4.503479,4.578268,4.238075,3.407573,,,,,,,4.583152,5.682899,5.705083,5.420964,5.349835,5.826587,5.814389,6.69641,6.195792,6.1052819
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.44662,,11.95694065,11.95694065
Paraguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.006316,2.912517,2.378467,2.833245,3.239362,3.577368,3.373229,3.188297,3.418299,3.385875,4.474054,4.409532
Peru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8759,,1.658907771,1.658907771
Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6353301,1.469929,,,,1.350521,1.43672,1.661201,2.188521,1.809625,1.866777,2.186046,1.922485113,1.922485113
Poland,,,,,,,,,,7.339004,8.736814,9.564972,10.05943,9.06005,9.172454,9.625675,10.47866,10.6868,11.04561,11.50053,11.5039,11.82271,11.99342,11.67589,11.11854,11.13316,11.86378,12.11314,12.96601,12.47814,,,,12.14406,13.7317,13.03489,12.76347,13.03219,11.92608,11.04187,12.68793,13.43896,14.31187,13.98428,13.58305,13.36345,13.10995,,,13.56346,13.78471,13.65072,13.6517,13.38901,13.81242,13.63706
Portugal,,,,,,9.764024,10.68105,8.586464,9.343464,9.703836,9.007988,9.241166,8.76357,9.724659,9.650346,9.415473,9.795267,10.14005,9.452449,8.68035,8.103641,8.103888,7.841224,8.201069,8.049552,8.096562,8.302361,8.719281,9.029814,9.504736,7.085851,7.323402,7.759789,9.075723,9.594799,8.797668,8.301185,8.450044,7.000268,6.273369,7.357389,7.869371,7.127646,6.269461,6.145826,6.410863,4.892168,4.765046,4.110432,3.881602,3.696454,5.546455,8.800402,8.100833,8.188375473,8.188375473
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.256135,,2.515720844,2.515720844
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.38418,8.392699,8.661991,10.72752,11.27867,11.7192,11.34378,11.35801,11.55556,11.27186,10.78912,11.10574,10.66391,12.20508,11.38388,10.63957,10.05932
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.61327,31.97382,32.35289,,,29.07068,21.37716,21.51458,22.58067,23.98959,24.66499,24.67332,28.77415,35.33885,38.99647,38.40206,36.31998,34.26565,32.09895,35.32395,35.24324,35.49273,34.11,31.46093,29.86262,27.87416
Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.7916,,13.11794853,13.11794853
Saint Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,
Saint Lucia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.848927,,8.21094799,8.21094799
Saint Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.423156,,9.593027115,9.593027115
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.410833,,5.542323589,5.542323589
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.093159,,6.087670803,6.087670803
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.090421,,10.49314976,10.49314976
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.955035,,6.401537895,6.401537895
Senegal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.410122,,6.81143856,6.81143856
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.06986,16.05071,15.50049,14.46464,14.2481,13.74888,12.97721,13.71634
Serbia and Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.14686,12.63675,13.34126,12.89358,14.43999,14.3126,,14.46964836,14.46964836
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.17655,,9.507927895,9.507927895
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.64068,,11.98049736,11.98049736
Singapore,,,,,,,,,,,,,,15.6672,14.75906,14.09774,16.72129,15.98031,19.42398,13.9952,13.73209,16.35336,16.65082,15.64216,13.70407,15.86606,15.03358,12.9747,14.89002,14.15758,13.21455,9.031859,11.54369,12.48183,9.511345,14.50564,14.41016,12.83475,15.44338,15.97309,13.36842,10.93564,9.741329,9.713158,10.96703,12.3293,8.06874,9.523671,10.5003,8.279798,8.996689,8.90111,8.919598,8.83317,8.683154,9.127511
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.08595,13.11195,12.27202,12.85946,11.59665,10.7445,11.31283,11.54251,11.96882,11.35117,11.53703,12.07549,10.75127,10.64574
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.96108,27.17877,27.93761,28.47483,30.45968,24.43765,28.39221,25.59074,27.03557,26.88709,24.31161,25.64912,25.30084,26.17643,24.62593,23.93481,23.37028,21.29828,21.99888,20.05259,19.42261
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.682738,,4.484752655,4.484752655
Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.09256,,29.86416435,29.86416435
South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.59825,,15.714571,15.714571
Spain,,6.002937,6.088732,6.044108,5.903178,5.536589,5.30954,5.280958,5.039659,5.15363,5.520239,5.153321,4.831709,4.821046,4.801649,4.588103,4.460283,4.289072,4.108692,4.217566,3.856842,4.086316,4.21391,3.980632,3.733753,3.674462,3.8569,3.807381,3.832891,3.858464,4.074317,4.204177,4.445822,5.082625,5.760107,5.697421,6.221115,6.198634,6.51844,6.489957,6.24552,6.136345,5.799902,6.374966,6.576002,6.438225,6.783312,6.762559,6.459838,6.21019,6.479599,5.983665,6.222061,6.301854,6.247683,5.888479
Sri Lanka,8.411093,9.073273,8.763982,9.034234,10.22454,9.111322,10.25548,10.87995,11.22152,10.7647,12.93573,12.5786,14.81982,15.67052,17.49431,16.24983,16.48888,21.32496,21.39651,,,,,,,,,21.28532,,,32.41936,32.34711,34.98421,38.27076,39.0163,38.07233,35.89977,,,,,,,,,,,,,,,,31.96863,,28.10404587,28.10404587
Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.698104,,9.709555626,9.709555626
Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.16088,,20.7474308,20.7474308
Swaziland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.360499,,12.87222195,12.87222195
Sweden,,14.55992,14.89569,16.38975,14.8011,15.53932,17.58902,17.43832,14.90001,15.86812,15.2327,14.73442,16.2228,16.32049,17.42311,16.62649,17.66613,19.30806,19.36115,19.5681,19.88535,18.19591,18.19821,18.63019,17.76685,17.47587,17.04633,17.41359,16.82889,18.16812,17.2743,15.28357,16.83182,16.53193,17.24587,15.72008,16.13395,15.70118,16.19208,16.02465,14.34026,14.64007,13.00007,13.2547,12.3852,12.8048,11.83133,11.5211,11.32528,11.58661,10.50198,10.84564,10.97088,10.37456,10.68662,11.11583
Switzerland,,19.60526,19.82315,20.13758,20.83422,19.63045,19.80364,19.26623,19.4159,17.98966,17.78563,17.05184,17.73772,16.13738,15.95987,17.28978,17.3628,16.70741,16.16756,16.24692,17.27734,17.30537,18.16105,17.28867,18.81595,20.89678,20.31346,21.83301,21.83531,22.36834,22.78979,21.00935,21.80501,22.06875,21.64091,21.66124,19.58177,20.18012,18.85795,19.18289,18.16399,18.7156,17.29281,16.97251,17.73643,16.60126,16.73695,15.4908,15.63122,14.63556,15.41755,14.58222,15.45505,13.21985,13.09476,13.23981
Syria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5609214,,0.5235275626,0.5235275626
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.511811,,2.648980856,2.648980856
Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.591502,,12.41118145,12.41118145
Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.68856,,9.847459793,9.847459793
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.07974,,9.633114815,9.633114815
Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.584218,,6.369887829,6.369887829
Tonga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.583961,,4.527851582,4.527851582
Trinidad and Tobago,,4.269865,5.576343,6.223582,6.130192,7.998585,7.283185,7.703564,4.839097,,4.224579,4.686509,3.849185,2.567165,,,,5.010607,8.639403,,10.13952,6.055122,11.39815,11.31108,8.571754,10.15632,10.01869,9.403189,4.742816,5.618334,4.313765,5.462587,7.519302,9.482351,6.576272,2.660398,9.592935,10.63419,15.11596,15.81646,14.83758,12.86188,14.06027,14.80194,12.62528,16.16787,12.48224,13.09639,13.81304,11.51521,13.19155,13.73944,11.65305,,14.54716682,14.54716682
Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.507532,,3.146814108,3.146814108
Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.716264,,3.56332469,3.56332469
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.08519,10.14225,,,9.738485,12.05377,11.17028,10.21823,9.519287,10.62686,9.351729,8.596193,7.835789,7.550726,6.781543,7.723176,8.319588,10.36523,,,,14.01835,,12.21676922,12.21676922
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.890512,,7.934811592,7.934811592
Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.381024,,12.28912163,12.28912163
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.63412,22.45824,,,20.05759,16.48204,17.31684,16.93836,18.9305,18.5269,18.52185,20.14645,21.44825,23.81222,25.2382,26.43411,25.97142,25.86071,25.19971,25.46725,23.2477,22.229,21.83279,20.04554,18.95457
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.226218,,1.392950654,1.392950654
United Kingdom,8.116419,8.081386,7.789029,8.469019,8.928727,8.922245,9.326525,9.353084,9.39134,9.215195,9.088522,9.13943,9.843241,10.09012,9.696188,9.024946,8.776801,8.305869,8.011331,7.532174,6.953133,6.950485,6.809535,6.951233,7.0541,6.728405,6.939591,7.156529,7.268871,7.647055,7.817475,7.91114,7.787232,7.708611,7.730339,7.934777,7.471793,7.161623,7.735447,6.798954,7.277498,7.15409,7.251611,6.969402,6.824561,6.710214,6.430166,6.425081,6.826987,6.817769,6.589573,6.352021,6.370787,6.05577,6.271399,6.014659
United States,11.22106,10.24862,9.890234,9.985363,10.05145,10.12583,9.942091,9.770529,10.75953,10.66436,10.78558,10.61668,11.17855,11.40495,11.15046,11.52387,11.28246,11.19782,11.05477,11.40742,11.83682,11.87784,12.13471,12.00975,12.12908,12.45698,12.09256,12.67173,11.81377,11.56452,11.24043,11.41708,11.4899,11.34989,11.54221,11.44829,11.84603,11.65775,11.39492,11.25343,11.45217,11.2965,11.05505,11.18842,11.12714,11.05877,10.77281,10.52044,10.38139,9.817642,9.532645,9.811729,9.95536,9.815033,10.02633,9.927033
Uruguay,,,,,,12.86885,15.14202,11.89244,11.72974,12.4441,13.09532,,,10.5521,8.92964,11.47799,11.12681,10.53261,10.59242,10.8668,9.65274,10.68481,11.40697,11.72857,11.67496,9.963992,10.62018,11.35061,10.21253,,9.036381,8.679468,10.49731,10.58008,10.62964,9.042464,8.042735,7.964934,8.318535,10.63581,9.605243,,,12.137,11.69573,12.44208,11.6643,13.10711,14.95599,12.64637,15.65417,13.93055,15.70864,,14.53727,14.53727
USSR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.63493,27.69169,29.18213,24.1466,18.43867,18.64787,19.0084,20.55434,20.62313,,,,,,,,,,,,,,,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.733695,9.309304,,,11.09545,9.964867,9.257269,8.481731,10.02346,9.491693,8.909372,7.86002,8.021069,8.264799,8.701978,9.523588,8.36826,8.326845,8.866324,9.197172,8.772025,7.033736,6.274282,5.342295,5.21372
Vanuatu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.110844,,4.983421803,4.983421803
Venezuela,,,,,,7.14124,7.792184,6.423306,7.789601,7.69146,7.849769,7.561757,7.471539,7.585801,8.17251,8.598449,9.177765,8.547078,8.210797,9.791901,9.390052,8.793551,8.417902,7.924212,6.534744,7.114197,6.174378,5.967803,6.4884,5.365818,6.61136,5.703158,5.701323,6.289893,,6.141409,5.938706,5.381944,5.791884,5.940796,6.218685,,5.750973,5.565638,6.085864,,5.279428,5.358896,5.531254,5.877512,5.88542,6.180861,5.707862,4.958583,4.333949,4.11962
West Germany,,,15.98879,16.45997,17.54097,17.21597,16.75506,16.41118,16.91541,16.6044,16.64503,16.63643,16.25881,17.07545,17.78603,17.56664,18.11726,19.04104,18.43233,18.76726,19.28542,18.78127,17.86193,18.55032,18.67815,18.54281,19.20442,19.99766,19.3982,18.42284,17.60207,18.31943,17.97009,17.64894,16.74963,16.78816,15.23791,15.04291,13.80855,12.87626,12.3628,,,,,,,,,,,,,,,
Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.01493,,11.65332222,11.65332222
"Yemen, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.133051,,6.265789032,6.265789032
Yugoslavia,,,,,,,,,,,,,,,,,,,13.30024,14.44645,,,,,,,,,13.64939,13.78863,14.17751,15.06392,15.32374,15.27492,15.4428,14.96809,14.86173,15.85673,14.99939,15.04852,13.88089,,,,,,,,,,,,,,,
Zambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.079987,,12.01903629,12.01903629
Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.541058,,13.90526676,13.90526676
