Oil Proved reserves per person (tonnes),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Algeria,59.47444284,56.78930054,64.2723308,60.80987837,57.52430139,54.66300444,53.0117251,50.23142594,52.54092534,51.41865216,50.00885899,48.84807939,47.71702036,46.62539039,49.46518777,48.46904876,51.51656721,52.54812919,52.27517651,51.50504177,50.74860651,50.02118858,49.3247226,50.75153753,50.09504713,51.4458245,50.82366763,49.92257573,49.32122117
Angola,27.82036249,21.97409976,28.32439046,32.31819341,39.36347612,36.30614717,24.65612351,34.64465732,34.02037531,34.7168561,26.72604614,23.28712272,20.82850846,28.9346866,44.09854622,45.24527099,52.17326853,53.86923617,54.57927475,67.11532988,78.00397058,83.45708502,111.7198746,107.3158164,106.9636136,104.1972755,101.6217354,148.2551876,144.9060267
Argentina,11.81308334,10.26279553,9.063155665,11.21237331,10.59690848,9.96040464,9.779154064,9.688346176,9.690533556,9.08130341,6.484916966,6.855378491,8.103270487,8.786759424,8.81296579,9.218090009,9.920660387,9.875538094,10.24910435,11.2993498,10.81700446,10.35569524,10.03668385,9.416506682,8.634630317,7.521581434,8.83812334,8.853799348,8.772085511
Australia,19.81071559,23.93286293,21.74177994,21.97563075,25.2432826,25.09403546,26.86530017,26.61300156,28.24071534,27.39918636,27.74063474,26.42266881,25.48961928,26.08417764,29.90579027,30.01969594,29.07448884,29.73256429,29.90379012,34.11232182,35.19530844,34.90206588,31.89566175,30.6962904,27.78893027,28.2269546,27.98507492,27.75212727,27.53046767
Azerbaijan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20.82954315,20.78877949,20.73771551,20.67652783,122.4338485,121.9293545,121.3463754,120.6778485,119.9253569,119.0923289,118.1823144
Brazil,1.462048,1.598548167,1.817538495,1.913063616,2.042572325,2.153802403,2.29593766,2.434084057,2.634898811,2.533809558,4.074418292,4.281251473,4.342510482,4.288261263,4.553416399,5.190230379,5.48698304,5.750636516,5.870098025,6.417497329,6.576689781,6.511180377,7.43301303,7.943943767,8.32993465,8.627759637,8.834753637,9.062073306,8.982891574
Brunei,952.9294893,1061.032718,988.2893497,1010.326261,941.4454553,893.7865268,883.6098045,927.2721865,673.5885628,626.9806388,593.8428644,589.9720547,563.1400689,605.4816509,559.7037815,515.3259744,486.5609608,461.1003211,432.9202075,539.0009697,498.7632887,460.4179216,427.588644,399.9463834,418.3668765,404.7738619,431.3680016,380.4269477,373.6217161
Canada,48.24175414,50.97411149,49.06422182,51.48478695,49.83921278,50.22668047,60.86422217,60.16108807,60.29401579,57.89949425,54.74907476,52.67556388,49.19372372,47.36140105,47.0565551,48.34202577,49.83311917,48.10768273,67.28654924,80.64194644,79.81584458,76.93020085,75.32070093,71.15923687,69.45855893,71.03261858,114.0028808,116.8796215,115.8762601
Chad,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14.76105098,14.318528,13.89357472,13.48474859,13.09133628,12.71193154,12.34488321,11.98967809,11.64578154
China,1.853595535,1.821528338,1.80553531,1.980849221,2.149914481,2.214551281,2.191252633,2.189339717,2.13707914,1.955383627,1.922248888,1.836246152,1.77645186,1.899731939,1.858107594,1.84900847,1.839734028,1.884898069,1.910914033,1.9415274,1.93856961,1.962589928,1.652129553,1.638377429,1.634588547,1.631473795,1.691701805,1.66915524,1.589473828
