Suicide 0-14 all age adj,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Argentina,,,,,,,,,,,,,,,,,0.4155367,0.3643609,0.4747089,0.4141204,0.4311339,,,,,,,0.4357061,0.3499467,0.3580256,0.3214272,0.3453004,0.2362093,0.1919204,0.2262252,0.324851,0.2018265,0.3402733,0.3333089,0.304574,0.3706037,0.3636397,0.3473085,0.407887,0.3813051,0.3424629,0.2319768,0.3029284,0.3569759,0.4023836,0.379721,0.5124497,0.5766158,0.5946236,0.6484576,0.6957199,0.617807,0.7517464,
Australia,0.2820233,0.1629002,0,0.1006624,0.1425965,0.0445872,0.1687119,0.1161689,0.1087776,0.1048753,0.1010308,0.0324255,0.097412,0.1279876,0.188196,0.1550897,0.0609873,0.1187027,0.2046653,0.1704563,0.221255,0.2959871,0.1321694,0.1046118,0.1567725,0.284863,0.157059,0.1853596,0.1598517,0.0795127,0.1561341,0.1249828,0.2676316,0.1920418,0.2416591,0.1954031,0.476764,0.1810814,0.1844619,0.238676,0.13321,0.2648965,0.1579198,0.1824229,0.1032558,0.1015501,0.3771161,0.3509907,0.2001193,0.3972978,0.2214645,0.1946297,0.1924891,0.3337935,0.1887752,,0.164442,,
Austria,,,,,,0.3017505,0.2559333,0.4606403,0.4619442,0.3973258,0.5908812,0.1281331,0.3957328,0.6777706,0.5496941,0.2740494,0.3349556,0.2587917,0.1874913,0.3012415,0.2323277,0.7866969,0.7084742,0.4250669,0.6733294,0.4093286,0.4598508,0.7188973,0.8999716,0.5273297,1.443976,0.6587792,0.5674525,0.5361456,0.7530522,0.5249729,0.4106916,0.2854376,0.2943137,0.447055,0.2256315,0.1477518,0.4295544,0.6985886,0.7606172,0.549533,0.277023,0.2100227,0.5629362,0.2110559,0.5589184,0.1383582,0.2732173,0.2031779,0.1347502,0.2703977,0.0683165,0.1387119,0.2839461
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2720393,0.1391071,,,0.097005,0.2416159,0.3410768,0.0485025,0,0.0426294,0.0469515,0,0.0902072,0,0,0,0,0.0396594,0,0.0355467,,,,,,,,
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,,,,,,,,,,0,0,0.5707217,,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4563557,0.6878741,,,0.4522766,0.3161588,0.4518416,0.6743163,0.8451722,0.487844,0.6971019,1.446634,0.906022,0.7314269,0.6019846,,0.3908938,0.6633941,1.043669,1.066875,0.8132701,1.127247,0.6707165,,,,0.7589592,
Belgium,,,,,0.2351008,0.1087337,0.1711512,0.1057202,0.2509121,0.0972344,0,0,0.0939299,0.1875384,0,0.3653846,0.316855,0,0.2182483,0.0432985,0,0,0,0,0,0,0.2497308,0.2953899,0.4254793,0.5798386,0.2294263,0.3209054,0.6146638,0.3299797,0.3840642,0.6616975,0.2104931,0.5855075,0.4864519,0.3256929,0.1080117,0.2674817,0.2662691,0.2667441,0.5910555,0.7070787,0.2748019,0.3309901,0.3857751,0.5987943,,,,,0.4672999,,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.051936,2.329663,2.682036,2.341617,1.254135,2.056005,1.694198,,,,,,,,,,,,,,,,,
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1596738,0.1802238,0.1581851,0.1678552,0.1335336,0.1413424,0.1236488,0.1269154,0.1303837,0.1464553,0.141533,0.1518959,0.1716558,0.1343233,0.217945,0.1994482,0.1833408,0.1644912,0.1602726,0.2125512,0.2151303,0.2058241,0.2113772,0.2102033,,,
Bulgaria,,,,,,,,,,,,,,,0.326239,0.4879081,0.8736124,0.5892203,0.4883292,0.29619,0.5987176,0.4046077,0.3577173,0.4641047,0.4689575,0.5859817,0.7946592,0.6476156,0.5976796,0.3217106,0.5792268,0.568755,0.8649789,0.5571925,0.8105866,0.6449905,0.7443321,1.063448,1.248545,1.018553,0.7920422,0.9124722,0.5467013,0.7322558,0.7484057,0.7630987,0.8341553,1.025913,0.7338688,0.6198559,0.3152907,0.5238253,0.6135131,0.859223,0.608304,0.4890216,0.3483242,0.4632396,0.1967661
Canada,0.088225,0.0292485,0.1119193,0.1341947,0.1022948,0.0486496,0.1375556,0.0433627,0.2266824,0.098829,0.11385,0.1417653,0.2059566,0.2179615,0.2134885,0.2579572,0.2989233,0.1836742,0.2535932,0.2189231,0.2440091,0.2565452,0.3254593,0.3392133,0.2383355,0.3628984,0.3066943,0.4983634,0.4900177,0.379053,0.3561755,0.6014256,0.4636155,0.4042861,0.5016036,0.3271499,0.4602817,0.5521283,0.5137697,0.4545293,0.539781,0.5077842,0.5776376,0.7538475,0.8118852,0.7061894,0.6712535,0.8309557,0.7492251,0.5190175,0.7377231,0.4272061,0.5467894,0.4185871,0.4340308,,,,
Chile,,,,,,0.3809131,0.2926479,0.4504263,0.4386519,0.3130294,0.3451508,0.6280247,1.005269,0.0303672,0.2337829,0.1043103,0.434107,0.2708672,0.4720262,0.7219535,0.5739631,0.4630847,0.5405284,0.419069,0.3570463,0.5165833,0.5520418,0.524425,0.2505404,0.3320703,0.1406816,0.3091144,0.3100129,0.2842384,0.36672,0.2753416,0.2913124,0.1805843,0.301739,0.3561472,0.3245679,0.3234508,0.2400697,0.314635,0.1560966,0.3484851,0.2632286,0.2369766,0.1857327,0.091235,0.3146136,0.488445,0.4852622,0.5294117,0.4385355,0.8867593,,,
Colombia,,,,0,0.0663351,0,0,0,0,0.2589522,0.016576,0.2264875,0.1554432,0.3301817,0.1599903,0,0,0.3342862,0.3100997,0.2685852,,,0.303848,,0.3081456,0.2604413,0.2130845,0.188862,,,,,,,0.2933458,0.2251551,0.202885,0.2195166,0.1984574,0.210659,0.1584424,0.2936444,0.302124,0.2585038,0.2395777,0.2005614,0.3008286,0.2814286,0.6534054,0.6272392,0.727789,0.5989832,0.8689576,,0.7062518,0.5795307,0.6191494,,
Costa Rica,,,,,,,,,,,,,0,0.152483,0,0,0,0.1595806,0,0.293264,0.2823138,0,0.1314531,0,0.2308039,0.1095381,0.1102197,0,0,0.2392038,0.341414,0.3367531,0,0.1164969,0.2367858,0.3638415,0.2351774,0.2246554,0,0.4117932,0.4995216,0.1007045,0.1937959,0,0.2755224,0.5064485,0.2548794,0.5759369,0.4758878,0.0775136,0.1534985,0.3928601,0.3854566,0.3040413,0.382295,0.3086959,0.8587578,,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8080337,1.005791,0.2987244,0.8935161,0.3951281,0.6883608,0.5874455,0.7816887,0.9928265,0.9790084,0.6943196,0.8320355,0.5125995,0.5187626,0.6145666,0.3202488,0.4994931,0,0.5050219,0.5103111,0.2593441,0.3914979,0.5158477,0.5169015
Cuba,,,,,,,,,,,,,,,0.588617,,,,0.8509313,0.362518,0.6068789,0,0.8118423,0.8911952,0.9357242,0.9770675,1.077692,0.6703147,,,,,,,,,,,,,,,0.9357951,0.4378855,0.2179284,0.4688459,0.3736663,0.4436348,0.2364646,0.3491674,0.2774627,0.3096083,0.1570162,0.200712,0.2882137,0.4222511,0.1295082,0.0882422,
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,0,0,0,0,
Czech Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4026097,0.3258901,0.7537712,0.3271507,0.2252966,0.5936742,0.3826059,0.5248333,0.6077798,0.5282095,0.4444136,0.2965249,0.3996907,0.1513362,0.6115062,0.3037061,0.3082095,0.4847105,0.4265111,0.3341048,0.1778426,0.1264139,0.273281
