Reported Cases,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006
South Africa,6822,4693,2872,13285,10289,8750,27035,23121,26445,51444,64622,26506,15649,13459,13399,7755,12098
Swaziland,,,,,,,38875,23754,4410,30420,45581,18791,14860,11469,9485,8883,3757
Togo,810509,780825,634166,561328,328488,,352334,366672,368472,412619,398103,498826,583872,490256,516942,437662,566450
Uganda,,,2446659,1470662,2191277,1431068,,2317840,2845811,3070800,,9000000,9800000,11000000,12000000,16000000,12792759
Tanzania,10715736,8715736,7681524,8777340,7976590,2438040,4969273,1131655,30504654,423967,,324584,369394,11379411,11898627,11441681,10566201
Zambia,1933696,2340994,2953692,3514000,3514000,2742118,3215866,,3399630,3385616,3602564,3838402,3760335,4346172,4078234,4121356,4731338
Zimbabwe,662613,581168,420137,877734,324188,761791,1696192,1849383,1719960,1804479,1533960,680900,1348137,1820835,1815470,1496896,1535877
Argentina,1660,803,643,758,948,1065,2048,592,339,222,440,215,125,122,115,259,209
Belize,3033,3317,5341,8586,9957,9413,6605,4014,2614,1850,1486,1097,928,,1057,1577,828
Bolivia,19680,19031,24486,27475,34749,46911,64012,51478,73913,50037,31468,122933,137509,158299,163307,202021,208616
Brazil,560396,614431,609860,466190,564406,565727,455194,392976,471892,609594,610878,388303,348259,408821,464602,603026,549184
Colombia,99489,184156,184023,129377,127218,187082,135923,180898,185455,66845,107616,206195,195719,164722,116872,118163,120096
Costa Rica,1151,3273,6951,5033,4445,4515,5480,4712,5148,3998,1879,1363,1021,718,1289,3541,2903
Dominican Republic,356,377,698,987,1670,1808,1414,816,2006,3589,1215,1038,1296,1296,2355,3837,3525
Ecuador,71670,59400,41089,46859,30006,18128,11882,16365,43696,87620,98598,108903,86757,52065,28730,17050,9863
El Salvador,9269,5933,4539,3887,2803,3362,5888,2719,1182,1230,745,362,117,84,112,66,44
French Guiana,5909,3573,4072,3974,4241,4711,4724,3195,3462,5307,3708,3823,3661,3698,3037,3414,4074
Guatemala,41711,57829,57560,41868,22057,24178,20268,32099,47689,45098,53311,35824,35478,31122,28943,39567,31093
Guyana,22681,42204,39702,33172,39566,59311,,32103,41200,27283,24018,27122,21895,27627,28866,38984,20997
Haiti,4806,25511,13457,853,23140,,18877,,34449,1196,16897,9837,,9837,10802,21778,32739
Honduras,53095,73352,70838,44513,52110,59446,74487,65863,42979,46740,35122,24149,17223,14123,17293,16007,11561
Jamaica,,,,,,,,,,,,,,,,,382
Mexico,44513,26565,16170,15793,12864,7329,6293,4805,25023,13450,7362,4895,4624,3819,3406,2967,
Nicaragua,35785,27653,26866,44037,41490,69444,75606,42819,33903,38676,24014,10482,7695,6717,6897,6642,3114
Panama,381,1115,727,481,684,730,476,505,1039,936,1036,928,2203,4480,5095,3667,1663
Paraguay,2912,2983,1289,436,583,898,637,567,2091,9947,6853,2710,2778,1392,694,376,823
Peru,28882,33705,54922,95222,122039,192629,208132,183740,247004,166579,69726,79473,85742,79473,93581,,
Suriname,1608,1490,1404,,4704,6606,16649,11323,12412,13939,13132,17074,13091,14657,8189,8739,3631
Venezuela (Bolivarian Republic of),46910,43454,21416,12539,13727,16371,18858,22400,21862,19086,29736,29491,29491,31719,46655,45049,37062
Afghanistan,317479,297605,,,88302,,303955,202767,288070,,,364243,626839,585602,261456,245881,271601
Djibouti,3237,7338,7468,4166,6140,5982,6105,4314,5920,6140,4667,4312,5021,5036,2142,2590,7708
Egypt,75,24,16,17,527,322,25,11,13,61,17,11,10,45,43,23,29
Iran,77470,96340,76971,64581,51089,67532,56362,38684,32951,23110,19716,19303,15558,23562,13821,18966,15909
Iraq,3924,1764,5752,49863,98243,98705,49840,13959,9684,4143,1860,1265,952,347,155,47,24
Morocco,837,494,405,198,206,197,102,125,121,60,59,59,107,73,56,100,83
Oman,32720,19274,14827,16873,7215,1801,1265,1026,1093,901,694,635,590,740,615,544,443
Pakistan,79689,66586,99015,92634,108586,111836,98035,77480,73516,91774,82526,125292,107666,125152,126719,127826,124910
Saudi Arabia,15666,9962,19623,18380,10032,18751,21007,20631,40796,13166,6608,3074,2612,1724,1232,1059,1278
Somalia,,,,3049,,,,,,9055,10364,10364,96922,23349,36732,28529,49256
Sudan,7508704,6947787,9326944,9867778,8562205,6347143,4595092,4065460,5062000,4215308,4332827,4223414,3516456,3730993,2599669,2853275,2233987
Syrian Arab Republic,107,54,456,966,583,626,345,130,60,43,42,79,27,24,13,28,34
Yemen,11384,12717,29320,31262,37201,500000,416246,1394495,,2781640,1394495,107758,187159,174529,158561,200560,217270
Armenia,0,0,0,0,196,502,347,841,1156,616,141,79,52,29,47,7,0
Azerbaijan,24,113,27,23,667,2840,13135,9911,5175,2315,1526,1058,506,482,386,242,143
Georgia,1,2,1,0,1,1,7,1,16,51,245,439,472,315,256,155,60
Kyrgyzstan,1,1,2,0,6,3,26,13,11,5,12,28,2744,468,93,226,320
Russian Federation,216,169,160,209,335,425,611,831,1081,792,795,898,642,,,,
Tajikistan,175,294,404,619,2411,6103,16561,29794,19351,13493,19064,11387,6160,5428,1804,1398,776
Turkey,8680,12218,18676,47210,84345,82096,60884,35456,36842,20963,11432,10801,10212,9209,5289,2052,767
Turkmenistan,1,17,11,3,9,10,14,14,137,49,24,5,8,7,3,1,0
Uzbekistan,28,12,25,36,21,27,51,52,74,85,126,77,74,74,66,102,76
Bangladesh,53875,63578,115660,125402,166564,152729,100864,68594,60023,63723,60396,361586,307236,491602,215678,190724,362042
Bhutan,9497,22126,28900,28116,39852,23188,15696,9029,7693,12237,5935,10242,7206,4043,3027,1947,1991
"Korea, Dem. Rep.",,,,,,,,,1085,7980,73742,296540,241190,60559,33803,11507,9353
Democratic Republic of Timor-Leste,,,,,,,,,10332,,49836,63440,26651,33078,218270,176933,191399
India,2018783,2117460,2125826,2207431,2511453,2988231,3035588,2660057,2222748,2284713,2031790,2085484,1841227,1869403,1915363,1816569,1785109
Indonesia,171908,132412,103277,136367,145920,123226,179878,161285,160282,,101185,1400596,1494165,1481748,1494636,1792992,1327431
Myanmar,989042,939257,789672,702239,701043,656547,664507,568262,548066,121031,,574352,721739,716806,602883,506041,475297
Nepal,22856,29135,23234,16380,9442,9718,6628,8957,8498,9699,7616,146351,133431,196605,140687,178056,154765
Sri Lanka,287384,400263,399349,327020,273434,142294,184319,218550,211691,,210039,66522,41411,10510,3720,1640,591
Thailand,273880,198383,168370,115220,102119,82743,87622,97540,131055,125379,81692,63528,44555,37355,26690,29782,30293
Cambodia,123796,102930,91000,99200,85012,76923,74883,88029,58874,64679,62439,110161,100194,119712,91855,67036,89109
China,117359,101600,74000,59000,62000,47118,33382,26800,27090,26797,18620,26945,172200,169828,145676,100106,116260
Laos,22044,41048,38500,41787,52601,52021,77894,72190,39031,28050,40006,103983,85192,88657,53808,30359,20468
Malaysia,50500,39189,36853,39890,58958,59208,51921,26649,13491,11106,12705,12780,11019,6338,6154,5569,5294
Papua New Guinea,104900,86500,86500,66797,65000,99000,71013,38105,20900,18564,81192,1643075,1587580,1650662,1868413,1788318,1676681
Philippines,86200,86400,95778,64944,61959,56852,40545,42005,50709,37061,36596,34787,37005,48441,50850,46485,35110
"Korea, Rep.",0,0,0,1,20,107,396,1724,3992,3621,4142,2556,1799,1171,864,1369,2051
Solomon Islands,116500,141400,153359,126123,131687,118521,84795,68125,72808,63169,67884,76417,74865,90606,90297,76390,75337
Vanuatu,28805,19466,13330,10469,3771,8318,5654,6099,6181,5152,6768,18927,34231,42863,39730,32273,21184
Viet Nam,123796,187994,225928,156069,140120,100116,84625,65859,72091,75102,74316,188122,184901,164283,128382,99061,91350
