RTI 30-44 all age adj,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Argentina,,,,,,,,,,,,,,,,,12.93908,16.77074,18.69017,21.71778,21.53992,,,,,,,17.9344,16.11962,15.2725,14.97491,14.25503,14.34686,14.03644,12.20796,8.781721,11.03159,10.74555,9.651573,10.81686,9.733736,10.08712,11.49011,11.7456,13.68989,11.86204,11.97248,11.67124,13.41763,12.53691,11.87336,11.95734,9.464232,10.05048,9.71347,9.937332,11.33614,10.716,
Australia,19.16973,22.62646,20.84492,19.17641,19.22415,20.05932,19.82762,22.32925,20.50101,23.9039,22.70165,21.10961,22.9756,20.88864,24.18524,23.89207,24.63081,23.05782,24.4549,26.32719,24.69818,24.27816,20.54565,22.54451,21.14335,22.95375,20.22699,19.9427,19.79865,19.4723,18.52367,17.64584,16.50632,12.79369,13.96536,15.10493,14.45019,14.2907,13.36006,15.30399,11.13609,10.2812,10.20247,10.45673,9.252404,9.700783,10.32753,9.329607,8.478088,8.791413,9.408706,8.731533,9.460183,7.992449,7.118615,,7.517917,,
Austria,,,,,,9.473495,20.68022,26.7536,24.28266,23.41218,23.39124,19.7237,16.94593,20.47622,23.92161,22.31485,25.71093,29.04311,31.27177,28.22475,29.82665,35.99443,35.83739,33.41319,26.29499,29.01446,26.04963,23.61216,23.12067,20.96234,20.42406,19.44565,21.67428,21.20885,18.24101,13.16973,15.25519,14.57973,15.16444,13.94278,16.23075,13.89775,11.56257,11.61209,11.41152,11.57042,8.762462,9.695521,9.29098,10.00336,9.721603,10.12699,9.355705,8.240886,9.24649,8.440867,6.873623,6.258194,5.735972
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.49792,19.54657,,,15.31072,24.0324,21.50329,26.67131,26.16498,26.00878,25.33072,24.89079,19.69095,3.010271,4.07776,9.494823,7.953952,8.042772,7.28176,7.710744,,,,,,,,
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.891462,,13.40398,7.255637,,,,,,,,,10.28368,10.34368,1.713593,9.042778,13.5515,,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.42871,17.28063,,,12.08089,11.85241,13.034,18.03674,24.21674,28.01979,29.90332,27.75409,20.47591,21.72386,23.16579,,20.29822,22.27843,23.28399,19.41729,18.08061,27.48042,27.59669,,,,23.50294,
Belgium,,,,,11.03895,11.58224,13.14739,13.27993,16.17692,17.33471,17.93283,17.75252,17.92727,19.3319,21.56007,24.17136,20.95823,23.15738,24.33962,22.87652,28.57665,25.34365,27.36803,25.53148,22.50458,19.61365,23.81079,18.92782,20.23027,18.49162,22.17277,21.26627,17.79332,20.55435,18.60108,16.00246,17.38041,17.58376,16.70449,16.13322,17.23365,16.64604,16.46331,16.57998,17.31474,17.0923,13.88132,14.93683,14.94669,16.24096,,,,,12.39303,,,,
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.13345,21.35747,22.58909,25.21095,30.28337,27.90699,27.86619,26.74788,26.11934,24.73405,23.35071,23.40128,24.29341,27.04527,26.24889,26.95618,23.01284,21.5365,21.23577,20.82727,21.94107,21.91421,22.84385,23.25993,,,
Bulgaria,,,,,,,,,,,,,,,8.099711,8.7571,14.52393,17.13718,16.84608,13.68252,15.2731,14.86964,15.71624,16.138,12.04122,15.01566,13.31697,13.50348,16.51928,15.32235,14.82792,14.68958,15.89965,11.41581,12.90515,13.58597,11.71617,12.69095,12.14468,15.17727,17.57569,12.73975,15.1291,15.05726,17.80084,15.15718,13.76758,10.68507,11.25111,14.43629,12.49116,13.95303,12.85207,12.29329,14.07675,11.48846,13.18823,13.87679,14.89839
Canada,12.81298,16.08974,17.56912,18.16016,16.15039,16.53243,20.36118,19.08769,19.73178,19.06676,17.98825,19.50838,22.77662,20.65914,23.80245,23.03319,24.85553,23.69682,23.70583,22.37757,21.80062,23.44073,24.47555,22.89515,22.39398,21.46227,17.26501,17.51795,17.82371,18.40517,18.68756,18.02588,13.94858,14.82039,13.69966,14.27253,13.22162,13.67554,13.56519,14.82999,12.68173,11.08021,10.48883,11.11076,9.514557,9.695662,8.507492,8.607266,8.22487,8.016913,7.701368,7.594156,7.993554,8.341913,7.547999,,,,
