Female 5-9 years (%),1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Afghanistan,13.40284842,13.96937574,13.44991364,13.74045802,14.04494382,14.34809732,14.54979129,14.66012851,14.89924017,15.05166475,15.2672527,15.34749852,15.08761932,14.49591281,14.35454307,14.16259563,13.78421505,13.17112555,12.40524006,11.64083865,10.95717884
Albania,12.45847176,12.13450292,13.26658323,14.45523193,14.38032167,12.96296296,11.76470588,11.51430565,10.48034934,10.93247588,9.915748542,8.8478676,6.596141879,6.469165659,6.709829311,6.701328712,6.242840779,5.561926606,5.077899596,5.066977286,5.141843972
Algeria,13.15298507,13.41132233,13.83038211,14.61564396,15.34301167,15.22917693,14.79940248,14.64324718,14.75488242,13.24432386,11.65806537,9.003195674,8.744726941,8.870155347,8.739938388,8.197647059,7.345982243,6.531198329,6.069950156,5.927633475,5.96804132
Angola,12.82536678,12.68947596,13.86061081,14.2551675,14.55308164,14.65243727,14.52905812,14.88283724,15.06191092,15.21773306,15.341066,14.64688427,14.83904465,13.91944722,13.74316061,13.2878189,12.63205652,11.86920852,11.13217768,10.5091874,9.960864704
Argentina,10.12612613,10.21175965,10.22805129,9.96671764,9.560659011,9.240873683,9.513786571,10.5345502,9.591527988,9.28301034,9.015522007,8.486598774,7.867934547,7.696566999,7.423329197,7.0496642,6.645635299,6.267460221,5.918003565,5.805949835,5.679901886
Armenia,8.005617978,9.693251534,12.20268873,13.85701677,13.51981352,10.29716655,9.382871537,9.26686217,9.978070175,10.02949853,8.098159509,5.504587156,5.761067314,6.212664277,6.335109532,5.927682276,5.288175876,4.919016197,4.930006086,5.064854849,5.123339658
Aruba,16.66666667,14.28571429,16.66666667,15.38461538,13.79310345,10.34482759,6.451612903,6.060606061,9.090909091,7.692307692,8.695652174,7.692307692,5.357142857,5.263157895,5.357142857,5.263157895,5.084745763,5.357142857,5.263157895,5.172413793,5.357142857
Australia,8.51742759,10.09678839,9.817037183,9.812838902,9.676908457,8.915414088,8.686786297,7.276402223,7.16285581,6.917755573,6.821240037,6.34317451,6.000369822,6.010736601,5.901639344,5.79278118,5.683051636,5.549306337,5.431775157,5.390070922,5.387438543
Austria,7.425343019,6.670252824,6.274926881,7.189035428,7.92605723,7.505629222,6.127574083,5.313523042,5.629221916,5.502800097,5.590513069,4.93973056,4.658746797,4.441360167,4.390804598,4.460201281,4.492588369,4.444950992,4.365714286,4.362801378,4.459334566
Azerbaijan,7.898172324,8.623643632,11.23152709,14.57541191,15.1014275,12.83018868,10.53464094,9.991235758,10.8365019,11.38477004,10.44167067,7.632003689,6.707584393,7.547956631,7.630682956,6.991236611,6.095929677,5.523091423,5.450812022,5.616514785,5.603287262
Bahamas,11.9047619,12.76595745,14.28571429,15.27777778,15.29411765,14.73684211,13.20754717,10.92436975,10.85271318,9.79020979,9.677419355,9.090909091,7.90960452,7.446808511,7.035175879,6.698564593,6.046511628,5.829596413,5.652173913,5.508474576,5.439330544
Bahrain,14.81481481,14.51612903,15.06849315,17.5257732,16.66666667,16.2601626,13.79310345,12.5,12.25490196,11.15702479,11.15107914,10.32258065,10.11560694,8.970976253,8.232445521,7.399103139,6.90376569,6.692913386,6.367041199,6.071428571,5.841924399
Bangladesh,13.55059185,13.1610338,14.39890175,14.48237695,14.64638829,14.75375407,14.97378619,15.06356059,14.61663315,13.38527699,12.14446108,11.29179392,10.41443702,9.13589646,8.595586315,8.140641158,7.62446488,7.061527412,6.526376585,6.169115235,5.982108408
Barbados,9.649122807,10.83333333,11.53846154,12.6984127,12.5984252,9.375,10,7.633587786,7.462686567,7.518796992,6.976744186,6.060606061,5.263157895,5.303030303,5.223880597,5.223880597,4.511278195,4.580152672,4.651162791,4.724409449,4.918032787
Belarus,6.66204025,7.152777778,8.548530721,9.957264957,9.167178228,7.264787614,6.937198068,6.839048154,7.3381031,7.195301028,5.536849981,4.389312977,4.307152602,4.627044276,4.580777096,4.334104776,4.039965248,3.782080144,3.74619527,3.912937148,4.07587798
Belgium,6.081390032,7.56936737,7.397084048,7.689110557,7.773707774,7.118576285,6.386788699,5.894026593,5.72609209,5.643910008,5.70495582,5.394736842,5.240974895,5.405405405,5.321979776,5.326791659,5.234876062,5.123796424,5.04015035,5.054458816,5.111224317
Belize,11.76470588,12.82051282,14.89361702,16.66666667,14.28571429,14.92537313,15.71428571,13.92405063,15.2173913,13.88888889,13.70967742,12.76595745,11.53846154,10.40462428,9.625668449,9.045226131,8.411214953,7.589285714,6.751054852,6.58436214,6.324110672
Benin,11.59817352,11.5826702,11.17597998,11.97237145,12.8561501,13.46153846,13.78746594,14.17061611,14.37346437,14.2906815,14.4397843,14.20904677,13.95348837,13.93006461,13.54270522,12.82730215,12.0283949,11.28381585,10.63485208,10.03072653,9.428938671
Bhutan,13.75,13.54166667,12.96296296,13.38582677,13.69863014,13.4502924,13.65853659,14.28571429,14.12639405,15.2,14.02877698,11.36363636,10.47904192,9.392265193,9.230769231,8.695652174,7.834101382,7.079646018,6.56779661,6.378600823,6.18762475
Bolivia,12.79411765,13.48314607,13.65248227,13.82585752,13.73652133,13.74172185,14.07516581,13.42393106,13.17276241,13.0873374,13.18181818,12.32906447,11.79395386,10.96192753,10.1921757,9.4360963,8.735632184,8.08036369,7.471751412,6.933406413,6.471453403
Bosnia and Herzegovina,10.15228426,11.86552406,12.67692308,12.13872832,11.38613861,9.658792651,8.559919436,7.699665232,7.844036697,7.584597433,5.59623431,5.448065173,4.459251666,4.237726098,4.190675746,4.108858058,3.9408867,3.728813559,3.581914269,3.551745254,3.670315518
