Stomach Male Mortality,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
Chile,,,,,,65.63,67.34,63.27,63.6,66.14,63.38,63.58,60.94,64.16,59.04,53.79,56.61,54.85,57.91,58.34,59.68,55.82,56.69,55.11,50.09,49.9,48.72,45.81,45.37,46.15,41.78,38.98,39.84,38.1,35.81,33.33,35.33,33.29,34.56,35.35,33.32,33.59,32.48,32.57,32.15,32.02,29.88,32.21,29.4,30.81,29.7,28.25,28.34
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.7
Colombia,,,,19.23,16.38,16.47,17.49,20.19,18.66,20.37,18.83,19.58,21.14,23.43,23.89,25.1,25.84,26.74,24.8,23.53,,,23.49,,25.38,25.91,23.8,24.23,,,,,,,23.84,24.38,23.15,24.25,22.49,22.65,21.94,22.04,21.75,21.15,20.59,19.62,19.73,19.62,18.75,19.4,,18.66,17.665
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.9
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8
Costa Rica,,,,,,,,,,,,39.25,40.9,44.36,43.6,46.52,41.3,40.24,37.42,39.04,36.13,39.87,39.49,39.05,40.19,37.52,36.78,36.23,34.56,33.37,33.82,32.73,38.31,39.02,37.42,39.52,33.29,35.65,41.33,41.07,36.87,35.28,36.5,33.49,33.19,33.5,30.1,29.16,27.88,25.26,24.05,24.79,21.36
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.74,27.9,27.79,26.85,26.87,25.87,24.85,21.45,22.31,20.17,19.43,18.4,18.67,17.76,18.57,17.8,16.16,16.17
Cuba,,,,,,,,,,,,,,,15.81,,,,13.42,13.99,13.38,13,12.88,11.69,10.9,11.29,10.8,11.26,9.16,9.29,8.51,9.58,7.57,8.13,7.82,7.35,7.11,6.5,7.62,6.71,6.34,6.74,6.86,6.24,5.99,6.33,5.87,5.57,5.77,5.94,6.05,5.62,5.47
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8
Czech Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.15,19.71,20.26,19.86,18.7,17.4,16.52,15.97,16.62,14.98,15.33,13.47,12.59,11.84,12.17,10.81,10.76
Czechoslovakia,,,,46.59,45.96,47.12,46.05,46.88,46.59,44.99,42.83,45.14,44.88,44.7,43.23,41.98,41.36,39.83,40.65,38.37,37.73,36.13,32.84,34.03,33.06,32.32,29.18,29.92,27.55,26.58,25.76,24.31,24.19,23.68,22.65,20.93,20.63,19.82,20.23,19.92,18.98,17.91,,,,,,,,,,,
Denmark,,34.75,33.55,31.97,32.22,32.66,30.12,28.48,28.08,27.96,28.03,24.87,25.26,23.23,23.1,21.24,21.69,19.04,17.8,17.84,17.73,16.36,16.01,16.66,15.51,14.01,12.94,14.42,14.07,12.38,12.13,11.81,10.35,10.79,10.48,9.85,9.97,8.46,8.79,7.51,7.74,7.04,6.6,6.96,6.4,6.44,6.91,5.39,5.18,5.2,5.15,5.13,5.11
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
Dominican Rep.,,,,,,,,,,,,,,,,3.67,4.02,4.04,5.1,3.81,5.35,5.43,4.33,3.58,2.85,4.86,3.29,3.2,3.2,2.6,2.73,4.71,4.57,3.87,5.3,5.31,3.49,3.67,3.36,4.01,3.28,3,3.14,,3.49,3,3.31,4.36,4.16,4.26,3.58,3.41,3.615
Ecuador,,,,,,,,,,,,10.04,,12.75,13.79,,,,17.87,18.66,18.6,17.89,19.62,18.32,19.32,18.45,,19.66,20.86,22.79,23.63,24.18,24.05,23.74,25.47,26.08,24.35,23.59,25.27,25.82,22.8,23.99,21.13,22.6,20.9,22.69,22.71,21.07,20.3,19.99,17.84,18.12,16.73
Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2
El Salvador,7.12,8.69,8.82,8.73,8.39,5.78,6.1,5.79,6.97,6.28,7.36,7.39,9.63,8.11,10.08,7.99,8.64,9.31,6.21,7.21,6.57,5.06,6.84,6.39,5.83,,,,,,,7.26,7.71,5.71,7.02,,,,,,11.54,12.21,11.01,11.48,,10.49,12.28,12.51,11.78,12.29,13.48,13.91,12.88
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.6
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.02,32.61,,,33.36,31.05,29.74,28.88,31.32,30.16,26.68,26.88,32.03,26.14,27.15,26.08,24.87,26.84,23.45,22.58,21.13,20.91
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4
