Stomach Male Mortality,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1
Poland,,,,,,,,,,36.1,38.81,41.54,43.05,44.43,45.12,44.08,42.82,41.79,42.7,40.27,39.84,38.28,37.26,35.95,35.67,35.28,34.75,33.74,32.21,30.85,30.73,29.97,28.38,28.15,27.28,26.63,25.96,26.05,24.45,23.07,23.21,21.6,21.31,20.49,19.63,19.18,17.93,,,16.55,16.12,15.23,15.24
Portugal,,,,,,29.6,28.21,29.69,30.36,30.02,30.88,32.33,33.03,33.72,35.47,34.49,35.53,34.84,35.82,35.64,36.28,38.96,34.67,35.04,37.15,36.2,33.84,34.12,30.8,30.44,31.3,29.34,29.11,27.08,27.24,27.05,25.65,24.96,24.28,24.68,25.12,22.86,23.29,21.75,20.99,21.75,20.11,19.38,18.51,18.81,18.38,17.91,17.57
Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4
Romania,,,,,,,,,,32.08,34.31,38.5,38.64,38.43,35.42,33.98,32.23,29.71,30.1,33.7,30.64,30.67,31.2,30,27.93,27.28,28.03,27.46,27.42,,25.57,23.23,22.36,20.87,19.99,20.89,19.89,18.73,19.11,18.61,17.51,17.57,18.05,18.19,17.74,17.66,17.21,16.99,16.09,16.67,16.35,17.23,17.4
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.6,50.53,50.37,49.86,49.14,46.21,45.28,44.74,43.48,41.93,41.51,40.7,40.12,39.7,37.64,36.27,34.2,32.91,32.12,31.76,30.42,29.34,28.43
Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.4
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.4
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9
Senegal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbia and Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.2
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2
Singapore,,,,,,,,,,,,,,42.42,41.32,34.26,34.54,39.19,30.94,33.92,27.07,30.32,30.59,28.96,30.5,32.52,32.8,32.8,29.77,30.66,26.11,22.53,21.92,25.19,19.73,22.35,23.42,20.92,15.89,21.75,19.97,18.01,17.8,15.18,14.37,14.26,14.56,15.12,11.49,12.2,9.91,9.33,8.51
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.64,19.56,16.37,17.68,16.35,16.71,18.19,16.81,16.13,14.81,14.8
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.11,25.26,24.85,26.3,24.2,24.65,22.16,22.29,23.48,21.23,20.8,17.03,20.14,18.74,17.83,17.03,15.32,16.73
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8
Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.01,8.39,7.71,8.65,8.17,8,7.93,7.41,7.05,6.3
Spain,,25.91,26.35,26.52,26.53,29.03,29.43,28.38,27.78,28.23,30.38,30.85,31.41,32.79,32.23,32.62,30.93,30.56,28.89,27.7,27.4,26.99,25.66,26.13,23.94,23.92,23.23,22.27,21.08,20.13,19.34,17.93,16.77,16.71,16.44,16.14,15.37,15.62,15.19,14.6,14.13,13.43,12.97,13.09,13.07,12.13,11.92,11.73,11.03,10.84,10.56,10.34,9.47
Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9
Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1
Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.8
Swaziland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1
Sweden,,32.62,31.55,31.7,31.47,30.72,30.81,28.18,28.05,27.04,26.23,25.15,25.86,24.01,22.17,22.25,20.47,20.28,18.69,18.36,17.61,17.55,17.47,16.83,16.45,16.15,15.4,15.07,13.7,14.01,12.35,12.31,11.3,10.58,10.05,10.38,9.18,9.09,8.84,8.78,8.5,8.75,7.88,6.85,7.06,6.36,6.34,6.44,6.15,6.14,5.31,5.37,5.42
Switzerland,,43.04,41.15,40,39.75,38.53,36.33,35.91,34.72,33.24,31.83,31.56,29.13,30.88,27.16,26.59,25.52,24.92,24.64,23.52,21.1,22.33,21.35,21.3,17.59,18.39,18.51,15.45,15.92,15.24,13.28,13.71,12.91,12.35,11.79,11.53,10.71,10.25,9.42,10.19,9.74,8.8,8.7,8.05,8.21,7.16,6.79,6.87,6.42,5.67,5.43,5.88,5.51
Syria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.8,29.97,,,30.65,28.77,29.48,27.94,29.12,31.06,29.72,25.01,22.59,19.18,13.04,15.09,17.15,15.46,18.49,18.06,16.06,22.6
Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2
Thailand,,,,,,,,1.2,1.02,1.9,2.01,1.52,2.18,1.57,1.68,1.56,1.54,1.75,1.12,1.35,1.55,1.21,1.54,1.87,1.8,1.87,1.15,1.4,1.4,1.6,1.48,1.61,1.64,1.55,1.1,1.11,1.06,0.8,,,1.06,1.02,1.09,,1.04,1.23,0.91,0.58,0.83,0.97,1.32,,1.83
Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2
Trinidad and Tobago,,23.84,25.71,23.89,28.11,22.2,24.36,26.32,24.53,,19.33,25.75,20.92,28.59,,,26.88,30.24,24.21,,26.19,20.11,21.09,15,16.15,14.44,15.79,14.36,14.15,17.61,15.4,14.09,12.34,15.78,18.33,12.36,12.57,13.93,13.51,13.02,11.45,8.93,10.53,10.15,10.11,6.58,9.38,9.2,11.9,6.53,7.8,5.48,7.58
Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.2
Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.34,34.28,,,33.08,32.82,32.77,31.97,32.37,30.89,31.9,31.52,29.88,29.04,27.76,26.57,25.63,25.17,24.84,24.09,23.1,22.48
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5
United Kingdom,29.41,29.48,29.26,28.78,27.97,28.12,27.21,27.56,27.2,27.09,26.36,25.97,25.5,25.19,24.11,23.93,23.81,23.23,22.02,21.93,21.28,21.18,20.61,20.28,19.6,19.36,18.93,18.07,18,17.4,16.74,16.3,15.4,15.97,15.24,14.58,14.3,13.88,13.48,12.95,12.29,11.86,11.52,10.47,10.44,9.51,9.33,8.67,8.52,8.11,7.53,7.15,7.03
United States,17.72,16.97,16.31,15.95,15.46,14.67,14.23,13.57,12.85,12.85,12.45,11.82,10.99,10.82,10.45,9.75,9.34,8.95,8.72,8.38,8.13,7.68,7.5,7.3,7.16,6.9,6.68,6.47,6.24,6.21,6.02,6,5.82,5.6,5.59,5.43,5.37,5.16,5.01,5.17,4.98,5.05,4.62,4.67,4.48,4.4,4.19,4.06,3.88,3.75,3.62,3.5,3.38
Uruguay,,,,,,37.83,35.77,39.6,37.97,39.62,35.46,,,37.28,32.92,37.81,36.36,35.27,33.99,31.43,32.15,34.62,32.47,30.6,28.63,25.27,27.51,23.33,23.82,,21.38,19.18,17.66,15.94,17.2,18.36,17.57,14.93,16.9,17.8,16.01,,,15.31,16.8,13.93,14.21,13.51,13.24,12.5,12.29,12.64,11.95
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.02,25.41,,,24.63,25.36,24.41,23.67,22.95,20.57,20.02,20.27,18.59,15.87,14.26,14.72,14.68,12.68,11.82,11.94,,11.39
Vanuatu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Venezuela,,,,,,27.98,29.53,33.53,32.46,27.1,29.7,33.03,32.36,32.8,29.68,31.24,34.07,31.57,31.04,29.15,31.66,28.9,27.79,27.97,26.4,25.83,25.83,23.35,23.65,22.03,22.68,21.61,20.91,22.38,,18.09,16.94,18.7,18.02,16.21,18.4,,17.23,16.67,16.31,,14.81,14.28,14.49,14.05,13,12.29,12.25
Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.6
"Yemen, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
Zambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8
Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4
