South Ossetia,,,,,
Spain,7,4,5,6,6
Sri Lanka,85,74,58,44,35
Sudan,1000,930,870,800,730
Suriname,84,39,130,110,130
Svalbard,,,,,
Swaziland,300,290,360,420,320
Sweden,6,5,5,4,4
Switzerland,7,6,6,6,8
Syria,240,160,120,89,70
Taiwan,,,,,
Tajikistan,94,160,120,79,65
Tanzania,870,840,730,610,460
Thailand,54,54,66,54,48
Timor-Leste,1000,880,610,410,300
Togo,620,540,440,370,300
Tokelau,,,,,
Tonga,67,86,87,100,110
Transnistria,,,,,
Trinidad and Tobago,86,90,59,59,46
Tunisia,130,110,84,68,56
Turkey,67,51,39,28,20
Turkmenistan,82,94,91,76,67
Turks and Caicos Islands,,,,,
Tuvalu,,,,,
Uganda,600,590,530,420,310
Ukraine,49,45,35,25,32
United Arab Emirates,24,16,14,13,12
United Kingdom,10,10,12,13,12
United States,12,12,14,18,21
Uruguay,39,35,35,31,29
USSR,,,,,
Uzbekistan,59,36,33,32,28
Wallis et Futuna,,,,,
Vanuatu,220,180,120,110,110
Venezuela,94,98,91,94,92
West Bank and Gaza,,,,,
West Germany,,,,,
Western Sahara,,,,,
Vietnam,240,160,100,74,59
Virgin Islands (U.S.),,,,,
North Yemen (former),,,,,
South Yemen (former),,,,,
Yemen,610,520,380,270,200
Yugoslavia,,,,,
Zambia,470,530,540,500,440
Zimbabwe,450,540,640,690,570
Åland,,,,,
South Sudan,,,,,
Christian,,,,,
Coastline,,,,,
Curaçao,,,,,
Sint Maarten (Dutch part),,,,,
St. Martin (French part),,,,,
Antarctica,,,,,
"Virgin Islands, British",,,,,
Hawaiian Trade Zone,,,,,
U.S. Pacific Islands,,,,,
Wake Island,,,,,
Bonaire,,,,,
Sark,,,,,
Chinese Taipei,,,,,
Saint Eustatius,,,,,
Saba,,,,,
