Colon & Rectum Female Mortality,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.99,5.47,5.4,5.54,5.12,4.86,5.17,5.17,5.07,4.6
Spain,6.71,6.81,7.27,6.86,6.73,8.14,8.85,9.58,9.2,9.27,8.74,8.51,9.17,8.48,8.58,8.55,8.62,8.48,8.83,9.21,8.99,8.76,9.09,8.88,9.08,6.98,6.97,7.04,7.39,7.61,8.08,8.6,8.84,9.53,8.89,9.12,9.46,9.39,9.74,10.07,9.89,10.01,10.09,9.93,9.82,9.78,9.61,9.69
Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1
Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9
Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2
Swaziland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2
Sweden,12.19,12.71,12.74,13.05,13.09,13.24,11.8,13.65,12.37,13.43,13.08,12.34,12.34,13.17,12.24,13.07,13.25,13.26,13.9,13.87,12.79,13.2,13.17,13.09,12.58,12.39,11.41,12.14,11.63,11.22,10.68,10.93,11.02,11.26,10.79,11.25,10.7,10.81,10.56,10.05,10.3,10.27,9.92,9.76,9.47,10.08,10.03,9.87
Switzerland,14.11,13.77,13.81,12.65,14.08,12.92,11.92,13.23,12.18,11.93,11.95,13.12,12.74,12.31,12.12,12.54,13.26,11.89,12.96,11.92,11.79,12.96,11.49,12.28,12.15,11.64,11.63,11.33,11.59,11.99,11.33,11.17,10.67,10.83,10.56,10.5,10.39,9.77,10.65,9.93,9.19,8.82,8.62,8.28,7.79,8.42,8.27,8.13
Syria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.1
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,4.39,4.47,,,4.63,6.19,5.82,3.74,4.4,2.96,3.2,3.72,3.18,2.38,1.31,2.04,2.31,2.32,2.31,1.44,1.81,2.17
Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9
Thailand,,,,,,,,,,,,0.66,0.7,0.5,0.62,0.68,0.69,0.71,0.9,0.8,0.78,,0.69,0.6,0.89,0.82,0.98,1.09,1.22,0.91,1.01,0.78,0.96,,,1.29,1.24,1.35,,1.49,1.38,1.55,1.66,2.34,2.24,2.46,,1.7
Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3
Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,,,,10.24,8.06,6.62,6.8,8.41,8.38,7.95,8.52,8.59,11.54,8.14,8.49,9.76,8.52,10.41,8.5,9.38,9.45,10.45,7.58,9.22,7.97,6.54,8.25
Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3
Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1
Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,8.98,9.4,,,9.84,10.39,11.09,10.98,11.26,11.28,11.84,11.53,11.43,11.61,11.38,10.66,10.81,10.76,11.09,10.86,10.86,10.52
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3
United Kingdom,20.01,,,18.81,18.97,18.28,17.92,17.78,,,,,17.35,17.83,17.6,17.29,16.9,17.11,16.85,16.96,16.94,17.03,16.07,15.85,15.65,15.55,15.03,14.35,14.88,14.89,15.13,14.39,14.45,14.3,13.91,13.65,13.6,13.52,12.62,12.26,11.83,11.4,11,10.6,10.49,9.84,9.51,9.38
United States,,,,16.24,16.15,16.11,16.12,15.91,15.72,15.54,15.28,15.46,15.1,15.08,14.83,,,14.43,14.44,14.44,14.13,14.3,13.95,,13.42,13.25,12.96,12.91,12.75,12.99,12.68,12.33,12.18,11.88,11.57,11.41,11.28,11.02,11.06,10.84,10.71,10.33,10.09,10.03,9.93,9.7,9.51,9.2
Uruguay,,,,,,,,,,,,17.57,20.13,,,,,,,,,,,,,15.23,14.73,14.4,14.58,13.82,15.35,15.6,14.48,13.61,14.24,13.34,,,12.67,12.81,13.32,13.54,13.51,13.17,12.36,12.5,12.18,12.19
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,3.46,3.56,,,3.82,4.31,4.71,4.3,4.01,4.07,4.29,4.37,3.34,3.5,3.21,3.21,3.38,2.97,3.13,2.65,,2.84
Vanuatu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9
Venezuela,7.01,9.05,8.09,6.61,7.5,8.19,6.94,6.79,6.75,7.04,6.34,5.63,6.21,,,5.38,5,5.06,5.14,5.36,,5.38,5.37,6.68,6.07,5.38,5.32,4.72,5.62,,4.99,5.04,5.51,5.01,5.43,5.65,,5.78,5.36,6.05,,6.01,5.79,5.76,5.27,6,5.53,5.77
Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2
"Yemen, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6
Zambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6
Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2
