Colon & Rectum Female Mortality,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5
Costa Rica,,,,,,,,,,,,4.87,4.11,,,,,,,,,,,,,5.22,4.57,6.43,5.91,4.2,4.87,6.82,5.77,6.3,4.92,5.25,7.46,7.5,6.34,6.32,6.45,7.46,7.3,7.27,7.56,7.57,6.54,6.62
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.91,9.97,10.87,11.89,12.63,11.66,12.34,11.3,10.96,11.01,10.88,10.81,11.65,11.75,12.59,12.65,11.62,12.48
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,9.54,10.65,9.78,10.05,8.98,10.25,10.75,9.39,10.21,10.45,10.8,10.8,11.03,10.94,10.97,10.93,11.14,11.37,10.64,11.07,10.99,10.87,10.96,11.12
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8
Czech Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.55,16.9,19.64,18.03,17.62,18.46,18.21,18.45,17.47,17.52,17.33,17.28,16.38,16.84,16.36,16.23,15.63
Czechoslovakia,9.54,9.2,9.77,9.42,9.21,10.28,9.76,9.3,10.05,10.59,10.34,10.46,11.25,12.68,12.32,12.69,12.74,13.51,14.09,13.46,13.86,13.47,14.66,14.89,14.15,14.7,15.73,14.65,15.4,15.31,15.62,15.9,15.57,17.61,16.75,16.51,16.75,,,,,,,,,,,
Denmark,19.01,20.36,20.67,20.34,21.84,20.47,20.13,18.42,19.5,20.48,19.93,18.23,19.21,18.95,18.98,18.44,18.55,17.8,18.27,17.31,17.43,18.7,17.88,18.24,18.81,19.36,17.07,16.87,18.28,18.6,17.34,17.07,16.98,17.53,17.49,16.65,17.11,16.93,16.86,15.5,15.44,15.8,17.37,15.35,16.5,16.03,15.3,14.57
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8
