Fixed broadband Internet subscribers,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Guam,,,,,,,1750,,,,,,2700,2700,3000,3000,
Guatemala,,,,,,,0,0,0,0,27106,39000,57000,94500,156000,259000,
Guinea,,,,,,,0,0,0,0,0,0,0,0,,500,
Guinea-Bissau,,,,,,,0,0,0,0,0,0,0,0,,,
Guyana,,,,,,,0,0,0,0,2000,,2362,5084,6823,11193,
Haiti,,,,,,,0,0,0,0,0,0,0,0,,,
Honduras,,,,,,,0,0,0,0,0,0,0,0,,76000,
"Hong Kong, China",,,0,11000,86467,444450,716435,1038995,1267966,1517741,1659098,1796240,1898934,1935485,2022760,2111109,
Hungary,,,,0,,3400,31384,111458,264311,411111,651689,1199190,1381824,1681121,1880046,1956218,
Iceland,,,,0,81,2358,10424,24270,41571,55764,78017,87738,97937,103697,107072,109212,
India,,,,0,0,0,50000,82409,140362,235000,1348000,2300000,3130000,5280000,7745710,10990000,
Indonesia,,,,0,,4000,15000,38300,61600,84900,108200,194367,778770,981562,1700000,1900300,
Iran,,,,,,176,661,16171,18700,,,100000,200000,300000,400000,500000,
Iraq,,,,,,,0,0,,,,26,98,54,121,77,
Ireland,,,,0,0,0,0,10600,41800,152100,322500,561700,636236,769667,870562,941405,
Isle of Man,,,,,,,,,,,,,,,,,
Israel,,,,0,0,0,43865,231663,633100,980000,1229626,1421000,1528500,1684000,1850000,1864900,
Italy,,,,0,,115000,390000,850000,2250000,4724500,6822210,8497422,10122126,11276262,12283448,13259398,
Jamaica,,,,,,,3235,9000,9000,27000,45000,68243,92768,97323,112201,116685,
Japan,,,0,32000,216000,854655,3835000,9397426,14917165,19557146,23301105,26438867,28303003,30117679,31654875,34044729,
Jordan,,,,,,,409,3177,4996,10424,23551,48622,88818,137148,203472,195784,
Kazakhstan,,,,,,,0,0,998,1997,2996,30500,270370,660818,577200,1426800,
Kenya,,,,,,,0,0,0,,5399,17723,17737,3282,8349,4155,
Kiribati,,,,,,,0,0,,,,,0,,,900,
"Korea, Dem. Rep.",,,0,0,0,0,0,0,0,0,0,0,0,0,0,,
"Korea, Rep.",,,0,14000,278000,3870000,7806000,10399597,11173663,11917906,12188024,14041283,14709617,15474079,16347716,17193570,
Kosovo,,,,,,,,,,,,,,,,,
Kuwait,,,,,,,5000,10500,13000,20000,25000,30000,35000,40000,45000,46000,
Kyrgyzstan,,,,,,,,36,139,1907,2292,2762,3115,18927,15312,15400,
Laos,,,,,,,0,0,25,50,314,741,4628,6107,8401,12025,
Latvia,,,,0,0,284,3235,10000,19533,49147,60770,109674,320657,395610,436966,434876,
Lebanon,,,,,,,0,35000,70000,80000,130000,190000,192000,195000,197000,200000,
Lesotho,,,,,,,0,0,0,22,45,,110,140,400,400,
Liberia,,,,,,,0,0,0,,,,,110,150,186,
Libya,,,,,,,,0,0,0,,9648,9800,46242,63000,72800,
Liechtenstein,,,,,,,,1437,1500,4741,8617,10000,14000,19600,22000,23000,
Lithuania,,,,0,0,0,2427,20000,66790,129051,234081,368715,507572,530678,564285,684057,
Luxembourg,,,,0,0,0,1215,5827,15351,36500,70100,98930,128680,143200,156120,168368,
"Macao, China",,,,,,3731,9788,16954,27774,45218,68030,92217,110498,121569,126142,131372,
"Macedonia, FYR",,,,,,,,0,0,0,12436,36485,100507,181012,218651,256943,
Madagascar,,,,,,,0,0,0,0,0,1361,2354,3488,4558,5359,
Malawi,,,,,,,0,0,69,138,404,,1589,2700,3900,5120,
Malaysia,,,,0,0,0,4000,19302,110402,252500,483100,751000,1025000,1318500,1671800,2078500,
Maldives,,,,0,0,0,0,190,503,717,3260,6274,10350,15359,15331,15148,
Mali,,,,,,,0,0,0,0,0,3085,3200,2661,3009,2314,
Malta,,,,,,1656,9157,17679,22736,37642,51409,52948,83033,95327,105806,116569,
Marshall Islands,,,,,,,0,0,0,0,0,0,0,0,,,
Mauritania,,,,,,,0,0,0,0,164,973,4000,5876,6000,6624,
Mauritius,,,,,,,0,285,1184,2564,5398,27895,22367,46754,68837,79227,
Mayotte,,,,,,,0,0,,,,,,,,,
Mexico,,,,0,0,15000,50000,231486,428371,1057282,1922352,3020000,4468417,7426717,9348845,11325022,
"Micronesia, Fed. Sts.",,,,,,,0,0,6,26,46,95,116,,,998,
Moldova,,,,,,,239,418,597,2429,10395,21792,52537,115127,186973,269067,
Monaco,,,,,,,,,,,,,,,,,
Mongolia,,,,,,,49,90,500,900,1800,3500,7395,32504,36742,71709,
Montenegro,,,,,,,,,,0,7665,,16145,34229,53058,52400,
Morocco,,,,,,,0,2000,2712,64660,249138,391857,477360,483867,475767,498682,
Mozambique,,,,,,,0,0,0,0,0,,5743,10191,12502,14633,
Myanmar,,,,,,0,0,0,0,0,243,3961,6466,9995,15000,16400,
Namibia,,,,,,,0,0,0,0,134,198,256,320,430,9640,
Nepal,,,,,,,0,0,0,0,0,963,10957,12000,15561,58435,
Netherlands,,,,75500,,260000,466200,1170966,1988000,3206000,4100000,5192200,5507000,5805000,6130000,6330000,
New Caledonia,,,,0,0,0,132,700,1668,5146,9600,15601,20315,25455,33115,38196,
New Zealand,,,,0,0,4658,17267,43500,83000,191695,321000,470200,853020,914961,981000,1089000,
Nicaragua,,,,,,700,1604,2319,4403,5001,10534,19042,27550,36058,47000,47600,
Niger,,,,,,,0,0,0,77,212,347,482,617,1000,3707,
Nigeria,,,,,,,0,0,0,0,500,,53594,67776,81958,99108,
Northern Mariana Islands,,,,,,,0,0,0,0,0,0,0,0,0,,
Norway,,,,0,,23297,88541,205307,398758,671666,991349,1244536,1435976,1577863,1668806,1723678,
Oman,,,,,,,0,97,136,668,13240,20065,20177,32447,41114,45449,
Pakistan,,,,,,,0,0,0,,14600,26611,45153,148470,302829,531787,
Palau,,,,,,,0,0,,74,100,97,101,111,142,239,
Panama,,,,,,,7771,12235,15039,16746,17567,112738,150283,196190,233914,275639,
Papua New Guinea,,,,,,,0,0,0,0,0,0,0,2987,4453,6100,
Paraguay,,,,,,150,300,500,500,3050,5600,6000,8600,12800,15800,28147,
Peru,,,,0,75,1078,22799,37401,93908,227610,352622,484899,570218,725563,809621,911635,
Philippines,,,,0,0,0,10000,21000,55000,89000,123000,265030,496151,1045716,1722407,1722400,
Poland,,,,0,0,0,12000,121684,195752,875865,945159,2911152,4174003,3985385,4798105,4960528,
Portugal,,,,0,297,25154,99316,260591,502030,838371,1165440,1423687,1512394,1613725,1841556,2052930,
Puerto Rico,,,,,,,2427,22732,54337,86303,118268,150233,182198,426310,480293,551520,
Qatar,,,,0,0,0,0,228,2991,10915,25609,46773,86959,104235,141315,144057,
Romania,,,,,,,6000,15800,196106,104265,377090,1090000,1920000,2490000,2790000,2980000,
Russia,,,,0,0,0,0,11000,343000,675000,1589000,2900000,4900000,9280000,12900000,15700000,
Rwanda,,,,,,,0,0,0,1148,1180,1704,2543,1120,2214,2640,
Saint Kitts and Nevis,,,,,,,,500,2000,4400,6500,8800,9600,11104,13000,14600,
Saint Lucia,,,,,,,,0,1400,3800,7000,8300,12000,15480,18600,20180,
Saint Martin,,,,,,,,,,,,,,,,,
Saint Vincent and the Grenadines,,,,0,0,0,81,1086,1146,1320,3647,5618,7972,9364,11507,12502,
Samoa,,,,,,,0,0,0,32,65,98,130,160,200,200,
San Marino,,,,,,,,,600,1076,1220,1480,1599,4900,10000,10100,
Sao Tome and Principe,,,,,,0,0,0,0,0,0,125,308,,,582,
Saudi Arabia,,,,0,0,,14000,34782,45982,68700,67798,218176,623116,1048098,1342838,1496607,
Senegal,,,,,,,0,1200,2383,7665,18028,28926,38132,47358,58720,78647,
Serbia,,,,,,,,,,,33486,121727,325730,457181,590586,858219,
Seychelles,,,,,,,0,0,0,349,948,2475,2856,2740,3929,6278,
Sierra Leone,,,,,,,,0,0,0,0,0,0,,,,
Singapore,,,0,10000,30000,69000,151000,270000,417100,545200,656200,787900,896200,1023800,1170800,1268800,
Slovak Republic,,,,,,,0,4083,22461,78764,181538,304615,472020,519883,627722,694414,
Slovenia,,,,,,,5500,56735,57992,115069,196650,279814,344677,425294,463411,492115,
Solomon Islands,,,,,,,0,0,0,200,450,650,1000,1500,2000,2000,
Somalia,,,,,,,0,0,0,0,0,0,0,0,,,
South Africa,,,,,,,,2669,20313,60000,165290,335112,378000,426000,481000,743000,
Spain,,,,0,,76358,466600,1247496,2121930,3401411,5035203,6739110,7990449,9054204,9706688,10534492,
Sri Lanka,,,,,,,327,592,3417,20450,21000,22895,63263,101922,169600,228316,
Sudan,,,,,,,0,0,0,793,1269,2065,42500,44625,162657,164500,
Suriname,,,,,,,0,94,216,420,1107,2656,4205,5754,8565,15672,
Swaziland,,,,0,0,0,0,0,0,0,0,0,0,772,1504,1626,
Sweden,,,,0,0,249000,587000,840000,1095000,1410000,2522000,2489000,2775626,2898937,2941648,2987008,
Switzerland,,,,0,0,56416,140000,455220,783874,1227397,1669217,2050184,2380500,2556210,2739149,2908119,
Syria,,,,,,,0,0,0,600,2700,5218,6957,11055,34793,67564,
Tajikistan,,,,,,,0,0,10,,,,3645,3658,4400,4700,
Tanzania,,,,,,,0,0,0,0,1495,1795,2154,2585,2841,3150,
Thailand,,,,0,0,0,1613,15000,45000,75000,105000,,913000,,,3188618,
Timor-Leste,,,,,,,0,0,9,13,22,29,50,71,471,500,
Togo,,,,,,,0,0,0,0,0,0,1201,1911,2693,3852,
Tonga,,,,,,,0,11,22,334,645,633,780,721,1000,1000,
Trinidad and Tobago,,,,,,,0,176,884,4233,10803,20613,35491,85447,125565,145028,
Tunisia,,,,,,0,0,26,259,2839,17573,43845,95916,227303,372818,481810,
Turkey,,,,0,0,0,10915,21205,199324,577931,1589768,2773685,4753757,5749891,6456359,7079792,
Turkmenistan,,,,,,,,,,,,,,75,465,723,
Turks and Caicos Islands,,,,,,,,,,,,,,,,,
Tuvalu,,,,,,,0,0,0,50,150,250,270,290,,320,
Uganda,,,,,,,0,0,0,0,850,1210,1860,4798,6000,54804,
Ukraine,,,,,,,,0,0,0,130000,520000,800000,1600000,1906725,2954556,
United Arab Emirates,,,,0,367,1973,8374,16632,30327,56146,129320,240620,379800,557577,687713,786818,
United Kingdom,,,,,,52890,330960,1356481,3113702.33,6123907,9898653,13013000,15606000,17274023,18260005,19579823,
United States,,,,705900,2754286,7069874,12792812,19881549,27744342,37352520,51156350,60237701,70206000,75707000,79055000,85723155,
Uruguay,,,,,,,0,0,0,27000,48539,92914,152040,227652,300827,367480,
Uzbekistan,,,,,,,0,0,2757,5514,8271,8639,19180,65960,88735,89100,
Vanuatu,,,,,,,0,0,15,23,59,95,130,200,500,500,
Venezuela,,,,0,,4473,36636,78151,116997,210303,356302,537466,857812,1330264,1344887,1556485,
Vietnam,,,,,,,0,1076,9180,52709,210024,516569,1294111,2048953,3214179,3631396,
Virgin Islands (U.S.),,,,,,,0,0,0,1484,2967,,5933,7416,9000,9100,
West Bank and Gaza,,,,,,,0,0,0,18,7463,27172,55648,,,,
"Yemen, Rep.",,,,,,,0,0,0,0,1498,2781,11000,26000,54000,84000,
Zambia,,,,,,21,31,48,91,250,250,2339,4000,5703,10702,10267,
Zimbabwe,,,,,,,771,2847,6386,8967,10185,10200,15210,18000,29130,33000,
