"Crude death rate (deaths per 1,000 population)",1953,1958,1963,1968,1973,1978,1983,1988,1993,1998,2003,2008,2013,2018,2023,2028,2033,2038,2043,2048
Afghanistan,36.702,34.545,32.515,30.17,27.838,25.352,24.052,23.221,22.363,22.511,21.664,19.68,18.191,16.754,15.283,13.809,12.454,11.301,10.373,9.649
AFRICA,25.719,23.843,22.039,20.403,18.768,17.164,15.937,14.878,13.823,14.379,13.268,12.487,11.468,10.527,9.796,9.178,8.736,8.414,8.182,8.043
Albania,14.35,10.94,9.65,8.3,8.12,6.53,6.09,5.63,6.252,6.2,5.735,6.186,6.655,7.093,7.488,7.978,8.621,9.36,10.089,10.731
Algeria,23.9,21.2,19.4,17.4,15.4,13.4,9.93,7.303,5.409,6.126,5.032,4.939,4.91,4.953,5.111,5.484,6.091,6.839,7.661,8.533
Angola,35.868,33.497,31.114,28.694,26.358,24.509,23.813,23.217,21.092,22.197,19.64,17.127,15.216,13.855,12.607,11.454,10.495,9.738,9.155,8.708
Argentina,9.205,8.778,8.983,9.205,9.12,8.984,8.54,8.489,7.949,8.23,7.867,7.779,7.715,7.695,7.748,7.903,8.161,8.504,8.875,9.29
Armenia,11.1,9.5,6.18,5.32,5.15,5.5,5.59,6.76,8.581,8.544,8.362,8.694,9.002,9.191,9.336,9.53,9.953,10.646,11.375,11.973
Aruba,8.861,6.775,5.81,5.384,5.436,5.87,6.169,6.773,6.933,6.942,7.199,7.347,7.92,8.736,9.659,10.707,11.759,12.881,13.847,14.41
ASIA,23.514,20.368,17.599,13.883,11.016,10.149,9.562,8.983,7.816,8.395,7.449,7.399,7.354,7.42,7.62,7.97,8.465,9.059,9.679,10.292
Australia,9.38,8.84,8.69,8.85,8.53,7.7,7.408,7.427,7.127,7.222,6.812,6.851,7.061,7.258,7.523,7.932,8.451,8.967,9.384,9.672
Australia/New Zealand,9.369,8.881,8.724,8.826,8.514,7.792,7.552,7.556,7.194,7.319,6.854,6.882,7.078,7.274,7.538,7.951,8.479,9.01,9.442,9.746
Austria,12.423,12.625,12.632,12.994,12.831,12.558,12.242,11.395,10.112,10.697,9.488,9.253,9.513,9.787,10.076,10.5,11.067,11.679,12.304,12.885
Azerbaijan,12,10.9,6.98,6.74,6.54,6.79,6.77,6.55,7.203,7.737,6.691,6.783,6.93,7.104,7.356,7.813,8.528,9.427,10.345,11.144
Bahamas,10.741,9.048,7.718,7.117,6.114,5.572,5.977,5.637,6.539,6.032,6.231,5.993,5.911,5.992,6.167,6.732,7.556,8.208,9.059,9.896
Bahrain,16.4,15.7,13.8,10.1,7.5,6.28,4.5,4,3.069,3.31,2.9,2.628,2.612,2.893,3.356,4.003,4.826,5.812,6.906,8.028
Bangladesh,26.557,25.038,23.324,21.279,20.239,18.799,15.89,13.295,9.071,11.059,7.639,6.633,6.349,6.206,6.245,6.472,6.879,7.423,8.107,8.902
Barbados,13.2,10.3,9.2,8.5,8.74,8.65,9,8.386,8.148,8.105,7.999,7.666,7.637,8.004,8.703,9.789,11.152,12.603,13.916,14.888
Belarus,11.361,10.23,5.98,7.06,7.86,9.08,9.97,10.09,13.702,11.916,14.458,14.678,14.574,14.359,14.245,14.395,14.953,15.819,16.698,17.336
Belgium,12.05,11.741,12.533,12.615,12.118,11.768,11.598,10.607,10.279,10.643,10.334,9.732,9.665,9.818,10.117,10.403,10.769,11.223,11.668,11.988
Belize,12.61,11,9.64,8.33,7.31,6.53,5.697,5.127,4.272,4.8,3.995,3.656,3.504,3.402,3.518,3.8,4.273,4.971,5.727,6.483
Benin,29.897,27.055,24.918,22.921,20.609,18.282,16.778,15.481,11.703,13.505,10.51,9.29,8.205,7.307,6.674,6.203,5.905,5.742,5.689,5.722
Bhutan,26.846,26.493,25.553,23.964,21.888,19.541,17.083,15.158,9.995,12.62,7.971,7.197,6.854,6.607,6.472,6.512,6.751,7.171,7.734,8.415
Bolivia,24.412,23.057,21.592,20.254,19.009,16.023,13.332,11.354,8.961,9.965,8.194,7.596,7.14,6.805,6.609,6.539,6.572,6.724,6.984,7.343
Bosnia and Herzegovina,13.85,10.6,8.87,7.49,6.9,6.48,6.77,7.05,7.811,10.374,8.434,9.786,10.465,11.173,11.785,12.41,13.313,14.502,15.622,16.453
Botswana,18.83,17.371,15.625,14.03,11.999,9.905,8.492,7.096,10.721,7.023,15.102,11.731,12.102,11.986,11.925,11.805,12.13,11.908,11.378,10.878
Brazil,15.4,13.965,12.555,11.064,9.938,9.079,8.257,7.382,6.465,6.797,6.366,6.363,6.534,6.757,7.16,7.695,8.334,9.079,9.914,10.789
Brunei,11.61,10.43,9.01,7.54,5.93,5.36,4.07,3.62,2.849,3.19,2.769,2.834,3.049,3.416,3.905,4.497,5.149,5.839,6.484,7.08
Bulgaria,10.18,8.88,8.16,8.8,9.7,10.55,11.27,12,14.366,12.8,14.41,14.601,14.63,14.63,14.751,15.133,15.703,16.116,16.504,16.901
