Suicide 15-29 all age adj,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Argentina,,,,,,,,,,,,,,,,,7.137265,9.442979,10.51362,10.47697,10.72001,,,,,,,8.229,8.035067,5.953712,5.816885,6.391016,5.534794,4.943678,4.576219,5.015058,6.115602,5.733966,6.247713,5.785442,5.349084,4.990593,6.150061,5.774269,5.96107,6.298937,6.016392,6.068095,6.729088,6.870333,8.674902,9.763913,10.33712,11.61264,11.80609,11.19342,11.92714,10.8744,
Australia,5.383639,6.680785,7.058182,6.694707,7.403691,6.729309,6.686439,7.370327,9.224568,6.820498,6.79369,8.117426,9.591698,11.94092,10.27579,11.6339,10.38484,11.33167,9.251071,10.04445,10.73749,12.69639,11.29181,11.09023,11.18235,10.45217,10.5007,11.38805,12.91478,13.26434,12.57246,12.21739,13.96669,12.69058,13.18387,15.51661,15.43606,16.32302,16.56287,16.12391,17.18796,16.48001,17.16395,14.5829,16.58036,15.90419,17.1601,20.07396,19.23765,16.79302,15.37272,15.20509,13.92729,12.2137,11.49217,,8.141256,,
Austria,,,,,,18.13504,16.79345,17.24038,17.11173,16.94777,16.31383,14.67451,14.93589,16.49264,15.26813,12.94994,15.70008,14.38819,14.63749,13.76635,17.28103,15.10019,15.57193,14.07039,14.81618,17.29253,16.78159,19.30676,20.55561,21.07104,20.55538,20.99794,22.72458,19.59026,20.8776,21.99223,23.6069,20.0191,18.10465,18.34704,16.13647,16.58951,15.97017,15.55472,15.97954,15.66138,13.08872,14.75778,13.78502,13.7373,14.29741,12.65781,12.76457,12.21312,13.49533,10.36954,8.922467,10.71395,7.967411
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.065357,3.704172,,,3.132179,3.655916,3.649064,3.382449,2.887833,1.620637,2.201923,2.388897,2.032441,0.6109693,0.7243065,0.8385683,1.175395,0.4420773,0.5416375,1.069042,,,,,,,,
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.316276,,1.269603,4.086654,,,,,,,,,,,3.168935,4.364298,3.0369,,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.13489,18.29692,,,15.43568,11.85388,13.25323,13.02791,13.88289,14.68885,15.38193,18.50022,19.84663,20.70716,21.61822,,24.6602,25.70189,29.23065,27.41108,26.84117,28.89287,27.52361,,,,23.41912,
Belgium,,,,,4.524176,4.429441,5.566011,5.099783,5.534741,4.898891,6.294713,6.314351,5.59898,5.893053,6.145962,7.522305,6.225677,6.204549,7.308166,5.982199,6.11683,6.602838,8.102629,8.15722,8.617099,9.762166,9.057644,11.26094,11.52677,11.9115,12.67214,14.47625,14.56713,13.02226,14.60331,12.19368,12.12839,13.28508,12.48499,12.20036,12.81508,11.48823,11.9307,15.3218,14.76053,14.97041,15.70777,15.78433,14.93568,12.99384,,,,,13.87196,,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.80599,11.37599,10.31382,8.139623,9.141528,11.42019,15.24523,,,,,,,,,,,,,,,,,
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.31142,4.71125,4.218064,3.872045,4.275007,4.003674,3.800639,3.762146,3.977941,4.072417,4.150359,4.678721,4.910221,5.174802,5.176537,4.859576,4.906311,4.483456,4.423959,5.156606,5.034075,5.166322,5.049112,5.030118,,,
Bulgaria,,,,,,,,,,,,,,,5.145961,6.123742,6.33073,6.229541,5.790307,7.568081,7.4332,7.178474,7.023362,6.171392,6.914778,7.624867,8.771648,9.175591,8.515381,9.363568,9.579024,8.192298,10.20392,6.181265,9.304911,9.893496,9.172636,9.043819,10.07919,9.148401,9.58065,8.776224,11.03157,11.8592,9.46524,10.15078,10.09587,9.606909,10.45442,8.245907,7.085686,8.760245,7.808713,6.316134,5.777355,6.14481,6.554254,4.930248,5.897161
