Female contributing family workers (%),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Algeria,,,,,,,,,,,,,,,,,,,,,,6.099999905,,7.199999809,13.60000038,,,
American Samoa,,,,,,,,,,,0.3000000119,,,,,,,,,,,,,,,,,
Anguilla,,,,,,,,,,,,,,,,,,,,,,3.599999905,,,,,,
Antigua and Barbuda,,,,,,,,,,,,0.8999999762,,,,,,,,,,,,,,,,
Argentina,,,,,,,,,,,,,,,,,2.799999952,2.400000095,2.200000048,2,1.799999952,1.799999952,1.600000024,2.400000095,2.200000048,1.899999976,1.600000024,
Aruba,,,,,,,,,,,,0.6000000238,,,0.6000000238,,,,,,,,,,,,,
Australia,0.6000000238,0.6999999881,0.6000000238,0.6000000238,0.400000006,0.6000000238,1.299999952,1.399999976,1.399999976,1.200000048,1.200000048,1.200000048,1.399999976,1.399999976,1.399999976,1.299999952,1.200000048,1.299999952,1,1.200000048,1.100000024,0.6999999881,0.6000000238,0.5,0.5,0.400000006,0.400000006,0.400000006
Austria,,,,,,,,,,,,,,,5.199999809,5.5,5.300000191,4.699999809,4.599999905,4.199999809,4,3.799999952,3.400000095,3,1.600000024,1.899999976,2.099999905,2.900000095
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,22.60000038,18.60000038,16.79999924,0,0
Bahamas,,,,,,,,,,,,,,0.6000000238,0.400000006,1,1.100000024,0.200000003,0.400000006,0.400000006,,0.200000003,0.6999999881,0.1000000015,0.5,,,
Bangladesh,,,,,,,,,,,,,,,,,77.30000305,,,,73.19999695,,,48,,60.09999847,,
Barbados,,,,,,,,,,,0.6000000238,0.400000006,0.200000003,0.200000003,0,0,0.400000006,0,0,0,0.200000003,0.200000003,0,0,0.200000003,,,
Belgium,8,8.100000381,8.199999809,8.300000191,8.399999619,8.300000191,8.300000191,8.199999809,8,8.100000381,8,8.100000381,8.100000381,8.300000191,7.900000095,7.800000191,7.599999905,7.199999809,6.699999809,6.400000095,,,,,,3.400000095,2.900000095,
Belize,,,,,,,,,,,,,,2.599999905,4.800000191,4.300000191,4.099999905,4.199999809,4.699999809,3.5,,,,,,4.300000191,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,51.70000076,,
Bolivia,,,,,,,,,,8.300000191,6.699999809,8.800000191,8,11.80000019,12.60000038,15.10000038,14.89999962,14.19999981,,12.60000038,11.10000038,35.09999847,34.79999924,,,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,11,
Botswana,,,,,0.400000006,,,,,,,,,,6.800000191,,,,12.39999962,,17.29999924,1.200000048,,2.200000048,,,,
Brazil,,,,,,,,,,,9.399999619,,11.89999962,11.80000019,,11.39999962,10.30000019,,,,,9.800000191,9.800000191,9.300000191,9.100000381,9,8.100000381,
British Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei,,,,,,,,,,,,0.6000000238,,,,,,,,,,,,,,,,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,0.5,,2.599999905,2.599999905,2.200000048,1.799999952,1.600000024
Burkina Faso,,,,,,89.09999847,,,,,,,,,87.30000305,,,,,,,,,,,,,
Cambodia,,,,,,,,,,,,,,,,,,,,,59,53.29999924,,,,,,
Cameroon,,,,,,,,,,,,,,,,,21.60000038,,,,,27.20000076,,,,,,
Canada,2,2.099999905,2,1.799999952,1.700000048,1.799999952,1.5,1.399999976,1.100000024,1,0.8999999762,0.8999999762,0.8000000119,0.8999999762,0.6999999881,0.6999999881,0.6999999881,0.6999999881,0.6999999881,0.5,0.400000006,0.3000000119,0.3000000119,0.3000000119,0.3000000119,0.200000003,0.200000003,0.200000003
Cape Verde,,,,,,,,,,,,,,,,,,,,,14.80000019,,,,,,,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad,,,,,,,,,,,,,,44.40000153,,,,,,,,,,,,,,
Chile,,,,,,,,,,,,,,,,,3.900000095,4.199999809,3.900000095,3.700000048,3.799999952,3.5,3.5,3.299999952,3.400000095,3.200000048,3,2.799999952
Colombia,,,,,,,,,,,,,2.400000095,2.099999905,2.200000048,1.700000048,1.700000048,1.799999952,1.600000024,2.5,1.600000024,7.099999905,8.600000381,8.5,8.199999809,7.699999809,6.300000191,6.099999905
Costa Rica,,,,,,,,3.799999952,4.900000095,3.700000048,6.300000191,4.900000095,3.799999952,4.199999809,3.700000048,5,3.900000095,4.099999905,4,4.199999809,3.299999952,3.599999905,,3.599999905,3.5,3.5,3.200000048,2.799999952
Croatia,,,,,,,,,,,,,,,,,12.39999962,11.5,10,9,8.199999809,7.800000191,7.5,6.300000191,4.400000095,4,3.599999905,3.700000048
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,,,,,,,,,,,,,,,,,,,,4.800000191,6.800000191,6.199999809,6.099999905,6.5,5.800000191,4.800000191,3.599999905,2.700000048
Czech Rep.,,,,,,,,,,,,,,0.400000006,0.6000000238,0.8000000119,0.8000000119,0.6999999881,0.8999999762,1,1,1.100000024,1.200000048,1.200000048,1.100000024,1.299999952,1.200000048,1.100000024
Denmark,,,,6.599999905,,,,,,,,,,,,2.299999952,1.899999976,2,2,1.700000048,1.700000048,1.399999976,1.299999952,1.200000048,1.5,1.299999952,1.100000024,1
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,,,,,,,,,,,,2.900000095,,,,,,3.299999952,,1.899999976,,1.899999976,,,,,,
Dominican Rep.,,,,,,,,,,,,3.700000048,3.900000095,4.400000095,4.5,4,4.300000191,2.900000095,3,2.799999952,2.5,2.5,1.899999976,2,2.200000048,4.900000095,,
Ecuador,,,,,,,,,7,8.199999809,11.30000019,10.39999962,11.60000038,10.60000038,11,12.5,10.89999962,8.800000191,10.69999981,9.899999619,10.30000019,10.19999981,8.600000381,,11,9.399999619,11.10000038,
Egypt,,,,,,,,,,,,,,32.79999924,33.5,29.79999924,,30,23.29999924,22,26,17,19.5,25.79999924,32.20000076,31.5,32.59999847,
El Salvador,,,,,,,,,,,,,,8.600000381,8.100000381,8.300000191,9.399999619,7,10.60000038,8.600000381,7.400000095,10.60000038,8.600000381,9,7.699999809,10.30000019,9.899999619,
Equatorial Guinea,,,,76.5,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,
Estonia,,,,,,,,,,1.899999976,2.299999952,2.400000095,2.799999952,3.400000095,3.200000048,1.899999976,2,1,1,1,0.8999999762,0.8999999762,0.6000000238,0.400000006,0.5,0.200000003,0,0
Ethiopia,,,,,,,,,,,,,,,,,,,,63.59999847,,,,,9.899999619,68.5,12.69999981,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,19.89999962,,
Finland,5,5.099999905,5.099999905,2,1.600000024,1.5,1.200000048,0.8999999762,0.8000000119,1.200000048,1.100000024,1,0.8999999762,1,0.8000000119,0.8000000119,1,0.6000000238,0.6000000238,0.6000000238,0.6000000238,0.400000006,0.400000006,0.400000006,0.400000006,0.400000006,0.5,0.400000006
France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.899999976,1.700000048,1.600000024,1.399999976,1
Gabon,,,,,,,,,,,,,,5.300000191,,,,,,,,,,,,,,
Georgia,,,,,,,,,,,,,,,,,,,40.20000076,40.20000076,36.70000076,40.20000076,37.09999847,38.79999924,37.59999847,39,,
Germany,7.599999905,7.199999809,6.800000191,6.5,,,,,,,,2.799999952,2.900000095,2.700000048,2.599999905,2.599999905,2,1.799999952,1.899999976,1.5,1.5,2.099999905,2,1.799999952,1.899999976,1.899999976,1.700000048,1.799999952
Greece,,36.40000153,30,36.09999847,35.79999924,34,35.70000076,33.90000153,32.20000076,31.39999962,27.70000076,25.20000076,26,25.29999924,25.70000076,25.10000038,24.29999924,23.60000038,21.29999924,18.5,17.20000076,14.89999962,14.10000038,13.80000019,11.39999962,11.19999981,10.89999962,10.69999981
Grenada,,,,,,,,,,,,,,,,,0.6000000238,,1.700000048,,,,,,,,,
Guatemala,,,,,,,,,,,,,,,,,,,,,,,24.5,,,,,
Guyana,,,,,,,,,,,,,3.599999905,,,,,,,,,,,,,,,
Haiti,,,,,,,,,,,11.19999981,,,,,,,,,,,,,,,,,
Honduras,,,,,,,,,,,6.300000191,6.599999905,7,,6.099999905,6.5,10.5,10.80000019,10.69999981,14.30000019,,11.39999962,11,7.5,9.100000381,8.300000191,,
"Hong Kong, China",,,,,,,,,,,,,,2,1.700000048,1.5,1.399999976,1.399999976,1.200000048,1.5,1.200000048,1.200000048,1.299999952,1.299999952,1.399999976,1.399999976,1.200000048,1.100000024
Hungary,,,,,,,,,,,,,1.799999952,1.700000048,1.600000024,1.600000024,1.700000048,1.700000048,1.100000024,1.100000024,1,1,1,0.6999999881,0.6999999881,0.6999999881,0.8000000119,0.6999999881
Iceland,,,,,,,,,,,,3,2.700000048,2.799999952,2.5,1.5,0.8000000119,0.6000000238,0.3000000119,0.3000000119,0.5,0.3000000119,0.3000000119,0.1000000015,0,0.1000000015,0,0
Indonesia,,,,,,,,,,,,,,,,,,,,,,,36.20000076,41.5,38.5,37.5,34.09999847,33.59999847
Iran,,,,,,,,,,,,,,,,,20.79999924,,,,,,,,,36.90000153,,32.70000076
Ireland,,,,,,4.300000191,3.5,3.900000095,3.5,3.599999905,3.299999952,2.599999905,2,2.299999952,2.099999905,1.899999976,1.399999976,1.799999952,2,1.799999952,1.899999976,1.5,1.200000048,1.399999976,0.8999999762,0.8999999762,0.8999999762,0.8999999762
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,,,,,,,,,,,,,,,,1.200000048,1.100000024,0.8999999762,0.8999999762,0.8000000119,0.8000000119,0.8000000119,0.6999999881,0.6999999881,0.6000000238,0.5,0.5,0.400000006
Italy,11.10000038,10.80000019,10.19999981,10.5,11.10000038,10.5,10.19999981,9.699999809,9.100000381,8,7.5,7.300000191,7.099999905,8.399999619,8,7.400000095,7.099999905,6.800000191,6.599999905,6,5.900000095,6,5.900000095,5.800000191,3.700000048,2.799999952,2.700000048,2.599999905
Jamaica,,,,,,,,,,,,4.5,4.099999905,3.200000048,3.400000095,3.900000095,3.599999905,3.200000048,3.400000095,3,3,3.400000095,2.5,2.200000048,2.400000095,2.5,2.200000048,
Japan,22.89999962,22.29999924,22,20.79999924,20.29999924,20,19.39999962,19.29999924,18.60000038,17.70000076,16.70000076,15.5,14.30000019,13.10000038,12.80000019,12.5,12,11.60000038,11.30000019,11.10000038,10.60000038,10.10000038,9.5,9.199999809,8.899999619,8.600000381,7.599999905,7.300000191
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,1.200000048,1.299999952,1.200000048,1.299999952,,,
"Korea, Rep.",37.40000153,38.20000076,36.40000153,33.90000153,32.5,30.60000038,29.20000076,27.39999962,27.29999924,25.60000038,24.5,23.70000076,22.89999962,23.79999924,22.70000076,21.29999924,20.60000038,19.70000076,22.5,20.29999924,19.20000076,18.10000038,17.10000038,16.70000076,14.80000019,14,13.5,12.69999981
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,15.89999962,17.70000076,21.79999924,21,19.29999924,
Laos,,,,,,,,,,,,,,,,37.59999847,,,,,,,,,,,,
Latvia,,,,,,,,,,,,,,,,,5.099999905,7.5,6.199999809,5.699999809,4.300000191,4.800000191,4.5,3.900000095,3.900000095,2.099999905,1.399999976,1.600000024
Lesotho,,,,,,,,25.89999962,,,,,,,,,,,,,,,,,,,,
Lithuania,,,,,,,,,,,,,,,,,,4.699999809,4.099999905,4.5,4.300000191,3.5,4.099999905,4.300000191,4.400000095,3.900000095,3.400000095,2.400000095
"Macao, China",,,,,,,,,,,,,,,,,2.299999952,3.200000048,3.099999905,3.299999952,2.900000095,2.799999952,2.5,2.799999952,3.5,2.299999952,1.799999952,1.399999976
Madagascar,,,,,,,,,,,,,,41.59999847,,,,,,,,,,51.90000153,,73,,
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,,,,,,,,,,,,8.100000381,,,,13.19999981,13.80000019,12.39999962,12,11.69999981,11.10000038,10.30000019,9.600000381,9.600000381,9.600000381,8.5,9,8.800000191
Maldives,,,,,,,,,,,6.599999905,,,,,12.10000038,,,,,3.400000095,,,,,,,
Mali,,,,,,,,,,,,,,,72,,,,,,,,,,10.19999981,,,
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
