"Primary completion rate, total (% of relevant age group)",1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,86.35448,,,,,82.15812,,,,,,101.5829,98.32114,102.36646,100.91285,102.04875,96.83208,
Bahrain,,,,,,,,,,,,,93.8411,90.56018,92.04545,94.55073,91.61199,93.80429,100.7486,106.28316,,104.04676,101.86895,100.63519,95.52119,94.86788,92.76651,,93.01521,95.80524,92.73616,93.64449,104.13799,107.824,110.4977,107.25266,,,,,,
Bangladesh,,,,,,,42.9931,31.53126,,,,28.7831,,,,,,,,46.14184,,,,,,,,,,,,,,,,,,,,,,
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.30201,99.10224,107.28856,104.04266,106.66336,97.32143,90.98402,93.05802,91.58734,94.427,97.21105,101.20179,111.27596
Belarus,,101.03014,99.31806,101.56874,96.34573,94.87884,94.04302,93.64875,96.72679,96.9809,98.21577,98.10531,98.34653,98.84781,98.94129,98.03988,98.36669,,,,94.21749,93.57265,88.88006,95.05669,96.74635,94.37476,93.9681,93.9038,,96.38401,99.59302,103.53451,128.54626,100.01819,99.56398,95.69182,94.43891,92.85641,95.16756,101.39207,102.54351,103.52734
Belgium,,,,,69.07669,70.7376,71.31373,72.80936,74.46089,67.51499,67.1751,73.04864,75.29263,70.00933,73.08815,71.12351,69.72241,69.12768,70.92833,,,77.63191,,,,,,,,,,,,,,,89.79043,89.6161,89.58358,90.26794,91.05171,
Belize,,,,,,,,,,,,,,,,,,,,,,,92.49477,,,85.625,91.71548,,,92.65155,93.81169,95.01134,91.88516,91.91459,92.46594,94.3523,95.64446,99.06199,96.47553,102.7375,105.32045,110.35097
Benin,,18.52343,21.6859,22.16292,20.97286,25.71978,25.6631,25.09329,27.37636,28.82911,30.76523,31.87652,34.4804,37.26023,30.42028,34.47725,31.47007,30.41243,28.08535,27.84373,19.42563,22.17774,22.52257,24.81189,26.93566,31.7687,34.08631,36.62544,39.52113,,39.82111,43.84002,46.00508,50.48382,54.33797,,,,66.62657,63.43268,,75.27946
Bermuda,,,,,,72.1694,,,,,,,,,,,,,,,,,,,,,,,,,,96.69421,102.52404,100.4896,95.39801,95.24406,93.6409,,,,100,90.70632
Bhutan,,,,,,,5.54248,5.93913,8.7047,9.6038,,,,,,,,,18.75625,,,,,23.76118,28.27765,,,,47.05514,50.73377,51.47584,52.22836,,,,64.66208,72.74186,,82.94715,86.88159,94.70038,95.10189
Bolivia,,,,,,,,,,,,,,,,,,,,,71.4607,,,,,,,,,97.43902,98.73983,98.56754,101.98839,100.75612,100.38737,,101.68199,98.48895,99.41773,94.46695,94.98235,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.61243,75.62556
Botswana,36.93575,41.99732,48.65856,53.18843,56.25724,53.29176,47.8045,44.23697,51.12384,63.45637,68.07039,78.05279,81.42824,73.73132,76.22699,81.4437,90.89072,92.80708,89.57747,86.81644,88.9601,89.47599,90.06337,89.25827,93.60422,89.91421,91.44111,,91.40101,89.16108,89.12662,91.58043,92.99989,93.20932,93.30889,93.58919,97.33651,94.16047,95.55469,97.22745,,
Brazil,76.38446,80.14342,62.55571,64.61357,67.08709,67.98715,65.82359,66.18531,68.02008,69.90948,72.25502,73.13,74.73909,,77.38926,76.15521,,80.96645,,,,,92.00033,91.09688,89.04364,,,,,,107.95382,111.06156,112.11813,110.27916,106.21065,105.98784,,,,,,
British Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei,,,112.8869,110.45789,114.84099,101.99515,117.84447,113.61028,113.6289,114.14661,100.25727,98.07966,84.95242,85.14749,57.74067,,121.70979,,,,,97.54009,101.65107,102.68419,107.29399,104.86162,,113.16817,119.37387,121.11623,119.98747,126.45552,122.277,125.55471,117.42979,114.25061,115.82043,117.24622,117.18873,114.99525,117.83979,119.53197
Bulgaria,,97.39686,98.12111,97.93332,103.83857,94.95584,95.51381,92.36245,92.81831,102.95803,103.72105,100.39272,96.85693,93.99147,99.76761,110.73443,100.44369,103.79498,103.5776,102.41536,99.88233,89.61868,87.91622,86.41615,88.65225,88.3063,90.73428,94.86129,94.44544,96.78748,97.12217,103.0251,97.73729,99.04468,99.81514,99.03067,98.0235,98.28735,90.6896,95.4827,106.0289,
Burkina Faso,,6.99389,6.56737,6.77849,6.51531,7.27424,7.16714,8.07465,8.20721,8.938,8.68952,9.57005,9.76133,10.43386,11.33531,12.7994,,14.53544,15.52495,15.22604,17.89742,18.33695,24.62227,24.34229,25.25669,17.39322,21.17745,,,21.97105,23.76703,24.92208,25.71825,27.30561,28.59145,29.8584,30.92075,33.10747,36.9505,41.86731,45.10095,
Burundi,,5.55992,,10.56898,10.74735,11.46473,10.71876,10.89585,10.84156,10.89389,11.00581,11.18032,13.24569,17.91998,24.46251,25.4606,26.50259,26.49431,37.30176,32.29144,40.7016,45.92838,49.68708,53.58987,,,,,,23.84349,26.29945,26.81893,27.27208,31.98717,34.3839,36.80277,,41.90269,45.0687,52.427,56.13868,62.13428
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,38.38045,36.88284,,15.77799,31.24316,40.88853,,51.63303,58.95383,65.09404,76.26945,86.40262,89.85198,90.96789,86.31653,84.34449,87.09611,89.90776
Cameroon,,,,45.80067,45.31637,47.33411,48.86589,49.86566,59.96241,50.66462,49.01212,49.1044,48.13121,48.33067,49.9708,51.41275,51.76848,53.33304,53.06312,,54.3969,53.38976,,,,,,,,49.61376,50.96779,,52.20008,58.07082,60.09744,52.89365,52.88527,57.11453,74.83231,75.57465,78.70036,78.25197
Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.55044,95.99196,97.52986,,,,,,95.75299,,,,,
Cape Verde,,,,,9.3341,11.81406,18.665,13.76673,13.36364,13.31105,17.0123,27.81669,25.42104,22.49877,31.28021,32.43075,35.44145,39.46977,44.8402,,57.13274,,,,73.7739,,,,101.59639,110.0953,107.21709,100.99584,102.83514,103.95267,101.99686,87.23016,99.3398,93.05532,99.03592,95.04147,98.89627,95.02212
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.76329,,,,,,,,,,,,
Central African Republic,,27.33168,25.73516,31.93577,28.23605,35.77206,30.73431,32.49198,40.1948,,,30.32036,29.93611,26.70546,,,37.53362,27.84311,28.8832,28.44824,30.24243,28.05909,22.54628,,,,,,,,,,,,24.27635,26.74231,26.84338,33.18345,36.15896,38.87181,41.1323,42.98437
Chad,,15.3909,,,13.03315,,11.81428,11.10615,,,,,,,,,,,11.61834,12.9516,16.54202,18.16035,,,18.21922,14.41987,15.08347,15.75336,,20.62167,22.93554,25.4626,28.55832,33.90025,35.8126,32.42806,32.13089,,,34.52756,34.5372,38.23274
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,77.497,83.78544,87.23259,87.55759,85.57914,86.66104,90.38823,89.247,,,,,,97.43868,,,,,,,,,,,,,,,91.03171,97.43366,98.06397,,100.25603,96.94874,94.95429,,,95.72077,,,98.77053,
China,,,,,,,,,,,,,,,,,,,,106.25649,108.63113,109.06363,102.31037,102.19102,102.53753,96.90207,93.38438,94.38208,,,,,,,,,,,,,,
Christmas Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cocos Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,49.38861,52.76418,53.48054,56.6605,57.22532,,,,,,,,70.90953,73.89798,74.18797,68.30436,71.04669,70.52903,69.81026,69.56917,73.88535,73.26252,82.16416,83.2908,82.9852,86.75656,87.93871,,93.76058,95.23897,95.22935,92.53066,92.95087,,100.42569,104.00648,109.79889,111.27198,110.87966,115.09731,113.86174,111.68141
Comoros,,,,,,,,,,,,56.29603,,,,,61.17246,49.12162,,,,,39.67901,34.44193,41.25251,,,,,50.28199,,,63.39338,62.64242,67.82264,68.3225,,67.0224,74.82602,,,
"Congo, Dem. Rep.",,40.48849,42.6405,,,,52.78098,55.64455,59.15542,,58.81959,60.82285,62.93533,64.98694,66.97359,,,,48.04687,,,49.43058,45.74605,52.54058,44.19256,,,,,31.74763,,,38.70293,,,,,50.4732,55.2215,57.83117,58.65763,
"Congo, Rep.",,56.83467,60.44108,70.12176,58.10321,67.81906,70.25739,72.98148,73.29244,80.276,81.24035,79.59421,78.95844,72.60516,75.90177,73.28866,74.40074,74.86994,75.34791,69.53648,60.43682,55.77625,62.94951,64.23861,54.55198,,49.70231,,,,,57.1104,59.91419,56.59844,81.63388,71.37892,77.62749,76.112,71.02407,70.47137,70.84229,
Cook Is,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,76.02705,75.34369,84.34528,87.84284,86.36301,84.69724,81.16146,89.00751,86.29813,84.01944,84.5615,87.75026,87.9931,81.40314,74.41997,77.61443,78.37983,75.70123,76.17357,75.64867,75.06553,79.75605,81.71135,83.55687,82.02334,80.60509,81.56757,,,81.46268,86.92865,90.54628,93.33326,,94.86634,94.17209,90.47168,92.38667,93.67349,96.32974,96.28,99.08578
Cote d'Ivoire,,,,37.19752,37.71619,41.63718,45.28798,48.55138,49.21575,51.01931,53.48446,56.9957,,54.03464,52.33548,44.7615,45.44548,44.85895,45.1649,42.22423,40.19075,42.82503,39.71772,40.82524,40.69138,39.32913,40.80259,41.82076,,41.95327,42.69017,48.97481,,,,,45.56969,47.57026,,49.83237,,58.5917
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,83.95771,80.57284,85.45772,86.64425,92.36001,91.64957,92.6045,94.68559,95.13997,91.64026,,95.24335,96.36656,101.07479,98.33431,95.05736,93.1052,
Cuba,,65.04308,58.48328,65.64337,75.63722,79.79202,93.88159,111.55925,119.80518,114.61932,106.05161,97.12025,87.30406,96.0088,100.64087,97.5465,94.38964,97.27824,95.39751,96.28966,93.93775,94.17702,86.50827,83.48437,95.91242,96.08712,96.63452,,,94.28102,96.06997,95.75096,100.33577,95.32811,91.65029,91.5937,90.31018,91.73268,88.65502,97.55195,98.28953,98.56854
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,100.76701,104.23888,99.69097,97.15772,98.86197,,100.71855,97.6595,98.04249,100.45012,101.18464,87.55183,100.0818,101.14621,99.95163,100.24621,103.16041,103.30712,
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,95.00706,101.97959,103.11077,107.72239,,,99.36866,99.18588,98.79971,102.86588,97.62467,97.79386,96.77419,91.93742,93.14857,95.65818,100.66717,104.63053,
Czechoslovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,,95.64824,92.53712,93.88393,92.72136,94.23135,101.3253,100.80229,108.17153,109.48653,102.29182,93.33956,91.32174,92.19412,97.76727,99.95441,96.99103,98.33499,102.22654,97.52367,95.21995,97.58199,96.82366,99.07694,96.63845,,,,101.42042,101.25761,99.97444,101.19987,105.2577,,100.54462,100.25781,101.93289,101.46519,,97.40611,98.49507,
Djibouti,,,19.11529,19.36453,19.31228,19.71518,18.60822,,,,,,,,,,27.60542,31.53316,30.24238,34.14078,32.00828,26.93037,29.01604,25.19089,27.48077,29.01948,26.77239,24.86188,,24.24494,27.76234,26.95223,,32.72501,32.44292,30.9113,35.28754,,41.72644,35.57487,,45.76798
Dominica,,,,,,,,,,,,,,,,,,,100.67873,,,,,,,,,,,122.8703,118.78368,119.89645,104.62633,100.34698,102.85132,102.34742,92.82787,94.71051,90.21658,86.25,83.81265,94.2758
Dominican Republic,,34.74524,,,,,,,,,,52.75786,,,,,,,,,,,,,62.73203,,,,,72.59565,77.86982,,90.52784,,86.37072,,83.88124,91.28651,,93.14844,92.07853,91.85042
East Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,,57.34494,56.41795,59.94798,62.63877,66.48852,70.9022,72.68607,71.72986,75.61187,78.55129,82.24456,84.90798,88.43303,90.55445,90.6944,,91.81914,92.42941,,,,,,91.49729,89.80424,90.13025,94.27625,,97.59085,98.76274,99.99095,100.64357,100.80831,101.19266,106.16638,105.92047,105.50139,,,104.64778,
Egypt,,51.51545,48.52522,51.72266,53.68942,56.32574,57.44884,57.70856,50.51963,33.75225,43.38626,51.60947,,,,,68.31851,68.9208,,,,,,,,,,89.84785,,95.60646,94.34022,92.77219,92.05745,92.96288,94.90756,96.75295,91.99724,95.77483,,98.49484,,
El Salvador,,39.70469,43.10211,48.23671,49.35048,48.93396,48.14544,49.25228,,,,43.58911,46.43502,47.61445,45.79011,,,58.76746,62.54189,60.71484,,63.58228,64.47583,66.56164,,67.37687,71.76028,,74.73047,83.32267,83.12568,82.36467,81.86699,81.9589,83.29551,84.754,84.66465,88.73501,90.399,93.35859,96.10053,100.51834
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,53.1721,,,,,54.61952,,,,38.29895,,47.08533,,,45.72575,49.11612,52.35819,51.70967
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,18.56373,24.00824,32.88701,36.02542,,34.13514,36.23885,36.57563,35.31637,38.70203,43.52491,51.43445,49.126,46.96727,46.52775,47.62362,39.82491,37.95345
Eritrea and Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,80.22679,91.88392,,88.47355,91.40091,92.3459,96.85961,99.60215,104.93903,102.92482,105.93859,100.12124,98.88468,96.76703,97.54672,96.35608,
Ethiopia,,,,,,,,,,,,,17.07003,,,,,24.91222,24.45848,23.35449,,,,,14.95189,15.04419,16.2778,,18.21226,20.71433,22.99887,28.23574,31.65844,34.70874,37.40787,43.23934,47.40308,48.33481,51.5305,54.49418,70.07983,64.04061
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falkland Is (Malvinas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,,,90.90849,96.86563,96.0938,,106.54082,106.56669,110.39377,102.23597,97.11049,97.34851,,95.49031,92.00803,93.37482,95.21356,,,,,,,,,,,,103.66207,100.04496,95.28149,97.09038,101.80781,105.5953,108.66095,,110.99882,102.84966,105.74518,105.00666,,
Finland,,,,,,,,,,,,,,,,,,104.11559,105.86551,105.57453,101.77542,97.37717,96.72907,96.10239,97.18669,100.63142,101.39104,100.53606,98.18126,96.02063,96.37274,102.3338,101.0709,102.15099,100.42462,100.42938,96.96009,98.31684,98.75863,97.63948,98.18739,
France,,92.56022,92.25455,,,94.17729,94.56564,94.40207,95.48971,95.43932,95.83132,,,,,,95.13789,94.07014,97.57823,100.12235,103.45575,105.54001,106.73176,,,,,,,96.97951,97.44625,,,,,,,,,,,
French Guiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Polynesia,,,,,,,,,,,,,,77.51102,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,,,68.55615,67.15253,,93.34973,99.08492,92.18932,93.64465,96.39647,95.83113,99.70996,99.75874,97.82865,83.96002,101.55999,,73.60439,71.77809,69.48959,,,61.49862,,,67.36995,67.98304,70.07334,,,,,71.64299,68.80062,,,,,,,,
Gambia,,24.67562,26.09343,24.94219,24.52922,26.52445,25.58392,20.61846,27.09878,26.93123,28.99992,28.15491,30.96752,34.17289,40.03119,42.16141,45.01054,49.23906,,41.58994,,,38.79781,36.71997,35.66748,37.91891,44.58798,,,66.02531,66.55524,68.58608,67.10975,70.52274,69.66,67.09789,65.49597,72.4324,77.81352,,,66.34522
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,84.17676,85.82381,85.52342,,84.17506,97.96872,100.55637,97.50064,89.02913,95.20225,85.09314,83.83964,94.16423,101.862,109.94522,116.24232,
Germany,,,,,,,,,,,,,,,,,,,,,,,,100.8267,96.95942,95.39238,94.8271,95.64324,,97.52779,101.94815,105.5533,103.05383,103.61145,102.7413,98.8601,98.96386,102.74425,100.16498,100.27447,100.58032,
Ghana,,65.37078,59.65308,,54.33935,55.82015,58.28497,60.4263,61.74486,61.79614,62.99456,66.55704,,,,,,,,,,64.66886,66.72416,,,,,,,68.00798,71.10971,67.45406,68.80778,69.74162,68.64966,74.55165,71.41918,77.90763,84.4201,86.65918,,94.0356
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,,103.8494,102.34041,100.683,99.56069,100.07807,100.16882,100.46119,102.12361,101.58786,98.20166,97.23251,97.11649,98.79185,101.75296,104.55148,110.10908,100.49303,101.09767,97.97851,,,99.43089,,,,,,,,,,,,101.63009,100.00092,103.11935,100.93903,,,98.64489,
Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,,,,,,,96.27371,98.01943,89.91563,92.04211,,,,95.33916,85.87896,83.55263,,,,,,,,,,,,,,,,,91.45168,100.36232,,,,97.64107,110.59102,121.24577,111.58777,
Guadeloupe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,23.88283,24.01597,25.98091,,,29.45209,30.57361,30.50676,31.69879,32.24395,34.29431,34.40529,34.36553,35.67958,37.18668,38.76541,41.83232,,,,,,,,,,48.07895,,,52.98139,57.71029,60.31124,64.04603,65.30274,69.9531,73.73403,76.72775,77.35083,80.15503,83.67557,85.72479,
Guernsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,,,,,,,,19.5423,21.43636,,23.55125,19.48413,21.21086,20.86616,21.38187,17.43289,16.6208,15.97142,12.87514,13.90941,20.55003,18.2745,17.76844,19.68463,20.33907,19.85586,30.13016,,25.20711,29.16778,32.29187,34.56951,39.08724,39.72705,50.50822,57.62995,63.03759,63.72694,56.25873,63.49096,64.11628,66.87277
Guinea-Bissau,,,,,,,7.57595,,,18.97061,14.85984,21.6299,20.33238,13.8616,11.81797,,,7.82816,5.67109,,,,,,,,,,,29.11514,29.7369,,,,,,,,,,67.62197,
Guyana,,95.69913,91.97656,89.0536,87.46882,,83.56568,91.81999,88.58624,90.73052,84.33707,89.07504,91.60649,87.41045,92.08356,,,92.36972,,,,,97.39916,97.08092,,80.88826,82.6317,87.43944,,101.89411,102.7477,86.62777,,78.68611,81.64393,104.74267,105.01809,98.50532,94.49726,92.35366,83.21008,85.48523
Haiti,,,,,,,,,,26.25525,27.05431,,28.43349,30.99976,,33.95634,36.17721,38.06431,,,,,,,,,,47.76407,,,,,,,,,,,,,,
Holy See,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,,,,,,,,,,,44.72602,,50.1539,,55.26617,,,,,,,64.52797,,69.74125,71.26311,,,,,,,,,,,81.8251,89.03754,,90.18038,93.42809,98.52884,101.46401
"Hong Kong, China",,,,,,,,,,,104.14489,101.7412,98.56482,97.94695,102.71756,103.90592,107.63552,,,103.48529,102.02369,100.98056,100.67465,101.97835,100.40644,98.39103,94.23906,,,,,96.66341,97.19806,98.3291,99.11932,98.872,100.36114,101.40062,97.51598,95.74448,,91.2845
Hungary,,90.18069,88.55745,91.75582,97.34985,98.08424,96.56719,98.91999,104.23807,99.61289,97.73076,92.66819,91.28062,92.02539,99.67549,111.59572,104.22171,99.03894,92.74947,87.59502,85.6746,81.61262,85.84414,88.86575,,,,96.8663,98.16341,96.3911,97.1878,98.78736,100.23727,97.06601,95.48841,94.48594,99.03983,95.74982,97.4406,97.52937,,
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.5902,89.96466,97.56616,107.88666,103.03662,107.97101,98.5562,100.15231,99.54907,96.92407,95.75585,99.37681,97.99772,
India,,39.50652,,,41.76677,,,,,,,,,,,,,61.90201,62.9686,,,,,,,72.62345,,,,68.84578,71.47893,71.97123,75.1583,79.43431,84.13325,85.51253,86.67422,94.35308,95.68729,,,
Indonesia,,,50.52433,51.75514,49.67472,48.0896,47.55733,52.04712,54.80664,,,63.95286,68.46612,73.59784,82.89185,92.17378,94.52164,93.9084,94.15788,94.41486,91.65257,88.69302,87.27169,90.76902,93.27322,93.27766,92.35427,93.03636,,,,92.7356,94.6716,96.07001,96.92416,96.45408,95.83872,102.29208,101.30306,104.51802,108.79271,
Iran,,52.10196,,,,,,,,,,,,,78.62043,81.57388,81.99852,82.14693,82.90717,83.87871,86.95501,90.29324,93.44905,98.72417,96.59796,100.40714,,98.27361,,,92.84746,96.4871,96.44589,92.83509,103.26937,106.38894,99.15222,95.73681,99.26761,104.44429,106.65678,106.05859
Iraq,,39.67439,38.91596,42.03657,42.93512,50.80374,51.29418,64.56396,65.89295,,73.14518,,,56.66049,,64.96708,63.73514,57.91478,60.67358,58.95617,,,,59.39021,,,,,,56.70927,55.62125,60.26799,,79.51253,78.59229,,,65.19881,,,,
Ireland,,,,,,,,,,,,,,,,,,,,,,,103.11296,103.9907,102.163,101.10694,,,94.57151,95.9052,94.62139,91.54982,94.12538,97.29209,97.92856,95.32328,,,,,102.77964,
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.46241,104.53134,108.12311,104.13435,102.74498,103.54721,100.33122,103.46693,101.72951,
Italy,,97.69732,99.54806,99.14653,100.14527,107.62083,105.60892,104.93586,101.83947,101.14447,102.39264,99.13959,99.50516,98.41182,98.22544,100.23598,99.87097,98.6587,98.26229,98.86702,99.75621,97.58643,98.66074,,101.00501,99.89179,100.5416,97.09187,,101.3907,101.88572,104.41191,102.36671,102.0563,99.94718,98.14333,98.87278,101.28131,104.90724,102.88244,103.20697,
Jamaica,,,,,,,78.37519,80.39377,,86.84117,84.34115,85.74179,,,88.84332,85.63845,86.85624,90.72004,93.19655,96.18909,96.95577,94.07687,,90.49622,,,,,,,87.93691,82.02414,87.99089,,88.06593,,,84.33034,,74.5701,73.43496,
Japan,,105.13827,100.91579,98.64457,98.0058,97.91508,98.33595,102.77845,98.82376,90.62662,105.90711,104.1812,99.41969,98.63645,99.12114,99.39999,101.37779,102.65801,100.76596,100.89949,103.41083,103.33637,101.17543,,98.91236,,,,103.04346,,,,,,,,,,,102.43353,101.92713,
Jersey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,,,70.13297,76.72634,89.44967,99.76178,101.9839,101.99177,103.70845,102.5815,102.85215,99.46491,97.82754,93.64316,96.59678,97.02446,,88.01205,90.30752,92.05039,95.16187,97.28336,97.75455,96.57835,99.50724,,94.78115,,,91.88642,93.86163,,93.02268,97.50992,99.7931,104.7825,102.61408,103.92839,101.37583,,89.92824,
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,105.20976,,,99.65087,95.73927,,92.62909,94.99181,96.46166,97.8519,104.93691,106.46384,103.65269,101.40773,106.15726,107.68116,110.42455,116.24835
Kenya,48.44059,50.68633,53.93032,55.62787,,60.64403,62.82591,67.25005,68.52984,89.45861,86.05136,84.53571,,,,,,,,,,,,,,,,,,,,,,,88.57882,90.65415,,,,,,
Kiribati,,,,,,,,82.66385,87.82961,70.59961,79.64824,128.61821,124.31675,134.14996,134.97224,136.28099,132.80255,113.50554,110.86505,113.47656,100.98583,111.43713,110.48623,105.99315,107.99112,110.08086,121.59748,123.58974,,107.15301,99.20857,117.00368,109.79148,115.01569,115.80115,116.56442,113.11475,121.83369,112.04056,,,
North Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Korea,,96.00432,97.97184,106.76809,104.25623,103.36677,107.40486,101.30552,99.48281,101.88839,98.34935,103.45801,101.13682,102.49125,107.91966,105.1263,104.5729,104.17321,99.6373,94.99712,99.24628,97.3514,109.03697,109.07241,111.75139,111.41321,,,100.21284,104.481,104.08052,100.65088,95.9481,102.47403,101.56145,99.41617,100.0214,101.40865,99.6706,100.76114,101.22695,
United Korea (former),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
