"Primary completion rate, total (% of relevant age group)",1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Abkhazia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,,,,,15.64668,,,16.35913,17.93986,,24.97158,31.04165,12.60248,,17.0989,17.83776,,,,,,,,26.63273,,,,,,,,,,,,34.05853,,,,,,
Akrotiri and Dhekelia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,93.06404,,,102.65437,101.71971,103.30419,,101.11135,98.42509,,,,89.90986,89.27898,86.26271,88.83048
Algeria,,,43.34175,45.40215,47.71764,53.25078,59.14851,61.87218,64.1889,63.81572,63.33456,67.64203,69.3211,72.14345,76.98502,91.40951,75.44659,77.76358,78.99455,82.17035,80.92902,79.4272,81.72759,80.67199,79.13338,80.10115,83.4452,84.53167,,84.73427,82.42135,88.733,90.22092,91.6667,92.98789,94.44502,,96.39509,115.66131,94.12662,95.98508,94.3662
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.97869,104.84581,100.68587,,,,,,,63.07008
Angola,,,,,,,,,,,,48.98262,43.34274,,,,,,,,,34.04985,,,,,,,,,,,,,,,,,45.9382,45.43204,46.62628,
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,82.98382,82.15548,,,,,,,,,,,,,,,,98.18182,,,,,,,,,,,,,,,,101.17647,93.78079,100.36969,97.7104
Argentina,70.80875,71.61835,,,75.4626,78.96866,78.75067,,,,,,,,,,,,,,,,,,98.53799,,93.63615,92.32595,100.48527,99.08101,99.03273,98.75465,102.86619,100.96652,99.77976,97.84061,99.9756,102.61247,105.75982,105.96696,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,105.97662,,,95.58373,,,,,93.23316,88.54689,99.08915,91.83229,92.98238,101.31553,,,,83.34153
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.01238,97.73071,94.74836,95.15449,90.39892,90.61889,87.75253,92.19725,93.32085,91.85464,92.05549,90.66496,
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,,95.89542,97.41078,97.31467,,,,,,,,,,,,,,,,,,,,,,,,,100.71763,100.69782,,,100.30239,101.21451,99.07978,98.9966,100.87685,103.44956,101.16352,99.39566,98.37507,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,95.65807,91.12572,,81.52954,98.88515,95.06134,92.1731,89.51351,95.16858,97.58601,92.69615,95.59543,93.43062,91.20018,98.13037,90.73683,91.77172,89.51445,92.80683
