Reported cases per 100000,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006
"Congo, Dem. Rep.",,,,,,,425.8652048,,291.48183,3045.511068,1903.032789,4226.397706,,7950.414752,,,8259.62214
Equatorial Guinea,7521.88683,6513.762261,7070.083968,4911.282453,3976.111686,3279.615345,,,,,,,,,,,
Eritrea,,,,,,2526.461827,3977.866176,,7423.359595,4139.625012,3234.132111,3280.23488,1871.801559,1569.025933,638.1722222,534.4264569,216.277734
Ethiopia,,,376.9815396,540.2165957,613.3901596,684.3344954,770.109319,797.3927183,920.2609187,959.146743,552.5156879,3178.006227,3439.172119,4188.292229,7411.049232,4256.099924,4640.745114
Gabon,6258.879002,8486.941255,10337.99402,7084.008745,7993.954356,5194.11279,6864.183207,5182.366064,7077.178971,,,8043.530927,,,,7771.096612,9009.946461
Gambia,23121.47977,21549.3086,18119.24484,,26831.56887,11723.82263,22137.73534,26112.18724,,9559.725957,,,,,,9999.696975,16006.18629
Ghana,9234.760024,8564.670524,8775.056144,10008.14104,9599.542218,10780.55116,11939.43235,11856.05573,9072.181433,14704.7337,16625.01802,14768.82262,14890.18129,16467.37913,15487.36185,15322.68679,15261.58094
Guinea,360.7026093,282.4058209,,,8579.203861,8197.443693,10255.04128,10389.03888,10368.39506,10040.22952,,10191.65226,9985.755727,8441.259852,9927.08969,9445.090427,9092.737899
Guinea-Bissau,8049.713757,6116.39493,5178.695615,14188.72539,,16570.53007,526.5960787,843.3737807,163.1109811,14826.64552,17972.89429,17445.00718,13900.79272,12982.84655,10480.73726,11615.60721,9037.828588
Kenya,,,,,22945.23944,15862.69953,13417.49396,,271.9759997,403.1917265,237.4066544,10174.00663,10085.37938,15070.01006,21760.93721,25790.71429,21772.76096
Liberia,,,,,,,10517.73085,33359.82249,28823.99092,,,,,,,3390.119577,30882.8189
Madagascar,,,,,,1407.873777,,,,7261.855496,,8141.363434,9325.297694,12463.60987,8042.193132,6585.095008,5285.445334
Malawi,40978.15189,,,47515.19666,47632.70109,,59929.50303,26031.64012,27288.11027,37148.24561,32477.52287,32012.87683,22708.27761,26714.22847,22267.16867,27887.21928,30981.92181
Mali,3245.593744,3588.001216,3475.388538,3568.723359,3092.365466,1091.562242,332.4198792,4178.575771,129.290065,5451.346712,5464.04237,5951.624793,6817.156097,7405.884519,17481.24499,8291.262922,8544.115881
Mauritania,1382.996388,2109.090545,2228.248279,2083.792263,7210.153715,9637.29932,7917.60282,8052.767288,6941.5412,10169.94368,10096.55702,9232.194564,8255.1301,11356.56958,7801.012425,7541.818464,6177.640048
Mauritius,5.110437501,4.492476506,6.100615792,4.925843254,5.851849184,4.090059555,7.206675139,5.650297032,4.473395341,6.217041165,5.228343694,5.094515796,,,,,
Mozambique,,,,,,,77.88964716,,1120.816075,13167.99775,18019.6201,21153.80771,24003.14767,24800.84741,27945.23239,28717.20806,30211.35023
Namibia,,,,24307.26561,24926.31101,16623.87607,20255.2377,22300.01262,19641.16262,23335.14044,27620.35651,28149.88053,22952.9627,23787.44768,30634.41121,16794.96276,12977.67514
Niger,14866.7771,10007.19829,10356.76455,8396.349341,8994.807873,8379.578456,12080.24031,9807.355604,8433.99604,7602.755235,5814.094291,11626.32643,7439.571928,5512.812717,5939.444552,6164.771464,6453.730373
Nigeria,1182.574157,935.4072086,1218.093887,953.1767176,1108.617804,1040.203079,1025.553675,997.0605629,1793.584114,1617.129628,1984.897214,1760.030657,1983.749279,1937.094228,2398.697755,2498.730812,2751.778157
Rwanda,17576.98944,18893.28954,20787.39635,12005.75331,6470.709221,24662.17174,19522.02884,20924.49437,18239.50785,11835.47119,,11700.28058,12176.5059,13526.87632,14242.76529,17743.18528,14990.76524
Sao Tome and Principe,,,,,,40597.17825,36116.58828,35972.1605,34042.14404,26895.9205,31033.81836,30877.4341,35114.33021,32403.39277,35915.93392,14657.12676,4701.369863
Senegal,,,,,5105.703726,6944.511325,,9020.243171,9678.416695,11377.05763,10839.43718,8782.105687,8819.085876,12652.10619,10419.77484,11436.86588,12883.10806
Sierra Leone,,,,,,,172.3839147,4964.375003,5830.230806,9345.562004,,9521.21771,10298.73291,10168.64486,6597.65593,4185.752442,2797.746145
South Africa,18.65084868,12.51714807,7.462432356,33.61587112,25.37995875,21.08203661,63.76007815,53.4765357,60.08951873,115.0137964,142.3445998,57.600263,33.59538406,28.5821888,28.18413819,16.17692175,25.05671884
Swaziland,,,,,,,3973.904608,2377.949162,432.4139879,2925.28409,4307.469866,1748.709244,1364.180083,1040.330613,851.3338611,789.9307177,331.4182177
Togo,20463.77132,19199.03634,15217.97036,13148.95882,7494.912514,,7542.480425,7566.39102,7321.375172,7903.00854,7368.131157,8945.226613,10165.70776,8299.727115,8515.160086,7015.419554,8836.383468
Uganda,,,12752.97357,7401.376761,10660.6433,6739.166481,,10266.78747,12238.81606,12820.23931,,35339.16469,37284.34384,40531.88444,42814.95331,55273.08514,42787.15343
Tanzania,42031.995,33084.12569,28203.49011,31184.70611,27465.34358,8153.40674,16178.39456,3593.448328,94577.39964,1283.523537,,935.0721424,1037.183201,31133.04429,31722.9036,29735.74189,26777.86865
Zambia,23807.57207,28039.53669,34450.79944,39938.73484,38930.4,29615.1439,33857.29398,,34043.43995,33114.98698,34471.3938,35989.26211,34594.80261,39265.46669,36187.29533,35905.57745,40452.05944
Zimbabwe,6318.172179,5390.138305,3798.65519,7753.132579,2803.244794,6460.59297,14133.2397,15165.49393,13904.95114,14408.7148,12119.95369,5333.1441,10483.73475,14069.89019,13938.09892,11409.54744,11610.63168
Argentina,5.095015908,2.430513275,1.919698905,2.232811286,2.756162961,3.057278588,5.807318338,1.658791795,0.9390070336,0.6081446179,1.192550506,0.5768034134,0.3320743377,0.321009194,0.2997013749,0.6684362937,0.5340584126
Belize,1633.121184,1736.840176,2717.831027,4245.01016,4783.730416,4396.379397,3000.554228,1774.496585,1125.167333,775.7528996,607.3710154,437.3009324,361.0136392,,392.341727,572.3182336,293.9871114
Bolivia,295.1093719,278.8632473,350.5412947,384.2950804,475.0106453,627.010407,837.0182474,658.8434289,926.2794915,614.1689314,378.3735947,1448.274489,1587.618999,1791.675594,1812.701062,2200.181551,2230.269297
Brazil,374.7927047,404.2151221,394.9202964,297.2952813,354.5323279,350.0461384,277.4336088,235.9281615,279.0830822,355.1963541,350.755565,219.750482,194.290983,224.889823,252.0658719,322.7659103,290.0778235
Colombia,285.2770201,518.0778669,508.0747981,350.6538336,338.5661999,488.9937206,349.0148521,456.4362141,459.9560121,163.0196154,258.1797093,486.8314104,454.9561686,377.1579247,263.7161649,262.9011527,263.6085997
Costa Rica,37.42263091,103.808566,215.1781883,152.1014356,131.1129766,129.9319088,153.7848903,128.9194297,137.3568466,104.120874,47.82634481,33.95249092,24.92102646,17.19195512,30.3077542,81.83067775,65.99572153
Dominican Republic,4.8801806,5.069810756,9.209620597,12.77982243,21.22520797,22.56225617,17.33020687,9.82501835,23.73498224,41.74258121,13.89526947,11.67652778,14.34447731,14.11802077,25.25569108,40.51913064,36.66273621
Ecuador,697.729842,565.4093416,382.6605924,427.3310192,268.2500506,159.0678595,102.4638141,138.8510027,365.153725,721.7942147,801.2486079,873.5985807,687.4085395,407.6815297,222.4138162,130.5413761,74.70841147
El Salvador,181.3831852,114.0384109,85.5963856,71.86070227,50.7848276,59.69632999,102.4696794,46.38639887,19.77762719,20.2029858,12.02529153,5.749183759,1.830290462,1.295359559,1.703160945,0.9897491976,0.6506645577
French Guiana,,,,,,,,,,3323.272299,2245.041292,2240.559818,2078.956036,2037.106405,1625.141805,1777.208627,2066.184861
Guatemala,468.2625306,634.3439281,616.8634124,438.3549023,225.6340171,241.6896806,198.0190475,306.5391908,445.109286,411.2534512,474.7446548,311.3738188,300.8502977,257.4105616,233.4756091,311.3167375,238.6524018
Guyana,3104.34973,5779.05824,5423.889047,4514.370401,5365.29603,8026.215009,,4350.28884,5595.606091,3712.412218,3270.438196,3690.459668,2974.16504,3744.820323,3906.121024,5271.869658,2841.02979
Haiti,67.59879678,351.6574949,181.8702757,11.306927,300.9334399,,236.4723936,,416.1017825,14.1932749,197.099303,112.8408972,,109.2446372,118.0640899,234.2654721,346.5931678
Honduras,1085.530479,1458.917332,1371.379675,839.4330032,958.2405005,1067.177271,1306.973596,1130.705179,722.4999416,769.7882012,566.8858113,382.0850843,267.1912342,214.8619737,258.0162515,234.2221591,165.8992814
Jamaica,,,,,,,,,,,,,,,,,14.15545656
Mexico,52.99032109,31.06772272,18.57813075,17.82518459,14.26237463,7.98168436,6.730678021,5.047080543,25.83151799,13.66851319,7.381588743,4.854497279,4.545186511,3.724946516,3.295983626,2.845595731,
Nicaragua,864.1803581,652.1467923,618.2284187,988.7065584,909.6358256,1488.940366,1587.783271,881.9525675,685.7801009,769.2113396,470.1060587,202.1935746,146.4031904,126.1348759,127.8739186,121.5918092,56.28694848
Panama,15.80317457,45.31135198,28.94500052,18.76252379,26.14113307,27.33660574,17.46686433,18.16061391,36.62423918,32.3495074,35.11926312,30.86710282,71.92687293,143.6298403,160.4543993,113.4766434,50.58496662
Paraguay,68.55555425,68.44804442,28.84721472,9.522557322,12.43393008,18.71239938,12.9760367,11.29707563,40.76880093,189.8645142,128.1092621,49.63406325,49.86711974,24.49904125,11.97988071,6.368194796,13.68086612
Peru,132.7165017,151.834515,242.713062,413.1173321,520.2027358,807.4156036,858.5682373,746.510579,989.0941918,657.8417874,271.7026093,305.7203908,325.7547045,298.3057795,347.129191,,
