Income share held by fourth 20%,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Norway,,,,,,,,,,,,,,,,,,,,,,,21.97513647,,,,,,,
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,,,,,,,,,,21.28,,,,21.68,,21.09,,,,21.09,,20.84,,,21.17,,,21.32,,
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panama,,21.67,,,,,,,,,,,,20.4,,,,19.76,20.14,22.41,,,19.92,,19.72,,20.31,,20.76,
Papua New Guinea,,,,,,,,,,,,,,,,,,,19.33,,,,,,,,,,,
Paraguay,,,,,,,,,,,,,22.66,,,,,18.74,,,20.57,19.86,,,19.38,,,20.02,,19.38
Peru,,,,,,,,,21.07,,,,20.47,,,,21.42,,21.42,,,,,,19.5,,,19.89,21.02,
Philippines,,,,,,,,20.95,,,21.21,,,20.68,,,21.05,,,20.33,,,20.41,,,21.17,,,21.23,
Poland,,,,,,,,22.75,,22.81,,22.98,,,,23.63,,,21.92,,,22.41,,,22.4,,,22.38,,
Portugal,,,,,,,,,,,,,,,,,,,,21.90596058,,,,,,,,,,
Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,,,,,,,,,,,,23.16,,,23.39,,22.77,,,,22.57,,22.99,,22.81,,,22.25,,
Russia,,,,,,,,,,,23.22,,,,,20.24,,,21.2,,,23.05,,,23.02,,,22.69,,
Rwanda,,,,,,,,21.64,,,,,,,,,,,,,,,19.83,,,,,,,
Saint Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Lucia,,,,,,,,,,,,,,,,,,21.75,,,,,,,,,,,,
Saint Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senegal,,,,,,,,,,,,,,19.31,,,,20.3,,,,,,20.53,,,,21.97,,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sierra Leone,,,,,,,,,,,,,23.12,,,,,,,,,,,,,20.93,,,,
Singapore,,,,,,,,,,,,,,,,,,,,,22.01879065,,,,,,,,,
Slovak Republic,,,,,,,,,,,22.51,,,,22.13,,,,22.91,,,,,,,,,,,
Slovenia,,,,,,,,,,22.7,,,,,,21.87,,,,,22.86,,,,22.9,,22.6,,,
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,,,,,,,,,,,,,,,,18.17,,18.38,,,,,18.81,,,,,,,
South Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,,,,,,,,,,,,,,,,,,,,,,,22.51057173,,,,,,,
Sri Lanka,,,,,,,,21.82,,,,,,21.21,,,,,21.13,,,,,,20.5,,,,,
Sub-Saharan Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suriname,,,,,,,,,,,,,,,,,,,,,,20.85,,,,,,,,
Swaziland,,,,,,,,,,,,,,,,,,17.2,,,,,,19.36,,,,,,
Sweden,,,,,,,,,,,,,,,,,,,,,,,22.69780422,,,,,,,
Switzerland,,,,,,,,,,,,,,,,,,,,,,,22.62897685,,,,,,,
Syria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tajikistan,,,,,,,,,,,,,,,,,,,,,,22.19,,,,22.35,22.42,,,
Tanzania,,,,,,,,,,,,,,,22.23,,,,,,,,22.25,,,,,,,
Thailand,,,,20.69,,,,,,,20.26,,,,19.97,,,,20.85,,,20.74,,,21.05,,20.97,,,
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,21.29,,,,,,
Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.15,
Tonga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,,,,,,,,,,,22.62,,,,22.74,,,,,,,,,,,,,,,
Tunisia,,,,,,,,21.08,,,,,22.13,,,,,21.97,,,,,21.79,,,,,,,
Turkey,,,,,,,,,,20.27,,,,,,,21.56,,,,,,,,21.22,,,21.62,,
Turkmenistan,,,,,,,,,,,22.96,,,,,22.87,,,,,21.68,,,,,,,,,
Uganda,,,,,,,,,,,,21.61,,,20.29,,,,21.3,,,20.36,,,19.47,,,20.69,,
Ukraine,,,,,,,,,,,22.96,,,,22.92,,,,22.23,,,22.71,,,22.83,,,22.9,,
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,,,,,,,,22.47063178,,,,,,,,
United States,,,,,,,,,,,,,,,,,,,,,,,22.4060129,,,,,,,
Upper middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uruguay,,,,,,,,,,,,,,,22.22,,,,22.2,,22.15,,21.9,22.29,,,,22.16,21.83,
Uzbekistan,,,,,,,,,,,23.58,,,,,,,,,,22.35,,,,21.19,21.48,,,,
Vanuatu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venezuela,,,,19.38,,,,,,20.23,,21.96,,,,22.09,,,21.33,,22.18,,,,,22,,21.68,22.1,
Vietnam,,,,,,,,,,,,,,,,21.37,,,,,21.07,,,,21.17,,20.92,,21.6,
Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Bank and Gaza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yemen, Rep.",,,,,,,,,,,,,,,21.81,,,,,,22.78,,,,,,,20.95,,
Zambia,,,,,,,,,,,,,,21.4,,21,,,20.07,,19.61,,,,,20.64,20.62,,,
Zimbabwe,,,,,,,,,,,,,,,,,,19.29612609,,,,,,,,,,,,
