"Inflation, GDP deflator (annual %)",1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Abkhazia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.84535717,6.780487556,8.405297637,2.413906217,13.20827427,19.64346248,-1.162790698,3.682877957,
Akrotiri and Dhekelia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,-2.177360104,-0.01769448755,-0.01674705858,-0.02835413511,0.3511970932,-2.378000687,0.000028259267,0.000001563057168,-0.00000169676288,-0.4687076619,38.56834259,249.6834367,114.8356475,38.41649484,5.573307438,28.41848296,13.94310118,13.55600815,4.476068523,4.321511128,3.458280955,3.300195872,3.38348607,6.007744671,3.4692522,1.995241221,2.024081357,4.360904563,2.410882068,3.45934259,3
Algeria,3.471720042,2.351279502,0.5493313109,1.695183177,1.501331249,1.817814694,1.312040991,3.142056013,1.921084494,4.940445977,17.15196386,-4.606461074,9.627611595,48.89659052,5.914022113,10.8405927,11.92709947,10.08512101,13.98783797,25.86203875,14.35399954,1.93979417,6.804795897,8.433505552,4.972526406,2.405343265,8.842020401,9.060963496,16.01137351,30.25959848,53.78860423,21.92611451,13.62442466,29.07764734,28.5770375,24.02190406,7.001963063,-3.131088695,10.85640762,24.59809885,0.7112095185,1.906328849,8.323802693,10.62932921,16.45925846,11.28281156,7.331055187,14.60217944,-11.2666112,16.24561679,11.43116826
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,7.846020985,8.517923869,11.84959527,15.94510904,16.78178283,16.48992112,23.38307035,20.63104271,16.9316315,13.35482658,12.35119272,13.58232307,11.88424586,10.86473362,8.595479291,10.87881679,5.94419812,5.936126283,6.896194061,7.326251245,6.935139348,6.710771356,4.537241081,3.879842061,4.933129822,0.7971827779,2.228151491,1.499561642,2.731976912,4.513979824,2.770000016,3.399999944,2.88000003,3.349999989,3.10000004,3.200000015,3.869999963,3.185098698,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,-9.134626659,7.657675057,2.291487833,15.93478282,10.85862391,165.3995808,252.7404965,1253.280568,2124.607237,1895.206493,5399.526172,94.319571,35.31682521,556.9392569,418.2329539,108.4808937,120.5072557,102.5381077,42.70546347,25.95462455,13.04117969,12.61643248,19.68160897,-7.418838444,22.39392353,20.79303675
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,8.624839142,14.79493097,9.881084936,8.642933285,10.65256004,6.138670006,3.145482722,7.731961646,8.067865672,7.609987929,12.14881435,4.230264793,2.262468745,2.714202165,2.390414899,2.224074664,3.020838953,3.126899249,2.57501583,2.174710864,2.416086141,0.9695507837,21.31862218,-3.206067063,1.129317692,0.1926278474,-0.4076336728,6.310777326,0.3028479615,23.25831418,3.021692885,-0.01383262312,4.280005724,2.084274757
Argentina,20.31069753,28.87184161,25.59115435,28.77461735,21.23293492,25.60346242,29.01826295,10.27531054,7.795830055,6.46787461,31.27106389,64.24478595,65.53528737,30.63044136,197.6973645,438.3227798,159.4271777,161.372172,147.3770441,90.8408016,106.364099,207.6176814,382.3494348,606.7359412,625.8021403,74.4614934,127.0863764,388.491339,3057.628836,2076.793473,132.9532281,11.92076024,-1.466659949,2.849322534,3.16519186,-0.05242221331,-0.4639540284,-1.705205209,-1.836587325,1.037277263,-1.095778846,30.55528154,10.49560805,9.22065119,8.840489896,13.42627796,14.25823933,19.06845032,9.977458276,15.37617236,17.28051629
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.3861043,568.80733,1391.166461,4107.296786,161.1639176,19.5917703,17.73599451,10.69849775,0.0538040785,-1.373675997,4.06913994,2.369787813,4.561098398,6.309532717,3.239836251,4.619857667,4.232770382,5.989562361,2.556935052,9.169921916,4.220839999
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.703892153,8.649798797,8.497252448,-4.704039909,3.217726455,2.997850615,1.900997975,2.262272844,4.048308757,2.876975848,3.310844825,1.563895735,,,,,,,,
Australia,3.176990731,-0.2307348278,1.771539914,3.261038815,3.001705664,2.675988065,4.855185995,2.252635107,4.739351567,5.153081658,5.18860559,6.167764295,8.984071557,16.39310894,16.55645804,14.01607533,11.42059555,8.231886273,8.572129764,10.03457204,9.559542761,11.74870748,10.22275679,7.837041813,4.844526105,5.644512587,6.9943914,7.584514449,8.99657704,6.119758899,3.058849359,1.355950853,0.8266419209,1.045982516,2.025042588,2.224974865,1.103551552,1.139002468,0.1342288864,2.522461032,4.627978234,3.045679291,2.601926266,3.293192806,3.992859612,4.863432997,5.254860336,4.611955757,4.350026144,0.0939566257,6.328663141
Austria,5.087153717,3.340203214,3.678266121,3.183788219,5.321415449,3.122366081,3.247762568,2.838031951,2.733572877,6.326035588,6.204372191,7.599932114,8.045543182,9.502138739,6.457775888,5.624919099,5.216377532,5.898763775,4.105576895,5.52202472,6.683211812,5.336727525,3.457886854,4.9501088,2.987952233,2.969191439,2.413598824,1.526854868,2.964760925,2.999680436,3.641871515,3.479093093,2.75708462,2.5249429,1.813918042,0.8119760742,-0.2209019257,0.3203260604,0.2834210875,0.9192170182,1.873800687,1.23962702,1.149609794,1.683294977,2.039182059,1.884471834,2.004814637,1.763741978,1.045946825,1.784614873,2.107096952
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.54951234,1065.329225,747.5669814,1385.202032,545.6953039,26.42101273,9.240213747,-0.9639308853,2.161007814,12.49336892,2.5150101,3.119318388,6.008614239,8.315176683,16.13942229,11.30139726,20.98171009,27.73015196,-18.8476572,13.59874484,16.73912004
Bahamas,1.160600018,1.089633487,1.343761392,1.505302038,2.011727838,3.771319162,4.713070353,5.163480148,8.92538079,6.145346046,4.582544204,6.786653411,5.551025394,13.23271272,10.65637561,2.389659959,1.728707764,2.247885115,8.554092947,10.00686806,17.68832813,3.695011202,5.976965395,3.171435219,8.460725668,4.660385762,6.586348409,1.4843122,1.813171529,5.073711225,2.556538219,3.905565916,-0.8519836064,2.183366232,0.8024363588,0.9842437856,34.68761596,3.049312818,4.950940506,0.9218306645,0.3535906221,3.960818839,1.154613348,1.194487245,5.056827498,0.827967323,2.94752557,1.488889903,-1.641471586,0.5224099902,-1.396904602
Bahrain,,,,,,,,,,,,,,,,,,,,,18.91176992,13.72399111,-3.689967622,-0.4184805111,-1.824991528,-17.39265585,0.6590563234,2.009420405,3.974666911,4.826693103,-1.882527503,-3.532648806,-3.025816976,7.331188876,1.090671204,0.1967211678,0.9317152921,-7.057408755,2.656430684,14.3225249,-4.898544796,1.739601229,7.08649012,9.153437513,11.13060553,10.39484718,7.544006513,11.54122563,-14.44990137,13.65793617,
Bangladesh,6.257481632,0.02222361547,5.164058877,-8.743224697,7.931705028,6.29618902,14.79196339,-5.76958432,11.82771554,0.5103091158,2.963254942,4.402019656,61.40578344,44.54271676,80.56975637,-17.63041926,-3.210155926,25.61888559,12.56450596,17.55506712,10.52792557,9.687499283,8.515265824,14.04688355,11.14965706,8.001182335,10.88005368,7.600678225,8.500223397,6.335597185,6.596235171,2.976369766,0.2869699432,3.771827247,7.345332195,4.234503616,3.090097174,5.274366309,4.65573068,1.85966087,1.585394615,3.195375137,4.527629598,4.240428765,5.074714915,5.172373514,6.786450298,8.789101226,6.520954326,6.473622698,6.334585964
Barbados,-0.9479993246,-4.635720864,18.53473509,-5.377452177,-5.045227768,3.633466664,1.64735579,7.77304229,4.590911163,7.344036454,6.812460433,9.89330321,22.77413437,31.42139415,11.73153132,7.597414867,8.991572985,5.449933699,12.60791871,22.56438295,13.70025356,9.993573946,5.98032948,5.448014762,4.120623115,0.3344107128,9.004517846,0.10962081,5.275106917,5.451061361,1.598211694,-1.471559103,2.886107662,1.200144011,6.074670393,4.735457064,3.918372262,3.593360106,1.754391529,0.752583437,5.131150417,0.5064272973,6.693015501,1.066172297,3.12738387,2.675648064,6.333394415,7.462771169,3.438651845,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.5979093,1074.141207,1053.449039,1945.10711,661.4930041,53.71500098,71.64945098,76.58040936,316.7933311,185.2907983,79.53457252,44.8937391,30.68532136,22.67512265,18.92769631,10.75063747,12.82355328,21.1604911,5.722285903,11.11354358,58.36758539
Belgium,1.315468694,1.667691946,3.0257967,4.642426558,5.100712937,4.086014933,3.193430937,2.620289277,4.023826311,5.192744414,5.358216187,6.317820159,6.806986841,12.16834094,12.88972137,7.575264201,7.478059598,4.423249721,4.505241987,4.126596508,5.139197056,7.570416777,5.612849386,5.438717464,4.627742984,2.796780398,1.684110733,2.168990159,4.797457827,2.812403204,2.876624556,3.424524548,3.993231842,2.094305074,1.220769439,0.3723559077,0.8713228726,1.870343345,0.3141689705,1.97854637,2.050503507,2.006552442,1.982859128,2.141731167,2.369067208,2.292800897,2.339240318,2.157311729,1.219163647,1.800731314,1.883163005
Belize,1.76304982,1.356746764,0.9376921146,2.13632411,5.610555922,5.773905305,3.122442341,1.679364958,0.2159235021,7.369642902,5.063902635,-1.235230551,14.67629247,21.71061119,16.87729584,1.157469521,2.24249405,7.349191907,3.585439989,11.39851715,-2.212020183,-6.812340536,7.70767049,9.444440341,-1.876611145,4.175697248,9.133531755,4.238187856,1.973183088,2.813281688,-2.560713246,3.99349621,1.651519836,3.588105035,6.07898133,1.968710124,-1.477014635,1.503097638,-2.23524903,0.475941424,-0.169352226,1.787929854,-3.081106804,2.170941345,2.442931131,3.97293024,3.854612357,3.1914144,-1.063439677,0.9278009626,3.14761165
Benin,1.041435565,3.780561145,2.549041117,-0.3636718781,2.057620464,1.136665494,0.1410724297,3.273525059,3.454195437,5.047046906,1.573283867,5.317226067,4.822739903,14.9207099,14.24693575,14.03543003,5.176886815,12.33445898,13.00468584,10.18781985,7.468948242,16.14828403,4.74620974,1.953580957,-4.87698174,-3.604172574,3.028459824,-0.6105068753,2.224934438,1.554170993,0.7024456855,3.361901295,1.162444735,33.50397662,15.36765242,6.707411708,4.991373577,4.657134597,1.936657706,3.230921129,3.140828112,7.697291716,1.716109497,0.2905762552,2.785745965,5.164278886,2.641755752,7.121005393,0.09919136439,1.421246318,2.786178414
Bermuda,0.9390365164,0.9765445376,1.270801433,0.4610530367,1.461122997,2.608611012,3.480335622,8.98161461,6.281063123,6.269519406,9.546211565,9.525770761,12.81220965,14.98394773,6.357027204,2.783649201,9.269101095,4.918710256,6.415363402,9.854087069,17.7093913,12.20859197,10.99738108,10.29655249,7.61408817,5.835136713,6.48815418,4.893013972,5.636713147,6.03357231,6.430590524,2.813883984,5.196304339,1.959564202,4.178463534,29.36469989,4.02390394,2.7415512,2.71214952,-4.236355416,-0.7190513905,8.625624162,2.761042858,4.412724517,6.446377576,5.298942454,5.779270256,2.686393411,-0.1492967222,1.202668592,
Bhutan,,,,,,,,,,,,,,,,,,,,,,6.188558144,7.328409478,8.238537015,8.014560477,6.742144803,3.54302216,6.891237597,9.617967559,6.417925654,7.20283974,9.25299591,8.707362601,10.75345379,10.2922046,8.081613694,10.77234825,11.67116533,8.908369611,4.682623055,4.541995456,5.286033213,6.301076256,1.81169514,6.119133782,5.411490165,3.110373815,5.693203688,4.845184172,5.389240333,4.88
Bolivia,6.557893657,3.569998775,1.181318924,7.519264989,5.016518836,2.698318711,2.007867113,-4.544051084,2.945773369,5.972764461,2.505908117,18.99603338,42.95016533,61.53956842,6.695277658,8.602893982,12.53650127,14.1038108,19.79717364,25.0489447,29.48603458,158.2827498,265.1979605,1443.397382,12338.66166,230.0183925,13.97289978,18.1847331,13.18642458,16.26794516,17.68944165,13.19920412,6.557156878,7.952206429,11.42728028,11.5802096,5.705043596,7.051126921,2.411566068,5.195404998,1.870093637,2.820757423,6.329992255,7.967709556,5.940797592,13.66367967,7.373353693,10.38118174,-2.419894167,8.777507333,16.94763202
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.84743106,-17.0567633,13.01148126,-1.581924903,8.355650811,28.79013615,2.961962476,4.461583053,0.9123847683,2.572497624,3.877627304,5.728490243,5.717792306,7.556584433,0.05194539258,1.40488499,1.777682829
Botswana,1.934037793,1.36069627,1.17652405,2.547776727,3.846149006,5.788745408,7.581547899,2.166149017,1.584357664,5.978592913,4.664177926,10.77542314,9.906613733,12.79692267,16.46728297,11.31552941,4.937383152,12.46681146,21.85636182,10.19028256,-0.0883229557,3.695418551,8.745485009,15.42698523,22.89365944,14.06125015,12.69406985,22.69705947,13.64877708,6.300018225,5.177710379,6.639280701,13.06576571,11.54010708,8.779990952,14.23400901,7.581885634,4.900421655,17.71409825,0.03803923146,18.44764627,0.3293307725,-2.28333272,11.16228434,9.341648209,19.22618138,10.36787288,17.32000786,-5.494677648,14.62463266,13.31740108
Brazil,31.30252874,78.83075822,69.7663875,93.83467917,51.38486785,39.40589028,29.24483651,26.67067907,20.91402267,17.09228478,20.25389291,19.14440791,22.66485302,34.80018571,33.8622773,47.62698515,46.17956527,41.0598003,56.48057421,87.30687534,107.2140338,104.8323636,140.1956279,212.7857817,231.7234991,145.2715422,204.103425,651.1138556,1209.121328,2735.488461,414.2355958,968.1842329,2001.348192,2251.704028,93.52197475,17.08537466,7.644878423,4.233372782,8.481789972,6.175233636,8.971048047,10.5532718,13.72379292,8.037821902,7.209551622,6.151590473,5.868427892,8.332879387,7.185146468,8.228535058,6.968884752
British Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei,,,,,,,,,,,,,,,5.518963058,5.627127926,8.381098134,-2.171429375,12.67189038,86.1139664,9.021594961,-4.838443792,-11.42003442,-1.27417168,-2.46494113,-31.90474776,10.72996077,-7.66907225,8.6980491,8.409963522,-2.837280719,1.7268761,-2.951490588,-8.763625914,2.872997772,4.488755258,8.58485356,-11.64857397,11.59397764,29.01570941,-5.591899047,0.3742091704,6.104611343,15.88616506,18.76631954,10.04772089,1.119900223,12.69238156,-22.09025444,5.307903302,
Bulgaria,,,,,,,,,,,,,,,,,,,,,2.820937728,1.916472076,-0.645273735,2.736752057,0.2291759614,1.34548785,0.06383469984,-5.389736036,6.72968454,26.1879902,226.5378747,59.5786492,51.09105379,72.70496887,62.37655806,98.03069068,987.0707683,29.6722235,3.694690399,6.603837376,6.177593352,4.670399712,2.27267173,4.17276241,7.385141362,6.838570582,9.233535289,8.41565821,4.333600079,2.793715946,4.95805149
Burkina Faso,1.90060828,2.010371479,5.147524778,1.812216622,-0.6560720648,2.303116971,-4.41100843,-0.2638787098,6.913154219,1.783427175,3.377475359,7.296645309,2.677858905,11.01470941,8.176155951,6.725505699,18.6619763,14.53232551,7.753525505,8.694368539,13.58461938,9.046516426,5.409316973,6.501085279,0.7570667054,-6.345676869,1.237323168,3.408556605,4.831620415,1.810015424,-3.967780751,0.2270596141,-1.441839772,14.63896188,6.769569032,0.3487051497,1.556199852,7.940316032,4.436483919,-1.66466935,4.004497546,6.208260974,0.1877758902,3.928373575,-1.74255292,-0.6596318505,2.2585138,9.161945647,2.376402765,2.780587949,5.579741706
Burundi,20.07743669,-3.567416424,4.687149147,5.417217648,-1.0293639,3.152033975,-5.317986169,3.056813144,5.361879834,5.184511814,1.380218946,4.29080997,5.510442466,12.45517764,21.08690579,8.074948245,14.3041256,12.50770523,26.13070761,16.38402436,-6.06331508,5.672021545,6.428548805,17.21619498,5.06883898,-4.25741424,-3.417795075,3.491222705,14.75718482,5.985561542,4.093140784,5.401760708,7.742645676,6.638445472,16.10271173,14.4531114,32.39778924,11.450556,14.95414026,33.3341337,11.13429402,1.804746173,14.60035811,14.85609774,21.0267337,-0.07522234399,7.046025528,28.16345618,12.30372325,7.638175881,12.85446222
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.414240047,11.51550497,3.506714886,4.386019414,10.01366032,1.981472004,-3.203624689,2.642828065,0.7161440092,1.797522489,4.823738427,6.076679944,4.629918831,6.519244229,12.25378661,2.504384662,3.12059287,3.86723924
Cameroon,5.064449135,3.109959023,-0.2641190392,4.421033332,2.752431721,0.1883767199,23.62918507,5.750729937,5.301961388,7.88400338,3.440124678,7.976383444,6.529533055,10.65609286,5.990072828,19.67444351,5.884773828,3.40980664,12.85276675,14.24589464,8.800193826,12.48195145,12.76307193,13.55219179,11.18712788,0.1792356874,-2.392309149,0.813898665,-1.819083162,1.643098433,3.568713526,-1.277671029,16.09865629,14.38314277,9.484305402,2.692379224,3.737742185,3.662232212,1.948567725,2.840067593,2.178500105,3.247868025,0.3580987197,1.507970732,2.631211787,3.941472397,2.03,4.197871097,-3.390465227,3.005152663,3.970791268
Canada,0.4580745414,1.414210834,2.061158446,2.599249377,3.359587158,4.980626773,4.401584956,3.635828763,4.505785272,4.817902836,4.831854525,5.900125293,9.686715643,15.19809743,10.69515385,9.496907404,6.796543933,6.602965662,9.985515375,10.07159874,10.77663488,8.47996685,5.434162394,3.279553736,3.108151099,3.029098477,4.605398516,4.489146489,4.541753643,3.17503766,2.954961285,1.31836544,1.440024668,1.148580171,2.259062729,1.617254917,1.204250722,-0.4276176154,1.745452333,4.13230364,1.1194761,1.091829957,3.284800169,3.187801554,3.306000112,2.674156024,3.189254992,4.109690014,-1.925715388,2.944408564,3.251443472
Cape Verde,,,,,,,,,,,,,,,,,,,,,9.577975197,17.39334906,10.56381821,8.766593709,3.666657794,17.69339581,6.962385359,5.411607842,3.584859024,2.345310345,4.792418793,3.228964465,51.29954766,-21.05629561,4.608155081,3.790894067,2.369797201,3.437091999,6.998770171,-1.875553206,1.285523412,-0.3931164178,4.412979812,-1.017653227,-1.433885911,2.589558436,1.365374447,3.218164911,4.215506774,3.32243023,3.930856515
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.097803187,,,,,,,,,,,,,,,,,
Central African Republic,4.635119208,4.88857261,4.674721215,7.541932729,5.039148776,4.475187285,-0.7743238705,16.17230524,-3.852565528,4.49079276,4.938346516,4.644148755,2.199661984,5.380893606,19.32619636,25.99671814,11.37241327,9.228406599,10.92655836,18.26533087,13.87279435,20.91430031,11.10280175,1.419560014,34.14509885,-3.60991902,-1.242341217,3.15851621,3.862957671,2.265910807,-1.636314675,2.397836415,-3.438422379,22.75262921,10.30502411,1.8229181,1.368427899,0.9869745485,1.13417483,3.155449656,3.558353167,2.99825531,-1.332251082,0.2977227723,3.681835937,4.474470135,1.521765422,7.083423775,3.532736276,1.775111171,0.8413642988
Chad,5.062827807,1.534580028,5.642064964,8.231251669,5.665701634,5.982875188,3.279287848,2.031464923,2.067339831,3.859552134,8.99174877,5.553683665,6.713594318,3.7356935,8.220700514,8.44952544,8.618019484,9.899775688,8.189757957,8.734904465,8.054758275,9.220783631,0.01212696463,24.06635311,-5.113194823,-16.93282609,-3.133081809,9.361930419,-1.252610644,8.012329031,3.073498959,-12.90655383,-1.314603714,43.54496377,8.83312727,11.45845494,3.782785468,6.749408828,-7.572866282,5.289804857,13.79765276,1.907819434,0.0790046962,9.734256482,2.193227951,13.80712795,5.085636276,11.9427083,-9.59894806,11.94266842,2.633950375
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.909630979,3.892317592,3.301635531,4.382725567,4.353715494,3.797571335,2.504709657,3.278931607,3.336333251,,,,
