Youth (15-24) literacy rate (%). Total,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Afghanistan,,,,,30.0663526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,99.43515144,,,,,,,98.83120696,,,98.79119016
Algeria,,,,,,,,,,,,,74.32726689,,,,,,,,,,,,,,,90.13720962,,,,91.77964052,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,72.19449066,,,,,,,,,,73.03646
Anguilla,,,,,,,,,,99.11373708,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,,,,,,96.88254343,,,,,,,,,,,98.3046407,,,,,,,,,,98.9166583,,,,,,,,,,99.21508
Armenia,,,,,,,,,,,,,,,99.90996264,,,,,,,,,,,,99.80728398,,,,,,,,,,99.75676
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,99.02641305,,,,,,,,,,99.13841245,
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,99.88609668,,,,,,,,100,,99.95129607,,
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,,,,,,,86.29309,,,,,,,,,,96.9381052,,,,,,,,,,97.0247105,,,,,,,,,98.16359609,
Bangladesh,,,,,,,35.65324724,,,,,,,,,,44.68082553,,,,,,,,,,63.6227346,,,,,,,,,,78.70577
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,,,,,,,,,,,,,,,99.76628353,,,,,,,,,,99.7918421,,,,,,,,,,99.82321348,,
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belize,,,,,,,,,,,,,,,,,76.42047559,,,,,,,,,,,,,,,,,,,,
Benin,,,,,29.78674335,,,,,,,,,,,,,39.87661252,,,,,,,,,,45.3096249,,,,42.36270388,,,,,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.40520688,,,,,,
Bolivia,,83.55197987,,,,,,,,,,,,,,,,93.89611262,,,,,,,,,97.32378032,,,,,,99.44135796,99.12249885,99.38397402,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,99.79393031,,,,,,,,,,,99.6976
Botswana,,,,,,,,,,,,,,,,,89.25829854,,,,,,,,,,,,93.95744104,,,,,,,,95.21442
Brazil,,,,,,83.91426755,,,,,,,,,,,,,,,,,,,,94.18411488,,,,96.84385989,,97.58229825,97.80063012,97.84362979,98.06553602,97.51412486,
British Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei,,,,,,,93.68100583,,,,,,,,,,98.09566621,,,,,,,,,,98.89378705,,,,,,,,,,99.74533
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,98.21247652,,,,,,,,,,97.86505416
Burkina Faso,14.37751762,,,,,,,,,,,,,,,,20.18028878,,,,,19.41415165,,,,,,,31.22926016,,32.96661842,,39.25778015,,,,
Burundi,,,,,30.97658554,,,,,,,,,,,53.55520606,,,,,,,,,,73.33005894,,,,,,,,88.88636685,,,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,76.31820677,,,,,,83.38286475,,,,87.47137741,87.13245796,,
Cameroon,,68.81703268,,,,,,,,,,,,,,,,,,,,,,,,83.09828596,,,,,,,83.13557329,,,80.57444119,
Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cape Verde,,,,,,,,,,,,,,,,88.16790464,,,,,,,,,,,,,,97.11791,,,,,,,98.43517
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.90681936,,,,
