Suicide women age adjusted,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.630155563
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.060874939
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.600764751
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.902797222
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.143819809
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,,,,,,,,,,,,,,,,,3.773803,4.522207,4.950262,4.47279,5.086274,,,,,,,4.095239,4.20104,3.768375,3.895963,3.973988,3.379611,3.553246,3.264729,3.57422,4.305565,4.496664,4.194231,3.802261,3.655709,2.975335,2.9983,2.870972,2.945701,2.831591,2.955786,3.053083,2.805949,2.604184,2.917899,3.537312,3.624188,3.470717,3.28949
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.542518139
Australia,4.559263,4.573612,5.168044,5.885497,5.378865,5.318667,5.7286,6.757056,6.139689,5.798526,6.195316,6.841145,8.803148,10.87834,10.17107,11.19239,10.9659,11.42143,8.789992,8.080665,7.769779,9.616284,8.662896,7.727494,7.592533,7.196371,5.920273,6.31923,6.624237,6.605552,5.547964,5.491399,5.708966,5.029721,5.075873,5.098112,5.602667,5.035711,5.167239,4.624014,4.798937,5.228232,4.89091,4.123482,4.31111,4.759037,4.651205,5.565905,5.183353,4.872392,4.892426,4.904302,4.672353,4.357681,4.001978
Austria,,,,,,13.03628,12.27382,12.48098,12.57883,12.87934,12.32755,11.31911,10.88243,11.50477,10.76881,11.91786,11.47748,10.59512,10.37276,11.80839,11.48161,11.95893,11.69622,10.86969,11.7306,11.20179,10.42361,12.14137,11.56861,11.96192,11.6723,12.16062,11.47526,12.00734,11.55282,12.29975,12.68535,11.83288,10.14236,11.04587,10.01155,8.896665,9.188734,8.58971,9.264556,8.037958,7.675908,7.532901,6.980475,7.582592,7.811996,7.079841,6.394913,6.941166,5.982184
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.826715,2.853445,,,2.51677,2.680833,2.909419,2.534463,2.491978,0.832518,1.008676,1.089356,1.028466,0.5496479,0.1800632,0.3849193,0.6182882,0.4200949,0.3348784,0.3883553,,,,0.5458435416
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.609110832
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9027397,,1.102464,0.6495454,,,,,,,,,,,0.9799417,0.3023646,0.9313131,,,0.739074409
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.39273071
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7069479823
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.598261,7.861515,,,7.038442,6.212348,7.177848,6.634208,7.002693,6.732969,6.723573,7.351676,8.073069,8.660213,7.978991,,8.894451,8.242284,8.470365,7.625254,7.420166,7.895929,8.071535,8.473065376
Belgium,,,,,5.845822,5.675556,6.93027,6.829298,6.465755,5.952488,6.432151,6.508991,6.070828,7.051043,6.545495,7.809211,7.103776,7.427735,8.124631,7.336564,9.104628,7.747962,8.350213,7.426606,8.438783,9.46524,9.491047,11.14024,11.76284,12.22354,13.27547,12.13564,11.46261,13.17877,12.49918,12.08548,11.64273,11.00628,10.16998,9.148507,9.330912,8.275788,8.604388,9.10681,9.127212,9.434156,,,8.5783,7.752482,,,,,8.197042
