Male agriculture workers (%),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Algeria,,,,,,,,,,,,,,,,,,,,,,22.5,,22.79999924,20.39999962,,,
American Samoa,,,,,,,,,,,3.799999952,,,,,,,,,,,,,,,,,
Anguilla,,,,,,,,,,,,,,,,,,,,3.299999952,,4.800000191,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,4.099999905,,,,,,
Argentina,,,,,,,,,,,0.5,0.5,0.400000006,0.5,0.6000000238,0.8000000119,1.100000024,1.100000024,1.100000024,1.100000024,1,1.200000048,1.299999952,1.700000048,1.399999976,1.5,1.200000048,
Armenia,,,,,,,,,,,,,,,,,,,,,,6.599999905,47.59999847,48.29999924,48.79999924,46.09999847,46.29999924,
Aruba,,,,,,,,,,,,,,,0.1000000015,,,0.6000000238,,,,,,,,,,
Australia,7.800000191,7.599999905,7.699999809,8,7.5,7.400000095,7.099999905,6.900000095,7,6.400000095,6.699999809,6.5,6.300000191,6.599999905,6.199999809,6,6.199999809,6.300000191,6,6.099999905,6.099999905,5.900000095,5.599999905,5,4.599999905,4.599999905,4.400000095,4.300000191
Austria,,,,8.300000191,8.5,8,7.599999905,7.699999809,7.400000095,7.099999905,6.800000191,6.599999905,6.400000095,6.199999809,6.599999905,6.599999905,6.400000095,6.099999905,6,5.699999809,5.599999905,5.400000095,5.5,5.5,4.900000095,5.5,5.400000095,5.599999905
Azerbaijan,,,,,,,,,,,,,,,,,,,,37.5,36.40000153,37.40000153,40.90000153,35.70000076,40.90000153,41.09999847,36.20000076,35.20000076
Bahamas,,,,,,,7.800000191,,,6.400000095,,8.600000381,8.600000381,9,8.800000191,7.300000191,8.100000381,6,6,6.699999809,,6.800000191,5.599999905,5.300000191,8.199999809,6.400000095,4.400000095,4.199999809
Bahrain,,3,2.900000095,,,,,,,,,2.900000095,,,,,,,,,,1.899999976,,,,,,
Bangladesh,,,,,63.5,62.29999924,62.29999924,,,60.40000153,,54.40000153,,,,,54.40000153,,,,53.29999924,,,49.79999924,,41.79999924,,
Barbados,,9.800000191,8.699999809,8.300000191,10.19999981,9.399999619,8.800000191,9,8.699999809,6.599999905,6.900000095,6.400000095,8,6.300000191,6,5.5,6.099999905,6.5,5,5.199999809,4.099999905,4.800000191,4.900000095,5.300000191,4.199999809,,,
