"Traffic mortality women, per 100,000, age adjusted",1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.31853676
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.951863766
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.395257
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.863731861
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.47616959
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.354257226
Argentina,,,,,,,,,,,,,,,,,5.617487,7.017666,7.097224,7.491294,8.835374,,,,,,,7.519477,6.730047,6.985015,6.660608,6.586998,5.776369,5.616181,5.437478,4.080531,4.89392,4.986964,4.632147,4.758113,4.357415,4.670053,4.786501,4.818232,5.797083,5.012285,4.618236,4.415614,5.203987,5.310938,4.447693,4.482407,3.439907,3.98837,3.709095
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.460956097
Australia,7.044019,8.593635,8.879461,8.540795,9.8181,9.122628,10.48376,9.646798,10.31532,10.76019,13.07242,11.53881,11.66828,11.37873,13.25612,13.74445,14.7606,14.05741,13.89621,15.79483,16.38651,14.67059,14.40909,14.83633,14.7894,13.29127,13.34324,13.80328,14.32814,13.27391,12.43564,11.16076,10.89241,9.668471,10.52172,10.16811,10.08868,9.724206,9.732908,9.561001,7.889551,6.901355,6.813661,6.050474,6.317564,6.164235,5.709225,5.613303,5.198358,5.29873,5.179501,4.475452,4.433226,4.030836,3.798963
Austria,,,,,,2.847322,6.827446,9.344455,9.229872,10.0042,9.342082,8.415383,8.658894,8.684961,10.77897,9.46877,11.542,12.5244,12.97871,12.76595,13.57709,14.19469,16.23453,15.72271,12.99289,14.11899,12.35757,10.70369,12.14312,11.04149,10.17254,9.308348,10.00073,10.86781,8.912902,7.732352,7.79922,8.025652,8.766707,7.642265,7.690636,7.281695,7.08971,6.993472,6.462934,5.985532,5.76155,5.739533,4.991028,5.952496,4.626104,4.888726,5.100117,5.177386,4.006161
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.205868,5.014711,,,5.20325,6.046103,5.50022,6.253676,5.834381,5.569854,4.681516,5.077929,4.699393,0.9154313,1.34343,2.476557,2.429161,2.084273,1.951206,2.10181,,,,2.121788502
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.53182125
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.172885,,9.916742,4.88488,,,,,,,,,9.463433,3.989084,5.793491,1.786605,4.192376,,,2.642991066
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.59302616
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.210318327
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.042492,5.45461,,,4.799745,4.989169,4.678367,6.402119,7.231849,8.36851,10.06977,7.77385,6.145299,5.688076,7.45801,,7.5512,8.128479,6.818172,6.782734,6.221629,9.095198,8.998415,9.410884857
Belgium,,,,,4.297674,3.796922,5.422304,5.070681,6.846319,6.192981,7.370664,7.055009,7.031546,7.135947,9.657481,10.88911,10.63072,11.5503,12.77339,13.44943,14.3564,14.70839,14.35382,13.33762,12.79516,11.4782,12.16371,12.51876,11.48729,11.10854,11.22955,11.40172,10.87187,11.3674,8.526805,8.460982,9.482338,9.330828,8.939464,9.102776,8.635081,8.048223,7.852846,7.645362,8.331779,7.471126,,,8.131812,7.183653,,,,,4.351433
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.3597374
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.71550846
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.223636627
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.512365341
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9247131944
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.49146843
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.310999,7.535803,8.128942,8.941781,10.55097,9.51814,9.434113,9.466074,9.207471,8.757377,8.023788,8.256008,8.613194,9.40835,8.783416,8.6281,7.541817,6.872519,6.236397,6.152452,6.453258,6.652954,6.83159
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.06802177
Bulgaria,,,,,,,,,,,,,,,2.797915,2.709805,4.900029,4.643949,5.488084,5.446409,5.25147,5.358913,5.446271,5.335803,4.712379,5.755373,5.941767,5.92192,6.911451,6.650916,6.26192,6.602799,6.904005,5.039784,6.053138,5.584856,5.845845,5.790611,5.74185,6.393651,6.654893,4.868762,5.923268,5.039941,6.135895,6.06207,4.96057,4.109275,4.547207,4.827271,4.946578,5.367461,4.97553,4.716942,4.840173
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.32081413
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.67861366
