Population density (per square km),1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Argentina,6.168,6.296,6.425,6.554,6.682,6.809,6.933,7.056,7.177,7.298,7.418,7.539,7.66,7.781,7.9,8.019,8.136,8.252,8.37,8.494,8.626,8.767,8.917,9.071,9.227,9.379,9.528,9.675,9.82,9.967,10.118,10.272,10.431,10.591,10.754,10.917,11.081,11.247,11.412,11.576,11.74,11.902,12.063,12.222,12.38,12.536,12.691,12.845,12.996,13.142,13.283,13.416,13.544,13.668,13.79,13.912,14.035,14.159,14.284,14.409,14.535
Armenia,45.42,46.409,47.648,49.095,50.711,52.467,54.337,56.303,58.352,60.476,62.664,64.907,67.187,69.477,71.749,73.982,76.157,78.276,80.357,82.429,84.51,86.607,88.707,90.791,92.835,94.82,96.739,98.597,100.401,102.167,103.903,105.567,107.144,108.698,110.322,112.052,113.977,116.009,117.8,118.883,118.949,117.854,115.77,113.1,110.421,108.16,106.449,105.196,104.332,103.712,103.225,102.88,102.72,102.703,102.772,102.884,103.015,103.16,103.325,103.523,103.761
Aruba,211.478,212.572,216.478,223.061,232.028,242.939,255.194,268.022,280.556,291.867,301.161,307.978,312.372,314.989,316.839,318.678,320.633,322.511,324.378,326.25,328.144,330.217,332.494,334.656,336.244,336.967,336.606,335.367,333.933,333.222,333.883,336.5,340.817,345.6,349.072,350.167,348.028,343.5,339.272,339.033,345.261,359.122,379.367,403.183,426.456,446.239,461.494,473.117,482.372,491.344,501.506,513.128,525.533,538.194,550.256,561.089,570.617,579.028,586.256,592.289,597.156
Australia,1.056,1.085,1.112,1.137,1.163,1.19,1.217,1.245,1.273,1.301,1.329,1.356,1.382,1.409,1.437,1.467,1.501,1.536,1.573,1.609,1.644,1.678,1.71,1.74,1.768,1.794,1.817,1.838,1.858,1.878,1.9,1.925,1.952,1.981,2.011,2.043,2.075,2.11,2.144,2.177,2.208,2.237,2.264,2.29,2.315,2.341,2.367,2.393,2.42,2.448,2.476,2.504,2.532,2.563,2.597,2.636,2.68,2.728,2.779,2.829,2.877
Austria,82.717,82.649,82.633,82.659,82.718,82.809,82.934,83.101,83.323,83.613,83.983,84.435,84.958,85.528,86.108,86.671,87.204,87.708,88.18,88.621,89.03,89.41,89.753,90.041,90.252,90.373,90.398,90.339,90.229,90.111,90.019,89.966,89.952,89.979,90.045,90.148,90.282,90.455,90.69,91.023,91.47,92.055,92.755,93.487,94.138,94.632,94.928,95.06,95.115,95.217,95.456,95.858,96.39,97,97.612,98.168,98.657,99.094,99.475,99.807,100.094
Azerbaijan,33.441,34.237,35.158,36.173,37.261,38.406,39.602,40.849,42.152,43.524,44.971,46.494,48.076,49.686,51.279,52.823,54.306,55.731,57.101,58.429,59.723,60.984,62.21,63.402,64.561,65.693,66.797,67.878,68.951,70.034,71.137,72.269,73.427,74.609,75.809,77.023,78.243,79.471,80.713,81.98,83.276,84.614,85.981,87.322,88.565,89.663,90.592,91.382,92.098,92.833,93.657,94.59,95.615,96.729,97.918,99.167,100.482,101.859,103.275,104.695,106.094
Bahamas,5.699,5.763,5.867,6.007,6.181,6.385,6.621,6.889,7.189,7.523,7.892,8.295,8.725,9.176,9.635,10.092,10.548,10.997,11.431,11.836,12.204,12.529,12.815,13.078,13.337,13.609,13.899,14.202,14.518,14.843,15.175,15.516,15.866,16.219,16.566,16.901,17.221,17.527,17.827,18.135,18.456,18.796,19.15,19.506,19.846,20.16,20.441,20.696,20.938,21.184,21.448,21.733,22.035,22.352,22.679,23.012,23.351,23.697,24.042,24.381,24.707
Bahrain,166.588,168.386,172.287,177.813,184.542,192.105,200.186,208.52,216.896,225.156,233.177,240.892,248.262,255.288,262.007,268.517,274.833,281.14,287.922,295.808,305.3,316.329,328.898,343.614,361.215,382.075,406.693,434.523,463.618,491.326,515.788,536.13,553.004,567.96,583.327,600.762,620.814,642.856,665.971,688.754,710.218,730.094,748.841,767.092,785.777,805.575,828.406,854.447,880.745,903.12,919.586,925.807,925.173,932.513,967.954,1044.39,1169.179,1333.909,1516.367,1685.271,1818.206
Bangladesh,263.161,271.618,279.223,286.517,293.914,301.701,310.035,318.942,328.341,338.063,347.935,357.862,367.903,378.299,389.388,401.337,414.458,428.498,442.39,454.69,464.459,471.182,475.436,478.711,483.114,490.161,500.381,513.311,528.246,544.054,559.9,575.589,591.372,607.368,623.817,640.867,658.52,676.602,694.887,713.077,730.955,748.404,765.466,782.271,799.032,815.893,832.85,849.806,866.702,883.449,899.959,916.295,932.419,948.032,962.745,976.319,988.58,999.714,1010.28,1021.057,1032.599
Barbados,490.686,501.565,510.667,518.016,523.707,527.905,530.849,532.844,534.251,535.46,536.816,538.544,540.674,543.014,545.244,547.142,548.633,549.867,551.102,552.691,554.867,557.77,561.267,564.998,568.449,571.27,573.309,574.716,575.788,576.979,578.595,580.735,583.277,586.086,588.94,591.672,594.26,596.749,599.119,601.367,603.491,605.467,607.293,609.035,610.784,612.595,614.505,616.484,618.467,620.367,622.119,623.702,625.147,626.486,627.784,629.077,630.377,631.67,632.977,634.302,635.653
