Population density (per square km),1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Croatia,68.101,68.55,68.993,69.415,69.804,70.156,70.472,70.757,71.023,71.283,71.549,71.83,72.121,72.41,72.673,72.9,73.082,73.232,73.372,73.534,73.742,74.003,74.309,74.654,75.023,75.406,75.799,76.203,76.61,77.015,77.41,77.799,78.18,78.536,78.842,79.087,79.241,79.317,79.39,79.562,79.897,80.443,81.152,81.874,82.398,82.582,82.364,81.81,81.056,80.301,79.69,79.267,78.991,78.825,78.7,78.566,78.421,78.284,78.149,78.016,77.883
Cuba,53.4,54.572,55.723,56.837,57.908,58.942,59.953,60.964,62.01,63.128,64.347,65.684,67.128,68.639,70.156,71.638,73.062,74.438,75.784,77.13,78.494,79.884,81.278,82.631,83.879,84.979,85.921,86.722,87.401,87.987,88.509,88.961,89.351,89.743,90.217,90.827,91.602,92.519,93.509,94.476,95.348,96.103,96.762,97.335,97.851,98.328,98.765,99.154,99.507,99.84,100.164,100.488,100.806,101.1,101.343,101.517,101.615,101.647,101.631,101.592,101.55
Cyprus,53.401,54.089,54.765,55.501,56.34,57.29,58.328,59.399,60.42,61.295,61.939,62.314,62.455,62.479,62.556,62.81,63.28,63.928,64.706,65.531,66.343,67.126,67.9,68.669,69.452,70.254,71.093,71.957,72.791,73.52,74.101,74.507,74.78,75.035,75.428,76.073,77.007,78.201,79.616,81.191,82.874,84.66,86.554,88.516,90.499,92.468,94.398,96.288,98.158,100.044,101.967,103.933,105.921,107.895,109.805,111.616,113.314,114.909,116.42,117.876,119.3
Czech Republic,112.549,113.575,114.581,115.55,116.472,117.336,118.139,118.877,119.553,120.171,120.735,121.249,121.716,122.135,122.502,122.82,123.088,123.317,123.54,123.798,124.12,124.512,124.965,125.484,126.068,126.711,127.425,128.192,128.95,129.61,130.114,130.436,130.595,130.635,130.624,130.612,130.607,130.599,130.598,130.609,130.636,130.692,130.775,130.854,130.887,130.846,130.728,130.55,130.331,130.098,129.877,129.659,129.454,129.325,129.354,129.595,130.079,130.773,131.582,132.373,133.048
Czechoslovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,99.046,99.97,100.823,101.607,102.331,103.006,103.647,104.272,104.905,105.565,106.274,107.04,107.861,108.718,109.583,110.435,111.267,112.079,112.869,113.634,114.371,115.076,115.742,116.362,116.925,117.423,117.859,118.233,118.535,118.752,118.88,118.916,118.873,118.787,118.705,118.664,118.675,118.737,118.859,119.045,119.298,119.623,120.018,120.466,120.947,121.441,121.948,122.467,122.979,123.462,123.904,124.288,124.623,124.947,125.314,125.759,126.297,126.912,127.566,128.205,128.792
Djibouti,2.672,2.736,2.803,2.873,2.946,3.025,3.112,3.213,3.333,3.48,3.658,3.873,4.123,4.404,4.708,5.03,5.374,5.744,6.134,6.542,6.966,7.393,7.829,8.316,8.912,9.654,10.574,11.648,12.772,13.807,14.661,15.272,15.687,16.051,16.569,17.38,18.55,20.009,21.589,23.054,24.237,25.071,25.622,26.014,26.432,27.006,27.777,28.696,29.696,30.671,31.549,32.311,32.986,33.605,34.213,34.843,35.504,36.183,36.881,37.59,38.307
Dominica,68.044,68.85,69.638,70.499,71.491,72.646,73.961,75.407,76.929,78.455,79.913,81.27,82.534,83.779,85.113,86.601,88.288,90.121,91.932,93.491,94.642,95.296,95.522,95.533,95.621,95.995,96.735,97.752,98.855,99.763,100.282,100.365,100.088,99.53,98.818,98.052,97.233,96.358,95.526,94.86,94.442,94.33,94.49,94.782,95.007,95.025,94.786,94.336,93.767,93.213,92.772,92.473,92.278,92.144,91.993,91.778,91.478,91.124,90.758,90.442,90.222
Dominican Republic,49.063,50.567,52.181,53.898,55.709,57.606,59.583,61.636,63.76,65.953,68.21,70.528,72.9,75.319,77.775,80.26,82.769,85.3,87.85,90.418,93.001,95.599,98.211,100.833,103.461,106.094,108.73,111.37,114.026,116.712,119.438,122.208,125.017,127.862,130.732,133.622,136.528,139.448,142.384,145.338,148.31,151.302,154.308,157.306,160.272,163.186,166.04,168.84,171.604,174.356,177.114,179.882,182.655,185.43,188.204,190.973,193.735,196.491,199.232,201.951,204.641
East Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,11.946,12.257,12.579,12.913,13.259,13.619,13.993,14.383,14.789,15.213,15.655,16.117,16.598,17.098,17.615,18.149,18.699,19.266,19.85,20.448,21.062,21.691,22.334,22.993,23.668,24.361,25.071,25.797,26.539,27.295,28.064,28.844,29.634,30.434,31.242,32.059,32.881,33.707,34.535,35.361,36.185,37.006,37.824,38.627,39.405,40.148,40.852,41.522,42.176,42.842,43.536,44.266,45.025,45.803,46.582,47.349,48.101,48.842,49.572,50.295,51.011
Egypt,21.483,22.017,22.575,23.158,23.765,24.396,25.05,25.725,26.42,27.133,27.863,28.607,29.366,30.139,30.925,31.725,32.54,33.368,34.203,35.039,35.871,36.698,37.523,38.354,39.201,40.074,40.974,41.901,42.859,43.854,44.887,45.959,47.065,48.207,49.382,50.586,51.825,53.09,54.355,55.587,56.761,57.869,58.919,59.934,60.944,61.974,63.029,64.107,65.215,66.361,67.551,68.788,70.073,71.395,72.74,74.096,75.459,76.83,78.21,79.601,81.004
El Salvador,104.553,106.283,108.288,110.52,112.945,115.549,118.332,121.314,124.526,128.009,131.795,135.892,140.268,144.847,149.521,154.212,158.878,163.524,168.166,172.843,177.573,182.353,187.147,191.908,196.575,201.101,205.474,209.697,213.751,217.619,221.295,224.774,228.075,231.244,234.347,237.436,240.497,243.536,246.641,249.924,253.45,257.272,261.323,265.389,269.18,272.487,275.244,277.511,279.364,280.932,282.32,283.543,284.598,285.563,286.526,287.558,288.698,289.951,291.318,292.782,294.33
Equatorial Guinea,8.04,8.201,8.298,8.36,8.413,8.473,8.55,8.645,8.756,8.873,8.988,9.094,9.195,9.304,9.438,9.605,9.82,10.069,10.292,10.41,10.371,10.157,9.8,9.354,8.897,8.493,8.147,7.859,7.679,7.669,7.864,8.295,8.938,9.704,10.47,11.145,11.697,12.15,12.538,12.917,13.329,13.78,14.254,14.749,15.258,15.776,16.303,16.844,17.398,17.967,18.551,19.151,19.765,20.391,21.026,21.666,22.309,22.956,23.612,24.281,24.969
Eritrea,9.705,9.885,10.08,10.29,10.512,10.747,10.995,11.254,11.525,11.809,12.105,12.415,12.737,13.071,13.415,13.77,14.135,14.511,14.899,15.297,15.706,16.123,16.549,16.995,17.472,17.988,18.547,19.145,19.764,20.386,20.994,21.576,22.134,22.686,23.258,23.864,24.527,25.23,25.907,26.468,26.856,27.044,27.075,27.045,27.092,27.317,27.747,28.36,29.152,30.101,31.187,32.419,33.792,35.251,36.721,38.148,39.505,40.804,42.071,43.35,44.674
Eritrea and Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,24.412,24.699,24.973,25.234,25.482,25.721,25.954,26.187,26.428,26.684,26.962,27.265,27.592,27.934,28.281,28.625,28.962,29.293,29.62,29.944,30.266,30.589,30.91,31.218,31.501,31.752,31.963,32.142,32.304,32.47,32.658,32.864,33.08,33.31,33.561,33.831,34.136,34.461,34.732,34.852,34.759,34.421,33.873,33.201,32.528,31.945,31.48,31.113,30.83,30.598,30.394,30.218,30.081,29.977,29.899,29.842,29.801,29.775,29.759,29.748,29.737
Ethiopia,16.693,17.014,17.342,17.678,18.024,18.381,18.75,19.136,19.542,19.97,20.423,20.904,21.412,21.945,22.5,23.074,23.661,24.261,24.881,25.534,26.224,26.965,27.749,28.528,29.24,29.846,30.324,30.701,31.055,31.489,32.08,32.856,33.795,34.864,36.012,37.198,38.412,39.665,40.967,42.332,43.768,45.277,46.844,48.449,50.06,51.655,53.223,54.769,56.302,57.836,59.384,60.947,62.52,64.099,65.677,67.25,68.816,70.378,71.943,73.52,75.115
Faeroe Islands,22.519,22.376,22.337,22.398,22.553,22.787,23.087,23.435,23.808,24.184,24.542,24.87,25.168,25.445,25.722,26.012,26.319,26.635,26.953,27.262,27.553,27.826,28.083,28.335,28.598,28.88,29.184,29.508,29.848,30.206,30.578,30.954,31.33,31.711,32.109,32.521,32.976,33.454,33.86,34.066,33.994,33.592,32.916,32.132,31.467,31.081,31.034,31.269,31.707,32.216,32.697,33.137,33.555,33.933,34.249,34.495,34.65,34.719,34.737,34.757,34.816
Falkland Is (Malvinas),0.186,0.185,0.184,0.183,0.182,0.181,0.18,0.179,0.178,0.177,0.176,0.175,0.174,0.173,0.172,0.17,0.169,0.168,0.166,0.165,0.164,0.162,0.161,0.16,0.159,0.157,0.156,0.155,0.154,0.153,0.152,0.152,0.152,0.152,0.152,0.152,0.153,0.155,0.156,0.159,0.164,0.169,0.176,0.184,0.192,0.2,0.209,0.217,0.225,0.231,0.237,0.24,0.242,0.242,0.243,0.243,0.244,0.245,0.246,0.247,0.248
Fiji,15.814,16.209,16.68,17.202,17.756,18.33,18.919,19.525,20.154,20.818,21.526,22.28,23.069,23.87,24.65,25.385,26.066,26.7,27.301,27.891,28.486,29.092,29.706,30.324,30.942,31.555,32.153,32.74,33.347,34.014,34.765,35.625,36.569,37.51,38.33,38.946,39.32,39.49,39.551,39.641,39.859,40.235,40.735,41.314,41.902,42.446,42.942,43.404,43.816,44.157,44.419,44.587,44.672,44.727,44.823,45.012,45.313,45.708,46.167,46.641,47.095
Finland,11.856,11.977,12.11,12.249,12.389,12.524,12.653,12.775,12.89,12.998,13.101,13.199,13.291,13.374,13.443,13.497,13.533,13.555,13.569,13.589,13.621,13.671,13.735,13.806,13.875,13.933,13.979,14.015,14.047,14.085,14.134,14.198,14.272,14.352,14.429,14.497,14.554,14.601,14.644,14.691,14.746,14.814,14.889,14.968,15.042,15.105,15.157,15.198,15.233,15.266,15.299,15.334,15.37,15.409,15.455,15.509,15.573,15.645,15.722,15.797,15.865
France,75.851,76.224,76.752,77.376,78.053,78.756,79.477,80.222,81.013,81.878,82.844,83.918,85.076,86.259,87.388,88.404,89.281,90.036,90.71,91.365,92.046,92.768,93.514,94.252,94.939,95.543,96.054,96.491,96.883,97.275,97.697,98.161,98.656,99.176,99.707,100.238,100.771,101.307,101.836,102.346,102.825,103.275,103.698,104.102,104.495,104.886,105.272,105.658,106.067,106.531,107.068,107.689,108.385,109.128,109.876,110.601,111.293,111.958,112.599,113.227,113.848
French Guiana,0.283,0.291,0.299,0.305,0.311,0.317,0.324,0.331,0.339,0.349,0.36,0.372,0.386,0.402,0.419,0.437,0.457,0.477,0.499,0.519,0.54,0.559,0.577,0.595,0.614,0.633,0.653,0.674,0.697,0.723,0.753,0.788,0.826,0.869,0.917,0.972,1.034,1.101,1.171,1.239,1.3,1.355,1.405,1.45,1.496,1.544,1.594,1.646,1.703,1.764,1.833,1.91,1.994,2.081,2.165,2.244,2.316,2.382,2.444,2.505,2.568
French Polynesia,15.174,15.646,16.084,16.505,16.922,17.349,17.792,18.259,18.753,19.277,19.834,20.424,21.052,21.722,22.442,23.215,24.044,24.927,25.847,26.782,27.718,28.648,29.576,30.51,31.465,32.451,33.466,34.507,35.573,36.663,37.775,38.909,40.063,41.223,42.375,43.506,44.612,45.697,46.761,47.809,48.846,49.866,50.87,51.874,52.896,53.95,55.043,56.167,57.293,58.383,59.41,60.362,61.25,62.089,62.906,63.718,64.53,65.336,66.135,66.921,67.691
Gabon,1.752,1.754,1.758,1.764,1.77,1.777,1.784,1.791,1.798,1.806,1.815,1.825,1.836,1.848,1.861,1.875,1.89,1.905,1.924,1.948,1.978,2.016,2.062,2.112,2.167,2.224,2.284,2.346,2.41,2.478,2.55,2.626,2.706,2.789,2.875,2.966,3.059,3.156,3.257,3.361,3.471,3.585,3.703,3.824,3.944,4.062,4.178,4.29,4.401,4.509,4.615,4.719,4.821,4.922,5.022,5.121,5.22,5.319,5.418,5.52,5.624
Gambia,24.026,24.167,24.561,25.198,26.057,27.102,28.284,29.538,30.791,31.964,32.99,33.835,34.508,35.074,35.63,36.251,36.95,37.716,38.57,39.53,40.608,41.827,43.186,44.645,46.143,47.641,49.129,50.632,52.197,53.889,55.758,57.797,59.999,62.408,65.078,68.035,71.314,74.869,78.55,82.155,85.538,88.646,91.523,94.247,96.943,99.706,102.551,105.459,108.459,111.579,114.837,118.254,121.827,125.526,129.304,133.128,136.986,140.89,144.852,148.892,153.023
Georgia,50.603,51.431,52.316,53.232,54.159,55.086,56.006,56.918,57.829,58.746,59.677,60.624,61.578,62.516,63.41,64.239,64.995,65.684,66.323,66.935,67.539,68.144,68.744,69.331,69.891,70.416,70.9,71.352,71.797,72.267,72.783,73.336,73.911,74.517,75.166,75.854,76.609,77.396,78.066,78.423,78.336,77.741,76.703,75.381,74,72.73,71.626,70.654,69.78,68.94,68.088,67.221,66.371,65.565,64.844,64.233,63.742,63.357,63.042,62.749,62.443
Germany,191.518,192.464,193.508,194.619,195.779,196.979,198.221,199.518,200.889,202.361,203.951,205.66,207.463,209.298,211.089,212.77,214.325,215.748,217.011,218.084,218.948,219.589,220.014,220.255,220.357,220.361,220.291,220.156,219.949,219.657,219.282,218.823,218.32,217.87,217.597,217.591,217.867,218.403,219.203,220.259,221.55,223.101,224.868,226.67,228.264,229.48,230.239,230.591,230.659,230.634,230.655,230.754,230.888,231.034,231.146,231.192,231.179,231.124,231.009,230.813,230.525
Ghana,20.881,21.334,21.923,22.606,23.347,24.122,24.916,25.723,26.545,27.39,28.265,29.171,30.099,31.022,31.906,32.733,33.482,34.169,34.841,35.568,36.397,37.359,38.434,39.557,40.633,41.599,42.422,43.142,43.857,44.708,45.791,47.147,48.734,50.474,52.246,53.963,55.598,57.177,58.738,60.338,62.018,63.79,65.634,67.519,69.403,71.256,73.068,74.854,76.64,78.462,80.347,82.304,84.325,86.407,88.541,90.72,92.945,95.217,97.53,99.879,102.258
Gibraltar,3416.167,3440.167,3461.5,3479,3492.5,3502.5,3510.833,3519.667,3533,3554.167,3586.333,3631,3687,3750.167,3814.167,3874.667,3930.333,3982.333,4029.667,4071.833,4109,4139.667,4164.167,4186.167,4210.333,4240,4277.167,4320,4363.667,4401,4427.5,4441.333,4444.5,4441.167,4436.5,4434.667,4436.667,4441.667,4449.5,4459.5,4471.667,4486.833,4505.333,4524.167,4538.833,4547.167,4546.5,4538.5,4531.333,4535.667,4558,4602.5,4664.833,4735,4798.833,4845.833,4872.833,4882.667,4881.167,4876.167,4874
Greece,57.337,57.949,58.549,59.15,59.756,60.368,60.98,61.582,62.156,62.685,63.153,63.553,63.893,64.194,64.489,64.801,65.147,65.521,65.909,66.285,66.635,66.943,67.224,67.538,67.965,68.557,69.341,70.283,71.296,72.256,73.073,73.723,74.232,74.631,74.968,75.284,75.575,75.838,76.123,76.496,76.999,77.655,78.444,79.301,80.133,80.873,81.501,82.033,82.486,82.888,83.261,83.606,83.916,84.202,84.476,84.748,85.022,85.298,85.572,85.836,86.084
Greenland,0.011,0.011,0.011,0.011,0.012,0.012,0.013,0.013,0.014,0.014,0.015,0.016,0.016,0.017,0.017,0.018,0.019,0.019,0.02,0.021,0.021,0.022,0.022,0.022,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.024,0.024,0.024,0.024,0.025,0.025,0.025,0.025,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026
Grenada,222.895,222.73,224.192,226.997,230.855,235.491,240.634,246.015,251.384,256.506,261.174,265.241,268.628,271.331,273.401,274.887,275.75,275.98,275.715,275.142,274.398,273.663,272.953,272.058,270.663,268.628,265.657,262.017,258.753,257.291,258.535,263.093,270.392,278.788,285.927,290.186,290.878,288.651,284.82,281.352,279.651,280.14,282.305,285.5,288.701,291.172,292.753,293.718,294.241,294.634,295.122,295.73,296.378,297.078,297.834,298.645,299.526,300.488,301.52,302.608,303.741
Guadeloupe,123.167,124.985,127.467,130.599,134.329,138.565,143.174,147.987,152.801,157.401,161.599,165.279,168.439,171.208,173.798,176.358,178.916,181.402,183.755,185.884,187.72,189.31,190.688,191.771,192.448,192.677,192.38,191.687,191.011,190.905,191.76,193.72,196.646,200.287,204.25,208.233,212.194,216.166,220.001,223.537,226.666,229.289,231.44,233.323,235.226,237.361,239.792,242.447,245.226,247.971,250.565,252.984,255.262,257.416,259.48,261.474,263.404,265.251,267.007,268.655,270.185
Guam,108.652,109.956,111.235,112.466,113.661,114.843,116.062,117.383,118.893,120.683,122.834,125.383,128.308,131.515,134.871,138.271,141.692,145.149,148.63,152.135,155.663,159.202,162.75,166.332,169.985,173.734,177.588,181.546,185.616,189.807,194.12,198.545,203.077,207.741,212.577,217.603,222.829,228.211,233.625,238.902,243.923,248.667,253.153,257.384,261.37,265.135,268.636,271.911,275.164,278.665,282.599,287.06,291.971,297.124,302.219,307.04,311.519,315.727,319.741,323.692,327.679
Guatemala,28.892,29.747,30.615,31.497,32.395,33.309,34.242,35.195,36.17,37.169,38.194,39.247,40.328,41.438,42.576,43.741,44.934,46.154,47.407,48.697,50.03,51.408,52.828,54.277,55.738,57.198,58.651,60.102,61.567,63.068,64.621,66.232,67.896,69.6,71.323,73.053,74.786,76.529,78.293,80.095,81.947,83.857,85.823,87.838,89.892,91.981,94.1,96.259,98.478,100.784,103.198,105.728,108.37,111.109,113.921,116.79,119.708,122.683,125.732,128.88,132.143
Guernsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,12.583,12.771,12.939,13.098,13.257,13.423,13.6,13.788,13.986,14.192,14.402,14.614,14.829,15.053,15.292,15.548,15.826,16.12,16.411,16.675,16.895,17.066,17.198,17.296,17.372,17.436,17.49,17.54,17.61,17.73,17.924,18.211,18.588,19.035,19.521,20.026,20.523,21.029,21.619,22.397,23.426,24.745,26.302,27.949,29.487,30.771,31.749,32.467,32.997,33.459,33.94,34.46,35,35.565,36.156,36.775,37.428,38.126,38.881,39.703,40.599
Guinea-Bissau,14.344,14.6,14.877,15.157,15.425,15.67,15.886,16.067,16.216,16.333,16.423,16.49,16.536,16.56,16.562,16.545,16.508,16.462,16.447,16.511,16.69,16.992,17.409,17.929,18.537,19.214,19.965,20.779,21.612,22.401,23.103,23.699,24.201,24.641,25.068,25.519,26.003,26.51,27.04,27.585,28.144,28.718,29.31,29.917,30.533,31.153,31.776,32.405,33.04,33.686,34.343,35.013,35.696,36.396,37.116,37.86,38.63,39.424,40.242,41.083,41.944
Guyana,1.891,1.97,2.043,2.112,2.18,2.248,2.317,2.388,2.46,2.533,2.606,2.679,2.752,2.826,2.901,2.979,3.06,3.143,3.224,3.295,3.353,3.395,3.423,3.442,3.461,3.483,3.513,3.547,3.58,3.604,3.614,3.608,3.589,3.561,3.528,3.496,3.466,3.436,3.409,3.387,3.372,3.365,3.366,3.372,3.38,3.386,3.391,3.395,3.398,3.403,3.41,3.421,3.433,3.447,3.46,3.471,3.481,3.489,3.496,3.503,3.51
Haiti,116.082,118.038,120.071,122.185,124.383,126.666,129.036,131.493,134.035,136.662,139.369,142.155,145.013,147.94,150.929,153.973,157.082,160.25,163.441,166.606,169.717,172.762,175.771,178.804,181.947,185.266,188.772,192.462,196.369,200.531,204.966,209.697,214.7,219.896,225.176,230.457,235.709,240.943,246.176,251.438,256.752,262.109,267.491,272.907,278.367,283.876,289.438,295.034,300.621,306.139,311.545,316.826,321.991,327.041,331.987,336.838,341.59,346.251,350.859,355.468,360.117
Holy See,2056.818,2015.909,2009.091,2020.455,2038.636,2056.818,2068.182,2072.727,2070.455,2063.636,2059.091,2054.545,2047.727,2036.364,2002.273,1943.182,1856.818,1743.182,1625,1527.273,1472.727,1463.636,1500,1556.818,1615.909,1656.818,1675,1675,1665.909,1654.545,1650,1654.545,1661.364,1672.727,1686.364,1697.727,1709.091,1720.455,1731.818,1740.909,1750,1754.545,1756.818,1759.091,1763.636,1775,1797.727,1827.273,1850,1838.636,1788.636,1686.364,1540.909,1379.545,1229.545,1118.182,1050,1022.727,1022.727,1034.091,1040.909
Honduras,13.268,13.605,13.991,14.41,14.852,15.308,15.776,16.257,16.756,17.281,17.839,18.433,19.057,19.699,20.337,20.961,21.564,22.154,22.743,23.348,23.983,24.651,25.352,26.088,26.863,27.68,28.542,29.448,30.392,31.366,32.364,33.384,34.426,35.491,36.582,37.701,38.847,40.015,41.202,42.405,43.62,44.847,46.083,47.318,48.539,49.739,50.912,52.063,53.199,54.334,55.476,56.628,57.79,58.966,60.159,61.374,62.609,63.868,65.152,66.465,67.809
"Hong Kong, China",1796.177,1852.702,1941.35,2046.638,2157.169,2265.655,2369.109,2468.645,2568.845,2676.717,2798.549,2936.559,3085.969,3233.741,3362.144,3459.217,3519.898,3550.074,3562.309,3574.902,3601.54,3644.823,3701.83,3773.888,3861.165,3962.883,4081.634,4215.855,4355.293,4486.056,4598.32,4687.825,4757.662,4814.431,4868.347,4926.87,4992.54,5063.173,5136.015,5206.54,5271.935,5329.452,5381.359,5435.627,5503.207,5590.824,5703.624,5836.314,5972.575,6089.751,6172.263,6213.712,6220.897,6207.673,6194.497,6196.414,6217.46,6253.667,6302.428,6358.486,6417.824
Hungary,100.371,101.883,103.135,104.153,104.962,105.593,106.078,106.454,106.759,107.031,107.303,107.599,107.928,108.284,108.646,109.004,109.358,109.718,110.088,110.475,110.88,111.298,111.722,112.158,112.611,113.082,113.581,114.09,114.547,114.869,114.998,114.913,114.639,114.231,113.771,113.321,112.894,112.482,112.106,111.786,111.535,111.368,111.281,111.234,111.171,111.052,110.865,110.622,110.338,110.042,109.753,109.475,109.202,108.936,108.677,108.424,108.181,107.948,107.725,107.514,107.314
Iceland,1.388,1.411,1.437,1.467,1.5,1.534,1.569,1.604,1.639,1.674,1.709,1.742,1.775,1.807,1.836,1.864,1.889,1.913,1.935,1.957,1.982,2.008,2.036,2.065,2.092,2.117,2.138,2.158,2.176,2.194,2.215,2.238,2.263,2.29,2.317,2.344,2.37,2.396,2.423,2.448,2.474,2.499,2.523,2.547,2.572,2.597,2.623,2.649,2.676,2.703,2.73,2.757,2.784,2.813,2.845,2.881,2.922,2.968,3.016,3.064,3.108
India,113.12,115.05,117.065,119.164,121.35,123.621,125.977,128.418,130.942,133.549,136.236,139.006,141.862,144.809,147.855,151.007,154.267,157.636,161.124,164.74,168.491,172.378,176.399,180.553,184.837,189.245,193.776,198.426,203.183,208.032,212.961,217.96,223.028,228.164,233.369,238.646,243.988,249.387,254.832,260.31,265.809,271.323,276.846,282.37,287.891,293.401,298.897,304.374,309.823,315.234,320.6,325.917,331.186,336.415,341.619,346.806,351.976,357.127,362.266,367.4,372.533
Indonesia,39.294,39.893,40.565,41.308,42.122,43.003,43.948,44.953,46.012,47.122,48.277,49.474,50.711,51.99,53.313,54.683,56.097,57.553,59.048,60.58,62.146,63.744,65.373,67.029,68.71,70.413,72.133,73.869,75.622,77.395,79.189,81.003,82.832,84.663,86.48,88.272,90.032,91.762,93.463,95.139,96.791,98.422,100.029,101.611,103.167,104.696,106.196,107.669,109.127,110.582,112.044,113.518,115,116.477,117.93,119.346,120.719,122.055,123.362,124.655,125.945
Iran,10.566,10.783,11.014,11.259,11.518,11.791,12.077,12.376,12.687,13.012,13.347,13.695,14.054,14.425,14.809,15.207,15.619,16.047,16.487,16.935,17.39,17.851,18.322,18.812,19.334,19.896,20.501,21.146,21.841,22.593,23.405,24.276,25.199,26.168,27.176,28.211,29.279,30.368,31.435,32.422,33.291,34.02,34.624,35.154,35.681,36.256,36.898,37.59,38.304,38.999,39.645,40.234,40.78,41.295,41.799,42.308,42.824,43.342,43.86,44.374,44.882
Iraq,13.048,13.497,13.9,14.272,14.626,14.971,15.318,15.673,16.042,16.428,16.837,17.271,17.734,18.233,18.771,19.354,19.983,20.658,21.371,22.109,22.864,23.632,24.412,25.21,26.032,26.884,27.767,28.676,29.592,30.491,31.355,32.184,32.984,33.764,34.536,35.311,36.089,36.878,37.708,38.619,39.637,40.773,42.02,43.366,44.794,46.287,47.849,49.477,51.142,52.801,54.43,56.014,57.568,59.124,60.729,62.419,64.202,66.072,68.036,70.097,72.257
Ireland,41.454,41.563,41.606,41.573,41.463,41.284,41.054,40.801,40.558,40.365,40.255,40.25,40.346,40.515,40.712,40.908,41.089,41.273,41.487,41.775,42.164,42.661,43.247,43.903,44.598,45.306,46.019,46.733,47.424,48.065,48.636,49.131,49.551,49.887,50.134,50.291,50.354,50.336,50.278,50.235,50.25,50.341,50.507,50.744,51.039,51.385,51.776,52.223,52.747,53.377,54.129,55.011,56.007,57.07,58.14,59.17,60.143,61.066,61.942,62.786,63.608
Isle of Man,96.596,96.617,95.991,94.858,93.357,91.628,89.818,88.08,86.556,85.39,84.694,84.54,84.939,85.829,87.101,88.666,90.524,92.656,94.92,97.131,99.156,100.904,102.39,103.726,105.073,106.547,108.224,110.031,111.753,113.084,113.832,113.867,113.322,112.6,112.253,112.671,114.031,116.171,118.713,121.093,122.925,124.061,124.659,124.972,125.392,126.194,127.462,129.077,130.892,132.678,134.271,135.624,136.794,137.832,138.829,139.85,140.906,141.963,143.003,143.983,144.876
Israel,56.806,61.147,65.547,69.827,73.871,77.627,81.107,84.384,87.583,90.866,94.376,98.187,102.253,106.392,110.337,113.915,117.032,119.789,122.433,125.315,128.676,132.607,137,141.658,146.293,150.688,154.801,158.688,162.354,165.83,169.149,172.337,175.416,178.422,181.396,184.398,187.377,190.403,193.797,197.974,203.204,209.633,217.097,225.16,233.206,240.78,247.766,254.269,260.335,266.081,271.617,276.871,281.851,286.842,292.221,298.242,305.041,312.494,320.268,327.882,334.992
Italy,153.88,155.272,156.551,157.716,158.772,159.736,160.634,161.5,162.377,163.311,164.342,165.491,166.752,168.087,169.438,170.761,172.042,173.289,174.514,175.738,176.972,178.217,179.458,180.667,181.806,182.848,183.783,184.615,185.35,186.003,186.584,187.098,187.543,187.915,188.205,188.413,188.535,188.583,188.587,188.587,188.612,188.691,188.821,188.962,189.053,189.063,188.964,188.798,188.676,188.75,189.124,189.83,190.825,192.037,193.363,194.715,196.079,197.45,198.765,199.95,200.953
Jamaica,127.64,130.717,133.571,136.128,138.357,140.27,141.92,143.403,144.85,146.41,148.214,150.336,152.751,155.32,157.84,160.167,162.247,164.141,165.968,167.898,170.051,172.48,175.132,177.887,180.573,183.073,185.313,187.345,189.332,191.504,194.012,196.943,200.198,203.518,206.539,209.01,210.835,212.121,213.08,214.019,215.168,216.581,218.201,220.005,221.939,223.957,226.064,228.266,230.511,232.736,234.887,236.95,238.92,240.767,242.462,243.986,245.322,246.478,247.501,248.455,249.391
Japan,217.532,221.752,225.405,228.588,231.395,233.912,236.221,238.398,240.511,242.625,244.793,247.06,249.459,252.011,254.725,257.607,260.659,263.879,267.261,270.795,274.458,278.257,282.158,286.046,289.776,293.242,296.386,299.231,301.841,304.325,306.756,309.162,311.51,313.741,315.77,317.542,319.031,320.276,321.364,322.418,323.525,324.72,325.976,327.235,328.411,329.441,330.309,331.041,331.661,332.206,332.705,333.164,333.573,333.933,334.238,334.485,334.675,334.81,334.887,334.905,334.864
Jersey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
