Private expenditure on health as percentage of total expenditure on health,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Azerbaijan,76.24664555,76.04660527,77.61410251,83.53231428,81.74345191,81.45910615,81.09651908,82.27447575,87.34107675,86.98258115,88.70422162,85.80260166,80.40461233,80.73813325,76.86197491,79.71012585
Bahamas,60.1532567,59.89583333,58.19250551,55.08274232,53.25008005,52.39078877,52.49549008,52.90835428,53.33298668,52.8153742,55.7282414,52.79346549,55.03554458,54.77400882,53.17440944,54.40393777
Bahrain,30.35822499,30.7948161,29.90989825,31.18342113,30.75743726,32.46031962,33.01416684,33.44288274,33.06608492,32.78767136,30.96377955,30.02355173,29.29648525,28.77843386,29.91094796,26.67598408
Bangladesh,63.85980046,63.83123044,57.69667357,59.17731725,60.13472329,60.98331132,60.05867383,60.32480951,62.35417249,61.22425433,65.10342879,63.51196109,65.61023517,68.34145837,67.04552751,65.70488803
Barbados,32.04993042,31.66089473,34.79223954,34.61078821,34.58782838,34.20078973,32.44227184,31.6031093,34.41266386,35.44994847,35.60717401,35.23639215,35.99606309,34.50959679,41.42373384,34.99239008
Belarus,28.87585354,24.68041423,17.67522841,22.9615119,23.48679706,24.51347694,28.45106205,29.51373758,26.15649595,25.2602331,27.0624295,29.76902047,30.85415951,34.9226284,35.98330203,22.31460216
Belgium,23.20232529,21.82274247,24.62209302,25.19572169,25.42241111,25.39496782,24.59267511,26.20325561,25.22392626,23.97630423,24.06673501,26.12765402,26.48726605,25.04221942,24.89808501,25.25613321
Belize,37.78439828,43.35712624,42.02261934,42.97089337,44.24516415,47.18843982,42.27947256,43.69454829,42.64094422,42.68707571,40.29507124,39.01991651,36.22596573,37.04073243,36.24087052,37.30947337
Benin,54.99950812,55.70582749,57.91958157,55.77008157,54.00079844,55.80443225,50.74892693,55.81470129,52.24728542,52.31616766,50.30512922,49.77859248,49,48.3,46.2,50.5
Bermuda,,,,,,,,,,,,,,,,
Bhutan,31.62665373,29.8882091,30.79043966,32.78352562,24.35320231,20.736847,21.59073648,16.19541509,25.88905044,27.54185806,24.00421868,18.86696422,15.21096813,13.9747154,13.52880551,13.17284292
Bolivia,36.17848298,35.65059446,33.97584218,38.77580804,41.85656836,39.90491284,40.67746686,37.17914077,39.90719258,37.44279946,33.80642159,30.10679391,31.84449959,34.85358465,35.44242678,37.16268591
Bosnia and Herzegovina,52.93004297,55.85513702,55.5232956,57.00426093,45.55470331,42.36183932,39.32105347,36.71606585,30.8134232,42.79793836,45.02930489,44.52365814,43.44723767,41.81353548,38.65464294,38.59735393
Botswana,47.63561386,47.50389636,43.49736019,43.55087486,42.24077195,37.82633242,29.9844443,28.85682329,31.49349095,23.35778714,25.71965646,27.06418177,23.5326642,24.02097131,23.97638041,27.47125587
Brazil,56.9856941,59.46161032,57.04991868,57.36081456,57.27039329,59.69586505,57.70946371,55.35812639,55.63381561,52.97529616,59.85874144,58.30609331,58.18313289,57.23914974,56.42778048,52.98093437
British Virgin Islands,,,,,,,,,,,,,,,,
Brunei,22.14890627,18.58582612,18.82736414,16.17324197,22.24171418,13.51133987,18.94043887,17.64387384,16.34262544,16.33920747,15.82419954,15.99710168,15.5008157,13.99690586,14.84440691,15.11442091
Bulgaria,26.03997136,30.39957197,28.33654406,30.10369976,33.67304779,39.06844768,41.60745242,38.74244026,37.88058701,39.2438343,39.08040893,43.04597415,41.79468422,41.46492862,44.64823653,45.50972485
Burkina Faso,61.26422001,61.62517026,58.94362872,60.08280298,58.81210554,60.35349871,62.62084198,56.0915351,53.57362889,46.32396874,40.46061913,43.14006496,39.72715441,40.94794184,50.27399043,49.03192139
Burundi,67.77105193,65.29082817,71.19049553,71.73630247,71.22399822,71.40387009,66.70656164,69.45462242,73.85198694,64.12461603,65.21932386,64.79344203,62.29656042,62.83502758,63.95416951,61.82725374
Cambodia,84.01278157,74.40163469,76.2706163,81.84890234,81.80785208,79.55789514,76.49777185,73.70810247,71.91933498,71.31470077,79.46569445,74.95721011,67.68467102,67.42013811,63.36091509,62.77300296
Cameroon,76.68447722,82.68336198,78.9032036,82.24374962,81.17880081,79.15932691,75.9563578,73.44274437,73.19976232,76.09868439,76.40335475,77.01271833,77.56167677,79.56354984,74.10137066,70.37712616
Canada,28.75151946,29.22462247,29.87828464,29.43381624,30.03361076,29.64425632,30.01966311,30.47450367,29.83338811,29.77755589,29.77714557,30.22507816,29.7756761,29.51006156,29.37504303,29.5031936
Cape Verde,19.26605505,17.85964387,17.87603699,24.74181174,26.11198352,26.50249601,24.23289967,24.37926159,26.07382025,22.08931641,22.73276412,21.99278935,24.93300229,26.82307753,25.94850715,24.95922567
Cayman Islands,,,,,,,,,,,,,,,,
Central African Republic,60.2993031,69.30311494,62.59702046,66.74066332,61.60612248,58.57555922,61.22706307,58.83530358,60.1840057,62.02506932,64.69036612,64.5662219,65.79285512,66.71950147,65.80912784,64.62153312
Chad,65.30980619,62.81719543,64.82234205,69.33573223,66.08107047,57.50147716,60.22024163,69.00946024,53.15712771,64.44042537,58.90466793,67.8604938,76.73284837,78.43752098,80.28291185,75.02551511
Channel Islands,,,,,,,,,,,,,,,,
Chile,61.73049584,63.37248209,62.66008619,61.71909422,60.10059157,58.3559546,57.05013808,56.23888309,61.20168455,60.14604566,59.96567476,57.86974945,56.79776526,55.94772518,52.35692635,51.81625415
China,49.49967971,53.40952883,55.75566329,58.18787766,59.11329831,61.71681591,64.42854134,64.16622591,63.77420418,62.02648384,61.23361702,59.34611626,53.07003561,50.050635,47.50155485,46.40066334
Christmas Island,,,,,,,,,,,,,,,,
Cocos Island,,,,,,,,,,,,,,,,
Colombia,41.3562541,35.1973614,35.11642533,28.14550722,23.70161138,29.25130274,29.69164226,29.55530661,29.94687816,29.40520996,29.95180237,29.15987156,28.94305155,29.39531934,28.94324382,27.30158294
Comoros,28.767014,30.39184749,33.11450629,36.33881828,39.39830424,47.24684131,52.48991183,42.71849159,41.83124993,39.55658613,38.98088026,36.27086005,34.72304492,32.59691193,46.78909228,32.77968943
"Congo, Dem. Rep.",95.95907491,96.73533298,95.05154575,96.30176121,94.26772949,95.91557191,94.81496153,94.14237218,78.8185503,78.16634879,70.03355993,68.93972642,63.81645144,52.89423309,55.29125962,57.47965983
"Congo, Rep.",40.36935333,39.49080852,40.18194258,41.21663563,42.51719146,42.27956367,44.99575912,47.32806555,50.08153823,46.16099427,40.52362133,36.70707449,42.40206739,51.86434247,52.507627,53.26365959
Cook Is,8.66154601,8.20394122,10.21520974,9.46664571,10.5285347,9.49727713,6.6980185,8.69651655,8.67860397,9.57472311,5.71494678,6.56189757,6.50099945,6.38229701,6.23453549,6.15458106
Costa Rica,23.49933669,23.83597229,24.57301719,23.89485755,23.71958911,23.16603003,24.69392475,25.37210167,25.8939328,27.88518359,29.72712073,31.00873304,32.73329262,33.11721912,32.59344922,31.89860822
Cote d'Ivoire,77.43643799,76.33929089,76.4826637,79.56154664,76.9360489,73.72533729,75.78834868,70.03733268,74.15948286,74.62554391,80.15651005,80.77757962,77.72771852,76.25510696,79.14614422,78.409953
Croatia,13.54245836,12.42189279,15.52261981,12.96237682,12.65910702,13.86125003,16.72296629,19.95289545,17.39246986,18.94004678,13.97546518,13.92869705,12.97433816,15.13134577,15.13134577,15.13134577
Cuba,10.42845594,10.15477539,9.96441281,10.15364061,9.4988345,9.89834136,10.37614162,11.86176551,10.54651317,9.74682451,6.53885858,7.22837697,5.00254228,4.71913533,7.28004342,8.52700683
Cyprus,64.16352458,65.9048266,64.77071457,58.12400976,57.33560494,58.34773302,57.64458038,55.01808486,54.86949303,56.16296819,58.19376638,57.56964336,57.40550549,58.4871299,58.47666693,58.49320799
Czech Republic,9.11127562,9.33247151,9.71447516,9.56973238,9.51846966,9.68087582,10.23459766,9.52643707,10.19856313,10.84920733,12.68973298,13.27059494,14.80623345,17.45313883,16.04428361,16.32375197
Czechoslovakia,,,,,,,,,,,,,,,,
Denmark,17.47564612,17.58463238,17.72316076,17.9187828,16.04509894,16.13851799,15.81991559,15.51328484,15.45305074,15.73200048,15.52417352,15.36395131,15.26752466,15.0524017,14.95853143,14.89394492
Djibouti,39.98056045,41.71752939,38.49425839,33.94343597,29.2212576,32.23467628,35.12591195,35.46063035,32.98426599,38.28663542,31.56708106,33.26128029,30.81488373,32.00251314,30.68371723,34.71319737
Dominica,29.63957162,29.56335191,28.74692875,29.44038929,30.06993007,31.03448276,32.27990971,32.73542601,33.92070485,34.85753875,37.8702122,35.75784678,37.52258961,37.76084796,34.76080858,30.35520132
Dominican Republic,79.09847082,76.80129601,73.67198167,69.16941952,66.2320832,65.46455003,68.91945133,67.72635432,66.93685801,71.32445905,68.41971524,63.02900757,64.05446463,62.94843652,58.60360382,56.64768562
East Germany,,,,,,,,,,,,,,,,
Ecuador,44.63884265,41.37672782,46.74570732,61.04484619,60.61063471,68.75490947,65.51112692,66.28099639,77.85016137,77.00771647,77.68465105,76.19157423,75.73001434,73.47366446,65.11998515,62.78531583
Egypt,53.49532306,58.43944191,61.29587148,60.04747627,59.63238135,59.53211771,59.53012074,59.7362277,59.62814589,59.54105835,59.35551859,55.81653141,58.78816187,57.80539406,60.50577877,62.59447478
El Salvador,61.48433684,59.00486058,61.43581826,57.48611812,56.61801711,54.78211119,54.55050458,53.35701922,52.73586621,50.6833713,47.36237591,37.98279779,40.91700982,40.58627984,39.72202423,38.29787234
Equatorial Guinea,42.97321089,47.59412699,52.00906109,52.61372564,54.28533951,53.68410752,40.08087043,21.63792697,33.78935787,42.75453161,41.19873041,33.65681653,30.09234741,44.2750416,23.96806858,24.06778856
Eritrea,52.09580838,62.73291925,57.82271487,56.87236128,57.22192324,52.36965428,47.31805323,50.73003522,52.81175588,53.786932,54.0468056,54.42547159,54.72263868,49.45384073,52.29678962,51.764777
Eritrea and Ethiopia,,,,,,,,,,,,,,,,
Estonia,10.2347411,11.62601126,10.83328723,13.65049609,27.61137815,32.23006349,30.88855782,32.66866381,31.75663021,33.22802242,23.04456175,26.3427309,23.54637721,20.96514003,21.64298082,21.32301071
Ethiopia,59.97328117,61.85350293,59.12606485,56.24438116,53.41749121,46.44192949,42.87642467,45.98158974,42.09256367,42.81417841,39.09099865,44.70882267,43.25645276,48.10834899,46.44669119,46.45941771
Faeroe Islands,,,,,,,,,,,,,,,,
Falkland Is (Malvinas),,,,,,,,,,,,,,,,
Fiji,20.12196072,18.38176365,17.31817159,17.72240796,19.6133834,15.92508632,19.29614545,17.45978377,18.79726393,19.27379321,18.61834358,21.4845545,25.44662523,24.50685065,30.20229947,29.87109748
Finland,28.31543751,28.37772363,27.89084679,27.52979967,28.54204699,28.73759925,28.03208563,27.54474194,25.44370759,25.02720861,24.61159214,25.15515227,25.63925264,25.55190723,25.29219652,24.94577007
France,20.31470799,20.43705389,20.35641295,20.48198829,20.55058188,20.61525682,20.61551912,20.33846825,21.07505238,21.18001402,21.16474512,21.25525348,21.66315807,22.30248355,22.06621138,22.15088339
French Guiana,,,,,,,,,,,,,,,,
French Polynesia,,,,,,,,,,,,,,,,
Gabon,62.14610369,59.7261548,60.00167438,59.65301283,64.38462425,58.02913068,57.97137656,63.68689257,56.22694543,54.28271275,57.71563898,57.33240113,56.11982858,56.29647802,52.08495327,47.07289303
Gambia,70.8632248,70.34263809,70.29860874,65.9974076,65.1082503,66.23145111,62.56362478,62.48036572,49.6591558,42.21347035,44.95325287,43.15580455,51.79977107,52.00527354,46.55329755,49.1544265
Georgia,94.78465883,88.32973618,81.33523279,81.73930388,81.8790124,82.98672167,82.23934997,83.94703601,85.18254302,84.67670054,80.82872539,78.89426795,82.25092464,80.20754049,77.72994185,76.36449929
Germany,18.64178458,18.06852945,19.37336442,20.13131488,20.21171421,20.5018995,20.7178331,20.98927326,21.56410628,23.28474346,23.39162075,23.57107735,23.57692565,23.44597098,23.13711401,22.92100402
Ghana,42.54825806,42.67754849,45.37216654,44.40149533,49.67931898,51.30363496,42.98376819,50.33266106,48.70490916,38.10434089,33.64674054,43.49420336,37.64083602,41.96084254,43.2891507,40.51418719
Gibraltar,,,,,,,,,,,,,,,,
Greece,47.95891836,47.04764168,47.15933827,47.94147326,46.58265109,39.98882473,39.2444341,42.00701754,40.21167457,40.87545856,39.88848381,37.97325204,39.65240031,40.05554037,38.34006633,40.60137479
Greenland,,,,,,,,,,,,,,,,
Grenada,56.47178468,56.61173833,56.4680886,57.09348294,52.36817894,47.96722795,41.15027003,47.18619076,50.87900463,53.0666058,52.25415481,50.22421377,52.66726366,54.88261949,50.81643966,55.03112596
Guadeloupe,,,,,,,,,,,,,,,,
Guam,,,,,,,,,,,,,,,,
Guatemala,64.04350608,65.91304348,62.94291339,52.47408566,51.13276605,60.30630239,62.55598686,64.57575577,63.15293521,65.74894506,66.22386298,66.86015519,66.61891878,65.47259807,63.74091453,65.13206886
Guernsey,,,,,,,,,,,,,,,,
Guinea,79.54443462,81.14162817,79.7413973,83.19643646,81.61383079,81.34423816,78.51874232,78.70646757,75.82997279,83.11326225,88.69964595,87.2084652,91.9762967,86.12818922,91.81348753,88.71187877
Guinea-Bissau,75.25117325,69.6807283,66.52586124,68.74601791,74.65512327,83.80879402,83.84806347,63.90369915,76.93634534,84.34421984,84.06792671,84.62153154,83.84205927,84.69511926,89.40535582,89.96553174
Guyana,20.76439058,20.39929435,19.86272957,20.23560287,20.78003109,17.56494129,18.7256541,18.1388632,20.60614469,26.6701391,34.55778652,34.26379896,43.01586532,9.19497433,13.37406742,14.60190973
Haiti,59.10780669,61.88892584,60.58524933,66.09271523,69.97956055,72.27659574,73.84997928,77.26443769,79.37833037,77.38113556,78.70645423,76.21674526,76.13012713,74.74400182,78.22293652,78.55225351
Holy See,,,,,,,,,,,,,,,,
Honduras,46.30040418,50.41476744,51.41627275,48.07759611,49.02719329,33.19401875,33.64637052,35.66900102,26.01028868,34.95808099,35.18430362,39.03446627,38.52195735,38.78539393,33.67759135,
"Hong Kong, China",,,,,,,,,,,,,,,,
Hungary,16.03908484,18.39613137,18.71630728,25.21873733,27.62555879,29.26380871,31.02232227,29.78785773,27.16513041,27.6122483,27.69921508,27.45864795,29.67740216,29.02497872,30.28861515,30.62396369
Iceland,15.63528551,16.44279988,15.07387084,19.10880997,16.90922502,18.49567832,18.61683363,17.67411187,18.00655637,18.5407804,18.3174765,17.75382176,17.07476353,16.47188884,17.81943947,19.30889502
India,73.95912174,74.30118695,74.87719194,74.41076774,72.03298863,74.02934236,76.13476006,76.8199847,77.2141147,77.27874902,76.09500737,75.18060361,74.19853357,72.35791346,69.72532989,70.82732385
Indonesia,64.27925709,63.62192576,64.97504976,65.88535743,65.38415381,63.85218351,56.83176415,61.90380649,59.92850605,60.51644747,61.93558279,58.58372333,54.22558628,53.52347915,53.89592971,50.91664323
Iran,55.24369435,52.58810857,51.46372601,51.46135585,57.59521365,58.36167575,56.30966615,55.97142642,54.18337849,56.53311088,55.79178708,53.63161185,55.39229472,53.69304276,58.88154242,59.86853536
Iraq,,99.59125928,99.60536547,96.73571143,96.82073609,98.86329251,98.25931517,97.14168958,54.6330249,27.82469615,32.64847272,36.19370683,30.51515927,25.37027811,21.93089217,18.81810713
Ireland,27.48035869,28.46113455,25.06583197,25.31840512,24.74250064,24.93294086,24.26692935,23.72159453,23.52309756,22.64236544,23.0422984,23.208804,23.11767788,23.29831777,25.09266452,30.8427515
Isle of Man,,,,,,,,,,,,,,,,
Israel,30.78231778,29.12395636,30.41615135,34.33350862,33.97754121,36.00512604,36.77477037,35.3750825,37.08483761,37.74413153,39.51312946,39.73766705,40.58304714,39.6457301,39.67724179,39.67724179
Italy,29.21709531,29.4161333,29.15099275,29.64640596,29.25242906,27.48958767,25.35130233,25.49980091,25.50921523,24.03982694,23.80061818,23.41675751,23.44690424,22.49372373,22.12114057,22.38325825
Jamaica,47.41439029,39.95078993,43.81297878,41.39207701,49.74308178,47.36691907,56.621881,42.5970502,49.4480736,43.30703397,51.18742033,45.27053016,47.96864699,46.45605591,44.63330595,46.49353453
Japan,17.73193098,17.68990793,18.77032288,19.6124206,19.2654273,19.18784198,18.59968227,18.73594206,19.58493969,19.24995533,18.42385079,20.55309172,19.62073676,19.21873959,17.68381257,17.47295563
Jersey,,,,,,,,,,,,,,,,
Jordan,37.92532173,40.28294921,41.60776464,43.05444397,46.67097086,51.98910785,51.66525689,50.12714675,50.6065951,47.13489173,47.24984977,45.15115073,40.15725808,38.1157752,29.69756353,32.34121067
Kazakhstan,36.18607421,36.60387923,35.87897521,36.1275552,47.66217407,49.14152678,43.44847757,46.57855506,45.55003733,41.98344183,38.06732374,41.5087906,47.83702833,41.52456437,40.79307676,40.61120267
Kenya,53.62355324,59.91249784,61.1537527,55.59584268,60.15450977,53.7295269,55.27491077,57.18359616,56.63265452,58.14852507,57.76938669,58.69778129,57.61679387,60.29754714,56.66164047,55.69927794
Kiribati,4.98684048,5.0101346,4.51623717,5.63144891,5.1363781,5.40175117,5.05740853,5.01819012,5.24667137,4.96587586,5.92884187,14.3445443,16.53030847,15.67891558,15.33354128,17.66700667
North Korea,,,,,,,,,,,,,,,,
South Korea,61.52194523,58.27996291,55.63321037,50.98595141,49.82611149,51.36601534,45.07519905,46.29157939,47.56976802,47.41353268,47.08707336,44.68647993,44.18314089,44.05357285,41.82125951,41.03098734
United Korea (former),,,,,,,,,,,,,,,,
Kosovo,,,,,,,,,,,,,,,,
Kuwait,18.13452582,20.5525213,20.11556457,21.00435647,20.6216369,24.02643018,18.62364108,20.20115485,19.772475,20.2848615,20.1978646,18.94760853,21.31888597,21.74614782,14.56220088,19.63181351
Kyrgyz Republic,42.37947388,50.2916275,48.23200746,48.62580456,51.51936314,55.72311819,58.85913063,60.45023928,62.10631387,59.17424575,59.1124552,53.83948949,50.84778461,51.59986962,46.96010946,43.81482611
Lao,40.28469122,41.97520586,42.13423814,56.61482415,69.02549359,64.92612749,72.01920097,73.08071589,73.98175604,82.69768873,87.18357448,86.58611981,88.03332138,75.33707066,71.70226537,66.71344876
Latvia,33.72569766,42.23356545,44.22812593,40.76042797,41.6484318,45.61455552,48.79479278,47.86221126,47.18390717,43.41839674,42.93910523,35.90576419,39.26443033,37.53038477,38.35457706,38.85805493
Lebanon,71.67703531,70.36516366,69.75842381,72.46679129,70.93405197,67.40432878,62.66814882,56.46455969,59.44179822,57.00478407,54.36918277,57.40494168,58.38324643,56.63289573,58.09281655,60.83891947
Lesotho,53.44357643,50.99574204,55.195757,52.0631478,51.45015036,48.78950885,41.93125401,44.53809889,41.5914532,42.61316515,46.64881735,39.95194843,33.5967372,29.90119211,25.70376628,23.75531207
Liberia,,,,72.17150842,70.91644291,73.55896935,70.61915418,78.46492993,77.24124454,74.12544537,69.34545549,72.18829019,76.30794006,67,65.4756794,67.46164705
Libya,50.40837462,51.22619875,54.90810509,47.97546867,49.79723934,42.78876336,35.41106519,35.23885774,36.45915639,36.94776221,38.2164348,38.94894934,34.11943642,29.67668507,33.87902582,31.22269001
Liechtenstein,,,,,,,,,,,,,,,,
Lithuania,25.84657913,29.59617428,27.48387097,24.0497076,25.09184423,30.2928307,27.35294118,25.08657856,23.99097963,32.44018558,32.21679656,30.48069551,27.01007294,27.60028357,26.57071062,26.51352411
Luxembourg,7.56334495,7.19470395,7.51660316,7.5806092,10.20971779,14.9276624,15.74530721,14.46533076,15.77698553,15.18982024,15.0772482,14.86679458,15.87779266,15.94869609,15.97711368,15.59169133
"Macao, China",,,,,,,,,,,,,,,,
"Macedonia, FYR",41.47542047,41.35942692,39.82803988,36.01413395,40.36025641,42.49773702,41.19811732,41.20702031,41.47535309,40.48379992,38.20319111,34.91738449,35.73715504,31.81130182,33.51282135,36.2484684
Madagascar,46.40037957,40.85515481,38.63728655,39.65681769,38.90687966,33.51407601,30.75829888,32.871744,35.90485404,34.6187083,33.56461396,33.02877738,33.76782251,31.30339823,35.46954456,39.71716672
Malawi,62.07918286,72.90912754,68.98983388,66.26461467,65.05899923,54.16196883,56.22429418,39.6054412,27.86722983,26.85723583,26.08400228,31.11292109,35.66955256,37.55926603,34.84830652,39.81939303
Malaysia,39.81369426,38.42507232,40.74466249,40.77320903,41.05086644,41.03996199,38.98918529,40.18531548,38.33887665,43.0028541,47.96859158,44.1469899,45.30054912,44.79961304,44.28922027,44.48645764
Maldives,38.65730653,42.99551928,44.05111885,44.39393163,42.62519609,41.51479185,41.92528922,41.92576789,47.78382405,43.69881711,35.71428571,34.84162896,34.62763537,30.62067426,39.32907545,39.50713539
Mali,47.73901005,60.41972385,63.88147681,65.54500969,69.91629199,67.10725386,55.06682696,59.80927692,55.88530017,50.76532156,53.48993625,51.79704018,51.97928116,53.50331286,52.76387486,53.42306453
Malta,32.4943761,31.58269232,30.46686456,29.70436379,30.17115394,27.5331428,30.63973064,30.39772727,29.9734748,31.42144638,31.33333333,30.63829787,33.05084746,35.11293634,35.21126761,34.52157598
Marshall Islands,17.21408818,14.36942396,13.60043131,14.63797975,14.54010782,12.04355584,14.02007368,14.92240127,16.83413351,16.53241753,17.23953966,16.42669828,16.48377661,17.89919773,16.03125654,16.76625131
Martinique,,,,,,,,,,,,,,,,
Mauritania,40.96539679,51.13940864,49.09860598,40.4542867,32.33005077,33.50401014,40.11013436,33.38858005,36.4607493,34.86621553,37.2703509,37.85346171,42.1009501,48.44107898,47.22962255,46.89409592
Mauritius,45.31252501,45.93343647,45.76927576,45.26849179,45.9790064,47.9515828,48.15719693,48.52331135,45.7571643,45.27000133,52.33756083,58.14285632,63.86728021,66.10932337,62.86643872,58.29596959
Mayotte,,,,,,,,,,,,,,,,
Mexico,57.865759,58.59401538,55.29330135,53.97652056,52.18956232,53.43788486,55.18850946,56.15549469,55.83284503,54.83850791,54.96610451,54.7826087,54.60118185,53.02014085,51.6560425,
"Micronesia, Fed. Sts.",4.82580681,5.45609959,6.17386493,6.93866949,6.38665283,6.14618992,5.58896768,6.06224125,5.10156284,4.6666282,6.61162483,7.46486343,7.12819677,9.63320406,9.30489738,8.84270826
Moldova,35.75961363,34.6630945,35.74056236,43.77072863,50.71317007,51.45182849,54.90588458,49.90340517,52.38923402,50.71101035,54.3758532,55.58957443,54.80151454,52.77442876,51.48460805,54.2053848
Monaco,10.46275057,10.4574935,10.76962546,11.88403203,12.44208629,12.89988732,12.6034576,12.81807609,11.88346722,11.94781318,11.80649328,12.02720426,12.66866368,12.28992705,12.02566268,11.94961024
Mongolia,20.51576734,16.55914025,17.81841309,16.87896655,17.55196317,18.11304604,15.76992552,21.39306471,20.66570554,14.17819429,21.0790087,27.89242142,34.01606434,43.42566197,45.15411683,44.90868541
Montenegro,28.98757226,29.1520316,28.86462868,28.98190331,29.52103843,30.94397492,29.5105501,31.40043798,27.03440518,28.07822903,30.78181996,31.95478121,30.77348282,29.58619747,28.71335633,32.82858496
Montserrat,,,,,,,,,,,,,,,,
Morocco,67.77098542,68.13285498,72.02438531,70.77653569,71.1648676,70.58404657,67.83263311,74.02560646,73.43765132,72.59099541,71.62549333,67.2446886,63.69202827,63.12600065,61.24981755,62.04367525
Mozambique,32.86449374,39.11787575,35.12763809,34.80739053,31.19290843,27.62051378,27.50502564,24.83335303,27.15905259,30.32369509,25.54026445,27.15893753,26.73734608,28.73375637,26.94926568,28.26327605
Myanmar,81.11577746,84.25217396,86.07824026,89.91089199,89.47953222,86.56375384,88.20285426,84.76154648,87.67112205,86.48982595,91.02094693,85.62401771,88.28006116,88.96896789,88.66840128,87.82303892
Namibia,29.01274049,27.63935523,28.64900083,27.55945726,26.67096126,31.07591952,43.74090101,41.99373329,42.9407456,50.44730297,51.08947582,56.53569709,45.62361784,45.43115622,45.03084307,41.61571437
Nauru,21.64756263,18.08529287,16.6879286,14.03118519,16.98269177,18.52018792,19.34328977,20.08724592,25.07870482,18.79590569,24.27053594,22.71422251,16.62609136,25.41574477,31.51311267,31.49200905
Nepal,82.71109045,82.57693261,79.38064712,76.98383466,80.44337266,78.27614118,71.42182823,71.84234522,73.46126499,70.86224325,68.6193387,62.66835838,66.48046278,62.88388351,61.89815718,65.41318621
Netherlands,28.95676845,33.82185757,32.18188682,35.85435132,37.29350749,36.92011665,37.19246299,37.54119814,30.7599875,31.35350251,31.41561601,16.20062039,16.46523033,16.45513821,14.26775613,13.62165552
Netherlands Antilles,,,,,,,,,,,,,,,,
New Caledonia,,,,,,,,,,,,,,,,
New Zealand,22.83120729,23.31907441,22.70668405,22.96201238,22.51817715,21.98391421,23.57765249,22.10231912,21.6615881,20.36521454,20.3264095,19.92865796,17.6035503,17.15666298,16.97367719,16.77906392
Ngorno-Karabakh,,,,,,,,,,,,,,,,
Nicaragua,35.59766475,40.79003864,51.09128346,50.73372224,54.21259843,46.54165474,46.07556595,47.5859151,43.39204361,44.66997896,43.53933019,45.14954039,45.14816723,45.15078702,45.19702649,
Niger,60.13224263,62.51545647,56.11133494,56.2462207,56.29616306,56.18529589,51.34830404,51.06444975,53.6527909,52.8302382,50.00840304,47.49555168,50.36109954,48.17282453,49.72287113,49.11675789
Nigeria,74.44633639,79.23989525,76.48741879,73.85994437,70.8751614,66.53952054,68.64956773,74.42065079,77.59633192,67.30771574,70.83049086,66.02241022,60.42913415,58.83222385,64.9362175,62.10900941
Niue,1.60980728,1.33355222,1.52682374,1.64713711,1.41015492,1.54544942,0.4,1.40142913,1.08733245,0.84561482,0.95035699,0.78377611,0.75817599,0.74096186,0.70106688,0.7018709
Norfolk Island,,,,,,,,,,,,,,,,
