Row Labels,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.4,,,,,,,43.5,,,
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,29.8,,,27.4,,,25.8,22.8,24.8,23.4,23,23.1,19.7,24.4,,19.6,,
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.9,,,,,,7.1,,,
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,4,5.6,3.5,3.4,2.3,3.8,4.1,2.6,,3.1,,5.3,2.2,,
Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,,,,,,,3.8,,,,,3.6,,,,,,,
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7,,,,3.8,,,,,,,4.9,,,
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.1,,,,,17.6,,17.5,,,16.5,,,,,,
"Korea, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.8,,,,,,,
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,,,,,,,,,2.7,,,
Laos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.4,,,,,,31.6,,,
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,,,,,
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,16.6,,,,
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.8,,,,,,,20.4,,
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,,,,,,,,,,,,5.6,,
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,,,,,1.2,1.8,,,,
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.5,,,,,35.5,,,,,,,36.8,,,,,
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.4,,,,,,,,21.5,,,,,18.4,15.5,,,
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.5,,,,41.5,,,25.7,,,,,,,,
Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,38.2,,,,,30.1,,,,,27.9,,,
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.4,,,,,,23.2,,
Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.9,,,,,,,,,,6,,,,,,,3.4,,,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,,,,
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.8,11.6,,,,4.8,5.3,,,,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,,,
Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.7,,,,,8.1,,,,,,,,,,,,9.9,,,,,
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.1,,,,,,21.2,,,,,,
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.1,,,29.6,,,,,,
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.5,,,,,,,,20.3,,,,,,,17.5,,
Nepal,,,,,,,,,,,,,,,,60.8,,,,,,,,,,,,,,,,,,,,,42.9,,38.2,,,43,,,,,38.8,,,
Netherlands,,,,,,,,,,,,,,,,,,,,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6,,,,,10.3,,,7.8,,,,4.3,,,,
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,45,,43.6,,,,,,39.9,,,
Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.1,,,,,,,,,,,,,27.2,,,,,,
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,11.3,,,,,,,,,,
Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,,,,,,,,,31.3,,,,,,,,
Panama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3,,,,,,,,,,,,
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,24.6,,,,,,,,,,,,,,,,,,,,,,18.1,,,,
Paraguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,,,,,,,,,,,,,,,,,,,
Peru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8,,,,5.7,,,,5.2,,,,,5.4,,,,
Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.7,,,,,26.2,
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,3.7,3.8,3.5,,,,,,,
Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.3,,,,,,,,20.3,,,,,18,,,,
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1,,,,,,,,,
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3,,,,
Senegal,,,,,,,,,,,,,,,,,,,,,,,,,,,17.3,,,,,,,21.9,,,,,,,20.3,,,,,14.5,,,,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,,,
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.7,,,,,28.3,,,,
Singapore,,,,,,,,,,,,,,,,,,12.2,,,,,,,,,,,,,,,,,,,,,,,3.3,,,,,,,,,
Solomon Islands,,,,,,,,,,,17.7,,,,,,,,,,,,,,,,,,,16.3,,,,,,,,,,,,,,,,,,,,
Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.8,,,
Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.3,,,,,,,,,,,,,22.8,,,,,,,21.1,,
Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.4,,,,,,31.7,,,
Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.4,,,,,,,,,
Swaziland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.1,,,,,,,6.1,,
Syria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.1,,,,,10,,,
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.9,,,,
Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.1,,,,26.9,,,25.3,,,,,,16.7,,,,
Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.4,,,,,,,,,,,,,,,,,,,7,,,
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.6,,,,,,,
Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.2,,,,,,,,,,23.2,,,,,,,,22.3,,,
Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7,,,,,,,,,,,,,4.4,,,,,,,,,
Tunisia,,,,,,,,,,,,,,,,17.2,,,,,,,,,,,,,8.5,,,,,,,8.1,,,,,,,,,,,3.3,,,
Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.7,,,,,7,,,,,,3.5,,,,,
Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.7,,,,,,21.5,,,,,,19,,,,,16.4,,,
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1,,,,,,,,,
United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,1.1,,1.3,,,,,
Uruguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4,,6,,,,,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.3,,,,,,7.1,,,,4.4,,,
Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.9,,,,,,,26.7,,,,,,20.2,,,
West Bank and Gaza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,,
"Yemen, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.6,,,,,,43.1,,,,,,
Zambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.2,,,,,19.6,,19.6,,,23.3,,,,,14.9,,
Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,11.7,,,,,11.5,,,,,,,14,,,
