RTI 15-29 all age adj,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Cuba,,,,,,,,,,,,,,,14.08511,,,,13.9896,16.24575,17.3585,13.00873,12.11028,12.26171,12.78925,13.99626,14.40827,18.06338,,,,,,,,,,,,,,,21.90588,19.35011,20.92376,19.70336,18.31079,18.2935,18.86762,14.90837,15.33325,14.24296,12.61156,12.74585,11.84406,10.50755,9.416038,8.388514,
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.15261,22.58984,,,,24.02069,26.36225,22.95918,19.49988,
Czech Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.25493,10.61586,11.1897,13.28166,17.1144,18.95953,20.50522,20.29177,17.98981,17.99776,15.47128,18.0773,16.25909,12.38495,14.47978,12.99565,14.77323,12.94298,12.55557,12.94331,9.919244,13.29047,11.27339
Denmark,,9.444544,9.863698,13.50495,19.78976,19.27841,15.93115,14.99351,14.17667,18.30932,17.13668,19.37167,17.47604,17.2683,21.00488,23.58696,22.71689,23.5476,24.2042,27.32522,27.40823,27.69007,26.5596,27.67681,21.32347,21.80609,25.71413,23.29908,25.73697,23.65718,23.37228,20.94115,17.22318,16.70689,20.37008,21.00325,20.6874,18.75533,19.59456,17.31245,16.34803,15.10835,16.28149,14.21137,15.30849,18.15378,15.39709,13.7142,15.00514,17.10151,14.95259,12.55092,13.61843,11.50644,10.20845,9.830336,9.366093,,
Egypt,,,,,,,,,,,,,,,,,,,,,1.491022,1.352708,1.976525,1.840012,1.954585,2.160387,2.637712,1.838623,2.244407,2.343966,6.805144,,,,,,,6.277665,,,,,,,,,,,,,5.810554,,,,,,,,9.111987
El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.42119,21.04048,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.84168,27.66313,,,16.80561,18.7372,20.43225,29.65834,35.63694,47.67589,49.44241,32.27324,34.58079,43.24367,36.86862,19.7917,41.95948,33.14974,26.22981,22.48492,19.08428,25.00894,17.11045,12.59675,16.47219,21.3109,22.41698,15.12313
Finland,,,8.981471,9.039325,11.31225,11.84547,12.9297,16.00967,13.40579,17.81386,20.71267,23.19334,21.21781,20.31604,27.38997,25.63452,24.29101,24.24307,22.20393,21.13862,25.34869,24.69362,24.88676,26.23034,18.20219,23.27877,20.68445,14.90654,14.12941,15.5823,12.44222,12.41179,13.52644,14.17363,12.38533,12.97806,15.8686,16.5757,18.49941,19.15923,21.38301,18.53222,16.42948,12.25232,11.86849,10.29656,10.9836,8.47592,11.00689,9.737912,8.806669,13.34989,10.35309,9.433732,11.19161,9.201888,9.839898,12.44115,8.81991
France,7.595054,,9.54638,14.08808,21.40077,23.975,23.50158,24.43212,22.58321,22.11874,22.36067,23.29882,24.19831,25.36085,29.15434,31.48254,33.93459,37.11006,38.69189,29.41177,29.78105,33.97532,38.46851,36.30594,32.23126,32.70038,34.84333,33.57408,32.11808,33.52349,34.30854,33.51754,33.21136,32.30111,32.45392,29.51794,30.89444,27.72068,30.23252,31.12111,30.91295,28.82878,26.89865,26.29518,24.25251,24.03239,22.07123,22.4463,24.64126,25.26059,22.5493,23.30462,21.64107,16.84662,15.93809,15.81977,13.58752,12.84204,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.434287,2.901089,,,9.703613,8.983842,9.596678,17.20532,16.9849,14.16055,5.732627,10.36639,,2.555708,2.673327,6.469989,7.709914,5.613938,6.917431,5.353571,7.842505,,,,,,,
