RTI 15-29 all age adj,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Sri Lanka,2.174994,2.32504,2.445868,2.485951,2.710001,1.972983,2.114042,2.503116,1.905957,1.999559,1.650516,1.435784,2.092448,1.357841,1.833823,1.027889,1.62549,1.776873,1.019954,,,,,,,,,2.935403,,,4.582149,7.161097,,6.691071,5.723926,3.769726,2.766035,,,,,,,,,,,,,,,,,,,,,,
Sweden,,13.09485,15.13995,17.34378,17.22598,15.95522,17.49506,17.67254,17.55049,16.77104,16.43089,16.77373,19.09842,20.29899,20.70237,20.88749,20.21943,18.65041,21.3059,21.19538,21.89522,21.07905,21.02704,19.88094,20.02256,20.49664,19.28005,16.85515,17.79371,16.79815,14.79907,15.80721,14.15108,15.48495,15.75713,16.03641,17.10513,15.77045,15.96399,15.97136,15.34229,12.32401,12.24172,10.57167,7.579977,7.440896,7.92445,7.391567,7.723417,7.4984,9.887278,10.32897,9.52418,9.096306,7.641672,7.59791,8.10966,6.683863,
Switzerland,,14.43689,15.62502,19.24018,20.41112,21.87835,22.0287,24.00324,23.19865,21.79338,23.96266,26.76127,24.07695,20.71964,22.99625,20.05966,22.41497,25.77031,23.94152,27.09557,29.30382,32.65844,36.3454,30.43658,29.68321,27.99117,25.51103,29.7097,25.65564,28.11096,29.17469,29.11062,27.50715,30.47312,28.11784,23.66783,24.58703,24.373,24.40642,24.37355,23.50792,20.05695,17.67009,16.38578,14.16326,16.45963,13.12447,13.29543,13.60257,12.57601,11.9132,10.55634,10.83703,12.72987,11.27809,7.841539,8.018752,7.945469,
Trinidad and Tobago,,0.6445982,2.547665,13.07129,13.03062,16.59331,13.88149,7.910703,8.995361,,15.68637,17.12881,11.72154,5.228043,,,,17.04735,13.21634,,23.40322,16.54435,20.20541,22.82447,18.17633,17.63275,22.09017,22.22375,23.62663,23.36211,24.05795,15.12173,23.97059,19.2384,23.1787,24.45293,21.22714,16.83277,10.95136,14.414,9.220424,10.02452,9.757678,16.10989,13.09721,10.10485,12.53552,7.770192,15.04809,14.12371,12.7582,13.68179,13.53046,,,,,,
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.55542,15.57951,,,13.79191,13.23618,15.07147,16.88324,16.9057,16.83243,16.83142,15.94484,13.18218,9.214965,6.374325,8.012594,5.422713,6.641071,,,,,,,,,,
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.47154,20.14431,,,16.46442,19.61204,20.11806,26.41405,34.1201,34.08263,27.37818,25.71442,20.35144,20.88765,19.68263,17.58445,15.32882,15.2414,13.79052,15.26762,19.16913,20.95644,20.66187,19.962,24.91434,27.27963,,
United Kingdom,11.6273,12.59635,11.55549,12.49367,13.03091,15.3512,14.51023,15.24316,16.50658,19.70839,20.82932,21.04577,18.73026,18.77142,22.25144,22.50579,22.22511,21.0952,18.75441,19.18456,20.21977,20.77468,20.8488,21.74496,20.07638,19.14784,20.76132,20.70251,23.0108,20.5238,20.23326,15.31796,18.61154,16.80011,16.86037,15.57702,16.04842,16.029,14.54469,15.75592,16.15274,15.18349,13.27734,10.7999,10.75872,10.57825,11.17816,11.24723,9.790155,9.886345,9.679878,9.682261,10.65496,10.97176,10.15221,10.02284,10.15832,8.979742,
United States,32.04041,33.80696,36.10696,36.2673,33.89457,37.83826,39.30016,36.80788,34.15611,35.2427,34.89765,33.90644,35.64851,37.35814,39.29699,40.97751,45.06089,44.35809,45.97953,46.31438,42.83568,41.98356,42.76247,42.41084,36.51692,35.14548,35.9342,38.57153,40.89721,41.01546,40.37007,37.88803,33.22873,31.14907,32.94994,32.28117,34.88622,34.07698,34.3219,32.16542,31.18333,28.88104,25.77983,26.15418,26.40496,26.676,26.35523,25.26282,24.27176,24.5877,24.20556,24.29563,25.16752,24.13309,24.02616,23.59593,,,
Uruguay,,,,,,10.36084,8.033544,5.287095,6.587989,5.367278,4.396248,,,6.549167,7.073501,5.7229,8.312817,6.420877,6.4552,6.567523,6.032856,7.192747,8.838906,7.542387,5.278329,6.577915,6.523,3.955775,8.249157,,17.04079,17.49804,13.08889,9.12349,11.36868,9.88782,9.670979,9.038239,11.54531,17.10871,14.19667,,,14.20519,14.11376,15.13248,14.85439,16.37963,18.75389,16.69545,11.61106,12.67077,,,11.74832,,,,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.26324,15.36364,,,13.84607,13.05468,13.48207,15.49894,18.67371,16.96171,15.73632,10.93732,7.73841,6.048825,6.111632,7.066601,7.352611,6.368694,6.518441,6.710302,6.835998,4.129549,6.269465,8.435798,7.483351,,,
Venezuela,,,,,,14.48045,13.25583,16.33574,26.55399,26.15253,22.68768,23.33275,21.45862,20.94371,26.28669,28.12079,27.6407,30.01391,31.12789,34.63753,34.66307,32.25261,34.6902,43.23494,42.88012,45.61122,52.79981,50.1028,53.73658,51.2238,53.56126,50.41105,48.37269,43.38768,,30.57547,33.81759,30.87215,29.25029,25.20604,26.18191,,28.22959,29.64287,29.40218,,19.8937,20.92721,24.04042,23.86072,27.60717,30.59762,28.90342,24.86553,23.81016,23.12086,,37.43202,
Czechoslovakia,,,,11.30333,11.62391,13.55925,17.25011,16.85306,17.60703,22.90565,22.7441,20.33178,19.89676,20.86301,23.24739,22.50019,22.77407,23.35308,31.51772,33.04945,27.13412,25.98346,25.13227,23.42116,21.1527,20.68348,21.71139,18.52031,17.92322,15.42413,14.92694,13.77444,12.30674,12.60588,11.28152,12.29388,12.13988,11.19614,12.04989,13.65892,18.80949,19.85726,,,,,,,,,,,,,,,,,
East Germany,,,,,,,,,,,,,,,,,,,,,,,,23.80174,21.15644,,,27.82815,,,20.07367,21.60877,19.66157,19.87827,19.24542,17.19265,16.22819,17.17344,16.96531,17.40564,34.89729,,,,,,,,,,,,,,,,,,
West Germany,,,18.79764,29.13088,30.30291,34.1473,34.99582,35.07652,31.63289,36.31202,36.33054,35.70977,33.9579,34.91724,38.78084,35.6237,38.7476,41.30191,39.67041,41.96106,47.97213,49.38929,48.78628,40.38345,36.17889,39.28255,38.53582,40.05261,37.75289,36.11492,35.06587,32.17707,31.16761,32.00927,27.48501,22.53416,23.31429,22.06497,22.96339,21.77474,21.37321,,,,,,,,,,,,,,,,,,
USSR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.12213,19.56429,18.85294,16.5349,16.44287,17.61539,24.45428,30.15928,29.5256,,,,,,,,,,,,,,,,,,
Yugoslavia,,,,,,,,,,,,,,,,,,,12.18061,14.74712,,,,,,,,,24.28036,23.77916,21.7883,22.38156,20.93876,20.01784,18.87302,17.16799,17.06231,16.00837,15.99001,16.41637,18.72199,,,,,,,,,,,,,,,,,,
Serbia and Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.02013,11.30052,9.39708,8.652332,12.54843,8.46161,,,,,,
