,1760,1761,1762,1763,1764,1765,1766,1767,1768,1769,1770,1771,1772,1773,1774,1775,1776,1777,1778,1779,1780,1781,1782,1783,1784,1785,1786,1787,1788,1789,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2030,2050,2099
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.806663928,4.806663928,4.68085234,4.68085234,4.68085234,4.555798024,4.555798024,4.555798024,4.555798024,4.431570147,4.431570147,4.431570147,4.308200117,4.308200117,4.185741656,4.185741656,4.185741656,4.064236317,4.064236317,3.943716495,3.943716495,3.943716495,3.824232736,3.824232736,3.700995909,3.700995909,3.588491298,3.588491298,3.476823642,3.48584264,3.490352139,3.383459078,3.396539461,3.405259716,3.413979971,3.306680545,3.315105209,3.323529873,3.220373762,3.228506019,3.236638276,3.129420626,3.141185365,3.149028524,3.041875452,3.045654179,3.038096725,3.022981816,2.888247715,2.855509391,2.811858292,2.658680303,2.606206349,2.550234132,2.497760179,2.349155439,2.298744378,2.251694054,2.115649741,2.070498679,2.028572693,0.889413178,0.3742428553,0.09643866552
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.265507817,2.175029156,2.084550495,1.994071835,1.845919538,1.703736932,1.567471641,1.609380026,1.645657523,1.676423851,1.701783202,1.721861085,1.802436476,1.412714977,1.525678661,1.312548486,1.481614688,1.457742335,1.43173138,1.403657933,1.373657276,1.405188035,1.371883997,1.336711285,1.299954026,1.322028717,1.293946203,1.324254852,1.281020473,1.232347518,1.177076649,1.118188167,1.056400438,0.990831785,0.9224174279,0.8535940578,0.7849642561,0.7158007822,0.7019870829,0.635361109,0.6202334635,0.6051058181,0.5459074131,0.5340865833,0.5233403744,0.5136687864,0.4637994799,0.4548992767,0.4459990734,0.4370988702,0.3925931607,0.3853397074,0.378086254,0.3717394824,0.3344262155,0.3302872772,0.3261483389,0.2943176744,0.2920536923,0.2882803887,0.2569626643,0.2501103266,0.2418875213,0.2316090148,0.2206452744,0.2309261753,0.2196062647,0.2097956756,0.1836426508,0.1781607806,0.174049378,0.1541664273,0.1498149555,0.1318386969,0.1267462151,0.1097759278,0.1046462115,0.09951649527,0.08636300681,0.08216156324,0.07889377379,0.07655963847,0.07422550315,0.0661393412,0.06529140092,0.04704002712,0.04383942069,0.0340436711
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.972339925,2.968273796,2.854910045,2.850988465,2.743355998,2.743355998,2.644529079,2.648166671,2.550234132,2.55723066,2.46342051,2.470141985,2.373655806,2.281397312,2.281397312,2.187076852,2.187076852,2.091203113,1.996833408,1.999535483,1.906431633,1.81503015,1.812577406,1.720598734,1.628378356,1.621740944,1.525763594,1.430722796,1.414869912,1.316395435,1.216621171,1.19021116,1.088426235,0.9890795277,0.8927231572,0.8011769429,0.7145449913,0.6831502202,0.6051058181,0.5319373415,0.5061464401,0.4803555387,0.4173206408,0.3916089425,0.3658972443,0.3128051742,0.2910448143,0.272911181,0.2584042743,0.2251582441,0.2168803675,0.2119136415,0.1901744973,0.1879105152,0.1864011938,0.1671970402,0.1658265727,0.1630856376,0.1610299363,0.1435985673,0.1404903732,0.07122698283,0.0590872798,0.04239254461
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.439863223,4.440324507,4.440785792,4.441247076,4.441708361,4.442169645,4.44263093,4.443092214,4.443553499,4.444014783,4.444476068,4.444937352,4.445398637,4.445859921,4.446321206,4.44678249,4.447243775,4.447705059,4.448166344,4.448627628,4.449088913,4.449550197,4.450011482,4.450472766,4.450934051,4.451395335,4.45185662,4.452317904,4.452779189,4.453240473,4.453701758,4.454163042,4.454624327,4.455085611,4.455546896,4.45600818,4.456469465,4.456930749,4.457392034,4.457853318,4.458314603,4.458775887,4.459237172,4.459698456,4.460159741,4.460621025,4.46108231,4.461543594,4.462004879,4.462466163,4.462927448,4.463388732,4.463850017,4.464311301,4.464772586,4.46523387,4.465695154,4.466156439,4.466617723,4.467079008,4.467540292,4.468001577,4.468462861,4.468924146,4.46938543,4.469846715,4.470307999,4.470769284,4.471230568,4.471691853,4.472153137,4.472614422,4.473075706,4.473536991,4.473998275,4.47445956,4.474920844,4.475382129,4.475843413,4.476304698,4.476765982,4.477227267,4.477688551,4.478149836,4.47861112,4.479072405,4.479533689,4.479994974,4.480456258,4.480917543,4.481378827,4.481840112,4.482301396,4.482762681,4.483223965,4.48368525,4.484146534,4.484607819,4.485069103,4.485530388,4.485991672,4.486452957,4.486914241,4.487375526,4.48783681,4.488298095,4.488759379,4.489220664,4.489681948,4.490143232,4.490604517,4.491065801,4.491527086,4.49198837,4.492449655,4.492910939,4.493372224,4.493833508,4.494294793,4.494756077,4.495217362,4.495678646,4.496139931,4.496601215,4.4970625,4.497523784,4.495217362,4.492910939,4.490604517,4.488298095,4.485991672,4.48368525,4.481378827,4.479072405,4.476765982,4.47445956,4.472153137,4.469846715,4.467540292,4.46523387,4.462927448,4.460621025,4.458314603,4.341728435,4.339481164,4.337233892,4.334986621,4.219332457,4.217144006,4.214955556,4.212767106,4.218846135,4.129801326,4.153467809,4.063231849,4.086252993,4.109274137,4.022851797,4.045232057,3.957428475,3.979172587,3.995480672,3.900611218,3.911167676,3.805430332,3.805430332,3.800308623,3.675236655,3.665303583,3.532550062,3.513299108,3.494048154,3.369453518,3.360132761,3.2423297,3.2423297,3.2423297,3.1349318,3.1349318,3.139291928,3.139291928,3.139291928,3.139291928,3.037091303,3.037091303,3.037091303,3.037091303,3.032878971,3.02866664,3.024454308,3.020241976,3.00760498,2.999180316,2.986543321,2.870686713,2.858488327,2.745105812,2.729419493,2.618657998,2.599764362,2.484475049,2.3613279,2.234890367,2.194561519,2.060823452,1.925895021,1.876433833,1.82388132,1.698757934,1.651405796,1.53939715,0.6618579139,0.2976224305,0.08589617975
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.656526198,3.616553271,3.576580344,3.575123489,3.573666633,3.572209778,3.570752922,3.569296067,3.567839211,3.566382355,3.5649255,3.563468644,3.562011789,3.516849267,3.471686746,3.426524224,3.381361702,3.336199181,3.309975781,3.188430338,3.162968161,3.137505985,3.112043808,3.306282635,3.605173852,3.805219687,3.421084115,3.054075514,3.051330278,2.956221302,2.862097086,2.859517458,2.766493772,2.650340724,2.623752719,2.511137053,2.485429741,2.376344921,2.262263775,2.151362954,2.043626397,2.014258129,1.910754105,1.919338821,1.854079685,1.82865,1.732330868,1.638958725,1.548515666,1.526044116,1.43945945,1.355788341,1.335218059,1.255321679,1.235679672,1.15941562,1.140688199,1.121960778,1.045163037,1.022156304,0.99914957,0.9761428365,0.953136103,0.93144404,0.9097519769,0.8880599139,0.8235186549,0.7619306225,0.7206382655,0.6803027446,0.6409424658,0.6025637671,0.6016200494,0.5580417546,0.550862773,0.5095464877,0.5028182665,0.4960900453,0.4940230035,0.4919559615,0.5227092555,0.4898889197,0.4898889197,0.4565061599,0.4565061599,0.4242319732,0.4242319732,0.4228809159,0.3918067439,0.3918067439,0.3905509531,0.3892951622,0.3880393714,0.3867835805,0.3855277897,0.3842719989,0.3549178356,0.3549178356,0.3549178356,0.3560815006,0.3572451657,0.3331324765,0.338505581,0.3438786854,0.3223851396,0.3283186084,0.3332631657,0.3073650842,0.3073650842,0.3055517209,0.3019249942,0.2706865655,0.2657198395,0.2615809012,0.2582697506,0.2331901574,0.231680836,0.2309261753,0.2294168539,0.2279075325,0.2048848977,0.2028291964,0.2000882613,0.1973473262,0.1939211573,0.172193953,0.1690857589,0.165355926,0.1616260931,0.1437211546,0.1403261667,0.1374970101,0.1346678535,0.1324045282,0.1184964454,0.1174705021,0.1164445589,0.1154186156,0.114905644,0.1041024352,0.1031687811,0.06858344977,0.05385685204,0.03369805007
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7015023296,0.6994869638,0.6509922763,0.6493981278,0.6493981278,0.6066247005,0.608786392,0.568496516,0.5711336767,0.5305148893,0.5294675908,0.5250456637,0.4765943656,0.4639138391,0.4114860631,0.3934878743,0.3434510145,0.3269494082,0.3125331697,0.2743288312,0.265554282,0.258104193,0.2288131253,0.222021179,0.2147764362,0.2071543631,0.1996832221,0.1928158097,0.1870803884,0.1827033563,0.1799865778,0.1790809849,0.1796847135,0.1815713653,0.2020629683,0.205374119,0.2283931113,0.2311131563,0.2537546835,0.2536557923,0.2509857314,0.2454478271,0.2372398619,0.2269551826,0.2024796237,0.1632026996,0.1632026996,0.1407239026,0.1241681493,0.1056524985,0.09810589145,0.08222805257,0.095932728,0.08702943475,0.08702943475,0.08702943475,0.08081304656,0.09800198415,0.09839806608,0.09845464921,0.09845464921,0.07419477378,0.05856003376,0.04303811635
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.149334102,1.07892069,1.003580416,0.9296284861,0.8573056095,0.7883788921,0.7724374071,0.7052518789,0.6404533314,0.6241280504,0.5608865467,0.5422679062,0.5201582705,0.4588631209,0.4362960821,0.4126544225,0.358974864,0.3382077231,0.3194184051,0.2765379076,0.2638443643,0.2529641844,0.2226748811,0.2160525798,0.1924384794,0.1894198366,0.1864011938,0.1848918724,0.1665118065,0.1651413389,0.1637708714,0.1479500391,0.1467067614,0.1460851226,0.1454634838,0.144841845,0.1442202062,0.1435985673,0.1423552897,0.1411120121,0.1398687344,0.1256145524,0.1239170585,0.1216537332,0.1193904079,0.1165612514,0.1142979261,0.1120346008,0.1097712756,0.1080737816,0.1058104563,0.1046787937,0.1035471311,0.1024154684,0.1012838058,0.1001521432,0.09028300602,0.08925706277,0.08874409114,0.08771814789,0.08720517627,0.06474716732,0.05824003358,0.03902873393
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.431904484,3.421305801,3.410707117,3.400108433,3.389509749,3.378911065,3.368312382,3.357713698,3.347115014,3.33651633,3.325917646,3.315318963,3.304720279,3.294121595,3.283522911,3.272924227,3.262325544,3.25172686,3.241128176,3.230529492,3.219930808,3.209332125,3.198733441,3.188134757,3.177536073,3.16693739,3.144654818,3.122372247,3.100089675,3.077807104,3.055524532,3.033241961,3.010959389,2.988676818,2.966394246,2.944111675,2.921829103,2.899546532,2.87726396,2.854981389,2.832698817,2.810416246,2.788133674,2.765851103,2.743568532,2.72128596,2.699003389,2.676720817,2.654438246,2.632155674,2.609873103,2.645237237,2.48256222,2.652310064,2.567436142,2.807912254,2.737183986,2.970587271,3.013024232,3.034242713,3.013024232,2.991805752,3.06253402,2.949368791,3.034242713,2.977660098,2.814985081,2.857422042,2.864494869,2.737183986,2.737183986,2.607974597,2.546206777,2.489029192,2.449098242,2.315215985,2.315215985,2.185717427,2.210697055,2.163296806,2.133083164,2.062427594,2.015687025,1.964294614,2.009450812,1.945154546,1.860240561,1.870750395,1.797540562,1.757032606,1.706030451,1.681658588,1.579745857,1.537556798,1.387043537,1.369029985,1.227334856,1.218691652,1.12672587,1.130868245,1.082647434,1.078681693,1.012436603,0.9160574585,0.9558860437,0.9044729967,0.8630467526,0.8216690543,0.8216690543,0.7810305907,0.7810305907,0.7765771778,0.7765771778,0.7356360186,0.7356360186,0.6955452927,0.6083544298,0.5740531228,0.5740531228,0.5405248908,0.5078219666,0.5159272683,0.4501295659,0.4675648677,0.4307099388,0.4275216418,0.4127395376,0.4057832533,0.4011457304,0.3818710258,0.3241196173,0.2962410606,0.2544935431,0.2520498465,0.2645951312,0.2655997639,0.2735112462,0.2569372397,0.2565881402,0.2585663707,0.2625228318,0.2750904142,0.2763704457,0.2989455474,0.2600837169,0.2705661785,0.2952889653,0.27889528,0.2706444768,0.270735145,0.2780792665,0.2773539211,0.2884154374,0.2643126005,0.264147043,0.2711004593,0.2756532915,0.2831861592,0.2581694267,0.2847589558,0.2604334088,0.2677536176,0.2589240874,0.2522830732,0.2380199859,0.2243606272,0.217719613,0.2148519023,0.217795079,0.2178705451,0.2157574951,0.2222475772,0.1879596235,0.1706917325,0.1590427584,0.1335280185,0.1280575968,0.1247629111,0.1102805237,0.1079040322,0.09700293431,0.09926000946,0.09895222648,0.08981752709,0.08589617975,0.09864444351,0.08720329553,0.08612959328,0.08547603539,0.08580281434,0.08063911984,0.07126042403,0.07276348327,0.07164582384,0.07099064417,0.07021984456,0.06316711579,0.06253403779,0.0619713018,0.05616003238,0.0561920324,0.0553280319,0.0561920324,0.05088744722,0.0513241244,0.05213925513,0.04798567915,0.04798567915,0.04832899992,0.05123402177,0.05149811467,0.04325330693,0.0354261552,0.01933989848
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.691896781,2.691896781,2.691896781,2.691896781,2.691896781,2.691896781,2.691896781,2.691896781,2.691896781,2.691896781,2.691896781,2.691896781,2.691896781,2.691896781,2.691896781,2.691896781,2.691896781,2.691896781,2.691896781,2.691896781,2.691896781,2.691896781,2.691896781,2.691896781,2.691896781,2.691896781,2.691896781,2.691896781,2.691896781,2.691896781,2.691896781,2.691896781,2.691896781,2.691896781,2.691896781,2.691896781,2.691896781,2.691896781,2.691896781,2.691896781,2.691896781,2.691896781,2.691896781,2.691896781,2.691896781,2.691896781,2.691896781,2.691896781,2.691896781,2.691896781,2.691896781,2.691896781,2.691896781,2.691896781,2.691896781,2.691896781,2.691896781,2.691896781,2.691896781,2.691896781,2.691896781,2.670149684,2.648402588,2.626655491,2.604908395,2.583161299,2.561414202,2.539667106,2.517920009,2.496172913,2.474425816,2.45267872,2.433407227,2.474862871,2.457382717,2.465918336,2.518784669,2.419845752,2.360693621,2.3629202,2.368659066,2.328214266,2.335213597,2.310632754,2.274248156,2.23141569,2.237909305,2.227572512,2.133149633,2.13682493,2.040506379,2.154866178,2.008835698,2.03197953,1.955208403,1.98599614,1.918392087,1.888880119,1.832060013,1.832107936,1.758903941,1.763583744,1.830591497,1.799797355,1.75565843,1.679757626,1.629539126,1.526838186,1.503485618,1.434914775,1.393273008,1.272382495,1.225414332,1.166218164,1.07645158,1.032532174,0.9487058227,0.8689621268,0.8285635145,0.7545571401,0.9285275462,0.9081707479,0.9037345197,0.8376643446,0.8083434494,0.7342600813,0.6528208244,0.6069210477,0.5657279452,0.5413723138,0.5134721092,0.4845375977,0.4401813349,0.4134986588,0.392343497,0.3589824165,0.3574083312,0.3051680202,0.3587091644,0.534978271,0.5044047954,0.4738313197,0.4173688606,0.3885810639,0.3597932672,0.3109789242,0.3114090014,0.3118390786,0.2735848663,0.273961665,0.2377212071,0.2437490032,0.2186853515,0.2286793258,0.2383509138,0.2281418764,0.2367454062,0.266291057,0.2528646631,0.2598859346,0.2438973677,0.2266482619,0.2292144036,0.2302077488,0.2293799612,0.2235026688,0.2201749624,0.2168141445,0.213892054,0.2057631792,0.1896130419,0.1819891175,0.1572712906,0.1461475918,0.1438383301,0.137770858,0.1156126419,0.1116862524,0.1098703829,0.09931923422,0.1026450019,0.1040250401,0.1032417752,0.09692592476,0.08614781806,0.08342616942,0.08201724944,0.07344727728,0.0742423833,0.06749852516,0.0680493811,0.07036951161,0.07026214138,0.07008007883,0.06211586461,0.06033519004,0.06127640374,0.05364379892,0.05277664936,0.05162430394,0.05254926348,0.04674929305,0.04902133964,0.04845508654,0.04991116594,0.04501442595,0.04497282593,0.04412802544,0.0403198595,0.03988318232,0.0395920642,0.03677528127,0.03400523352,0.02128291191
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.18204762,1.171568474,1.091867397,1.077996123,1.011605014,1.007865255,1.009735135,0.9560423964,0.9648457333,0.9147411972,0.92135777,0.9263201997,0.8666072978,0.8604061722,0.7927265698,0.7753358589,0.7550466963,0.6836349631,0.6620180473,0.5965006518,0.57891958,0.562594299,0.546269018,0.4910666446,0.4747753342,0.4960373841,0.4784563123,0.4621310313,0.4445499595,0.4282246785,0.4131551883,0.399341489,0.3880393714,0.3805046263,0.3742256721,0.3432811852,0.3432811852,0.3432811852,0.3444448503,0.3729698812,0.3729698812,0.3692025087,0.3891044849,0.378296027,0.3634343974,0.3214824566,0.3051571756,0.267642958,0.2548426426,0.2443696573,0.219222662,0.2159987993,0.1977822942,0.1987712057,0.1840563779,0.1867764229,0.1894964679,0.1754909844,0.1771465597,0.178802135,0.163006712,0.1205220706,0.08988166881,0.05014811082
