Fixed broadband Internet subscribers (per 100 people),1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Cyprus,,,,0.2600152681,0.5999750988,1.005175658,1.680438981,3.085141619,6.01790375,9.182551337,13.67463911,16.14198609,17.62964642,
Czech Rep.,0,0,0.02433724332,0.06056763006,0.1499286663,0.3398527455,2.310059029,6.927265679,10.83343542,14.48322844,16.87959789,12.92040623,14.4581749,
Denmark,0,,1.254771879,4.441306916,8.394769204,13.32509302,18.82856267,24.79697134,31.9152141,34.4597888,36.130432,36.95140134,37.7209122,
Djibouti,,,0.0005465003484,0.0006670188526,0.000784023688,,,0.005195659892,0.01845372365,0.1300847099,0.2864535854,0.6060154342,0.9064116985,
Dominica,0,,0.1148237456,0.2519907267,3.229390629,3.830924855,4.708555879,4.932898078,5.96797671,9.498202648,10.71025103,12.2198993,13.81029412,
Dominican Rep.,,,,0,0,0.1667519325,0.4080738535,0.654924993,1.094667804,1.6109079,2.338315736,3.006200359,3.626866123,
Ecuador,,,,0.02089700826,0.05090302148,0.05324918586,0.08797119572,0.199502443,0.3372506215,0.7220362056,1.109773674,1.691490261,1.368060837,
Egypt,,,,0,0.0725860593,0.076714968,0.1087473432,0.1900173732,0.3421083663,0.6205124065,0.9827778192,1.3516562,1.787334969,
El Salvador,,,,0,0,0.3262199379,0.4863495042,0.6993456588,1.012167776,1.471282447,2.014298421,2.425255538,2.830195382,
Equatorial Guinea,,,,0,0,0,0,0.02961797745,0.0287642403,0.02795308851,0.02717690808,0.02642725531,0.1694285714,
Eritrea,0,0,0,0,0,0,0,0,0,0,0.0008893342747,0.001373088024,0.00224590788,
Estonia,,,,1.280990191,3.422530111,6.671311219,10.27777572,13.31256217,18.36928667,18.81540347,20.99531952,22.46500894,25.09873134,
Ethiopia,,,,0,0,0.00008052665904,0.00004825814301,0.00008213954833,0.0003434508651,0.001333017046,0.001883030121,0.004308531714,0.004951175407,
Faeroe Islands,,,,0.1164847491,0.2428425358,0.8299629255,6.540749243,12.15964192,27.08200103,29.7764144,30.61505854,32.6622108,33.40108401,
Fiji,,,,0,0,0,0,0.8510089927,1.02651302,1.376805261,1.544596047,1.505297874,2.703488372,
Finland,0,,0.6761705333,2.582879595,5.259010598,9.420653772,15.3017154,22.38235823,27.13496541,30.57450574,29.96010652,28.7289204,28.5738255,
France,0.02238003493,0.09113236067,0.3235582324,0.9828162222,2.684767918,5.749817186,10.49219066,15.03303434,20.03709171,24.67641426,27.77772498,30.8323342,32.89159411,
French Polynesia,,,,0.01035419635,0.01306122449,0.3809032965,1.808665379,4.315925766,7.064183574,9.030209111,10.46000431,11.2184097,11.89926199,
Gabon,,,,0,0,0.01290338251,0.04835694268,0.1116194375,0.1261816558,0.1392911255,0.1516917073,0.2502175952,0.2712292359,
Gambia,,,,0,0,0,0.002464921092,0.004721755589,,0.01690381228,0.01833620906,0.01783873074,0.02024291498,
Georgia,,,,0.00980302754,0.02111544641,0.03257178498,0.04399879582,0.0548014308,0.6139154161,1.06496673,2.557907704,3.400743629,5.703414196,
Germany,0,,0.3223393007,2.550093397,3.88539032,5.415938241,8.483176528,13.079757,18.18140964,23.93079884,27.57716387,30.39206209,31.90359147,
Ghana,,,,0,0,0,0.004261381594,0.008798600135,0.05750419611,0.07131345811,0.09877848242,0.1214007386,0.2053214169,
Gibraltar,,,,0,0,,,,,,,31.77701063,35.67569416,
Greece,0,0,0,0,0,0.09503321718,0.4651635404,1.441944387,4.378900763,9.09047212,13.40750553,16.98724426,19.9461824,
Greenland,,,,0,0,0.2096362195,5.833567613,12.51953983,16.23278261,18.5306339,21.20792501,22.14548231,21.80634662,
Grenada,,,,0,0.5522098201,,0.5944073008,3.136254794,5.380591438,7.352372107,8.292278472,11.88410809,13.88173077,
Guam,,,,1.110434275,,,,,,1.557686317,1.538128496,1.688172104,1.675977654,
Guatemala,,,,0,0,0,0,0.2131451738,0.2991966799,0.4266836901,0.6902422246,1.11161601,1.7999861,
Guinea,,,,0,0,0,0,0,0,0,0,,0.005009016229,
Guinea-Bissau,,,,0,0,0,0,0,0,0,0,,,
Guyana,,,,0,0,0,0,0.2680120873,,0.314904782,0.6764434297,0.9060932547,1.482516556,
Haiti,,,,0,0,0,0,0,0,0,0,,,
Honduras,,,,0,0,0,0,0,0,0,0,,1,
"Hong Kong, China",0.1681006159,1.308817074,6.668417104,10.67028581,15.40598449,18.83826588,22.37401047,24.35122997,26.19533039,27.41786627,27.73815154,28.8813056,29.86854839,
Hungary,0,,0.03329751891,0.3080615055,1.097177881,2.60930592,4.067528064,6.460640434,11.90692031,13.74158941,16.74725558,18.75797319,19.56218,
Iceland,0,0.02920171173,0.8385341655,3.657954577,8.441063845,14.35854394,19.09242178,26.29189779,28.88189557,31.43378931,32.66932145,33.61768797,34.34339623,
India,0,0,0,0.004666903218,0.007569527704,0.01269227022,0.02092625496,0.1182411683,0.1987833527,0.2666163238,0.4433756855,0.6413389789,0.897424905,
Indonesia,0,,0.001874454554,0.006937908068,0.01748647931,0.0277678563,0.03779943514,0.04760162281,0.08453732965,0.335009959,0.4177727937,0.7160472658,0.7922207863,
Iran,,,0.0002693507098,0.0009967796477,0.02405938745,0.02747507243,,,0.141679009,0.2799728505,0.4149992286,0.5469176895,0.675922296,
Iraq,,,,0,0,,,,0.00009144335098,0.0003345554729,0.0001789365672,0.0003891831154,0.0002403921201,
Ireland,0,0,0,0,0.2695865433,1.04590968,3.736860182,7.752564116,13.18439064,14.60284774,17.39092023,19.52395882,21.03698324,
Isle of Man,,,,,,,,,,,,,,
Israel,0,0,0,0.6812393229,3.526073059,9.463802562,14.39271552,17.74326489,20.14545558,21.28800435,23.04071804,24.71411777,24.46091291,
Italy,0,,0.201959506,0.6844841158,1.487121371,3.905934135,8.121142801,11.64059753,14.41670494,17.04770818,18.84648393,20.40687394,21.92252038,
Jamaica,,,,0.1241943387,0.3438401689,0.3427657387,1.023463857,1.697856927,2.562539897,3.466925779,3.621725216,4.162375723,4.318467802,
Japan,0.02531445297,0.1705487564,0.6736462521,3.016146411,7.373711013,11.67976714,15.30760248,18.23632927,20.69481433,22.15139459,23.58396727,24.81607224,26.71201403,
Jordan,,,,0.008317234367,0.06306073839,0.09674670798,0.1970510397,0.4352028088,0.8781289507,1.568668315,2.369932608,3.439932375,3.237704647,
Kazakhstan,,,,0,0,0.006693934725,0.01330181928,0.01977945642,0.19924112,1.746103381,4.21601405,3.586545384,8.74104025,
Kenya,,,,0,0,0,,0.01515952345,0.04850175206,0.04731728318,0.008534558121,0.0211569617,0.01025596722,
Kiribati,,,,0,0,,,,,0,,,0.9,
"Korea, Dem. Rep.",0,0,0,0,0,0,0,0,0,0,0,0,,
"Korea, Rep.",0.03024607341,0.5963489714,8.232641253,16.48330764,21.83779976,23.34704653,24.80881367,25.31892476,29.07278506,30.35664727,31.83508342,33.53584015,35.17865985,
Kosovo,,,,,,,,,,,,,,
Kuwait,,,,0.2488072182,0.5072914694,0.6112509674,0.9134568175,1.104233454,1.275813427,1.429844866,1.569642486,1.700496469,1.68128655,
Kyrgyzstan,,,,,0.0007213561496,0.002756186548,0.037358461,0.04439623446,0.05292911485,0.05912611039,0.3558576344,0.2844404815,0.2826725404,
Laos,,,,0,0,0.0004478659011,0.0008822924782,0.005457698405,0.01268494166,0.07802562133,0.1014114744,0.1374477004,0.1939203354,
Latvia,0,0,0.01196804868,0.137366662,0.4276018719,0.8400054702,2.124982543,2.641585873,4.793553,14.08800141,17.45779301,19.37907624,19.42277803,
Lebanon,,,,0,0.9047425051,1.77871694,2.000979479,3.207959688,4.637022426,4.643432735,4.679721089,4.693840109,4.731488053,
Lesotho,,,,0,0,0,0.001074740377,0.002178383465,,0.005222854451,0.006580765738,0.01861156774,0.01842468908,
Liberia,,,,0,0,0,,,,,0.003006729608,0.00391039563,0.004656985478,
Libya,,,,,0,0,0,,0.1636991668,0.1627081814,0.7519489009,1.005961198,1.145554681,
Liechtenstein,,,,,4.273478856,4.410986297,13.79601339,24.83571593,28.57551079,39.69829297,55.17862673,61.50061501,63.8321492,
Lithuania,0,0,0,0.06971549643,0.576523391,1.933585297,3.756296952,6.855892153,10.86346765,15.03641704,15.80285368,16.89751265,20.81098266,
Luxembourg,0,0,0,0.2751826057,1.305989802,3.399021323,7.967779609,15.07014821,20.93149711,26.80872429,29.30522869,31.36306383,33.2086785,
"Macao, China",,,0.8639233838,2.223206478,3.771981347,6.044974927,9.618252089,14.13199277,18.69514887,21.85011538,23.44796061,23.74683497,24.14926471,
"Macedonia, FYR",,,,,0,0,0,0.61017345,1.785774593,4.907755276,8.818995539,10.63080006,12.47296117,
Madagascar,,,,0,0,0,0,0,0.00738595323,0.01240227348,0.01784482594,0.02264940383,0.02587139133,
Malawi,,,,0,0,0.0005681376079,0.001106408075,0.003150690262,,0.0116929337,0.01927867344,0.02700402775,0.03436011006,
Malaysia,0,0,0,0.01669127169,0.07873443071,0.4405474437,0.9866960933,1.850940763,2.824764511,3.789119143,4.794195391,5.981524824,7.318404282,
Maldives,0,0,0,0,0.06731239327,0.1754661364,0.2464019135,1.104186425,2.095391408,3.409776009,4.99265356,4.91789606,4.793670886,
Mali,,,,0,0,0,0,0,0.02269584565,0.02282325684,0.01840250235,0.02018133963,0.01505530254,
Malta,,,0.4342319522,2.32985945,4.464743452,5.704221465,9.380762981,12.73013617,13.02828684,20.29898545,23.14042966,25.55756043,28.02139423,
Marshall Islands,,,,0,0,0,0,0,0,0,0,,,
Mauritania,,,,0,0,0,0,0.005381903481,0.03108666919,0.1245069525,0.1783170584,0.1776393507,0.1914450867,
Mauritius,,,,0,0.02354990431,0.09682608351,0.2078830147,0.4341835491,2.226793689,1.774591143,3.68558174,5.398844892,6.184777518,
Mayotte,,,,0,0,,,,,,,,,
Mexico,0,0,0.01500606335,0.04934395095,0.2255448048,0.4122814326,1.005250563,1.80530069,2.800568226,4.091179448,6.713285539,8.344696838,9.984766758,
"Micronesia, Fed. Sts.",,,,0,0,0.005538887607,0.02386941593,0.04204023067,0.0865296159,0.1053664208,,,0.8990990991,
Moldova,,,,0.006581374984,0.01153721206,0.01652426368,0.06739857056,0.2891369616,0.6077779513,1.468784178,3.224749286,5.243797473,7.55381808,
Monaco,,,,,,,,,,,,,,
Mongolia,,,,0.00201272122,0.003660243211,0.0201192913,0.03579294497,0.07066197314,0.135441421,0.2817669896,1.21853109,1.35496388,2.601923077,
Montenegro,,,,,,,0,1.222997133,,2.571015444,5.440212338,8.41609365,8.291139241,
Morocco,,,,0,0.006790265109,0.009109745426,0.2149447287,0.8197358603,1.276320526,1.539314878,1.544842125,1.503948661,1.560771181,
Mozambique,,,,0,0,0,0,0,,0.02633035699,0.04563222869,0.05469274659,0.06256092347,
Myanmar,,,0,0,0,0,0,0.0005245982387,0.008499037384,0.01378212972,0.02115329813,0.03151169544,0.03419302379,
Namibia,,,,0,0,0,0,0.006442459462,0.009345560599,0.01185742924,0.014542665,0.01917863696,0.4222514236,
Nepal,,,,0,0,0,0,0,0.003459839011,0.03861655938,0.04151479459,0.05286969006,0.1950499015,
Netherlands,0.4806710091,,1.632600469,2.905364392,7.251044326,12.2524684,19.69072299,25.12275222,31.76414975,33.61678791,35.29821029,37.0832191,38.09581127,
New Caledonia,0,0,0,0.06073880473,0.3160413563,0.7389195295,2.23673001,4.095685451,6.542424484,8.380775578,10.43302615,13.48440427,15.46396761,
New Zealand,0,0,0.120742392,0.4449684319,1.101684184,2.0609853,4.689785933,7.765064467,11.23643837,20.17406523,21.43317951,22.73043236,24.93131868,
Nicaragua,,,0.01379662669,0.03115388836,0.0444276364,0.08325972705,0.09337171015,0.1941988844,0.3466261293,0.4951781689,0.639828007,0.823084184,0.8222490931,
Niger,,,,0,0,0,0.0006136952063,0.001631536806,0.002577982484,0.003456271922,0.004269894125,0.006679019736,0.02389762764,
Nigeria,,,,0,0,0,0,0.0003575940898,,0.03647054191,0.04498435046,0.05305134496,0.06255909811,
Northern Mariana Islands,,,,0,0,0,0,0,0,0,0,0,,
Norway,0,,0.5187524201,1.961583614,4.524015135,8.735392471,14.6271595,21.44249627,26.70290175,30.49329678,33.09129292,34.55996468,35.25624872,
Oman,,,,0,0.004212127976,0.005822000054,0.02808686409,0.5449658573,0.8056226964,0.7877987824,1.230468535,1.515924135,1.633093784,
Pakistan,,,,0,0,0,,0.009202910518,0.01647604008,0.02745771313,0.08866937282,0.1776181849,0.3063412695,
Palau,,,,0,0,,0.3736807554,0.5023610972,0.4847333966,0.5020379759,0.5487443148,0.6979258822,1.167448222,
Panama,,,,0.2579469468,0.3986480829,0.4811610061,0.5262779116,0.5424724726,3.421920164,4.485158653,5.759305701,6.756807893,7.837332954,
Papua New Guinea,,,,0,0,0,0,0,0,0,0.04560815041,0.06642936282,0.08894721493,
Paraguay,,,0.002807128384,0.00550062973,0.008985195812,0.00880940224,0.05270583096,0.09495040198,0.09985692167,0.1405390654,0.2054494833,0.2491370083,0.4361171367,
Peru,0,0.0002943649482,0.004168295995,0.08692527766,0.1407150209,0.3488884188,0.8355103307,1.279527398,1.740085645,2.024484914,2.549114232,2.814588703,3.13535218,
Philippines,0,0,0,0.0126639364,0.02604476207,0.06683355613,0.1060322864,0.1437815749,0.3042255882,0.5596573891,1.159675721,1.878243143,1.846859888,
Poland,0,0,0,0.03137412716,0.3182915025,0.5123784929,2.293907882,2.476478396,7.632551902,10.94947976,10.45326075,12.57641782,12.9911167,
Portugal,0,0.002919794427,0.2459847782,0.9648888531,2.513318589,4.808221376,7.982987954,11.0474278,13.45087612,14.25665762,15.19169891,17.32009516,19.29808235,
Puerto Rico,,,,0.06323988318,0.5891756724,1.401653031,2.216346412,3.024198601,3.825892393,4.622865675,10.7802323,12.10633057,13.86425339,
Qatar,0,0,0,0,0.03652833429,0.457689365,1.52626177,3.119298015,4.780872829,7.380715537,7.46636964,8.84454222,8.189710063,
Romania,,,,0.02711010362,0.07246666293,0.9019680008,0.4808186714,1.743013467,5.049179471,8.910805758,11.57406224,12.98858434,13.90055042,
Russia,0,0,0,0,0.007570559839,0.2372069933,0.4692401793,1.11002445,2.035087719,3.448275862,6.537513209,9.0941135,11.07583774,
Rwanda,,,,0,0,0,0.01274188634,0.01282367973,0.01804815935,0.02618806325,0.01119541883,0.02147164148,0.02484939759,
Saint Kitts and Nevis,,,,,1.070434596,4.281738386,9.064128711,13.21863624,17.66678043,19.02685561,21.72909084,25.11980213,28.07692308,
Saint Lucia,,,,,0,0.871622463,2.3394117,4.259721293,4.988370486,7.128515249,9.088187118,10.79074085,11.59770115,
Saint Martin,,,,,,,,,,,,,,
Saint Vincent and the Grenadines,0,0,0,0.07500902886,1.004160888,1.057644388,1.215850266,3.353409039,5.158008777,7.309737759,8.576819506,10.53089165,11.46972477,
Samoa,,,,0,0,0,0.01780755597,0.03606362734,0.05421373488,0.0717134551,0.08800444422,0.1096485217,0.1086956522,
San Marino,,,,,,2.068038466,3.620213983,4.02626976,4.817551512,5.156900055,15.70613501,31.88877196,32.02892116,
Sao Tome and Principe,,,0,0,0,0,0,0,0.08066077305,0.1957282935,,,0.3527272727,
Saudi Arabia,0,0,,0.06769310037,0.162055087,0.2058799865,0.2959450743,0.282008539,0.879761943,2.443192048,4.005474299,5.008887839,5.452517488,
Senegal,,,,0,0.01197223161,0.02314051449,0.07243900475,0.1658218594,0.2589719603,0.3323148283,0.4017774312,0.4850140809,0.6325156828,
Serbia,,,,,,,,0.4500341295,1.64239178,4.412741502,6.219962638,8.067225376,11.77093677,
Seychelles,,,,0,0,0,0.423030303,1.143546441,2.925531915,3.358696036,3.151018906,4.500675846,7.216091954,
Sierra Leone,,,,,0,0,0,0,0,0,,,,
Singapore,0.2546343451,0.7578245384,1.713051466,3.649105848,6.465517241,10.13658015,13.08469532,15.38281213,17.90112237,19.53101164,21.15551515,23.47421606,24.9911365,
Slovak Republic,,,,0,0.07590551205,0.4175212055,1.463351738,3.369926978,5.650007262,8.745454687,9.615664187,11.58460042,12.78847145,
Slovenia,,,,0.2760961015,2.844529789,2.905799523,5.762058515,9.83017025,13.94282035,17.07909631,21.04045087,22.71991191,24.01732552,
Solomon Islands,,,,0,0,0,0.04377143432,0.0957844212,0.1345755694,0.2014139258,0.2939902513,0.3815883616,0.3717472119,
Somalia,,,,0,0,0,0,0,0,0,0,,,
South Africa,,,,,0.005861645145,0.04404714721,0.1285766515,0.3502020373,0.7020853934,0.7833014715,0.8730756623,0.9752606186,1.486267528,
Spain,0,,0.1896470466,1.145860644,3.019549826,5.051670389,7.967384471,11.60234667,15.2757336,17.80444928,19.87501195,21.14350964,22.86577674,
Sri Lanka,,,,0.001728165945,0.003093953328,0.01764081534,0.1042803169,0.1058332463,0.114120826,0.3120666956,0.4978167462,0.8205468809,1.09451582,
Sudan,,,,0,0,0,0.002114461028,0.003303799604,0.005245280226,0.1052667168,0.1077504221,0.3829177852,0.3777094048,
Suriname,,,,0,0.0195779494,0.04437140509,0.08515193538,0.2217130588,0.5260312173,0.8242899933,1.117138386,1.647555789,2.985142857,
Swaziland,0,0,0,0,0,0,0,0,0,0,0.07482454516,0.1441290875,0.1539772727,
Sweden,0,0,2.806548026,6.598500893,9.411808997,12.22339817,15.67793562,27.93044897,27.4103698,30.34103723,31.44307091,31.63567516,31.85122627,
Switzerland,0,0,0.785273341,1.936415314,6.24894214,10.680936,16.60973324,22.44441561,27.39446927,31.52513727,33.42466828,35.37201419,37.15971122,
Syria,,,,0,0,0,0.003332445237,0.01460713146,0.02766564228,0.03614882575,0.05629456228,0.173634126,0.3304347826,
Tajikistan,,,,0,0,0.0001578102502,,,,0.0551902618,0.05466705403,0.064864323,0.06832388429,
Tanzania,,,,0,0,0,0,0.00385001436,0.004496086514,0.005244935952,0.006115785856,0.006527322462,0.007024821034,
Thailand,0,0,0,0.002524300935,0.02320439338,0.06883862524,0.1135324934,0.1574248698,,1.346678162,,,4.613029137,
Timor-Leste,,,,0,0,0.0009663661626,0.001334669372,0.002177426618,0.002792295575,0.004713557133,0.006575602293,0.04282258087,0.04448398577,
Togo,,,,0,0,0,0,0,0,0.02124606678,0.03308038638,0.04562969058,0.06390179164,
Tonga,,,,0,0.01110516592,0.02207527669,0.3330474842,0.6390820998,0.6231296267,0.762806345,0.7006121854,0.9660062404,0.9615384615,
Trinidad and Tobago,,,,0,0.01352206863,0.06768422705,0.3229764188,0.8212798372,1.561096562,2.677208239,6.419566655,9.396123318,10.81491424,
Tunisia,,,0,0,0.0002657970333,0.00263216732,0.02858322258,0.1752218566,0.4329130422,0.9380446157,2.200650602,3.571190467,4.567352356,
Turkey,0,0,0,0.016910705,0.03240067619,0.3004608134,0.8595568259,2.332981613,4.016135113,6.791784475,8.107146931,8.986359643,9.731405322,
Turkmenistan,,,,,,,,,,,0.001524887382,0.009337964428,0.0143395478,
Turks and Caicos Islands,,,,,,,,,,,,,,
Tuvalu,,,,0,0,0,0.518349575,1.547348876,2.568845047,2.765826675,2.963417127,,3.256334588,
Uganda,,,,0,0,0,0,0.002989672896,0.004119814979,0.006130541981,0.01530980563,0.01853687861,0.1639660124,
Ukraine,,,,,0,0,0,0.2759783166,1.111402023,1.720084241,3.458846215,4.14025705,6.44101066,
United Arab Emirates,0,0.01266811136,0.06504057536,0.2658885389,0.5110162532,0.891719071,1.534864827,3.177903886,5.160498318,7.02612375,8.983580926,9.911101535,10.47414803,
United Kingdom,,,0.08980767912,0.5599245855,2.286493893,5.227292065,10.2290384,16.43630868,21.47514527,25.58920724,28.13655695,29.54166253,31.46262855,
United States,0.255896235,0.9870577695,2.505604476,4.489194972,6.912311398,9.56345513,12.75677737,17.31082118,20.18825617,23.30635019,24.89592312,25.76999249,27.71082337,
Uruguay,,,,0,0,0,0.817752622,1.468332344,2.803287166,4.574136573,6.828087864,8.993500029,10.94667858,
Uzbekistan,,,,0,0,0.01078322089,0.02131920817,0.03160851454,0.03261415331,0.07138603543,0.241589598,0.3195699932,0.3156440414,
Vanuatu,,,,0,0,0.007501200192,0.01118889283,0.02793957475,0.0438272744,0.05845928311,0.087703527,0.2138671457,0.2083333333,
Venezuela,0,,0.01839907861,0.1479345851,0.3098770817,0.4557022669,0.8049259387,1.340640403,1.988331915,3.121245861,4.761997494,4.738187007,5.398089062,
Vietnam,,,,0,0.001352800586,0.01140820496,0.06472309508,0.2549036028,0.6200340883,1.536563878,2.407069593,3.736331299,4.177475612,
Virgin Islands (U.S.),,,,0,0,0,1.357060556,2.707116788,,5.402427587,6.751638747,8.194855452,8.272727273,
West Bank and Gaza,,,,0,0,0,0.000521358793,0.208772881,0.7341396729,1.452121962,,,,
"Yemen, Rep.",,,,0,0,0,0,0.007254714026,0.0130636549,0.05012076827,0.1149090263,0.231479358,0.3492287864,
Zambia,,,0.0002058508295,0.0002966556856,0.0004488720267,0.0008319421158,0.002233654164,0.002181050769,0.01990620509,0.03318019567,0.04606767967,0.08411044986,0.07942291328,
Zimbabwe,,,,0.00613120541,0.02258127534,0.05063047869,0.07117865971,0.08102183127,0.08140687034,0.121862843,0.1445603971,0.2335258833,0.2625089492,
