"Total above 60, number",1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Trinidad and Tobago,39000,44000,49000,52000,65000,77000,87000,94000,97000,102000,111000,123000,142000,167000,203000,245000,271000,294000,318000,358000,384000
Tunisia,285000,263000,264000,258000,317000,330000,378000,460000,587000,770000,857000,910000,1008000,1208000,1466000,1744000,2052000,2391000,2786000,3199000,3587000
Turkey,1240000,1441000,1713000,1998000,2457000,2744000,2912000,3230000,3758000,4537000,5189000,5866000,6812000,8046000,9670000,11709000,14015000,16737000,19450000,21986000,23784000
Turkmenistan,115000,117000,123000,140000,158000,171000,172000,190000,227000,260000,296000,293000,318000,386000,502000,638000,763000,895000,1032000,1192000,1393000
Uganda,244000,257000,288000,338000,399000,463000,543000,639000,768000,916000,1011000,1155000,1301000,1462000,1620000,1833000,2205000,2812000,3617000,4661000,5941000
Ukraine,4080000,4365000,4749000,5587000,6616000,7738000,7750000,8361000,9537000,9446000,10229000,9666000,9496000,9754000,10246000,10569000,10511000,10591000,10767000,11178000,11472000
United Arab Emirates,4000,4000,4000,6000,11000,19000,20000,31000,39000,46000,60000,73000,97000,151000,237000,328000,523000,867000,1172000,1356000,1449000
United Kingdom,7855000,8285000,8833000,9554000,10467000,11072000,11244000,11733000,11912000,12043000,12252000,12815000,14040000,14800000,15779000,17191000,18467000,19208000,19539000,20103000,20868000
United States,19727000,22442000,24697000,26849000,29491000,32444000,35887000,39458000,42261000,44006000,46590000,50669000,57782000,66743000,77113000,86739000,93519000,98391000,102210000,106142000,110510000
Uruguay,265000,278000,301000,333000,363000,400000,430000,469000,515000,554000,576000,595000,620000,654000,703000,755000,799000,855000,915000,951000,996000
Uzbekistan,576000,645000,751000,914000,1043000,1082000,1070000,1164000,1325000,1449000,1628000,1629000,1757000,2142000,2797000,3578000,4253000,4991000,5744000,6671000,7832000
Vanuatu,2000,2000,2000,2000,3000,5000,5000,6000,8000,8000,9000,11000,12000,17000,20000,25000,31000,38000,45000,54000,66000
Venezuela,174000,250000,317000,405000,515000,633000,764000,922000,1144000,1380000,1644000,2003000,2507000,3135000,3845000,4711000,5579000,6388000,7322000,8286000,9287000
Vietnam,1917000,2173000,2484000,2911000,3226000,3593000,3754000,4176000,4663000,5472000,6138000,7116000,7777000,9389000,12040000,15502000,19153000,22537000,25214000,27206000,29747000
Virgin Islands (U.S.),3000,3000,3000,3000,3000,4000,6000,8000,8000,11000,14000,19000,23000,25000,29000,32000,31000,30000,28000,26000,26000
West Bank and Gaza,74000,71000,68000,63000,57000,61000,74000,96000,110000,146000,152000,169000,194000,232000,296000,385000,484000,609000,746000,901000,1113000
Western Sahara,0,0,1000,2000,3000,3000,7000,8000,8000,10000,12000,16000,21000,33000,50000,68000,93000,120000,150000,180000,204000
"Yemen, Rep.",266000,253000,249000,252000,259000,270000,298000,336000,381000,606000,679000,788000,933000,1145000,1419000,1744000,2107000,2581000,3263000,4221000,5439000
Zambia,102000,111000,128000,152000,179000,216000,255000,300000,349000,406000,477000,549000,631000,706000,779000,841000,916000,1041000,1244000,1491000,1826000
Zimbabwe,147000,172000,198000,226000,254000,291000,342000,402000,475000,554000,638000,703000,732000,823000,876000,880000,873000,965000,1291000,1899000,2664000
