"Total above 60, number",1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Bosnia and Herzegovina,162000,165000,191000,223000,276000,304000,313000,359000,450000,441000,613000,668000,718000,809000,902000,990000,1049000,1087000,1116000,1148000,1179000
Botswana,29000,31000,29000,32000,32000,34000,38000,47000,56000,67000,82000,99000,117000,145000,169000,185000,193000,201000,229000,280000,342000
Brazil,2628000,3169000,3872000,4574000,5471000,6499000,7531000,8598000,10182000,11874000,14157000,16553000,19841000,24154000,29314000,35376000,41005000,46508000,52644000,59123000,64025000
Brunei,3000,5000,5000,6000,7000,8000,9000,10000,11000,12000,15000,18000,24000,35000,48000,57000,74000,89000,104000,121000,136000
Bulgaria,737000,798000,896000,1062000,1249000,1403000,1387000,1567000,1700000,1784000,1775000,1771000,1839000,1884000,1917000,1934000,1952000,1994000,2054000,2069000,2060000
Burkina Faso,154000,189000,221000,249000,274000,302000,326000,347000,368000,390000,421000,481000,534000,614000,750000,944000,1198000,1516000,1903000,2363000,2890000
Burundi,127000,133000,150000,167000,188000,202000,223000,248000,266000,275000,284000,322000,378000,467000,568000,671000,773000,908000,1121000,1447000,1826000
Cambodia,197000,219000,247000,282000,321000,330000,321000,365000,430000,508000,590000,721000,882000,1070000,1302000,1573000,1863000,2127000,2359000,3084000,3854000
Cameroon,255000,282000,312000,352000,398000,452000,516000,589000,674000,766000,864000,969000,1084000,1228000,1388000,1576000,1800000,2098000,2523000,3092000,3750000
Canada,1556000,1742000,1915000,2154000,2478000,2857000,3258000,3776000,4303000,4718000,5125000,5762000,6768000,7920000,9276000,10638000,11562000,12299000,12961000,13573000,14130000
Cape Verde,9000,12000,13000,17000,21000,23000,24000,22000,24000,26000,29000,28000,29000,31000,39000,53000,71000,81000,98000,119000,143000
Central African Rep.,103000,100000,103000,111000,120000,132000,145000,163000,183000,202000,224000,242000,263000,291000,326000,368000,411000,466000,539000,638000,760000
Chad,168000,172000,189000,207000,226000,250000,268000,292000,327000,363000,408000,463000,510000,587000,679000,787000,911000,1071000,1293000,1581000,1940000
Channel Islands,17000,20000,21000,23000,24000,25000,25000,27000,27000,28000,28000,30000,33000,37000,41000,45000,50000,53000,54000,53000,52000
Chile,417000,493000,572000,651000,740000,820000,917000,1031000,1191000,1377000,1589000,1898000,2254000,2690000,3266000,3921000,4466000,4916000,5207000,5543000,5921000
China,40837000,45356000,46681000,49960000,55779000,63148000,72487000,84498000,96652000,111302000,126523000,142223000,166494000,206574000,239404000,284984000,342323000,386398000,400066000,413310000,440438000
Colombia,634000,701000,821000,972000,1153000,1351000,1557000,1818000,2088000,2377000,2728000,3207000,3974000,5030000,6279000,7759000,9326000,10628000,12005000,13311000,14539000
Comoros,9000,10000,10000,10000,11000,13000,17000,18000,20000,22000,25000,29000,33000,39000,51000,61000,74000,93000,115000,146000,168000
"Congo, Dem. Rep.",680000,678000,727000,810000,932000,1074000,1243000,1423000,1654000,1972000,2183000,2511000,2857000,3246000,3718000,4306000,5074000,6059000,7319000,8983000,11135000
"Congo, Rep.",46000,52000,59000,68000,80000,91000,106000,122000,141000,158000,177000,195000,213000,238000,268000,303000,355000,427000,530000,655000,791000
Costa Rica,74000,83000,96000,111000,124000,142000,169000,188000,222000,256000,301000,360000,440000,556000,710000,888000,1059000,1198000,1354000,1526000,1700000
Cote d'Ivoire,100000,118000,142000,175000,218000,277000,355000,455000,575000,727000,912000,1106000,1308000,1532000,1768000,2017000,2300000,2688000,3254000,3949000,4775000
Croatia,437000,431000,475000,537000,624000,661000,646000,699000,773000,923000,979000,972000,1035000,1111000,1186000,1238000,1270000,1292000,1321000,1345000,1341000
Cuba,412000,445000,518000,648000,790000,935000,1065000,1146000,1284000,1374000,1594000,1704000,1938000,2196000,2448000,2904000,3403000,3729000,3766000,3730000,3768000
Cyprus,44000,53000,55000,59000,85000,84000,86000,93000,100000,107000,121000,142000,162000,183000,212000,239000,260000,279000,301000,328000,353000
