,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004
Honduras,71.23,71.23,71.23,68.49,73.97,71.23,73.97,73.97,84.93,76.71,79.45,79.45,87.67,84.93,82.19,87.67,87.67,93.15,93.15,90.41,93.15,82.19,87.67,84.93,82.19,82.19,79.45,95.89,98.63,106.85,95.89,98.63,104.11,104.11,106.85,106.85,106.85,106.85,106.85,104.11,101.37,101.37,109.59,109.59
"Hong Kong, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,82.19,82.19,84.93,87.67,87.67,93.15,95.89,93.15,101.37,98.63,101.37,104.11,109.59,112.33,117.81,93.15,104.11,109.59,106.85,120.55,109.59,126.03,115.07,112.33,117.81,120.55,134.25,112.33,128.77,126.03,117.81,136.99,128.77,123.29,134.25,142.47,147.95,156.16,142.47,126.03,126.03,123.29,123.29,123.29
Iceland,161.64,164.38,169.86,164.38,164.38,183.56,169.86,164.38,156.16,153.43,145.21,134.25,139.73,134.25,123.29,139.73,164.38,167.12,169.86,150.69,156.16,147.95,153.43,150.69,147.95,150.69,158.9,161.64,156.16,150.69,156.16,153.43,153.43,161.64,164.38,158.9,164.38,164.38,156.16,156.16,150.69,153.43,153.43,153.43
India,52.06,49.32,49.32,49.32,52.06,52.06,43.84,41.1,49.32,52.06,54.8,49.32,46.58,52.06,49.32,49.32,52.06,57.53,54.8,52.06,52.06,52.06,54.8,65.75,63.01,57.53,54.8,54.8,63.01,60.27,60.27,63.01,65.75,63.01,63.01,60.27,65.75,68.49,68.49,65.75,65.75,65.75,65.75,65.75
Indonesia,27.4,30.14,27.4,30.14,30.14,24.66,30.14,30.14,30.14,30.14,32.88,30.14,27.4,32.88,32.88,32.88,35.62,35.62,35.62,35.62,43.84,41.1,41.1,38.36,38.36,38.36,38.36,38.36,35.62,35.62,38.36,38.36,38.36,41.1,41.1,41.1,43.84,43.84,41.1,43.84,43.84,43.84,43.84,43.84
Iran,63.01,63.01,63.01,65.75,68.49,73.97,68.49,68.49,65.75,65.75,65.75,68.49,73.97,73.97,84.93,87.67,84.93,84.93,84.93,79.45,73.97,63.01,60.27,73.97,73.97,71.23,68.49,63.01,68.49,68.49,71.23,73.97,73.97,73.97,73.97,73.97,73.97,73.97,73.97,71.23,71.23,71.23,71.23,71.23
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,145.21,136.99,142.47,142.47,145.21,145.21,150.69,153.43,150.69,150.69,153.43,136.99,153.43,145.21,150.69,139.73,142.47,150.69,139.73,134.25,123.29,126.03,120.55,126.03,126.03,123.29,106.85,106.85,109.59,128.77,117.81,128.77,134.25,134.25,123.29,109.59,109.59,104.11,109.59,115.07,115.07,115.07,115.07,115.07
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,95.89,95.89,95.89,98.63,104.11,101.37,101.37,104.11,106.85,112.33,109.59,109.59,109.59,104.11,101.37,95.89,98.63,98.63,98.63,98.63,95.89,95.89,98.63,104.11,106.85,109.59,112.33,109.59,115.07,115.07,117.81,117.81,115.07,117.81,123.29,134.25,139.73,139.73,142.47,142.47,117.81,120.55,104.11,104.11
Italy,65.75,68.49,71.23,73.97,73.97,73.97,76.71,76.71,82.19,82.19,82.19,87.67,95.89,95.89,79.45,87.67,84.93,87.67,90.41,93.15,93.15,84.93,82.19,82.19,76.71,76.71,76.71,76.71,79.45,82.19,84.93,82.19,82.19,79.45,82.19,82.19,84.93,87.67,79.45,82.19,84.93,84.93,84.93,84.93
Jamaica,106.85,109.59,109.59,115.07,117.81,123.29,128.77,134.25,142.47,126.03,134.25,136.99,136.99,134.25,139.73,145.21,150.69,147.95,131.51,150.69,128.77,117.81,120.55,123.29,117.81,123.29,131.51,139.73,153.43,139.73,139.73,136.99,142.47,142.47,106.85,136.99,128.77,134.25,136.99,158.9,156.16,150.69,147.95,147.95
Japan,46.58,52.06,49.32,54.8,60.27,63.01,71.23,76.71,82.19,93.15,87.67,87.67,79.45,82.19,73.97,76.71,82.19,87.67,93.15,90.41,76.71,90.41,87.67,87.67,90.41,90.41,90.41,93.15,93.15,90.41,87.67,87.67,84.93,84.93,84.93,82.19,82.19,82.19,79.45,76.71,79.45,79.45,76.71,76.71
Jersey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,71.23,82.19,73.97,57.53,82.19,87.67,90.41,73.97,73.97,73.97,73.97,73.97,60.27,73.97,65.75,104.11,109.59,112.33,131.51,126.03,134.25,117.81,109.59,109.59,115.07,117.81,120.55,117.81,120.55,117.81,117.81,115.07,112.33,109.59,93.15,95.89,90.41,87.67,90.41,90.41,90.41,98.63,98.63,98.63
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.27,54.8,57.53,57.53,52.06,52.06,54.8,57.53,60.27,68.49,63.01,71.23,71.23
Kenya,35.62,35.62,35.62,35.62,35.62,38.36,38.36,38.36,41.1,43.84,49.32,49.32,52.06,52.06,43.84,35.62,43.84,46.58,49.32,54.8,65.75,60.27,54.8,65.75,68.49,73.97,63.01,57.53,63.01,57.53,54.8,52.06,46.58,49.32,49.32,43.84,41.1,49.32,49.32,57.53,54.8,54.8,54.8,54.8
Kiribati,43.84,63.01,52.06,49.32,54.8,54.8,65.75,76.71,84.93,84.93,76.71,84.93,65.75,71.23,93.15,46.58,63.01,73.97,95.89,84.93,79.45,90.41,68.49,65.75,84.93,82.19,79.45,82.19,76.71,79.45,98.63,93.15,95.89,93.15,93.15,95.89,106.85,109.59,115.07,112.33,115.07,123.29,126.03,126.03
"Korea, Dem. Rep.",2.74,2.74,2.74,2.74,2.74,2.74,16.44,24.66,30.14,32.88,32.88,30.14,27.4,21.92,19.18,19.18,21.92,21.92,16.44,16.44,16.44,16.44,16.44,13.7,13.7,13.7,13.7,10.96,10.96,10.96,10.96,10.96,13.7,8.22,5.48,5.48,5.48,5.48,5.48,5.48,5.48,5.48,8.22,8.22
"Korea, Rep.",2.74,2.74,2.74,2.74,2.74,5.48,8.22,13.7,16.44,19.18,21.92,21.92,24.66,21.92,19.18,24.66,30.14,38.36,43.84,41.1,35.62,41.1,46.58,54.8,57.53,65.75,68.49,79.45,84.93,87.67,90.41,90.41,84.93,82.19,84.93,84.93,90.41,79.45,87.67,93.15,95.89,101.37,98.63,98.63
"Korea, United",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,90.41,90.41,90.41,84.93,87.67,98.63,82.19,93.15,98.63,101.37,106.85,112.33,109.59,117.81,117.81,120.55,128.77,128.77,126.03,120.55,126.03,134.25,123.29,115.07,112.33,112.33,109.59,98.63,98.63,68.49,63.01,93.15,98.63,101.37,104.11,104.11,104.11,101.37,95.89,95.89,82.19,95.89,101.37,101.37
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.23,41.1,46.58,41.1,43.84,49.32,76.71,73.97,35.62,32.88,38.36,38.36,38.36
Laos,0,2.74,0,0,2.74,0,2.74,2.74,2.74,2.74,2.74,2.74,0,0,2.74,2.74,2.74,2.74,2.74,0,2.74,0,0,0,0,0,0,2.74,5.48,5.48,5.48,5.48,5.48,8.22,10.96,8.22,8.22,10.96,10.96,10.96,10.96,10.96,10.96,10.96
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.63,109.59,109.59,79.45,101.37,104.11,101.37,98.63,95.89,90.41,90.41,93.15,93.15
Lebanon,54.8,68.49,65.75,65.75,71.23,71.23,73.97,79.45,82.19,79.45,76.71,76.71,82.19,82.19,82.19,84.93,93.15,101.37,101.37,93.15,84.93,73.97,84.93,90.41,90.41,87.67,90.41,101.37,104.11,101.37,93.15,95.89,93.15,90.41,93.15,95.89,95.89,87.67,82.19,87.67,90.41,93.15,93.15,93.15
Lesotho,30.14,32.88,35.62,35.62,35.62,35.62,35.62,35.62,35.62,35.62,35.62,35.62,35.62,35.62,52.06,57.53,57.53,63.01,54.8,54.8,57.53,60.27,52.06,52.06,38.36,41.1,43.84,43.84,43.84,46.58,46.58,46.58,46.58,46.58,43.84,43.84,43.84,43.84,43.84,41.1,41.1,41.1,41.1,41.1
Liberia,2.74,5.48,5.48,5.48,8.22,8.22,8.22,8.22,8.22,10.96,10.96,10.96,13.7,10.96,5.48,13.7,16.44,16.44,16.44,13.7,13.7,13.7,19.18,16.44,13.7,19.18,19.18,21.92,16.44,10.96,10.96,10.96,13.7,13.7,13.7,10.96,10.96,13.7,10.96,10.96,13.7,13.7,10.96,10.96
Libya,60.27,60.27,60.27,60.27,57.53,60.27,60.27,68.49,79.45,84.93,87.67,95.89,104.11,109.59,117.81,126.03,123.29,117.81,112.33,101.37,101.37,101.37,101.37,104.11,106.85,126.03,117.81,98.63,87.67,90.41,90.41,87.67,84.93,84.93,87.67,93.15,104.11,104.11,104.11,101.37,98.63,104.11,90.41,90.41
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.41,79.45,79.45,68.49,73.97,93.15,104.11,95.89,98.63,117.81,109.59,106.85,106.85
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Macao, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.27,65.75,95.89,93.15,95.89,87.67,73.97,101.37,95.89,106.85,120.55,95.89,95.89
Madagascar,27.4,24.66,24.66,27.4,24.66,24.66,21.92,24.66,24.66,27.4,32.88,32.88,32.88,35.62,38.36,38.36,38.36,35.62,32.88,30.14,30.14,27.4,24.66,21.92,24.66,24.66,24.66,21.92,21.92,19.18,19.18,19.18,21.92,21.92,21.92,21.92,21.92,21.92,21.92,21.92,16.44,13.7,21.92,21.92
Malawi,5.48,8.22,8.22,10.96,10.96,10.96,10.96,13.7,13.7,16.44,19.18,16.44,16.44,16.44,16.44,19.18,16.44,16.44,19.18,21.92,21.92,21.92,21.92,21.92,24.66,24.66,27.4,32.88,30.14,35.62,38.36,38.36,32.88,41.1,43.84,43.84,43.84,38.36,32.88,41.1,30.14,32.88,24.66,24.66
Malaysia,84.93,71.23,63.01,76.71,76.71,82.19,76.71,95.89,93.15,101.37,73.97,87.67,84.93,87.67,82.19,79.45,101.37,93.15,98.63,104.11,87.67,87.67,104.11,95.89,101.37,104.11,90.41,109.59,98.63,101.37,106.85,106.85,112.33,120.55,128.77,136.99,128.77,117.81,115.07,115.07,115.07,112.33,112.33,112.33
Maldives,87.67,84.93,87.67,79.45,76.71,73.97,71.23,68.49,79.45,76.71,79.45,79.45,71.23,79.45,73.97,65.75,63.01,68.49,71.23,76.71,79.45,76.71,76.71,79.45,79.45,93.15,93.15,87.67,101.37,112.33,112.33,106.85,126.03,131.51,106.85,98.63,106.85,87.67,84.93,93.15,90.41,90.41,76.71,76.71
Mali,8.22,16.44,8.22,8.22,16.44,10.96,8.22,16.44,8.22,19.18,16.44,13.7,16.44,13.7,10.96,16.44,8.22,8.22,10.96,16.44,10.96,8.22,5.48,10.96,10.96,16.44,13.7,13.7,21.92,21.92,27.4,21.92,19.18,27.4,21.92,32.88,24.66,32.88,30.14,30.14,27.4,30.14,30.14,30.14
Malta,109.59,109.59,117.81,131.51,136.99,136.99,142.47,142.47,139.73,136.99,139.73,136.99,142.47,139.73,136.99,145.21,142.47,153.43,145.21,145.21,139.73,145.21,147.95,136.99,142.47,139.73,147.95,145.21,145.21,142.47,134.25,136.99,136.99,139.73,145.21,139.73,147.95,145.21,142.47,139.73,153.43,134.25,131.51,131.51
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martinique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,46.58,46.58,46.58,49.32,57.53,57.53,60.27,54.8,52.06,43.84,41.1,41.1,43.84,46.58,38.36,46.58,46.58,49.32,49.32,46.58,46.58,52.06,60.27,60.27,60.27,63.01,63.01,73.97,76.71,73.97,76.71,63.01,71.23,65.75,87.67,79.45,82.19,87.67,90.41,120.55,126.03,101.37,109.59,109.59
Mauritius,115.07,117.81,115.07,115.07,115.07,109.59,109.59,109.59,112.33,112.33,115.07,112.33,117.81,109.59,120.55,112.33,117.81,123.29,115.07,123.29,128.77,120.55,120.55,131.51,131.51,147.95,131.51,145.21,145.21,139.73,131.51,131.51,128.77,128.77,115.07,115.07,115.07,115.07,115.07,115.07,106.85,109.59,117.81,117.81
Mayotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,71.23,73.97,73.97,79.45,79.45,82.19,87.67,93.15,98.63,104.11,95.89,101.37,109.59,109.59,123.29,117.81,115.07,123.29,126.03,128.77,128.77,123.29,112.33,128.77,126.03,128.77,123.29,123.29,134.25,145.21,134.25,136.99,139.73,136.99,134.25,136.99,128.77,134.25,131.51,134.25,131.51,134.25,131.51,131.51
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.89,93.15,71.23,65.75,71.23,65.75,65.75,65.75,68.49,73.97,76.71,82.19,82.19
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,5.48,10.96,27.4,52.06,52.06,52.06,49.32,46.58,43.84,32.88,35.62,41.1,46.58,38.36,38.36,38.36,52.06,54.8,54.8,63.01,57.53,60.27,54.8,54.8,52.06,63.01,57.53,60.27,60.27,63.01,46.58,27.4,32.88,30.14,24.66,24.66,27.4,27.4,24.66,30.14,32.88,32.88,32.88,32.88
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montserrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,79.45,84.93,79.45,79.45,73.97,73.97,73.97,71.23,73.97,76.71,76.71,76.71,76.71,79.45,82.19,87.67,90.41,95.89,98.63,95.89,93.15,90.41,93.15,87.67,84.93,84.93,84.93,90.41,84.93,84.93,84.93,90.41,95.89,95.89,93.15,90.41,95.89,98.63,87.67,101.37,90.41,93.15,98.63,98.63
Mozambique,16.44,16.44,19.18,19.18,19.18,19.18,21.92,21.92,24.66,24.66,30.14,30.14,32.88,32.88,32.88,32.88,32.88,32.88,32.88,30.14,30.14,27.4,16.44,16.44,5.48,8.22,10.96,10.96,8.22,5.48,5.48,2.74,10.96,10.96,10.96,10.96,8.22,8.22,10.96,38.36,38.36,30.14,19.18,19.18
Myanmar,13.7,13.7,16.44,16.44,16.44,19.18,16.44,16.44,13.7,13.7,13.7,13.7,19.18,13.7,10.96,13.7,13.7,13.7,13.7,10.96,13.7,19.18,27.4,27.4,24.66,27.4,21.92,24.66,16.44,13.7,13.7,13.7,21.92,13.7,19.18,24.66,30.14,30.14,32.88,35.62,38.36,32.88,35.62,35.62
Namibia,73.97,76.71,79.45,82.19,82.19,84.93,87.67,87.67,90.41,84.93,84.93,87.67,87.67,84.93,84.93,87.67,87.67,90.41,90.41,93.15,93.15,93.15,95.89,95.89,95.89,93.15,93.15,90.41,90.41,90.41,93.15,93.15,93.15,95.89,93.15,82.19,76.71,68.49,65.75,63.01,63.01,65.75,84.93,84.93
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,0,0,2.74,2.74,2.74,2.74,0,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,5.48,5.48,0,5.48,5.48,2.74,5.48,5.48,10.96,5.48,8.22,8.22,8.22,8.22,8.22,10.96,5.48,8.22,8.22,10.96,10.96,16.44,13.7,10.96,10.96,10.96,10.96
Netherlands,126.03,131.51,134.25,128.77,136.99,136.99,131.51,131.51,131.51,134.25,134.25,134.25,134.25,131.51,126.03,126.03,128.77,117.81,117.81,123.29,109.59,117.81,117.81,98.63,112.33,112.33,115.07,134.25,142.47,153.43,161.64,153.43,147.95,134.25,131.51,126.03,126.03,126.03,123.29,123.29,126.03,134.25,142.47,142.47
Netherlands Antilles,93.15,93.15,90.41,95.89,95.89,93.15,93.15,93.15,93.15,98.63,104.11,109.59,109.59,106.85,104.11,115.07,117.81,120.55,123.29,126.03,126.03,115.07,104.11,90.41,82.19,76.71,71.23,71.23,71.23,73.97,65.75,63.01,63.01,71.23,73.97,104.11,109.59,109.59,112.33,115.07,115.07,120.55,120.55,120.55
New Caledonia,84.93,76.71,87.67,84.93,84.93,87.67,98.63,93.15,106.85,106.85,115.07,90.41,93.15,95.89,87.67,90.41,90.41,90.41,101.37,98.63,90.41,98.63,93.15,73.97,90.41,90.41,93.15,90.41,79.45,101.37,98.63,76.71,60.27,68.49,76.71,65.75,60.27,63.01,57.53,63.01,60.27,63.01,63.01,63.01
New Zealand,134.25,136.99,134.25,120.55,134.25,136.99,134.25,126.03,134.25,134.25,131.51,131.51,131.51,139.73,120.55,134.25,126.03,139.73,136.99,126.03,126.03,134.25,120.55,128.77,128.77,145.21,153.43,145.21,142.47,142.47,142.47,142.47,136.99,145.21,128.77,139.73,153.43,153.43,158.9,158.9,161.64,161.64,164.38,164.38
Ngorno-Karabakh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,109.59,117.81,120.55,115.07,106.85,98.63,95.89,106.85,95.89,93.15,98.63,104.11,109.59,109.59,112.33,123.29,126.03,120.55,115.07,120.55,117.81,131.51,128.77,128.77,128.77,128.77,120.55,104.11,112.33,109.59,98.63,95.89,93.15,90.41,95.89,101.37,109.59,104.11,104.11,101.37,98.63,101.37,98.63,98.63
Niger,5.48,8.22,5.48,8.22,8.22,5.48,5.48,5.48,5.48,5.48,5.48,8.22,8.22,8.22,8.22,8.22,8.22,8.22,10.96,10.96,10.96,13.7,16.44,19.18,19.18,19.18,19.18,16.44,16.44,13.7,10.96,10.96,8.22,8.22,16.44,16.44,16.44,19.18,16.44,16.44,13.7,13.7,16.44,16.44
Nigeria,2.74,5.48,2.74,2.74,5.48,5.48,5.48,2.74,5.48,5.48,10.96,8.22,8.22,5.48,8.22,13.7,21.92,27.4,27.4,32.88,35.62,30.14,30.14,19.18,16.44,19.18,24.66,13.7,13.7,13.7,16.44,16.44,19.18,13.7,21.92,16.44,19.18,27.4,21.92,19.18,30.14,30.14,30.14,30.14
Niue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norfolk Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,123.29,126.03,123.29,123.29,131.51,128.77,131.51,134.25,117.81,120.55,120.55,120.55,112.33,93.15,76.71,109.59,112.33,117.81,120.55,115.07,112.33,106.85,104.11,112.33,115.07,112.33,112.33,101.37,109.59,112.33,112.33,117.81,117.81,120.55,120.55,117.81,126.03,123.29,126.03,126.03,120.55,120.55,120.55,120.55
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,52.06,60.27,76.71,65.75,73.97,82.19,84.93,79.45,87.67,87.67,79.45,76.71,73.97,76.71,73.97,76.71,90.41,87.67,87.67,84.93,87.67,84.93,79.45,82.19,76.71,82.19,90.41,73.97,82.19,76.71,76.71,79.45,73.97,68.49,82.19,84.93,82.19,71.23,71.23,84.93,79.45,76.71,73.97,73.97
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panama,79.45,65.75,82.19,82.19,93.15,73.97,76.71,82.19,79.45,79.45,87.67,95.89,98.63,93.15,79.45,84.93,93.15,95.89,95.89,104.11,109.59,106.85,104.11,104.11,106.85,101.37,98.63,98.63,93.15,87.67,95.89,87.67,93.15,98.63,79.45,79.45,84.93,90.41,82.19,76.71,82.19,87.67,87.67,87.67
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paraguay,38.36,41.1,43.84,52.06,54.8,60.27,43.84,49.32,52.06,57.53,54.8,57.53,60.27,57.53,52.06,57.53,60.27,60.27,57.53,60.27,60.27,63.01,63.01,60.27,65.75,79.45,63.01,65.75,63.01,60.27,60.27,60.27,65.75,68.49,68.49,65.75,65.75,65.75,71.23,65.75,65.75,65.75,63.01,63.01
Peru,76.71,79.45,82.19,79.45,87.67,82.19,79.45,79.45,79.45,84.93,87.67,95.89,95.89,98.63,101.37,106.85,95.89,95.89,93.15,73.97,98.63,65.75,87.67,71.23,90.41,101.37,101.37,104.11,90.41,87.67,73.97,73.97,76.71,76.71,98.63,98.63,101.37,106.85,98.63,101.37,101.37,104.11,104.11,104.11
Philippines,35.62,35.62,41.1,41.1,43.84,46.58,52.06,54.8,52.06,46.58,49.32,52.06,54.8,63.01,57.53,54.8,63.01,68.49,68.49,68.49,63.01,57.53,63.01,65.75,68.49,57.53,71.23,60.27,71.23,73.97,71.23,73.97,76.71,79.45,76.71,84.93,76.71,76.71,79.45,76.71,76.71,76.71,76.71,76.71
Pitcairn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,87.67,87.67,93.15,90.41,93.15,98.63,101.37,106.85,112.33,112.33,115.07,117.81,120.55,126.03,126.03,126.03,120.55,123.29,126.03,123.29,98.63,123.29,134.25,134.25,123.29,120.55,136.99,136.99,139.73,131.51,104.11,106.85,123.29,115.07,112.33,115.07,117.81,117.81,117.81,123.29,123.29,123.29,123.29,123.29
Portugal,49.32,49.32,46.58,46.58,49.32,57.53,57.53,65.75,71.23,73.97,73.97,73.97,76.71,73.97,76.71,68.49,71.23,71.23,71.23,73.97,73.97,73.97,68.49,65.75,68.49,73.97,73.97,76.71,82.19,82.19,82.19,84.93,87.67,87.67,87.67,87.67,87.67,87.67,93.15,93.15,93.15,90.41,93.15,93.15
Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reunion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,27.4,32.88,35.62,38.36,43.84,46.58,43.84,52.06,54.8,57.53,57.53,60.27,60.27,60.27,60.27,76.71,76.71,79.45,82.19,84.93,73.97,73.97,76.71,79.45,76.71,68.49,65.75,68.49,68.49,68.49,68.49,73.97,71.23,73.97,68.49,73.97,57.53,60.27,60.27,68.49,71.23,68.49,71.23,71.23
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.41,95.89,95.89,98.63,101.37,101.37,106.85,109.59,112.33,117.81,120.55,120.55,120.55
Rwanda,0,0,0,0,0,0,0,2.74,2.74,0,0,0,0,0,0,0,0,0,2.74,2.74,2.74,2.74,2.74,5.48,2.74,2.74,2.74,5.48,5.48,2.74,2.74,2.74,5.48,2.74,2.74,5.48,8.22,8.22,5.48,2.74,8.22,5.48,5.48,5.48
Saint Barthélemy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Helena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Kitts and Nevis,104.11,115.07,115.07,120.55,126.03,126.03,126.03,126.03,126.03,123.29,98.63,131.51,131.51,167.12,145.21,153.43,142.47,134.25,139.73,150.69,153.43,131.51,139.73,134.25,139.73,145.21,136.99,136.99,112.33,109.59,109.59,109.59,106.85,109.59,131.51,134.25,134.25,145.21,136.99,145.21,158.9,158.9,156.16,156.16
Saint Lucia,79.45,76.71,87.67,68.49,79.45,76.71,79.45,76.71,76.71,73.97,68.49,68.49,82.19,87.67,79.45,63.01,79.45,84.93,84.93,87.67,93.15,101.37,101.37,98.63,98.63,98.63,98.63,98.63,101.37,98.63,98.63,101.37,101.37,101.37,104.11,104.11,95.89,95.89,109.59,101.37,101.37,101.37,98.63,98.63
Saint Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Vincent and the Grenadines,84.93,98.63,87.67,104.11,101.37,101.37,104.11,104.11,106.85,112.33,117.81,115.07,106.85,87.67,123.29,128.77,112.33,104.11,106.85,109.59,112.33,115.07,115.07,115.07,112.33,115.07,115.07,112.33,112.33,112.33,115.07,117.81,115.07,112.33,112.33,112.33,115.07,115.07,115.07,117.81,120.55,120.55,120.55,120.55
Saint-Pierre-et-Miquelon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samoa,54.8,63.01,60.27,60.27,68.49,65.75,63.01,68.49,71.23,73.97,71.23,73.97,60.27,65.75,65.75,65.75,65.75,65.75,65.75,65.75,71.23,63.01,65.75,57.53,65.75,63.01,63.01,60.27,65.75,57.53,71.23,57.53,68.49,63.01,63.01,65.75,60.27,63.01,68.49,68.49,65.75,65.75,68.49,68.49
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,35.62,35.62,35.62,38.36,32.88,38.36,38.36,38.36,32.88,41.1,41.1,43.84,46.58,32.88,27.4,41.1,46.58,46.58,43.84,41.1,30.14,30.14,30.14,27.4,32.88,30.14,30.14,30.14,32.88,43.84,41.1,41.1,41.1,43.84,43.84,43.84,38.36,35.62,35.62,38.36,49.32,60.27,52.06,52.06
Saudi Arabia,16.44,16.44,27.4,27.4,30.14,32.88,32.88,35.62,41.1,43.84,46.58,57.53,49.32,54.8,52.06,49.32,57.53,60.27,65.75,126.03,117.81,106.85,87.67,84.93,76.71,71.23,73.97,73.97,73.97,71.23,71.23,73.97,73.97,71.23,73.97,73.97,76.71,76.71,71.23,71.23,73.97,76.71,73.97,73.97
Senegal,52.06,54.8,54.8,57.53,52.06,49.32,43.84,43.84,38.36,46.58,49.32,54.8,49.32,38.36,46.58,49.32,49.32,38.36,49.32,41.1,43.84,46.58,43.84,46.58,27.4,32.88,30.14,27.4,32.88,46.58,43.84,35.62,38.36,49.32,49.32,49.32,54.8,43.84,41.1,32.88,43.84,38.36,38.36,38.36
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbia and Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.45,46.58,68.49,60.27,63.01,73.97,57.53,68.49,60.27,68.49,65.75,82.19,82.19
Serbia excluding Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seychelles,84.93,71.23,63.01,73.97,87.67,90.41,98.63,90.41,93.15,101.37,115.07,112.33,109.59,87.67,87.67,82.19,93.15,87.67,93.15,90.41,93.15,90.41,87.67,90.41,90.41,90.41,95.89,93.15,93.15,90.41,90.41,82.19,98.63,95.89,84.93,95.89,90.41,95.89,95.89,84.93,84.93,84.93,87.67,87.67
