,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004
Bermuda,115.07,115.07,95.89,117.81,112.33,106.85,109.59,123.29,104.11,112.33,112.33,142.47,106.85,115.07,79.45,90.41,79.45,82.19,79.45,82.19,93.15,87.67,84.93,84.93,90.41,84.93,84.93,73.97,76.71,79.45,79.45,73.97,76.71,109.59,117.81,120.55,126.03,128.77,139.73,131.51,106.85,101.37,104.11,104.11
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,52.06,54.8,54.8,57.53,63.01,63.01,68.49,68.49,71.23,76.71,82.19,79.45,71.23,68.49,71.23,79.45,87.67,93.15,104.11,87.67,82.19,90.41,82.19,79.45,71.23,76.71,76.71,76.71,76.71,82.19,73.97,79.45,79.45,79.45,79.45,76.71,76.71,76.71,76.71,76.71,79.45,76.71,76.71,76.71
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.84,41.1,13.7,13.7,27.4,32.88,38.36,41.1,49.32,68.49,68.49,73.97,73.97
Botswana,46.58,43.84,43.84,43.84,43.84,43.84,41.1,41.1,43.84,43.84,43.84,43.84,41.1,43.84,43.84,46.58,35.62,43.84,46.58,54.8,60.27,63.01,63.01,63.01,60.27,63.01,65.75,68.49,65.75,65.75,76.71,79.45,68.49,65.75,63.01,60.27,65.75,65.75,65.75,65.75,65.75,65.75,68.49,68.49
Brazil,112.33,115.07,109.59,104.11,112.33,98.63,101.37,112.33,112.33,112.33,109.59,117.81,117.81,126.03,131.51,128.77,126.03,128.77,142.47,145.21,131.51,134.25,128.77,131.51,126.03,134.25,131.51,128.77,131.51,131.51,128.77,136.99,136.99,142.47,145.21,153.43,156.16,156.16,153.43,153.43,156.16,150.69,153.43,153.43
British Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei,93.15,98.63,93.15,112.33,104.11,109.59,112.33,115.07,109.59,109.59,120.55,123.29,109.59,115.07,109.59,106.85,109.59,126.03,106.85,120.55,95.89,112.33,142.47,131.51,131.51,101.37,112.33,109.59,104.11,93.15,106.85,117.81,112.33,115.07,112.33,101.37,90.41,82.19,84.93,84.93,104.11,95.89,106.85,106.85
Bulgaria,54.8,54.8,57.53,68.49,65.75,76.71,73.97,87.67,95.89,98.63,98.63,93.15,98.63,98.63,95.89,104.11,101.37,104.11,101.37,104.11,104.11,104.11,106.85,106.85,104.11,106.85,106.85,106.85,101.37,79.45,71.23,90.41,87.67,79.45,82.19,76.71,76.71,76.71,82.19,76.71,79.45,79.45,79.45,79.45
Burkina Faso,2.74,5.48,5.48,2.74,2.74,2.74,2.74,5.48,5.48,5.48,5.48,8.22,2.74,2.74,2.74,5.48,8.22,10.96,10.96,10.96,10.96,10.96,8.22,10.96,10.96,10.96,8.22,5.48,8.22,8.22,8.22,8.22,8.22,8.22,8.22,13.7,13.7,10.96,13.7,8.22,10.96,13.7,16.44,16.44
Burundi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.74,2.74,2.74,2.74,5.48,2.74,5.48,5.48,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,10.96,10.96,10.96,5.48,8.22,5.48,5.48
Cambodia,27.4,27.4,24.66,30.14,32.88,32.88,32.88,35.62,30.14,24.66,24.66,19.18,19.18,16.44,13.7,13.7,13.7,10.96,10.96,10.96,8.22,2.74,2.74,5.48,5.48,5.48,2.74,5.48,2.74,5.48,5.48,8.22,2.74,2.74,2.74,8.22,10.96,13.7,16.44,19.18,19.18,21.92,24.66,24.66
Cameroon,2.74,2.74,2.74,2.74,5.48,5.48,5.48,5.48,8.22,10.96,10.96,10.96,10.96,13.7,13.7,13.7,16.44,16.44,19.18,19.18,19.18,19.18,19.18,13.7,13.7,13.7,16.44,16.44,13.7,16.44,16.44,16.44,19.18,16.44,16.44,19.18,24.66,19.18,19.18,24.66,24.66,27.4,27.4,27.4
Canada,123.29,128.77,126.03,123.29,126.03,134.25,128.77,128.77,134.25,131.51,131.51,131.51,128.77,123.29,120.55,128.77,126.03,123.29,120.55,115.07,115.07,109.59,112.33,120.55,120.55,123.29,126.03,115.07,109.59,115.07,112.33,117.81,123.29,126.03,128.77,134.25,139.73,142.47,139.73,145.21,153.43,167.12,172.6,172.6
Cape Verde,41.1,41.1,38.36,41.1,38.36,43.84,43.84,46.58,54.8,54.8,54.8,57.53,41.1,43.84,27.4,54.8,79.45,82.19,98.63,60.27,76.71,90.41,128.77,112.33,104.11,109.59,84.93,76.71,98.63,112.33,95.89,112.33,112.33,95.89,112.33,117.81,131.51,93.15,115.07,112.33,109.59,101.37,87.67,87.67
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Rep.,5.48,8.22,8.22,8.22,8.22,8.22,13.7,10.96,10.96,10.96,10.96,8.22,10.96,10.96,8.22,8.22,8.22,10.96,10.96,8.22,8.22,8.22,8.22,8.22,8.22,10.96,10.96,16.44,16.44,19.18,16.44,16.44,13.7,19.18,19.18,16.44,21.92,21.92,19.18,24.66,19.18,19.18,21.92,21.92
Chad,13.7,13.7,16.44,16.44,16.44,16.44,19.18,16.44,13.7,19.18,16.44,19.18,19.18,16.44,16.44,16.44,16.44,16.44,16.44,10.96,10.96,13.7,16.44,10.96,21.92,16.44,10.96,10.96,19.18,21.92,13.7,13.7,16.44,13.7,16.44,24.66,16.44,21.92,16.44,19.18,19.18,21.92,19.18,19.18
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
