Mobile cellular subscriptions (per 100 people),1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Abkhazia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1014616937,0.7788574776,2.247739392,4.345508797,8.867978979,16.0163366,26.47087999,34.33868725,41.38579639,54.26208022
Akrotiri and Dhekelia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07389327947,0.1067304203,0.1818750473,0.3582487857,0.9698045742,12.75923855,27.54243185,35.40733402,40.30867293,48.70596473,60.50436434,73.27070842,58.45331469,77.16738972,84.02413769,96.3933945
Algeria,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001857767575,0.01843770439,0.01800212961,0.01759667673,0.00485746756,0.01658089854,0.04064355068,0.05950158803,0.06065978843,0.2392105255,0.2816548348,0.3227658295,1.431989621,4.533907979,15.0710173,41.53845929,62.88327422,81.29012327,78.51588828,93.64711494,92.42126075,98.9875902
American Samoa,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,1.409925878,1.771618669,2.31280717,2.362100569,2.411829094,2.553160448,2.690824289,3.176451903,3.456832972,3.67711016,3.411128051,3.455425017,3.63659873,,,,,,,
Andorra,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.332940952,1.285643646,1.242255708,4.366373514,8.413693716,13.27786765,21.97335243,32.19504571,36.42510134,44.32745895,47.49214258,71.87097489,77.51952399,82.88824979,86.39106593,78.02309866,77.74804122,77.14067187,77.17642345,75.48772704
Angola,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009673093411,0.01553271066,0.01647238913,0.0264841631,0.05512718378,0.07474350685,0.1776254804,0.1853030936,0.5212588833,0.9401984114,2.269787897,4.6373295,9.770852982,17.95740315,28.31059686,37.55055726,43.70450412,46.68924162,48.37797435
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,1.845280341,1.935787174,2.021835827,11.18641837,28.33007108,31.5796122,47.45550076,56.41490039,65.18747435,102.4834358,129.6932385,130.7744225,157.2173433,153.6696203,189.3473115,181.6419676
Argentina,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007145703663,0.03676195549,0.0755433554,0.1389086704,0.3295859121,0.700640714,1.163084605,1.890265151,5.625303077,7.391416802,10.53300661,17.56789993,18.07348141,17.43814088,20.63677588,35.24285031,57.27961101,80.74649221,102.6257449,117.1083875,131.0023571,132.880086,134.9211144
Armenia,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009457203789,0.1594979769,0.2518734515,0.2640567083,0.5684474292,0.8318845591,2.330853915,3.737199213,6.638418448,10.37341069,41.03667809,61.03775282,46.83206418,71.03776071,125.008538,103.5663737
Aruba,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02928858038,,,2.138864335,3.611455537,3.994786346,6.196229284,13.5682142,16.61663214,57.38228511,65.33045795,72.20851613,99.33667185,102.3971246,106.1522135,108.9815303,114.4798438,120.0615315,122.6183388,
Australia,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0270845074,0.190538787,0.5608801396,1.081781381,1.682727184,2.835225642,3.892276893,6.807345103,12.37415015,21.77990754,24.71234651,26.25050454,33.32824218,44.67670207,57.43417616,64.62949928,72.31307069,81.97446237,90.27854017,95.25510508,100.662936,102.8176451,101.359218,101.0401114,108.3353549
