,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.270000011,,,0.280000001,,0.400000006,,0.419999987,,0.479999989,,0.69,
Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.230000004,,0.349999994,,,0.239999995,,0.49000001,,0.439999998,,0.720000029,,0.98,
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.810000002,,0.74000001,,0.730000019,,,0.5,,1,,0.699999988,,0.920000017,,0.94,
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.049999952,,,,,,,0,,0.529999971,,0.689999998,,0.870000005,,0.96,
Costa Rica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.370000005,,0.400000006,,,0.409999996,,0.649999976,,0.639999986,,0.779999971,,0.98,
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.24000001,,1.230000019,,0.829999983,,,0.74000001,,0.75999999,,0.850000024,,1.139999986,,1.2,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,,0.670000017,,0.75999999,,0.889999986,,1.24000001,,1.34,
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,0.899999976,,0.949999988,,1.1,
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.779999971,,0.569999993,,0.829999983,,,,,
Czech Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.850000024,,,0.720000029,,0.769999981,,0.810000002,,1.080000043,,1.3,
Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.080000043,,,1.049999952,,1.00999999,,1.090000033,,1.50999999,,1.58,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.769999981,,0.610000014,,0.930000007,,,0.910000026,,1.049999952,,0.980000019,,,,,
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.400000006,,,0.400000006,,0.709999979,,0.49000001,,0.850000024,,1.03,
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.310000002,,0.330000013,,,0.379999995,,0.310000002,,0.550000012,,0.540000021,,0.47,
Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.289999992,,0.300000012,,0.289999992,,,0.289999992,,0.25999999,,0.189999998,,0.280000001,,0.3,
El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.540000021,,0.670000017,,0.460000008,,0.649999976,,0.82,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,0.400000006,,,0.370000005,,0.560000002,,0.360000014,,0.800000012,,1.9,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.330000013,,,0.449999988,,0.600000024,,0.579999983,,0.939999998,,1.23,
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.270000011,,0.25999999,,0.319999993,,,0.360000014,,0.460000008,,0.519999981,,0.600000024,,0.93,
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,
Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.200000048,,,1.169999957,,1.059999943,,1.120000005,,1.539999962,,1.55,
France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.169999957,,,1.110000014,,0.99000001,,1.049999952,,1.419999957,,1.48,
French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.179999948,,1.159999967,,,,,0.629999995,,0.529999971,,0.689999998,,0.899999976,,0.64,
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.730000019,,0.670000017,,,,,0.829999983,,0.639999986,,0.460000008,,0.75,,1.08,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.460000008,,,,0.479999989,,0.730000019,,0.86,
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.120000005,,,0.959999979,,0.910000026,,1.029999971,,1.460000038,,1.55,
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.529999971,,0.529999971,,0.379999995,,,0.319999993,,0.200000003,,0.280000001,,0.49000001,,0.86,
Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.879999995,,,0.649999976,,0.720000029,,0.779999971,,1.139999986,,1.16,
Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.540000021,,0.540000021,,0.540000021,,,,,
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.319999993,,0.389999986,,,0.409999996,,0.529999971,,0.479999989,,0.680000007,,0.78,
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.670000017,,0.610000014,,,,,0.680000007,,0.850000024,,0.660000026,,0.75,,0.79,
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.300000012,,0.270000011,,,,,,,,,,,0,,,
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.300000012,,0.370000005,,0.310000002,,,,,
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.589999974,,0.639999986,,0.540000021,,0.879999995,,,
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.409999996,,0.349999994,,,0.5,,0.620000005,,0.629999995,,0.810000002,,0.89,
"Hong Kong, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.190000057,,,1.360000014,,1.460000038,,1.470000029,,1.539999962,,1.69,
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.74000001,,,0.720000029,,0.810000002,,0.939999998,,1.299999952,,1.3,
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.120000005,,1.049999952,,1.159999967,,,,,
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.479999989,,,0.560000002,,0.600000024,,0.660000026,,0.870000005,,1.01,
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.439999998,,,0.159999996,,0.170000002,,0.270000011,,0.270000011,,0.57,
Iran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0.05,,0.07,,0.09,,0.09,
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,0.03,,0.02,,0.03,,,
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.959999979,,,1.019999981,,0.720000029,,0.899999976,,1.289999962,,1.34,
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.730000019,,,0.860000014,,1.139999986,,0.899999976,,1.049999952,,1.47,
Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.179999948,,,1.190000057,,0.970000029,,1.049999952,,1.529999971,,1.56,
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.370000005,,0.620000005,,0.519999981,,0.629999995,,0.82,
Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.25,,,1.019999981,,1.059999943,,0.910000026,,1.25999999,,1.09,
Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.400000006,,,0.419999987,,0.449999988,,0.519999981,,0.610000014,,0.86,
