Total 55+ unemployment (%),1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
Australia,,,,,,5,5.199999809,5.300000191,4.800000191,4.900000095,7.099999905,8.300000191,9.199999809,8.100000381,6.400000095,6.300000191,5.800000191,5.400000095,4.699999809,3.799999952,4.199999809,3.700000048,3.400000095,3.200000048,2.900000095
Canada,4.199999809,6.5,7.599999905,7.300000191,7.599999905,6.900000095,6.5,5.800000191,5.699999809,5.5,7.599999905,8.600000381,9.300000191,8.600000381,7.699999809,7.300000191,6.900000095,6.300000191,5.5,5.099999905,5.5,5.800000191,5.900000095,5.599999905,5.099999905
Czech Rep.,,,,,,,,,,,,,4,3.599999905,2.799999952,3.700000048,3.599999905,3.900000095,4.800000191,5.300000191,5,3.900000095,4.5,5.400000095,4.900000095
Estonia,,,,,,,,,,,,,,,,,,,,8.5,8.300000191,6.699999809,5.699999809,4.800000191,4.599999905
Finland,4.699999809,5.300000191,5.400000095,6.5,6.199999809,5.800000191,4.099999905,4.199999809,2.900000095,2.5,4.599999905,10.10000038,14.19999981,17.70000076,18.60000038,19.79999924,14,12.30000019,9.600000381,8.800000191,8.699999809,7.699999809,7.400000095,6.900000095,6.5
France,5.099999905,5.400000095,5.699999809,6.400000095,7,7.099999905,7.800000191,7.5,7.099999905,6.599999905,7,8,8.199999809,8.100000381,8,8.600000381,9,8.800000191,8.399999619,7.300000191,6.300000191,6.699999809,7.400000095,7.199999809,6.900000095
Germany,,,,,,,,,,,6.900000095,8.399999619,10.10000038,10.80000019,11,13.10000038,14.39999962,13.80000019,13.39999962,12,11.80000019,10.89999962,11.89999962,12.39999962,11.60000038
"Hong Kong, China",,,,,2.400000095,2,1,0.6000000238,0.5,0.6000000238,0.8999999762,1.200000048,1.5,1.399999976,2.400000095,1.799999952,1.299999952,3.299999952,5.099999905,4.400000095,4.199999809,7.199999809,8,8.199999809,6.099999905
Ireland,,,5.699999809,7.5,7.900000095,7.300000191,8.899999619,8.600000381,7.900000095,7,7.099999905,7,7,7.599999905,6.599999905,6.5,5.300000191,4.199999809,3.599999905,2.099999905,2.200000048,2.099999905,2.099999905,2.200000048,2.5
Japan,2.799999952,2.900000095,3.099999905,3.299999952,3.200000048,3.299999952,3.299999952,2.900000095,2.5,2.200000048,2.099999905,2.099999905,2.400000095,2.900000095,3,3.400000095,3.200000048,4.099999905,4.400000095,4.5,4.699999809,4.800000191,4.699999809,3.799999952,3.5
"Korea, Rep.",,,,,,,,,,,,0.5,0.5,0.5,0.6999999881,0.6000000238,0.8999999762,3.299999952,3.400000095,2.200000048,1.700000048,1.299999952,1.5,1.700000048,1.899999976
Latvia,,,,,,,,,,,,,,,,22.79999924,10.69999981,9.300000191,8.699999809,9.300000191,9.199999809,9,7.099999905,7.699999809,7.5
Lithuania,,,,,,,,,,,,,,,,,,5.599999905,5,9.5,11.5,10.10000038,10.69999981,9.800000191,6.199999809
Netherlands,,,,,,,5.400000095,5.099999905,4.400000095,4.400000095,4.199999809,2.400000095,2.900000095,3.5,3.400000095,3.700000048,3.099999905,2.900000095,2.799999952,2.200000048,1.700000048,2.099999905,3,3.900000095,4.5
New Zealand,,,,,,1.5,1.700000048,2.5,3.799999952,4.199999809,3.900000095,5.099999905,5,4.300000191,3,3.299999952,3.599999905,4.099999905,4.5,4.199999809,3.200000048,3,3.200000048,2.200000048,1.799999952
Norway,0.8000000119,1,1.600000024,1.399999976,1.100000024,0.8000000119,0.8999999762,1.5,2.5,2.299999952,2.700000048,2.799999952,2.099999905,2.5,2.400000095,2.400000095,1.700000048,1.899999976,1.299999952,1.5,1.700000048,1.299999952,1.5,1.5,1.700000048
Philippines,,,,,,7.699999809,7.400000095,6.199999809,6.199999809,5.400000095,6.400000095,4.800000191,4.300000191,4.699999809,4.5,4.5,5.5,5.300000191,4.800000191,5.300000191,5.300000191,5.400000095,6,6.599999905,2.299999952
