One-year-olds immunized with MCV (%),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Abkhazia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,11,,8,9,14,14,14,31,34,22,20,19,22,25,40,41,42,38,31,31,27,37,35,39,48,50,53,55,59,60,62,62
Akrotiri and Dhekelia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,90,90,93,96,96,96,96,96,96,96,88,80,87,76,90,91,92,95,89,85,95,95,96,93,96,97,95,97,98,97,99,99
Algeria,,,,,,68,67,73,81,82,83,85,86,87,88,89,90,92,84,83,80,83,81,84,81,83,91,92,88,92,95,95
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,90,90,97,97,97,98,96,98,94,91,94,98,98,99,99
Angola,,,,26,35,44,44,55,56,48,38,39,39,47,44,46,62,78,62,46,41,72,74,62,64,45,48,88,79,77,93,88
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,48,73,69,80,89,95,95,89,87,99,99,91,93,99,93,99,99,95,97,99,99,97,99,99,99,99,99,98,99
Argentina,61,77,67,67,79,54,87,80,87,89,93,99,92,95,96,99,99,93,95,97,91,89,96,97,98,99,97,98,97,99,99,93
Armenia,,,,,,,,,,,,,93,95,95,96,89,92,94,92,92,93,91,94,92,94,92,92,94,96,97,97
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,,,,68,68,68,68,68,77,85,86,86,86,86,86,87,87,85,82,88,91,92,93,94,93,94,94,94,94,94,94,94
Austria,,25,25,25,30,40,60,60,60,60,60,60,60,60,60,60,87,90,78,65,75,79,78,79,74,75,80,79,83,76,76,76
Azerbaijan,,,,,,,,,,,,,52,49,60,64,65,66,67,68,67,68,66,67,67,67,65,66,66,67,67,67
Bahamas,,,65,66,63,79,85,87,78,87,86,93,94,88,88,90,92,93,92,86,93,94,94,90,89,85,88,96,90,98,94,90
