DOTS new smear-positive case detection rate (%),1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
"Micronesia, Fed. Sts.",12,19,,,,24,13,38,47,65,62,82,97
Mongolia,8,6,31,60,67,61,71,72,66,77,78,88,76
Morocco,91,93,93,90,91,89,90,92,93,91,96,94,93
Mozambique,59,55,53,53,50,47,45,45,45,46,47,49,49
Myanmar,,27,27,30,34,50,60,69,78,88,102,111,116
Namibia,22,85,88,90,85,82,84,81,90,82,83,87,84
Nauru,,,,,,90,90,90,90,,,90,90
Nepal,,5,11,16,45,57,58,61,66,67,67,64,66
Netherlands,77,49,44,37,47,46,51,55,48,63,42,36,11
New Caledonia,90,90,,,90,90,90,90,90,90,90,90,90
New Zealand,,,,,,40,41,51,62,65,50,65,60
Nicaragua,72,81,81,82,80,78,82,75,82,80,78,83,97
Niger,,,31,33,37,41,44,42,51,46,52,51,53
Nigeria,11,11,11,11,12,12,12,11,15,17,18,20,23
Niue,,,,,,,0,90,0,0,0,0,
Northern Mariana Islands,,,,,,90,90,90,90,90,90,90,90
Norway,,68,67,34,16,28,47,25,43,42,40,39,33
Oman,,121,121,121,91,123,112,117,85,128,95,129,125
Pakistan,1,2,,4,2,3,5,13,17,25,38,50,67
Palau,90,90,90,,,,,90,90,90,90,90,90
Panama,,,,12,8,32,70,80,74,106,105,103,98
Papua New Guinea,,,1,7,8,7,8,15,17,18,20,22,15
Paraguay,14,56,,,,4,9,8,19,20,33,62,58
Peru,102,88,94,99,91,88,88,87,82,84,89,97,93
Philippines,0,0,3,9,18,44,52,57,64,69,71,75,75
Poland,,,,2,3,4,3,56,57,57,62,64,66
Portugal,79,78,67,87,83,92,102,102,95,91,84,89,87
Puerto Rico,,58,72,66,76,67,72,88,70,76,71,88,77
Qatar,33,27,24,43,33,29,41,34,52,38,46,49,44
"Korea, Rep.",30,60,56,62,,,,,26,23,20,18,14
Moldova,,,,,,,41,22,41,63,70,70,67
Romania,,,,87,4,10,10,43,40,43,83,82,85
Russian Federation,,0,1,1,2,5,6,8,9,15,34,45,49
Rwanda,34,35,41,54,44,32,25,28,30,27,26,27,25
Saint Kitts and Nevis,,,,165,82,0,0,40,,,0,39,155
Saint Lucia,,,113,80,72,56,48,63,63,86,86,101,139
Saint Vincent and the Grenadines,,,,18,,55,18,0,37,30,37,49,
Samoa,73,45,71,,89,70,60,107,69,65,66,80,
San Marino,,0,101,0,0,113,0,0,0,0,,,
Saudi Arabia,,,,,21,36,38,39,38,38,38,39,39
Senegal,62,65,57,55,48,53,54,49,53,50,50,49,48
Seychelles,,82,97,67,,83,90,68,38,100,62,,
Sierra Leone,29,41,40,36,,33,33,32,31,34,36,35,37
Singapore,62,27,,,,16,28,51,57,87,102,101,96
Slovakia,80,85,34,40,35,37,37,34,38,34,39,39,44
Slovenia,,79,58,65,74,71,73,75,75,63,84,67,77
Solomon Islands,,24,30,39,26,32,35,33,43,49,56,42,50
Somalia,,33,43,43,46,48,58,58,61,74,78,74,64
South Africa,,,7,23,66,63,60,71,77,75,72,77,78
Spain,,,,,,,,,0,,0,,0
Sri Lanka,62,60,70,75,77,67,72,71,71,76,93,85,85
Sudan,,2,1,27,27,32,29,31,31,33,34,31,31
Swaziland,,,,,,,,35,36,41,46,52,55
Sweden,,,,,,,56,59,58,56,58,,0
Switzerland,,,,,,,,,0,,0,,0
Syrian Arab Republic,,,16,40,56,84,88,87,96,100,89,91,80
Tajikistan,,,,,,,,2,,11,23,32,30
Thailand,,0,5,22,41,48,76,68,74,74,77,74,72
"Macedonia, FYR",,,,,,,54,49,49,72,65,66,74
Timor-Leste,,,,,,,,84,74,69,67,56,61
Togo,13,13,,12,11,12,,4,13,16,17,19,15
Tokelau,,,,,,,,,0,,,,
Tonga,67,106,85,126,80,123,67,196,95,70,98,127,129
Tunisia,,,,,94,101,103,90,85,88,83,80,78
Turkey,,,,,,,,,5,3,3,81,76
Turkmenistan,,,,,,17,36,42,43,33,44,54,84
Tuvalu,,,,,,,,,,,60,49,152
Uganda,,,60,60,60,51,47,47,47,48,47,48,51
Ukraine,,,,,,,,,,,,70,55
United Arab Emirates,,,,,,27,25,20,27,19,21,17,18
United Kingdom,,,,,,,,,,,0,,0
Tanzania,61,60,57,58,56,52,51,48,49,51,50,50,51
Virgin Islands (U.S.),,73,,,,,,,,,,,
United States of America,85,84,84,85,86,84,85,85,86,87,86,89,87
Uruguay,76,94,94,84,88,79,79,72,89,90,87,76,95
Uzbekistan,,,,0,2,4,7,22,21,29,38,51,45
Vanuatu,,,,,28,31,58,38,49,73,44,53,52
Venezuela,73,75,75,78,82,78,68,66,81,79,75,72,68
Viet Nam,30,59,78,83,83,82,84,87,86,89,84,86,82
Wallis et Futuna,,,,,,,90,90,90,,90,,90
West Bank and Gaza,,,,,,15,12,,6,2,3,7,5
Yemen,1,8,29,37,51,55,52,48,45,41,41,42,46
Zambia,,,,,,,,45,69,65,58,58,58
Zimbabwe,,,,55,49,45,44,42,36,36,32,32,27
