Female 15-19 years (%),1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Afghanistan,10.14750763,10.27090695,10.38428325,10.6674496,10.09480337,10.16843419,10.27131783,10.38214406,10.42286092,10.40183697,10.50823482,10.68314569,10.99159424,11.14744172,11.02382823,10.71066458,10.79333906,10.89581269,10.86248171,10.61683379,10.20151134
Albania,9.966777409,10.38011696,9.386733417,8.845738943,9.933774834,11.11111111,11.06811146,10.18841591,9.856519027,8.810289389,9.591704472,9.739019733,9.20970753,8.162031439,6.062389641,5.950317735,6.357388316,6.479357798,6.116560877,5.474665114,5.023640662
Algeria,10.14458955,10.2569459,9.990680336,9.946055293,9.735269001,9.918679152,10.7234315,10.8390972,10.8409725,11.30943881,12.06166468,11.24016716,9.919051419,7.671915593,7.537513664,7.811764706,7.873270539,7.540684014,6.842950072,6.145803318,5.762246792
Angola,9.891150024,9.701169337,9.514487079,9.230220955,10.00322685,10.23940006,10.37074148,10.30187883,10.14599889,10.36000629,10.6048053,10.86053412,11.11111111,10.80098191,11.07177341,10.60725835,10.72007259,10.61205217,10.30877573,9.858308717,9.406448006
Argentina,9.273273273,8.577878104,8.378193207,8.590447063,8.720252954,8.515350542,8.082508945,7.855280313,8.21785174,9.175659642,8.452051882,8.283933729,8.133417001,7.724252492,7.223896472,7.139496086,6.956954879,6.676383659,6.345811052,6.023721563,5.733558179
Armenia,10.39325843,12.26993865,6.411582213,7.502206531,9.79020979,11.67933656,11.20906801,8.62170088,7.346491228,7.96460177,9.202453988,9.724770642,7.822922984,5.256869773,5.565423327,6.046235922,6.298276887,5.938812238,5.295191722,5.003088326,5.060088552
Aruba,11.11111111,9.523809524,8.333333333,11.53846154,10.34482759,10.34482759,9.677419355,9.090909091,6.060606061,5.128205128,6.52173913,5.769230769,7.142857143,7.01754386,5.357142857,5.263157895,5.084745763,5.357142857,5.263157895,5.172413793,5.357142857
Australia,6.701030928,6.577210735,7.416879795,8.780829106,8.726639214,8.812260536,8.713974986,8.084891359,7.991133924,6.818930493,6.728081979,6.654974179,6.518121302,6.089941037,5.80075662,5.833064776,5.760583036,5.699287589,5.642929955,5.546099291,5.456685825
Austria,5.999461932,6.481979559,7.152353098,6.361520559,6.178779438,7.205404053,8.111501758,7.70586754,6.304728546,5.502800097,5.759922556,5.696052943,5.73025856,5.042794356,4.781609195,4.574565416,4.515393387,4.627307955,4.662857143,4.66130884,4.597966728
Azerbaijan,10.77023499,12.22158766,6.108374384,6.379383185,8.56498873,11.52658662,12.43277444,10.40023371,9.098316133,8.620256346,9.553528565,10.4911229,9.469530907,6.839032527,6.088523934,7.010710808,7.242499522,6.729500471,5.917491133,5.430537474,5.435188644
Bahamas,9.523809524,8.510638298,8.928571429,8.333333333,9.411764706,10.52631579,12.26415094,10.92436975,10.85271318,9.090909091,9.677419355,8.484848485,8.474576271,7.978723404,7.035175879,6.698564593,6.511627907,6.278026906,6.086956522,5.93220339,5.439330544
Bahrain,9.259259259,9.677419355,9.589041096,9.278350515,10.78431373,12.19512195,11.72413793,8.333333333,8.333333333,9.090909091,9.352517986,9.35483871,10.11560694,8.970976253,8.474576271,7.623318386,7.112970711,6.496062992,6.179775281,6.071428571,5.841924399
Bangladesh,9.989599326,9.706207201,10.04902922,9.681436132,10.48589484,10.44051244,10.49008434,10.65709113,11.1164038,11.59528381,11.57876555,10.80791655,10.09582857,9.589230716,8.951423348,7.953464323,7.606627557,7.331577687,6.969790124,6.529109402,6.099650961
Barbados,8.771929825,8.333333333,8.461538462,9.523809524,10.23622047,11.71875,10.76923077,9.923664122,9.701492537,7.518796992,7.751937984,7.575757576,6.766917293,5.303030303,5.223880597,5.223880597,5.263157895,5.34351145,4.651162791,4.724409449,4.918032787
Belarus,9.322229933,9.282407407,5.854853072,6.282051282,7.755269081,8.773322747,8.038647343,6.857785273,6.659328564,6.718061674,7.46352413,7.480916031,5.768855973,4.567211807,4.498977505,4.860088365,4.843614248,4.615038271,4.331538281,4.084128149,4.07587798
Belgium,7.064471879,6.304106548,5.767581475,7.2319202,7.183557184,7.698460308,7.779546359,7.104584243,6.375442739,5.837858805,5.724164426,5.751879699,5.754077332,5.405405405,5.215540181,5.396881023,5.338880222,5.364511692,5.296429182,5.207624234,5.162166752
Belize,11.76470588,10.25641026,8.510638298,9.259259259,11.11111111,11.94029851,12.85714286,12.65822785,10.86956522,10.18518519,11.29032258,10.63829787,10.8974359,10.40462428,9.625668449,9.045226131,8.411214953,8.035714286,7.594936709,6.995884774,6.324110672
Benin,8.493150685,9.106984969,10.00834028,9.516500384,8.895066018,9.243176179,9.70027248,10,10.07371007,10.25730181,10.33553026,10.40122668,10.48705573,10.45229951,10.48521103,10.70903207,10.64808729,10.28713811,9.835888577,9.396372287,9.015791407
Bhutan,10,10.41666667,10.18518519,9.448818898,8.904109589,9.356725146,9.268292683,9.523809524,10.03717472,10.4,11.51079137,12.33766234,11.37724551,9.668508287,8.974358974,8.212560386,8.294930876,7.96460177,7.203389831,6.58436214,6.18762475
Bolivia,10.14705882,9.980171844,9.63356974,10.13192612,10.26722925,10.34768212,10.31687546,10.40768976,10.70472792,10.16724184,10.09569378,10.22357282,10.52108194,10.06069524,9.814687714,9.306834707,8.796934866,8.300337293,7.796610169,7.330775555,6.859205776
Bosnia and Herzegovina,11.74764322,11.00856955,7.938461538,9.479768786,10.61606161,10.60367454,10.22155086,8.895265423,8.256880734,7.64294049,7.479079498,7.382892057,5.586878524,5.478036176,4.557359874,4.375667022,4.378762999,4.350282486,4.169113329,4.041641151,3.92788152
Botswana,10.79812207,10.41666667,9.558823529,8.974358974,11.11111111,10.9263658,10.57884232,10.49069374,10.75581395,11.49425287,11.85270426,11.70097508,10.95334686,10.13384321,9.380692168,9.747606614,9.647651007,9.430894309,8.997632202,8.499234303,8.092056422
Brazil,9.905140084,10.0953467,9.409862128,9.942724605,10.59912627,10.93305764,11.24238993,10.30855437,9.908856589,10.17148601,10.16631663,9.09476542,8.195680437,8.209475826,7.891649381,6.775733038,6.039875782,5.649787866,5.285030904,5.003665527,4.873481197
Brunei,8.695652174,9.677419355,7.5,6.25,11.11111111,10.25641026,11.11111111,10.28037383,9.090909091,9.352517986,8.805031447,8.474576271,8.629441624,8.450704225,7.327586207,6.746031746,6.319702602,6.293706294,5.940594059,6.031746032,5.740181269
Bulgaria,9.318996416,7.686170213,7.385786802,8.380024361,7.842675459,7.28021978,6.81358219,6.569019086,7.000670991,7.012195122,6.429615197,6.276675872,5.009036922,4.145628488,4.339467179,4.848830576,4.943418702,4.733727811,4.43285528,4.234972678,4.374327716
Burkina Faso,10.4070067,10.45627376,10.59027778,9.948474039,9.846043681,10.33257992,10.55363322,10.69053708,10.72068039,10.80343214,10.88320054,10.74224413,10.44171779,10.28017695,10.44092034,11.77896268,11.3737606,10.80628542,10.28135376,9.928662692,9.647787002
Burundi,9.984399376,9.792709078,9.823182711,9.832134293,10.97092704,10.99531006,10.9659356,10.3777336,9.680741504,9.955752212,11.52115212,12.37086093,11.26728111,10.07735731,9.50744559,9.781073446,10.07431874,9.788688626,9.045594488,8.305555556,7.888815354
Cambodia,10.29885057,10.2892562,10.23187339,10.16949153,10.09809579,10.49069374,11.54058531,10.48085901,8.963750985,7.846127775,11.97932502,11.85153943,11.82291667,9.89646039,8.341708543,8.352498432,8.609271523,8.602657119,8.055204763,7.334836137,6.876622833
Cameroon,9.793588054,9.707180104,9.643377001,9.526916803,9.650390061,9.532237674,9.764089122,9.920634921,10.20474488,10.57774002,11.12645988,11.14346511,10.90289608,10.2909288,10.62901367,10.91501288,10.59310151,9.988908462,9.437763262,9.071572291,8.801569568
Canada,7.890070922,7.270852134,7.675761349,8.945001022,9.662193429,9.973185711,9.619759506,7.546299854,6.751628839,6.501317835,6.492835936,6.450426145,6.378251973,5.556178515,5.130551817,5.086327578,5.168697047,5.323138363,5.379461103,5.312122058,5.218025908
Cape Verde,12.65822785,9.677419355,6.730769231,9.090909091,10.86956522,11.40939597,12.98701299,11.69590643,9.523809524,11.05769231,11.68831169,12,11.23595506,10.52631579,9.602649007,8.490566038,8.43373494,8.139534884,7.648725212,7.242339833,6.593406593
Central African Rep.,9.361069837,9.308885755,9.174311927,8.939213349,9.247311828,9.55165692,9.878682842,9.902475619,9.993293092,10.18845701,10.48218029,10.71257771,10.64108155,10.87130296,10.8277901,10.4467354,10.19292605,9.897094431,9.544282029,9.244614126,8.837330553
Chad,9.496753247,9.271523179,9.157266092,8.982748364,10.04273504,9.957325747,9.786324786,9.750566893,10.0388601,10.39177549,10.54991739,10.58263971,10.64638783,10.80424886,10.99518459,10.93547245,10.90012589,10.830427,10.64102564,10.3046875,9.835358401
Channel Islands,5.769230769,5.357142857,5.084745763,6.451612903,6.25,7.575757576,7.575757576,7.042253521,5.405405405,5.479452055,5.405405405,5.194805195,5.263157895,5.128205128,5.128205128,5.194805195,3.947368421,3.947368421,4.054054054,4,4
Chile,9.413680782,8.843338214,9.337816865,9.300731261,9.775211384,10.9448968,11.41899047,10.08964955,9.139946059,7.921471719,8.354722793,8.743169399,8.449728731,7.201941105,6.454005935,6.288406391,6.171610591,5.983239135,5.83549285,5.626306786,5.439924314
China,9.525791779,8.220187422,7.985039916,9.007832524,10.95985599,9.338893409,10.7978456,12.06158658,10.61284879,7.915505043,8.079799519,9.284050992,7.558835812,6.414148788,5.654751964,5.622860604,5.890781993,5.817776287,5.360353834,5.027747202,4.982751343
