0-14 yrs sex ratio,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Caribbean,102.295,102.31,102.294,101.926,102.551,102.662,103.091,103.146,103.379,103.665,103.789,103.804,104.032,104.223,104.316,104.295,104.305,104.34,104.447,104.573,104.703
Central African Rep.,99.346,99.078,98.912,98.774,98.936,99.078,99.192,99.206,99.196,99.189,99.202,99.205,99.152,99.116,99.13,99.148,99.202,99.323,99.494,99.691,99.887
Central America,104.21,103.59,103.051,102.459,102.545,102.647,102.876,102.799,103.08,103.342,103.551,103.348,103.423,103.592,103.882,104.165,104.312,104.375,104.42,104.452,104.478
Chad,102.49,100.672,99.206,98.271,98.664,99.062,99.403,99.824,100.247,100.6,100.765,100.794,100.757,100.722,100.736,100.818,100.947,101.092,101.243,101.374,101.459
Channel Islands,104.321,104.808,105.037,104.752,104.374,104.207,103.81,103.86,103.649,105.256,105.469,106.404,105.37,105.552,105.559,105.537,105.517,105.517,105.531,105.55,105.561
Chile,101.933,102.142,102.131,101.962,101.893,102.197,102.623,103.083,103.406,103.562,103.597,103.656,103.706,103.748,103.771,103.79,103.804,103.814,103.822,103.827,103.831
China,113.023,108.326,106.449,105.618,106.317,106.774,106.691,106.733,108.212,111.015,114.61,118.821,120.831,120.804,118.936,117.138,115.655,114.523,113.416,112.353,111.333
"Hong Kong, China",112.633,110.53,108.3,107.646,107.318,104.946,106.982,108.226,108.2,105.685,103.662,107.061,111.145,107.051,104.053,103.387,103.343,103.24,103.183,103.268,103.452
"Macao, China",113.046,116.345,112.268,109.106,111.489,105.411,107.447,104.096,106.044,105.448,105.714,104.53,104.694,104.893,104.85,104.805,104.802,104.794,104.781,104.782,104.796
Colombia,102.538,102.476,102.614,102.841,103.128,103.174,103.375,103.482,103.708,103.903,104.046,104.141,104.194,104.263,104.325,104.401,104.459,104.517,104.562,104.595,104.611
Comoros,102.21,102.281,102.267,101.881,102.029,101.867,101.779,101.836,102.07,102.419,102.747,102.965,103.047,103.107,103.193,103.309,103.45,103.612,103.816,104.057,104.287
"Congo, Rep.",99.117,100.043,100.699,101.082,101.082,101.144,101.324,101.459,101.544,101.565,101.596,101.572,101.537,101.476,101.399,101.315,101.309,101.452,101.686,101.933,102.144
Costa Rica,102.471,102.934,103.374,103.3,103.399,103.53,104.873,104.52,104.871,105.265,105.592,105.682,105.319,105.088,105.029,105.041,105.059,105.077,105.095,105.109,105.125
Cote d'Ivoire,104.318,101.853,100.174,99.02,99.282,99.679,100.085,100.279,100.385,100.473,100.602,100.718,100.778,100.783,100.794,100.829,100.884,100.943,101.002,101.062,101.118
Croatia,102.496,102.598,103.251,104.441,103.955,104.461,104.848,105.324,105.048,104.723,104.985,105.12,105.507,105.687,105.787,105.803,105.813,105.824,105.836,105.85,105.862
Cuba,103.981,103.856,103.629,103.505,104.109,104.311,104.67,104.454,105.515,105.762,105.41,105.849,106.286,106.742,107.013,107.077,106.894,106.639,106.773,106.901,107.019
Cyprus,104.514,104.868,104.433,103.036,106.594,105.282,104.827,106.013,106.631,107.037,105.963,104.985,105.377,106.216,106.65,106.683,106.708,106.728,106.741,106.761,106.785
Czech Rep.,103.644,104.29,104.586,105.031,105.258,105.112,104.857,104.854,104.818,105.054,105.259,105.584,105.697,105.677,105.687,105.695,105.696,105.691,105.691,105.693,105.694
"Korea, Dem. Rep.",101.201,103.397,104.375,104.392,104.536,104.441,104.295,104.275,104.421,104.496,104.464,104.68,105.025,105.35,105.51,105.72,105.99,106.206,106.283,106.235,106.138
"Congo, Dem. Rep.",95.435,97.466,98.814,99.597,99.733,99.964,100.195,100.358,100.447,100.514,100.388,100.396,100.363,100.398,100.353,100.356,100.407,100.497,100.6,100.699,100.787
Denmark,103.993,104.87,104.965,104.891,105.019,104.824,104.787,104.383,104.769,104.981,105.318,105.184,105.881,106.378,106.628,106.652,106.64,106.636,106.659,106.699,106.737
Djibouti,100.574,100,99.705,99.619,100.054,100.466,100.887,101.258,101.501,101.584,101.644,101.726,101.845,101.956,102.035,102.074,102.115,102.176,102.245,102.336,102.425
Dominican Rep.,101.711,102.313,102.315,102.253,102.251,102.282,102.422,102.681,102.95,103.157,103.325,103.555,103.675,103.808,103.935,104.037,104.118,104.178,104.228,104.268,104.297
Eastern Africa,99.719,99.578,99.549,99.49,99.708,99.934,100.201,100.43,100.584,100.676,100.831,101.007,101.135,101.196,101.207,101.215,101.23,101.26,101.294,101.338,101.393
Eastern Asia,111.296,107.702,106.229,105.499,106.201,106.634,106.555,106.593,107.952,110.511,113.729,117.384,119.206,119.303,117.709,116.101,114.737,113.685,112.679,111.726,110.807
Eastern Europe,101.613,103.712,104.403,104.52,104.187,104.15,103.855,103.977,104.003,104.429,104.806,105.078,105.407,105.563,105.632,105.689,105.725,105.768,105.809,105.84,105.864
Ecuador,102.394,102.394,102.434,102.489,102.652,102.794,102.926,103.058,103.221,103.417,103.714,103.952,104.153,104.256,104.384,104.487,104.601,104.688,104.742,104.761,104.778
Egypt,101.835,102.3,102.623,102.799,103.122,103.456,103.687,103.918,104.16,104.472,104.637,104.68,104.642,104.616,104.62,104.635,104.71,104.82,104.953,105.073,105.145
El Salvador,101.375,100.926,101.632,101.889,101.965,100.988,101.584,102.019,102.69,103.42,104.01,104.472,104.364,104.467,104.464,104.481,104.445,104.413,104.408,104.423,104.434
Equatorial Guinea,97.275,97.473,98.346,98.952,99.196,99.398,99.574,99.858,100.147,100.308,100.517,100.725,100.902,100.996,101.059,101.137,101.199,101.254,101.284,101.31,101.334
Eritrea,102.788,102.79,102.64,101.813,101.737,101.66,102.843,101.816,100.8,100.169,100.808,101.424,101.879,102.135,102.331,102.49,102.629,102.75,102.852,102.935,103.006
Estonia,106.077,106.54,104.357,103.688,104.415,104.861,104.062,105.158,104.156,105.149,105.657,105.886,105.75,105.619,105.569,105.607,105.676,105.745,105.801,105.836,105.848
Ethiopia,101.352,100.565,99.957,99.42,99.681,99.97,100.196,100.305,100.429,100.606,100.814,100.987,101.172,101.291,101.344,101.38,101.403,101.419,101.433,101.45,101.463
EUROPE,102.832,103.994,104.478,104.685,104.554,104.621,104.631,104.629,104.607,104.825,105.088,105.26,105.428,105.493,105.526,105.561,105.58,105.596,105.611,105.627,105.643
Fiji,101.493,100,103.226,103.774,103.807,103.727,104.5,105.206,105.712,106.102,106.353,106.225,106.262,106.378,106.489,106.464,106.472,106.514,106.577,106.644,106.718
Finland,104.075,104.088,104.091,103.96,104.144,104.299,104.503,104.65,104.561,104.41,104.314,104.24,104.454,104.474,104.529,104.573,104.601,104.617,104.628,104.638,104.648
France,102.959,103.865,103.871,104.004,104.124,104.601,104.929,104.922,104.78,104.774,104.849,104.867,104.614,104.189,103.966,103.948,103.944,103.95,103.963,103.97,103.964
French Guiana,95.157,98.729,98.899,101.187,101.614,100.472,102.741,103.465,103.47,104.53,105.991,102.215,103.027,103.816,104.159,104.376,104.517,104.605,104.645,104.68,104.706
French Polynesia,103.558,103.56,103.563,103.847,103.96,102.648,103.992,104.397,105.369,105.82,106.549,105.921,105.055,104.959,105.029,105.081,105.111,105.119,105.103,105.088,105.073
Gabon,99.17,99.115,99.172,99.317,99.729,99.74,100.302,100.755,101.149,101.4,101.58,101.834,101.902,101.941,102.031,102.147,102.201,102.238,102.225,102.227,102.254
Gambia,97.716,97.144,97.046,97.484,98.026,98.598,99.217,99.803,100.298,100.667,100.923,101.108,101.286,101.406,101.481,101.513,101.58,101.683,101.793,101.89,101.974
Georgia,92.071,96.414,102.186,104.09,103.838,103.256,102.505,103.359,104.351,104.311,104.645,107.427,112.57,112.263,110.395,110.003,109.682,109.406,109.083,108.741,108.387
Germany,104.278,104.64,105.053,105.366,105.172,105.065,105.059,104.655,105.464,105.38,105.413,105.345,105.347,105.375,105.39,105.391,105.39,105.389,105.387,105.385,105.384
Ghana,104.372,103.835,103.423,102.991,103.111,103.242,103.416,103.575,103.872,104.193,104.601,104.772,104.709,104.501,104.314,104.192,104.108,104.041,103.983,103.934,103.879
Greece,104.915,105.756,105.784,106.155,105.008,106.367,106.881,106.907,105.731,107.045,106.794,106.237,106.353,106.516,106.518,106.532,106.543,106.556,106.571,106.585,106.598
Grenada,99.172,99.855,101.305,100.601,100.733,101.51,102.62,103.363,103.284,103.384,102.314,103.295,104.41,105.026,105.151,105.223,105.256,105.278,105.297,105.317,105.322
Guadeloupe,102.439,102.083,104.31,105.556,103.715,100.728,102.189,102.275,102.235,102.46,103.506,103.078,104.05,104.445,103.73,103.752,103.764,103.78,103.79,103.807,103.823
Guam,105.241,107.759,103.769,104.841,106.087,104.793,104.359,104.396,104.128,104.22,105.762,107.41,106.834,105.891,105.657,105.73,105.762,105.762,105.764,105.756,105.761
Guatemala,102.988,103.158,103.242,103.181,103.194,103.292,103.551,103.844,103.904,102.911,102.273,102.304,102.824,103.355,103.609,103.736,103.879,104.018,104.139,104.242,104.341
Guinea,96.811,99.649,101.68,103.225,103.787,104.202,104.416,104.443,104.363,104.204,104.004,103.889,103.874,103.982,104.135,104.279,104.388,104.486,104.585,104.672,104.716
Guinea-Bissau,100.483,99.787,99.413,99.072,99.316,99.631,99.773,99.965,100.137,100.27,100.44,100.509,100.522,100.545,100.61,100.706,100.805,100.891,100.971,101.038,101.098
Guyana,92.359,94.597,96.157,102.129,100.922,100.827,100.952,101.116,101.675,102.44,102.483,102.864,104.125,103.591,103.432,103.676,103.864,104.012,104.161,104.319,104.475
Haiti,100.995,100.846,100.762,101.014,101.262,101.385,101.928,102.234,102.69,103.221,103.376,103.262,103.404,103.368,103.329,103.187,103.259,103.439,103.673,103.959,104.257
Honduras,104.495,103.724,103.084,102.626,102.362,102.322,102.492,102.609,102.856,103.01,103.091,103.258,104.002,104.198,104.265,104.318,104.377,104.429,104.483,104.538,104.587
Hungary,103.296,104.298,104.365,104.869,105.891,105.893,106.1,105.188,104.786,104.659,104.861,105.212,105.641,105.801,105.845,105.866,105.896,105.931,105.959,105.97,105.964
Iceland,100,103.846,103.333,106.25,105.038,104.826,104.997,104.968,104.418,105.415,104.745,104.541,104.571,105.259,105.789,105.919,106.007,106.038,106.054,106.065,106.074
India,105.057,106.638,107.499,108.1,107.967,107.871,107.72,107.764,107.995,108.538,108.872,109.046,108.919,108.806,108.679,108.527,108.402,108.3,108.217,108.153,108.094
Indonesia,94.974,98.156,101.306,103.343,103.325,103.282,103.344,103.151,103.161,103.237,103.525,103.706,103.817,103.917,104.027,104.201,104.41,104.611,104.78,104.885,104.922
Iran,101.801,103.289,104.494,105.518,105.869,106.229,106.169,105.551,105.171,103.978,104.622,105.281,105.146,105.051,105.056,105.04,105.104,105.209,105.273,105.281,105.243
Iraq,104.147,104.988,105.15,104.64,105.002,105.239,105.415,105.494,105.505,105.508,105.639,105.74,105.786,105.854,105.908,105.914,105.897,105.934,106.048,106.208,106.352
Ireland,104.286,103.721,104.884,104.328,104.399,104.537,105.138,105.404,105.363,105.708,105.656,105.871,105.876,106.338,106.751,106.951,106.955,106.96,106.969,106.981,106.988
Israel,106.465,106.613,106.523,106.03,105.99,105.744,105.437,105.563,105.35,105.354,105.392,105.73,105.899,105.913,105.928,105.939,105.944,105.946,105.95,105.952,105.954
Italy,103.999,104.101,104.702,104.732,105.105,105.032,105.092,105.14,105.246,105.652,105.61,105.709,105.769,105.693,105.769,105.877,105.934,105.939,105.947,105.952,105.955
Jamaica,100.436,100.808,101.484,96.428,100.915,101.655,102.596,103.549,101.983,102.559,103.527,102.167,103.043,104.386,105.098,105.111,105.134,105.159,105.184,105.203,105.211
Japan,103.153,103.802,104.424,103.728,104.548,105.082,105.223,105.082,105.011,104.911,104.944,105.135,105.31,105.517,105.487,105.481,105.478,105.475,105.472,105.468,105.464
Jordan,109.586,110.528,110.526,107.061,104.838,103.482,108.403,109.619,106.66,104.998,104.794,105.083,104.549,104.595,104.533,104.64,104.761,104.882,104.959,104.99,104.983
Kazakhstan,105.743,105.143,105.334,104.379,103.173,102.696,102.616,102.802,102.688,103.736,104.594,104.953,105.156,105.106,105.223,105.308,105.432,105.564,105.677,105.77,105.846
Kenya,100.475,99.951,99.731,99.485,99.669,99.97,100.418,100.875,101.114,101.222,101.252,101.278,101.226,101.135,101.033,100.962,100.935,100.961,101.006,101.066,101.176
Kuwait,109.125,111.713,106.902,106.409,104.437,103.736,103.978,103.177,103.277,104.92,104.9,103.924,102.767,102.643,102.684,102.711,102.732,102.752,102.771,102.789,102.804
Kyrgyzstan,99.094,97.364,98.918,101.73,102.612,101.927,101.886,102.231,102.189,102.883,103.604,104.248,104.543,104.744,104.864,104.973,105.053,105.097,105.098,105.106,105.12
Laos,95.877,97.158,98.975,101.288,101.762,102.203,102.726,103.064,103.333,103.359,103.629,103.628,103.972,104.132,104.107,104.036,104.016,104.02,104.116,104.281,104.486
LATIN AMERICA AND THE CARIBBEAN,102.543,102.467,102.338,102.194,102.326,102.294,102.379,102.672,103.096,103.442,103.614,103.671,103.807,103.936,104.078,104.204,104.289,104.347,104.4,104.447,104.488
Latvia,102.99,103.655,103.385,104.212,104.242,104.71,104.281,104.551,104.045,104.309,104.664,105.132,105.353,105.416,105.401,105.436,105.522,105.593,105.649,105.701,105.722
Least developed countries,101.091,100.997,101.554,101.805,101.822,101.778,101.77,101.904,102.015,102.114,102.143,102.206,102.24,102.25,102.237,102.238,102.263,102.304,102.36,102.424,102.493
Lebanon,100.174,102.917,104.221,103.745,103.319,103.312,103.066,102.998,102.913,103.307,103.57,103.711,103.796,103.87,104.007,104.193,104.403,104.588,104.756,104.862,104.911
Lesotho,96.475,97.368,98.57,99.691,100.044,100.275,100.477,100.689,100.849,101.029,101.186,101.259,101.233,101.156,101.103,101.082,101.124,101.221,101.351,101.486,101.6
Less developed regions,105.56,104.847,104.733,104.719,104.864,104.933,104.86,104.843,105.256,105.975,106.709,107.251,107.351,107.2,106.855,106.495,106.164,105.901,105.703,105.547,105.402
"Less developed regions, excluding China",102.711,103.39,104.023,104.346,104.27,104.19,104.211,104.281,104.454,104.676,104.835,104.935,104.919,104.844,104.761,104.683,104.623,104.571,104.538,104.519,104.506
"Less developed regions, excluding least developed countries",106.235,105.407,105.187,105.131,105.304,105.406,105.36,105.361,105.864,106.752,107.711,108.483,108.716,108.619,108.266,107.885,107.525,107.229,106.985,106.775,106.57
Liberia,100.587,99.416,98.637,98.292,98.643,98.977,99.336,99.602,99.743,100.139,100.658,101.289,101.686,101.911,101.991,102.015,102.019,102.023,102.031,102.045,102.07
Libya,104.738,105.004,104.912,102.851,104.521,104.332,104.557,103.228,103.75,104.095,104.444,104.605,104.734,104.834,104.911,104.973,105.026,105.05,105.045,105.018,104.993
Lithuania,97.879,100.428,102.782,103.132,103.197,103.493,103.226,104.033,103.561,104.226,104.855,105.365,105.37,105.372,105.371,105.479,105.496,105.535,105.584,105.637,105.688
Luxembourg,103.448,106.897,103.03,103.5,104.357,104.759,105.013,105.567,104.793,104.894,105.689,105.88,105.931,106.02,106.101,106.143,106.17,106.188,106.195,106.208,106.213
Madagascar,97.298,98.703,100.29,100.851,100.76,100.504,100.397,100.385,100.411,100.327,100.222,100.362,100.697,101.185,101.509,101.656,101.649,101.645,101.644,101.66,101.732
Malawi,95.008,94.078,93.776,93.833,94.671,95.424,98.245,100.248,101.543,100.693,101.291,101.756,101.985,102.026,102.028,102.031,102.043,102.064,102.095,102.123,102.125
Malaysia,101.111,99.785,100.812,102.456,101.911,102.687,104.617,105.221,105.232,105.296,105.288,105.362,105.577,105.759,105.829,105.907,105.974,106.008,106.014,106.008,106.001
Maldives,112.43,109.978,108.437,107.331,107.286,107.318,107.071,105.266,104.201,103.957,103.829,103.346,102.948,102.903,102.916,103.017,103.187,103.328,103.408,103.436,103.434
Mali,103.414,101.524,100.636,100.694,100.836,100.998,101.186,101.37,101.578,101.697,101.833,101.95,102.073,102.277,102.48,102.633,102.727,102.804,102.848,102.848,102.816
Malta,101.852,95.082,98.276,108.081,106.568,106.291,104.028,105.871,105.646,105.978,106.12,106.191,105.95,105.916,105.895,105.888,105.884,105.874,105.87,105.868,105.866
Martinique,97.619,101.42,102.03,100,103.167,100.455,102.113,102.697,103.103,102.595,102.011,103.554,104.036,104.158,104,103.992,103.981,103.971,103.969,103.974,103.978
Mauritania,95.152,99.837,103.772,106.731,106.452,106.249,106.174,106.197,106.275,106.285,106.23,106.107,105.983,105.934,105.934,105.978,106.066,106.182,106.312,106.43,106.536
Mauritius,101.039,102.878,103.868,104.703,104.434,102.894,101.599,102.223,102.689,103.153,103.023,103.374,103.516,103.684,103.774,103.844,103.914,103.979,104.03,104.083,104.101
Mayotte,110.573,107.852,106.809,104.469,102.342,101.458,101.223,102.867,102.008,101.353,101.335,101.209,101.271,101.307,101.348,101.391,101.43,101.456,101.459,101.455,101.45
Melanesia,107.178,104.214,103.432,103.729,103.887,104.403,101.778,103.501,105.593,106.236,106.13,106.571,107.055,107.567,107.729,107.808,107.876,107.937,107.991,108.04,108.089
Mexico,104.609,103.82,103.084,102.344,102.454,102.646,102.84,102.681,102.961,103.348,103.654,103.315,103.286,103.4,103.767,104.163,104.352,104.408,104.436,104.449,104.451
Micronesia,104.736,105.259,103.399,103.375,103.725,104.368,104.748,104.699,105.066,105.37,106.148,106.057,105.783,105.392,105.307,105.366,105.436,105.495,105.565,105.639,105.72
"Micronesia, Fed. Sts.",106.682,106.815,106.964,107.106,107.193,110.371,108.699,108.216,107.771,107.68,107.5,106.165,106.624,107.247,107.185,107.004,106.905,106.816,106.797,106.877,107.045
Middle Africa,97.503,98.377,98.984,99.379,99.618,99.878,100.132,100.302,100.403,100.462,100.411,100.427,100.391,100.387,100.356,100.369,100.425,100.521,100.634,100.744,100.84
Mongolia,98.894,99.905,100.988,102.113,102.738,103.255,103.679,104.037,102.147,103.009,101.607,102.633,103.338,104.058,104.202,104.428,104.597,104.689,104.721,104.714,104.713
Montenegro,104.927,104.474,105.494,106.143,106.451,106.451,105.634,105.354,105.735,106.889,108.07,107.197,107.469,107.828,108.03,108.082,108.122,108.145,108.146,108.125,108.108
More developed regions,103.189,104.079,104.444,104.499,104.497,104.646,104.713,104.72,104.705,104.856,105.061,105.202,105.316,105.395,105.433,105.449,105.452,105.456,105.457,105.459,105.461
Morocco,101.25,101.306,101.247,103.517,105.517,103.434,103.765,103.585,103.636,103.441,103.373,103.383,103.439,103.523,103.624,103.81,104.055,104.306,104.526,104.705,104.812
Mozambique,98.221,98.567,98.893,99.139,99.26,99.394,99.598,99.816,99.905,100.132,100.333,100.56,100.758,100.906,101.02,101.099,101.156,101.199,101.235,101.269,101.307
Myanmar,99.36,99.167,98.805,98.64,99.239,99.662,100.015,100.448,100.708,100.989,101.077,101.046,100.943,100.971,101.086,101.255,101.398,101.536,101.659,101.735,101.769
Namibia,103.408,100.801,99.168,98.12,98.819,99.39,99.838,100.161,100.393,100.573,100.742,100.902,101.041,101.143,101.233,101.323,101.454,101.626,101.807,101.97,102.116
Nepal,108.757,107.743,107.038,106.39,105.91,105.973,106.195,106.477,106.637,106.458,106.092,105.707,105.455,105.213,104.938,104.7,104.543,104.467,104.5,104.607,104.757
Netherlands,105.121,105.367,105.307,105.077,104.785,104.703,104.725,104.653,104.682,104.591,104.749,104.787,105.206,105.463,105.59,105.6,105.6,105.603,105.615,105.633,105.65
Netherlands Antilles,101.229,101.657,103.292,102.112,101.657,101.312,103.026,102.279,101.554,102.332,102.09,101.856,99.669,99.201,99.314,100.101,101.037,102.307,103.086,103.299,103.287
New Caledonia,104.437,104.435,104.828,103.661,101.512,103.096,102.945,103.187,104.76,107.009,106.269,105.692,104.969,105.253,105.532,105.674,105.701,105.695,105.688,105.678,105.672
New Zealand,104.044,104.601,104.188,104.535,104.292,104.012,103.876,104.208,104.494,105.387,105.662,105.895,105.668,105.65,105.749,105.788,105.818,105.838,105.855,105.869,105.881
Nicaragua,105.648,104.669,103.717,102.91,102.927,102.992,102.843,102.562,102.727,103.129,103.616,103.845,104.041,104.236,104.346,104.456,104.511,104.558,104.573,104.586,104.592
Niger,89.127,94.581,99.265,104.544,104.562,104.582,104.59,104.586,104.573,104.543,104.502,104.474,104.449,104.472,104.517,104.544,104.547,104.501,104.454,104.381,104.308
Nigeria,100.118,100.074,100.043,100.057,100.258,100.474,100.766,100.966,101.262,101.741,102.258,102.68,102.833,102.844,102.789,102.778,102.791,102.793,102.776,102.733,102.669
Northern Africa,101.34,101.859,102.646,103.352,103.67,103.52,103.737,103.845,104.058,104.155,104.265,104.316,104.326,104.331,104.345,104.388,104.469,104.565,104.662,104.741,104.799
NORTHERN AMERICA,104.259,104.426,104.347,104.297,104.298,104.503,104.706,104.787,104.8,104.875,105.029,105.097,105.122,105.205,105.271,105.266,105.253,105.246,105.232,105.216,105.202
Northern Europe,104.029,104.565,104.431,104.598,104.944,105.194,105.195,105.01,104.764,104.687,105.057,105.241,105.27,105.333,105.379,105.442,105.471,105.494,105.512,105.526,105.536
Norway,105.141,105.374,105.543,105.345,105.354,105.196,105.065,104.888,105.129,105.405,105.572,105.475,105.066,105.085,105.271,105.349,105.385,105.404,105.418,105.427,105.435
West Bank and Gaza,109.588,110.528,110.525,107.061,104.836,103.613,110.591,107.719,104.27,105.16,104.614,104.387,104.395,104.498,104.614,104.761,104.89,104.962,104.984,104.975,104.97
OCEANIA,105.003,104.486,104.453,104.554,104.674,104.722,103.784,104.451,105.344,105.672,105.655,105.973,106.134,106.315,106.384,106.435,106.483,106.523,106.55,106.563,106.567
